ID,Name,LinkedIn URL,Locations,Location Phones,HQ Location,HQ Location Phones,Technologies,Industries,SIC,ISIC,NAICS,Company type,Website,Domain,Headcount,Company description,Revenue,Company Event 1,Company Event 2,Company Event 3,Company Event 4,Company Event 5,Company Event 6,Company Event 7,Company Event 8,Company Event 9,Company Event 10
"03179a69-c448-3d20-818a-d12effb934c5","MCT OFFICE FRANCE","https://www.linkedin.com/company/mct-office-france","[France, Île-de-france, Courtry, 16 Rue Du Poteau, 77181]","","France, Île-de-france, Courtry, 16 Rue Du Poteau, 77181","","","Business Supplies And Equipment","","","","Self Owned","www.mctgroupe.fr","mctgroupe.fr","2","MCT OFFICE FRANCE, une marque de MCT GROUPE FRANCE est spécialisée dans l'aménagement et la vente de mobilier de bureau a destination des professionnels ainsi que des particuliers.  Nos biens et services proposés sont : - L'aménagement de vos anciens et nouveaux locaux.  - Aide et conseil sur la décoration d'intérieur.  - Vente d'objet de décoration et de mobilier de bureau.  La vente se fait sur notre site internet https://mctoffice.fr/ mais aussi sur place avec nos commerciaux.  L'aménagement de vos locaux est effectué par nos architectes en interne pour vous proposer un service rapide, efficace et de qualité.  N'hésitez pas à suivre notre page LinkedIn mais aussi notre Facebook : @mctoffice et notre Instagram : @mctoffice .","","","","","","","","","","",""
"57d30c39-cd1b-3b4d-ab72-bccf00ace4f9","T","https://www.linkedin.com/company/superstore-fr","[France, Île-de-france, Paris, 18 Rue Duret, 75116]","","France, Île-de-france, Paris, 18 Rue Duret, 75116","","","Business Supplies And Equipment","","","","Privately Held","www.superstore.fr","superstore.fr","11","Créé en 2012 sur le constat qu’aucun site de mobilier ne s’adressait spécifiquement aux professionnels, SUPERSTORE.FR est le site de e-commerce spécialisé dans la vente de mobilier design pour entreprises.   Aujourd’hui, les plus grandes marques européennes sont présentées sur le site, soit plus de 2000 gammes avec une multitude de déclinaisons possibles : dimensions, revêtements, options ergonomiques... pour offrir un choix illimité à la personnalisation de votre entreprise.","985903","","","","","","","","","",""
"eddc3825-c21f-3fd1-96fd-c2534ff10a04","H&S Bureau","https://www.linkedin.com/company/h&s-bureau","[France, Nouvelle-aquitaine, Bordeaux]","","France, Nouvelle-aquitaine, Bordeaux","","PrestaShop, PHP, Google Fonts API, Bootstrap, JSON-LD, MySQL, oEmbed, Sidr, jQuery Migrate, OWL Carousel, WordPress, Open Graph, Imunify360, RSS, Apache HTTP Server, Priority Hints, Google Analytics, Font Awesome, jQuery, Apache, Yoast SEO, reCAPTCHA","Business Supplies And Equipment, Retail","","","","Privately Held","www.bureau-et-mobilier.com","bureau-et-mobilier.com","2","Vente en ligne de mobilier de bureau  Le mobilier de bureau, armoires de classement, sièges de bureau et autres accessoires sont issus de notre partenariat avec des marques telles que EOL, Vinco, Moll, Alphadex et bien d'autres. Nos critères de sélection sont la qualité, la disponibilité et le meilleur rapport qualité/prix. Nous assurons la livraison et le montage du mobilier de bureau sur la France Métropolitaine en standard, et vers d'autres territoires sur demande. Notre expérience en solutions de classement de dossiers nous permet de vous offrir, sur demande de devis, la possibilité de chiffrer des rayonnages mobiles, classeurs rotatifs, rayonnages à translation latérale, ainsi que les prestations associées telle que la fourniture de supports de classement(hamacs, dossiers, boites...), le transfert et le reclassement de vos dossiers. Pour toute demande spéciale, vous pouvez nous écrire via le formulaire de contact du site.","911373","","","","","","","","","",""
"b18709af-9c8a-3e7d-ba30-a4e6bffc7824","Burossimo","https://www.linkedin.com/company/burossimo","[France, Hauts-de-france, Lille], [France, Pays De La Loire, Nantes], [France, Auvergne-rhône-alpes, Lyon], [France, Grand Est, Metz]","","France, Auvergne-rhône-alpes, Lyon","","Google Font API, PHP, JSON-LD, Google Fonts API, PrestaShop, OWL Carousel, FancyBox, Cart Functionality, Slick, Elementor, MySQL, jsDelivr, SendinBlue, Open Graph, Swiper, WordPress, Nginx, OVHcloud, jQuery, reCAPTCHA, Google Tag Manager, Google Hosted Libraries, Font Awesome, Apache, Google Analytics","Business Supplies And Equipment, Retail","","","","Privately Held","www.burossimo.com","burossimo.com","2","Burossimo est un site de vente en ligne de mobilier de bureau professionnel pour les professionnels. Nous fournissons des produits qualitatifs, sur-mesure, livrables et installables dans vos locaux partout en France.","911373","","","","","","","","","",""
"253c7a8c-3e2e-33f3-8793-685031ef76ec","MTS Industrie","https://www.linkedin.com/company/mts-industrie","[France, Aubry Du Hainaut, 106 Rue Du Bois, 59494]","","France, Aubry Du Hainaut, 106 Rue Du Bois, 59494","","Google Font API, Twenty Seventeen, jQuery.scrollTo, Ninja Forms, Contact Form 7, Google Fonts API, PHP, Cookiebot, Polyfill, OVHcloud, Priority Hints, Apache HTTP Server, Backbone.js, RSS, WordPress, ExtendThemes Mesmerize, jQuery Waypoints, MySQL, Google Maps, oEmbed, Elementor, jQuery Migrate, Mesmerize Companion, Underscore.js, imagesLoaded, Cybot, WPForms, Apache, Font Awesome, reCAPTCHA, jQuery","Consumer Goods","","","","Self Owned","mtsindustrie.com","mtsindustrie.com","2","MTS Industrie est spécialisée en maintenance tuyauterie et soudure. Ameublement industriel professionnels et particuliers.","1258668","Company Hiring Event. Company MTS Industrie announced on 2025-02-18 that they will be hiring Chaudronnier h/f in their  department in France. URL:https://fr.indeed.com/m/viewjob?jk=fe2e4bcd873a2961.","Company Hiring Event. Company MTS Industrie announced on 2025-02-18 that they will be hiring Chaudronnier h/f in their  department in France. URL:https://www.simplyhired.fr/job/PpQ-SwPs4x8q5HRfNZYxoKhWDfsltDPwnTAMVWCRnURA6gC6kj1rBA.","Company Hiring Event. Company MTS Industrie announced on 2025-04-15 that they will be hiring Monteur h/f in their  department in France. URL:https://fr.indeed.com/m/viewjob?jk=29d9161cae6a3827.","Company Hiring Event. Company MTS Industrie announced on 2025-04-15 that they will be hiring Monteur h/f in their  department in France. URL:https://www.simplyhired.fr/job/eQArpFN_hcIUdQyXWeiWMnITqDCTObmLv_oNzXBE5mxr75tG7reGJg.","","","","","",""
"0e6acbb5-cefd-3b78-8e8a-afcd85c4174a","LUGASSY GROUP DESIGN","https://www.linkedin.com/company/lugassy-group-design","[France, Provence-alpes-côte D'azur, Cannes, Chemin De La Bastide Rouge, 06150]","","France, Provence-alpes-côte D'azur, Cannes, Chemin De La Bastide Rouge, 06150","","JSON-LD, Lodash, Bootstrap, Wix eCommerce, Webpack, Google Fonts API, Onsen UI, Wix, Amazon ALB, HSTS, Sirvoy, Module Federation, Amazon Web Services, Apache, Open Graph, Priority Hints, X-Content-Type-Options","Design","","","","Privately Held","lugassygroupdesign.com","lugassygroupdesign.com","11","Groupe spécialisé dans la décoration et l’ameublement pour les professionnels et particuliers.  L’expérience familiale transmise de générations en générations de tapissiers et décorateurs, nous permet de mettre notre savoir-faire au service de notre clientèle. Plus que de la vente de mobilier, c’est avant tout la création d’une ambiance et d’un espace unique que nous concevons avec nos clients afin de répondre à une demande d’exigence. De l’extérieur à l’intérieur, nos collections résolument contemporaines, s’inscrivent avec les tendances actuelles.","3571477","","","","","","","","","",""
"513ddcdf-f69f-3a09-ac8e-7b57bcfecf37","KANN","https://www.linkedin.com/company/kann-design","[France, Île-de-france, Paris, 30 Rue Des Trois Bornes, 75011]","","France, Île-de-france, Paris, 30 Rue Des Trois Bornes, 75011","","Google Font API, Typekit, Datadog, Boomerang, Preact, Hammer.js, Google Fonts API, X-Content-Type-Options, Shopify, Priority Hints, Open Graph, RSS, Shopify Chat, X-XSS-Protection, jQuery UI, HTTP/3, Cart Functionality, HSTS, Cloudflare CDN, Adobe Fonts, jQuery, Envoy, Google Tag Manager, Google Analytics, reCAPTCHA, PWA, Weglot, CloudFlare, Cloudflare Bot Management","Design","","","","Privately Held","www.kanndesign.com","kanndesign.com","9","Kann est une maison d’édition, de fabrication, de création et de vente de mobilier design depuis 2010.  Adossée à un atelier détenteur d’un savoir-faire depuis plus de cinquante ans, et très marqué par la fabrication de mobilier scandinave, Kann Design perpétue naturellement cet héritage et a construit son ADN autour de ce style.","3729962","Company Hiring Event. Company Kann announced on 2023-05-20 that they will be hiring Pastry Cook in their  department in Buckman, United States. URL:https://poachedjobs.com/jobs/portland-or-kitchen-jobs-kann-pastry-cook-2?from=jobs&rec=false.","Company Hiring Event. Company Kann announced on 2023-05-20 that they will be hiring Server in their  department in Buckman, United States. URL:https://poachedjobs.com/jobs/portland-or-floor-jobs-kann-server-ft-3?from=jobs&rec=false.","","","","","","","",""
"3fafd1be-6c78-355e-a804-45ff7ea28e78","Galerie Contemporaine","https://www.linkedin.com/company/galeriecontemporaine","[France, Bourgogne-franche-comté, Besançon, 88 Rue Des Granges, 25000]","","France, Bourgogne-franche-comté, Besançon, 88 Rue Des Granges, 25000","","Drupal 7, Drupal, jsDelivr, Nginx, Bootstrap, Microsoft 365, JSON-LD, PHP, Google Fonts API, Google Maps, MySQL, oEmbed, Priority Hints, Swiper, Open Graph, Shopify, OVHcloud, WordPress, Apache HTTP Server, RSS, SendinBlue, Yoast SEO, jQuery, reCAPTCHA, Apache, Font Awesome","Design","","","","Privately Held","www.lagaleriecontemporaine.fr","lagaleriecontemporaine.fr","2","La Galerie Contemporaine est un carrefour du design, de l’art et de la décoration. Cette enseigne de caractère, indépendante, est une référence dans la vente de mobilier contemporain à Besançon. Depuis plus de 40 ans, nous sélectionnons pour nos clients des objets parmi les plus grandes marques du design qui correspondent à notre vision avant-gardiste de l’aménagement de vos intérieurs et de vos espaces publics. Une équipe sérieuse et passionnée vous accueille et vous conseille dans le choix du mobilier qui donnera du caractère à votre intérieur. Nous avons le souci du détail, de l’excellence et de l’exclusivité. La Galerie Contemporaine ce n’est pas seulement du mobilier, c’est aussi des ambiances de confort et de bien-être.","1020422","","","","","","","","","",""
"ee157692-bb48-32a8-ac7d-8c6fc28add94","Designlowcost","https://www.linkedin.com/company/designlowcost","[France, Provence-alpes-côte D'azur, Nice, 546 Route De Bellet, 06200]","","France, Provence-alpes-côte D'azur, Nice, 546 Route De Bellet, 06200","","GoDaddy, GoDaddy DNS, reCAPTCHA, Google Analytics, Amazon Web Services, React, Amazon ALB, Google Cloud, Nginx, OpenResty, Lua","Design","","","","Privately Held","","designlowcost.com","2","Vous rêvez de voir s’inviter chez vous les dernières tendances de la décoration mais vous pensez ne pas avoir le portefeuille qui s’y prête ? Détrompez-vous ! Designlowcost est spécialisé dans la vente de mobilier et meubles design à prix compétitifs. Pour décorer votre intérieur, nous vous proposons un ameublement discount de la cave au grenier ! Retrouvez tout type de tables: tables basses, table design, table en verre, table de salon, table chaises, table rallonge mais aussi chaises design, fauteuils de jardin ou de maison, canapés : canape d angle ou canapé convertible, luminaires et lampe design, buffets, meubles TV, tapis, literie maison, chambre à coucher, decoration design et accessoires trouvent leur place chez vous pour une déco maison tendance.","","","","","","","","","","",""
"8ada4863-a4e4-356a-ac48-4d10b5ef102e","BEESPOK","https://www.linkedin.com/company/beespok","[France, Pays De La Loire, Crosmières]","","France, Pays De La Loire, Crosmières","","Google Font API, Modernizr, PHP, Google Fonts API, FancyBox, jQuery Migrate, jQuery, Google Analytics, Apache, reCAPTCHA, Debian, AddThis","Design","","","","Privately Held","www.mobilier-beespok.fr","mobilier-beespok.fr","2","Agencement & ameublement sur mesure pour les professionnels & les particuliers, nous intervenons un peu partout selon le projet.","532851","","","","","","","","","",""
