ID,Name,LinkedIn URL,Locations,Location Phones,HQ Location,HQ Location Phones,Technologies,Industries,SIC,ISIC,NAICS,Company type,Website,Domain,Headcount,Company description,Revenue,Company Event 1,Company Event 2,Company Event 3,Company Event 4,Company Event 5,Company Event 6,Company Event 7,Company Event 8,Company Event 9,Company Event 10
"f597a558-bdb6-3cef-879a-04d0fc40b818","Grupo Vips","https://www.linkedin.com/company/74856","[Spain, Madrid, Madrid]","+34912758204","Spain, Madrid, Madrid","+34912758204","Modulo, SSIS, SAP, Illustrator, R, Excel, FISCAL, Revit, CSR, Materia, Azure, Dinero, Reviso, Google, Medios, SQL Server, Nielsen, InDesign, Microsoft, C#, Pipeline Manager, Forecast, Centro, MicroStrategy, Office 365 Mail, Photoshop, Precursor, Flask, Microsoft Exchange, Metasploit, Validar, YouTube, Webs, jQuery, Google Analytics, yepnope.js, Apache, Fingerprintjs, Drupal, Facebook, Bootstrap, Modernizr, PHP","Restaurants","	5812, 70, 58","	56, i, 5610, 561","	722513, 72, 722514, 722, 7225, 722515, 722511, 72251","Privately Held","www.grupovips.com","grupovips.com","10060","Grupo Vips, fundado en 1969, es uno de los grupos multimarca y multiformato líderes del sector de la hostelería en España. Nuestra oferta integra restaurantes y cafeterías, así como una fábrica de sándwiches premium y un club de fidelización único en el sector. Somos una empresa en permanente evolución, cuyas señales de identidad han sido, desde el primer día hace más de 45 años, una vocación y pasión inquebrantables por el sector servicios.","3587272075","Company Hiring Event. Company Grupo Vips announced on 2024-01-10 that they will be hiring Accountants in their  department in Spain. URL:https://es.indeed.com/viewjob?jk=013bb8003fbf637f.","","","","","","","","",""
"b78feb5b-8f26-3425-a0fe-e9801b29c04c","Ushuaïa Ibiza Beach Hotel","https://www.linkedin.com/company/ushuaiaibizabeachhotel","[Spain, Balearic Islands, Sant Jordi De Ses Salines, 10 C/ Playa D'en Bossa, 07817], [Spain, Balearic Islands, Ibiza]","","Spain, Balearic Islands, Ibiza","","cdnjs, Yandex Metrica, Amazon Cloudfront, Optimizely, Moment.js, Apache, X-Content-Type-Options, Cloudflare Bot Management, Google AdSense, Sentry, CloudFlare, Adobe Tag Manager, Facebook, The Hotels Network, Fastly, AppNexus, core-js, Adobe Experience Manager, React, HSTS, YouTube, Apache HTTP Server, Choices, Google Font API, Facebook Pixel, Google Analytics Enhanced Ecommerce, OneTrust, Hotjar, jQuery, Criteo, jsDelivr, X-XSS-Protection, Modernizr, Babel, Java, styled-components, Amazon ALB, Google Fonts API, Python, Bootstrap, Django, Google Analytics, Font Awesome, Google Tag Manager, reCAPTCHA, Amazon Web Services, Google Cloud, Nginx","Hospitality","	70","i","	72","Privately Held","www.ushuaiabeachhotel.com","ushuaiabeachhotel.com","1138","Ushuaïa Ibiza Beach Hotel is the place where you can find what you always dreamed of enjoying in Ibiza, it is the concept that changed the island forever.  Enjoy performances by the best DJs in the world on the spectacular stage next to the pool and from your room, surrounded by a modern, designer setting, with all types of comfort, luxury and exclusive VIP services. The best daytime parties combined with the delicacies from its restaurants and some outstanding facilities, with the best rooms, all located on the waterfront of the most stimulating beach on the sexiest island in the world. The Ushuaïa Ibiza Beach Hotel is made up of two establishments that are next to each other. The Ushuaïa Club, if you want to live the pure Ushuaïa experience and enjoy its parties first hand, even from your room, and The Ushuaïa Tower, if you want more exclusivity and intimacy but always maintaining the spirit of Ushuaïa. - Hotel not recommended for those under 22 years old. Only for adults. - Rooms with AC, large flat screen satellite TVs, WIFI, i-docking stations,Chromotherapy - 24 hr rooms service, maxi-bar with top brands - Live shows: world´s top DJs, state of the art DJ booth, go-gos, fashion shows,.. - Suites with indoor Jacuzzi - Swim up rooms –direct access to pool - VIP boxes with exclusive service. - 2 outdoor pools, large Balinese-type beds, cocktail bars around pool area. - Wellness center and fully equipped gym - Japanese restaurant, teppanyaki tables and Zen garden. - Beach Club with Mediterranean cuisine & direct access to the beach. - Cocktail music bar in reception. - Professional recording studio","1888002000","Company Hiring Event. Company Ushuaïa Ibiza Beach Hotel announced on 2024-07-04 that they will be hiring Limpiador/a zonas exteriores ushuaia ibiza beach hotel in their  department in Spain. URL:https://www.simplyhired.es/job/uiM6gQUsBYFXDYegEfdTbfAoer8T9AJCTsjYQAAoJjzcjuBnYh7oTQ.","","","","","","","","",""
"8ca885ca-6e2c-3bc6-8f02-b0ca5938bc23","Marina D'Or","https://www.linkedin.com/company/marina-d'or","[Spain, Valencia, Oropesa Del Mar], [Spain, Madrid, Madrid, 93 Calle Del Príncipe De Vergara, 28006], [Spain, Valencia, Oropesa Del Mar/orpesa, 12594]","+34914119910","Spain, Valencia, Oropesa Del Mar","","Drupal 7, SEO, Google Ads, Montage, Cadre, WordPress, TripAdvisor, Perf, Digital Marketing, YouTube, CookieScript, WhatsApp Business, Google Maps, JavaScript Infovis Toolkit, OWL Carousel, Cart Functionality, Apache HTTP Server, Open Graph, Hotjar, Drupal, AddThis, X-XSS-Protection, Awin, MailChimp, Google Fonts API, cdnjs, Vue.js, PHP, ShareThis, SweetAlert, jQuery, Google Tag Manager, Font Awesome, Microsoft Advertising, Apache, Bootstrap, Unpkg, Amazon Cloudfront, TikTok Pixel, Python, Microsoft 365, Facebook, Azure Edge Network, Moment.js, ProgressBar.js, jQuery UI, Facebook Pixel, X-Content-Type-Options, Taboola, Web Vitals, Priority Hints, Mautic, Django, Google, Amazon Web Services, reCAPTCHA, Google Analytics, Chart.js, Magnific Popup, C3.js, Lightbox, FlipClock.js, Correos, GoDaddy, styled-components, HSTS, CloudFlare, SharpSpring, AppNexus, Cookie Script, Adform, Choices, Cookiebot, Google Font API, SharpSpring Ads, WhatsApp Business Chat","Hospitality, Restaurants, Recreational Facilities And Services","	70, 7011, 70, 58, 7999, 5812, 7996, 79, 7993, 84","r, 561, i, 5510, 56, 551, 93, 55, 932, i, 9321, 5610","	7211, 7225, 72111, 72112, 713120, 722511, 71311, 72251, 713, 722514, 722515, 721110, 713110, 71312, 721, 72, 71, 722, 71399, 7131, 721120, 722513, 72, 713990","Privately Held","www.marinador.com","marinador.com","533","Marina D'Or, operating under the brand Magic World Resort, is a leading tourism company based in Oropesa del Mar, Spain, specializing in family-friendly vacation experiences. The company offers a diverse range of accommodations, including themed hotels such as Hotel Magic Sports, Hotel Magic Games, and Hotel Magic Fantasy, catering to various interests and age groups. Marina D'Or's mission is to provide unforgettable holiday experiences filled with magic and adventure, ensuring that every family member finds their own unique enjoyment. The resort features numerous amenities, including water parks, themed attractions, and wellness services at the Pontiana Thalasso Hotel, appealing to both leisure travelers and families. With a focus on customer satisfaction, Marina D'Or fosters loyalty through its Magic Amigos Club, offering exclusive discounts and benefits to returning guests. The company aims to create a welcoming environment where guests feel like friends, enhancing their overall vacation experience.","796235810","Company Hiring Event. Company Marina dOr announced on 2023-07-17 that they will be hiring Carnicera o in their  department in Spain. URL:.","Company Hiring Event. Company Marina dOr announced on 2023-07-17 that they will be hiring Maitre restaurante in their  department in Spain. URL:.","Company Hiring Event. Company Marina dOr announced on 2023-08-04 that they will be hiring Mecanico cocinas in their  department in Spain. URL:.","Company Hiring Event. Company Marina dOr announced on 2023-06-21 that they will be hiring revisora area limpieza in their  department in Spain. URL:.","","","","","",""
"b272ca4b-a413-39d1-8fe2-959fd5e50aa2","Hipotels - Hotels & Resorts","https://www.linkedin.com/company/hipotels","[Spain, Baleares, Cala Millor, 18 C/ Sestanyol, 07560]","","Spain, Baleares, Cala Millor, 18 C/ Sestanyol, 07560","","Microsoft Exchange, Yield, Riviera, Events Manager, Ecommerce, Realm, Tiny, TripAdvisor, reCAPTCHA, Google Ads Conversion Tracking, Moment.js, AppNexus, Google Cloud, Ubuntu, Babel, Amazon Cloudfront, Facebook Pixel, X-Content-Type-Options, Choices, HSTS, Debian, Google Analytics Enhanced Ecommerce, Google Ads, Google Tag Manager, Twitter typeahead.js, jQuery, HTTP/3, Less, cdnjs, OWL Carousel, Cookiebot, Polyfill, Handlebars, Apache, Amazon Web Services, Google Maps, yepnope.js, Google Analytics, Modernizr, Bootstrap, Facebook, Nginx, X-XSS-Protection, core-js, React, Open Graph, Google Font API, PHP","Hospitality, Restaurants","	5812, 58, 70, 7011, 70","	5510, i, 5610, 55, 56, 561, 551, i","	72112, 722514, 72, 7225, 721110, 72111, 722, 721120, 722511, 7211, 722515, 722513, 72251, 72, 721","Privately Held","www.hipotels.com","hipotels.com","1104","Hipotels Hotels & Resorts is a premier hospitality company that specializes in providing exceptional hotel and resort experiences across popular destinations such as Mallorca, Cádiz, Lanzarote, and Cancún. The company is dedicated to rewarding guest loyalty through its innovative Hipotels Vibes Club, a tiered loyalty program that offers exclusive benefits and discounts for members who book directly through their official website. With a mission to create unforgettable stays filled with happiness and relaxation, Hipotels aims to enhance customer satisfaction by offering personalized services and unique experiences tailored to their guests' needs. The target market includes leisure travelers seeking comfort and quality, as well as event organizers looking for versatile venues for celebrations and conferences. Through strategic partnerships and a commitment to excellence, Hipotels strives to be a leader in the hospitality industry, ensuring that every guest feels valued and appreciated.","794753062","","","","","","","","","",""
"904c95e5-6d2b-38dd-b394-dcae2e31a981","Supersol Spain","https://www.linkedin.com/company/supersol-spain","[Spain, Madrid, Alcobendas], [Spain, Madrid, Madrid, 1 Paseo John Lennon, 28007]","","Spain, Madrid, Alcobendas","","Servers, Citrix, Digital Marketing, SQL Server, Vmware ESX, HVAC, R, Virus, SEM, CCNA, Cisco, Tivoli, Excel, HelpDesk, BladeCenter, AS/400, FISCAL, VMware, Windows Server 2008, Nielsen, JDA, Kaspersky, vSphere, Oracle, Facebook, Teamwork Retail, Photoshop, AIX, Servidores, Materia, Linux, Forecast, SQL, Daily, SAP, Medio, Windows Server, Centro, Microsoft Office, CAD, Windows, OneTrust, HTML, SEO, Microsoft, THINK, Office 365, React, CloudFlare, reCAPTCHA, Cloudflare CDN, Google Tag Manager, Google Analytics, RSS, dc.js, Google AdSense, Priority Hints, Open Graph, Vue.js, Netlify, Node.js, JSON-LD, Tailwind CSS, Webpack, Google Fonts API, Nginx, Animate.Css, BootstrapCDN, MySQL, jQuery Migrate, SendinBlue, Apache HTTP Server, OVHcloud, Plesk, WordPress, jsDelivr, Swiper, Font Awesome, jQuery, CookieYes, Slider Revolution, Bootstrap, Microsoft 365, Contact Form 7, Next.js, HTTP/3, C3.js, Nuxt.js, Amazon Web Services, Apache, HSTS, Google Maps","Supermarkets, Wine And Spirits, Restaurants","	5421, 70, 5921, 54, 5451, 59, 5411, 5499, 58, 5431, 5441, 5461","	471, 562, 56, 4722, 5629, 472, 4721, 4711, 478, 4781, i, 5621, 47, 4719, 4723","	72, 45, 722320, 4451, 4452, 44532, 72231, 445240, 722310, 445292, 7223, 44529, 722330, 445250, 44511, 44523, 445, 4453, 722, 445132, 445320, 44, 44525, 445298, 72232, 72233, 445110, 44524, 459999, 445291, 445230","Privately Held","www.supersol.es","supersol.es","1220","Supersol Spain, operating under the brand Correduría de Seguros Carrefour, S.A.U., is a prominent insurance brokerage that serves as an intermediary between clients and insurance companies, providing tailored advice and solutions in the insurance sector. The company's mission is to facilitate the selection of appropriate insurance products that meet the specific needs of its clients, ensuring high-quality service and compliance with current legal regulations. Supersol Spain caters to a diverse clientele, including individuals and families, and collaborates closely with various insurance providers and entities within the Carrefour Group, enabling it to offer a wide range of products and services. The company primarily targets members of the Club Carrefour, utilizing its extensive database to personalize offers and enhance the customer experience. Supersol Spain is particularly recognized for its leading position in the pet insurance market, dedicated to safeguarding the well-being and protection of pets against unforeseen events. It offers a variety of insurance plans specifically designed for dogs and cats aged between three months and nine years, focusing on comprehensive coverage that includes civil liability, veterinary assistance for accidents and illnesses, as well as additional services like hospitalization and burial costs. The company's vision emphasizes optimizing customer relationships through a satisfaction and trust-based approach, ensuring that each client receives the attention and support they require in the insurance domain. By partnering with Generali, one of the largest insurance groups globally, Supersol leverages over 30 years of experience in the insurance industry to provide reliable and affordable pet insurance solutions. The target market includes pet owners who prioritize their pets' health and safety, as well as those looking to meet legal requirements for pet identification and insurance.","503900000","","","","","","","","","",""
"49bf8680-d732-3941-8a07-f0b7d2a64a86","Global Great Hotels","https://www.linkedin.com/company/global-great-hotels","[Spain, Balearic Islands, Iles, Calle D'es Mirador N°5, 07410], [Spain, Balearic Islands, Llucmajor, 07639], [Spain, Valencia, Denia, Calle Aquari N°3, 03700], [Spain, Ad]","","Spain, Ad","","GoDaddy, Google Font API, X-Content-Type-Options, Apache HTTP Server, X-XSS-Protection, jQuery, Cloudflare Rocket Loader, Google Analytics, CloudFlare, Apache, Font Awesome, Element UI, Google Tag Manager, Cloudflare CDN, FancyBox, Slick, HSTS, HTTP/3, Floating UI, PHP, Bootstrap, Google Fonts API, Popper","Hospitality","	70","i","	72","Partnership","globalgreathotels.com","globalgreathotels.com","55","Créé en 1997, Global Great Hotels est un club hôtelier offrant de nombreux avantages à ses adhérents pour leurs voyages, réservations hôtelière et de multiples autres services associés à la conciergerie.  Depuis bientôt vingt ans, spécialisées dans l'organisation de vacances de luxe, nos équipes de professionnels du tourisme ont déjà créé plus de 15.000 vacances de luxe et des milliers de membres, familles et amis, ont profité de nombreux avantages exceptionnels à travers des dizaines de pays, sur les cinq continents, combinant hôtels, villas et résidences de standing, expériences familiales, romantiques ou culturelles inoubliables.  Notre principale mission est d'offrir un nouvel accès au monde à nos adhérents tout en demeurant un club d’élite, leur permettant de voyager à des tarifs concurrentiels.","459112160","","","","","","","","","",""
"83fc2d80-5d15-3160-a09b-5b912f06ccf5","Camiral","https://www.linkedin.com/company/camiral-golfwellness","[Spain, Girona, Caldes De Malavella, Crta. N-ii Km 701, 17455]","","Spain, Girona, Caldes De Malavella, Crta. N-ii Km 701, 17455","","Google Font API, Bootstrap, Contact Form 7, Cookiebot, Google Fonts API, MailChimp, OpenSSL, PHP, All in One SEO, Vimeo, JSON-LD, Polylang, MySQL, Microsoft Clarity, jQuery Migrate, Linkedin Insight Tag, Instagram Feed for WordPress, oEmbed, RSS, Facebook Pixel, Facebook, Open Graph, Priority Hints, WordPress, Apache HTTP Server, HSTS, Sage X3, Choices, Salesforce, The Hotels Network, Criteo, Sentry, Adobe Fonts, Smash Balloon Instagram Feed, Google Tag Manager, FitVids.js, reCAPTCHA, Apache, OneTrust, Red Hat, Cloudflare Bot Management, Google Analytics, CloudFlare, Font Awesome, jQuery, Hotjar, X-XSS-Protection, Microsoft 365, Microsoft, Vue.js","Recreational Facilities And Services, Restaurants, Hospitality, Leisure, Travel & Tourism","	58, 79, 84, 7992, 5812, 70, 4493, 7933, 7011, 79, 84, 7999","	799, 791, r, 5610, 55, 7990, 9329, 5510, 79, 551, 56, 561, i, r","	71391, 722515, 713990, 721110, 721120, 72, 7225, 72111, 72112, 713, 713950, 71, 5615, 561591, 722, 56159, 722514, 71395, 721, 71, 722511, 72251, 71393, 71399, 71392, 713910, 7139, 713930, 722513, 713920, 7211, 561599","Privately Held","www.camiral.com","pgacatalunya.com","213","Camiral Golf & Wellness, located within the Quinta do Lago Girona resort, is dedicated to providing an exceptional golfing experience complemented by wellness offerings. The company focuses on enhancing the game of golfers of all skill levels through world-class practice facilities, expert tuition, and premium equipment rentals, ensuring both performance and enjoyment. With a mission to create a seamless and enjoyable golfing environment, Camiral offers services such as dedicated Caddy Masters, secure club storage, and state-of-the-art electric golf carts. The resort attracts a diverse clientele, including seasoned players and newcomers, and partners with leading brands like TaylorMade to provide top-quality equipment. Camiral aims to be a premier destination for golf enthusiasts seeking a blend of sport and relaxation in the stunning natural beauty of the Costa Brava.","308051615","","","","","","","","","",""
"78713ef1-ec9f-3492-8405-7dd939d62792","Taco Bell España","https://www.linkedin.com/company/taco-bell-espana","[Spain, Madrid, Pozuelo De Alarcón], [Spain, Balearic Islands, Palma, 4 Plaça D'espanya, 07007]","+34667078487","Spain, Madrid, Pozuelo De Alarcón","","Shift, Stripe, PHP, Twitter Emoji (Twemoji), Google Font API, Cart Functionality, Underscore.js, Nginx, OWL Carousel, Google App Engine, HTTP/3, Google Cloud, Slick, Angular, jQuery Migrate, Agosto, HSTS, MySQL, Backbone.js, X-XSS-Protection, Shopify, X-Content-Type-Options, Swiper, Plesk, Priority Hints, Open Graph, jQuery UI, WordPress, dc.js, TypeScript, Google Cloud CDN, AutoCAD, Microsoft, Contact Form 7, Google Fonts API, Bootstrap, Lodash, Modernizr, WP Rocket, Twemoji, MediaElement.js, Google Cloud Trace, WPML, Element UI, Zendesk, PWA, Google Tag Manager, jQuery, Android, Yoast SEO, OneTrust, reCAPTCHA, Google Analytics, Font Awesome","Restaurants","	70, 5812, 58","	561, 56, 5610, i","	72, 722515, 722514, 7225, 72251, 722511, 722513, 722","Privately Held","www.tacobell.es","tacobell.es","1363","Taco Bell España is a prominent fast-food chain specializing in Mexican-inspired cuisine, offering a diverse menu that includes tacos, burritos, and nachos, all made fresh to order. The company's mission is to provide high-quality food while maintaining rigorous standards of food safety and quality, ensuring that all suppliers align with its commitment to customer satisfaction. Taco Bell España targets a broad demographic, appealing to young adults and families looking for quick, flavorful meals. The company also emphasizes customer engagement through its Taco Bell Club loyalty program, allowing customers to earn and redeem points for discounts, thereby fostering a loyal customer base. With a focus on innovation and quality, Taco Bell España aims to enhance the dining experience while expanding its presence in the competitive fast-food market.","281844350","","","","","","","","","",""
"d2ce049f-1164-3d11-84d8-d6c31eb575fc","Marbella Club Hotel · Golf Resort & Spa","https://www.linkedin.com/company/marbella-club-hotel-·-golf-resort-&-spa","[Spain, Andalusia, Marbella], [United States, Florida, Marco Island]","","Spain, Andalusia, Marbella","","","Restaurants, Hospitality, Recreational Facilities And Services","	5812, 7992, 70, 70, 7933, 79, 7999, 58, 84, 7011, 4493","	9329, 5610, 561, i, 55, 56, r, 551, 5510, i","	722515, 72251, 722513, 721120, 71, 7211, 71399, 713950, 713990, 721, 7225, 7139, 722, 71393, 713920, 722511, 721110, 713, 713910, 71391, 722514, 713930, 71395, 72, 71392, 72111, 72112, 72","Privately Held","www.marbellaclub.com","marbellaclub.com","404","Marbella Club Hotel · Golf Resort & Spa is a luxurious Mediterranean beachfront destination that embodies the true spirit of Andalusia. The resort offers a unique blend of heritage and innovation, providing guests with a tranquil environment to enjoy family, community, and relaxation. With a focus on holistic wellbeing, the hotel features a renowned Thalasso Spa, wellness programs, and a variety of dining options that celebrate local, seasonal ingredients. Targeting discerning travelers seeking a serene escape, Marbella Club caters to families, couples, and wellness enthusiasts alike, ensuring a memorable experience in a stunning natural setting. The hotel's mission is to nurture the important aspects of life while promoting a lifestyle of balance and rejuvenation.","259480943","Company Hiring Event. Company Marbella Club Hotel · Golf Resort & Spa announced on 2023-09-19 that they will be hiring Ayudante de camarero a bar - málaga in their  department in Spain. URL:.","Company Hiring Event. Company Marbella Club Hotel · Golf Resort & Spa announced on 2023-07-19 that they will be hiring ayudante servicio técnico m f - málaga in their  department in Spain. URL:.","Company Hiring Event. Company Marbella Club Hotel · Golf Resort & Spa announced on 2023-07-19 that they will be hiring ayudante de cocina m f - málaga in their  department in Spain. URL:.","Company Hiring Event. Company Marbella Club Hotel · Golf Resort & Spa announced on 2023-07-19 that they will be hiring subgobernante a hotel - málaga in their  department in Spain. URL:.","Company Hiring Event. Company Marbella Club Hotel · Golf Resort & Spa announced on 2023-07-21 that they will be hiring ayudante de camarero a - málaga in their  department in Spain. URL:.","Company Hiring Event. Company Marbella Club Hotel · Golf Resort & Spa announced on 2023-07-19 that they will be hiring jardinero a de hotel - málaga in their  department in Spain. URL:.","Company Hiring Event. Company Marbella Club Hotel · Golf Resort & Spa announced on 2024-09-03 that they will be hiring Copywriters in their  department in Spain. URL:https://www.trabajas.es/oferta/senior-copywriter-68272850bacf453.","Company Hiring Event. Company Marbella Club Hotel · Golf Resort & Spa announced on 2023-12-18 that they will be hiring Estilista in their  department in Spain. URL:https://www.buscojobs.com.es/estilista-en-marbella-ID-263025899.","Company Hiring Event. Company Marbella Club Hotel · Golf Resort & Spa announced on 2024-02-07 that they will be hiring Revenue manager in their  department in Spain. URL:https://www.buscojobs.com.es/revenue-manager-en-marbella-ID-265227991.","Company Hiring Event. Company Marbella Club Hotel · Golf Resort & Spa announced on 2023-08-01 that they will be hiring Camarera o de pisos - málaga in their  department in Spain. URL:."
"dd54bc03-6538-31d7-8c79-0795052fa049","Anfi Group","https://www.linkedin.com/company/anfi-group","[Spain, Canary Islands, Mogán], [Spain, Canary Islands, Arguineguin, Barranco De La Verga S/n, 35120]","+34928152990","Spain, Canary Islands, Mogán","","SOAP, Oracle Applications, VMware, SQL Server, Oracle, REP, Cloudflare DNS, Dell, FISCAL, SQL, JIRA, CashFlow, Linux, ProFicient, Sales Representative, Internal Audit, Forecast, QlikView, .NET, Windows, HelpDesk, Opal, Windows Server, Medio, PL/SQL, vSphere, Wolters Kluwer, Google, Cloudflare Browser Insights, Bootstrap, JSON-LD, Clipboard.js, Google Fonts API, PHP, WordFence, Cloudflare Web Optimizations, Element UI, jQuery Validation Plugin, X-UA-Compatible, CloudFlare, jQuery, WPBakery, Yoast SEO, Cloudflare CDN, Font Awesome, CookieYes, Google Analytics, reCAPTCHA, Cloudflare Bot Management, Google Tag Manager, jQuery Waypoints, Facebook, Facebook Pixel, Yoast Duplicate Post, jQuery UI, Open Graph, Ivory Search, Priority Hints, RSS, WordPress, prettyPhoto, Moment.js, OWL Carousel, Underscore.js, Animate.Css, jQuery Migrate, MySQL, Google Maps, HSTS, oEmbed, HTTP/3, Gravatar","Restaurants, Hospitality, Recreational Facilities And Services","	70, 7933, 58, 7011, 70, 7999, 79, 84, 4493, 7992","i, 55, 562, 5621, 56, 9329, i, 551, 5629, 5510, r","	72231, 72111, 713950, 713990, 722320, 721110, 71392, 721120, 722310, 72, 72112, 713, 7223, 71, 72233, 71391, 71395, 7139, 71393, 713930, 71399, 72, 713920, 722, 7211, 722330, 72232, 721, 713910","Partnership","anfi.com","anfi.com","529","Anfi Group is a prominent company specializing in the promotion and management of timeshare resorts in Gran Canaria, Spain. With a mission to provide luxurious vacation experiences, Anfi Group operates several high-end resorts, including Anfi del Mar, Anfi Beach Club, and Club Monte Anfi, offering a range of amenities such as pools, restaurants, and wellness centers. The company aims to deliver exceptional service and flexibility to its clients, allowing them to enjoy unique holiday experiences in a stunning natural environment. Anfi Group caters to a diverse clientele, including families and individuals seeking quality leisure time, and partners with various service providers to enhance the overall guest experience. Through its commitment to excellence and customer satisfaction, Anfi Group continues to be a leader in the timeshare industry.","223413570","Company Hiring Event. Company Anfi Group announced on 2023-08-28 that they will be hiring Sales Representatives in their  department in Spain. URL:.","Company Hiring Event. Company Anfi Group announced on 2023-10-25 that they will be hiring Customer Service Clerks in their Customer department in Spain. URL:https://www.simplyhired.es/job/MPjNDLxfZpfeiaRWp_3rtyGsngL0R9u0sklKj9FeLhWbrR6tGtkgMw.","Company Hiring Event. Company Anfi Group announced on 2024-01-16 that they will be hiring Customer Service Clerks in their Customer department in Spain. URL:https://www.simplyhired.es/job/N85oNZZE5qztI1IAFsxeESGQ4YblB1lpUh-tBq-5TkmSwqboJXN4zA.","Company Hiring Event. Company Anfi Group announced on 2023-10-25 that they will be hiring Customer Service Clerks in their Customer department in Spain. URL:https://es.indeed.com/viewjob?jk=a75d18c77bd8dca9&fccid=a3e93b8449eea614&vjs=3.","Company Hiring Event. Company Anfi Group announced on 2023-08-28 that they will be hiring Sales Representatives in their  department in Sweden. URL:.","Company Hiring Event. Company Anfi Group announced on 2023-10-11 that they will be hiring Oficial de mantenimiento sustitucin in their  department in Spain. URL:https://www.simplyhired.es/job/X_4pnJqho7AYYxV4aS_EROUJaQA4e94kwsJsN5zobUTlwtxwtqpIAA.","Company Hiring Event. Company Anfi Group announced on 2023-12-06 that they will be hiring Agente de reservas in their  department in Spain. URL:https://www.buscojobs.com.es/agente-de-reservas-en-telde-ID-262314181.","Company Hiring Event. Company Anfi Group announced on 2024-04-15 that they will be hiring Sales representative in their Sales department in Spain. URL:https://www.simplyhired.es/job/4uGS_Cbq_KfOXO7fZuF6RAo1_NVCIzUGYDhO9G_2xxkGxhMqoQLjxQ.","Company Hiring Event. Company Anfi Group announced on 2024-04-15 that they will be hiring Piscinero in their  department in Spain. URL:https://www.simplyhired.es/job/vQi4WV3gJyCU3bxw2jfhz_zaOBYn-8xDTxPqGgiNat30J6nJx4V8vg.","Company Hiring Event. Company Anfi Group announced on 2023-12-23 that they will be hiring Oficial de mantenimiento - albail sustitucin in their  department in Spain. URL:https://www.buscojobs.com.es/oficial-de-mantenimiento-albanil-sustitucion-en-telde-ID-263338012."
