ID,Name,LinkedIn URL,Locations,Location Phones,HQ Location,HQ Location Phones,Technologies,Industries,SIC,ISIC,NAICS,Company type,Website,Domain,Headcount,Company description,Revenue,Company Event 1,Company Event 2,Company Event 3,Company Event 4,Company Event 5,Company Event 6,Company Event 7,Company Event 8,Company Event 9,Company Event 10
"b2fcd03e-4f4d-38d5-861a-bcf8deec3846","Perene_officiel","https://www.linkedin.com/company/perene-agencement-d-intérieurs","[France, Auvergne-rhône-alpes, Clermont-ferrand], [France, Auvergne-rhône-alpes, Annecy, 4 Bis Rue De La Poste, 74000], [France, Pays De La Loire, La Roche-sur-yon, 16 Place Du Marché, 85000]","","France, Auvergne-rhône-alpes, Clermont-ferrand","","Drupal 7, Google Font API, Google Cloud, Mailjet, HSTS, Google Maps, Angular, HTTP/3, Nginx, jQuery, PWA, Google Tag Manager, Firebase, Google Analytics, Criteo, PHP, Didomi, JSON-LD, Google Fonts API, Node.js, Preact, Express, Crazy Egg, Priority Hints, Facebook Pixel, Google Cloud CDN, Facebook, Drupal, Varnish, TypeScript","Furniture, Architecture, Engineering & Design, Manufacturing","","","","Privately Held","www.perene.fr","perene.fr","1100","Perene_officiel is a creative workshop specializing in bespoke interior design and renovation, with a focus on kitchens and living spaces. The company aims to provide a warm and intimate environment where clients can explore their design ideas with skilled agency professionals who treat each project with personal care and attention. Perene's mission is to transform spaces into unique, functional, and aesthetically pleasing environments that reflect the individuality of their clients. With a commitment to high-quality materials and meticulous craftsmanship, Perene serves a diverse clientele, including homeowners looking for tailored solutions and partners in the luxury interior design sector. The company operates boutiques in key locations such as Versailles and Paris, where clients can engage in a collaborative design process that emphasizes creativity and inspiration.","89361350","","","","","","","","","",""
"daf31cab-f775-3b2e-8021-8f6a217ac919","Noblessa Cuisines","https://www.linkedin.com/company/noblessacuisines","[France, Nouvelle-aquitaine, Pau], [France, Provence-alpes-côte D'azur, Aix-en-provence, 1165 Rue Jean René Guillibert Gauthier De La Lauzière, 13290]","","France, Nouvelle-aquitaine, Pau","","Microsoft Exchange, SAP Software, SAP, Google Font API, Imgix, Webpack, Modernizr, Babel, Microsoft 365, Amazon Cloudfront, WP Job Openings, hCaptcha, Swiper, Piwik PRO Core, Hotjar, RSS, Drupal, X-Content-Type-Options, Varnish, TYPO3, Shopify, X-XSS-Protection, Divi, core-js, HSTS, Animate.Css, HTTP/3, Mailjet, Nginx, Microsoft Clarity, styled-components, jQuery Mobile, WPML, Trustindex Google Reviews, Java, Axeptio, PixelYourSite, WooCommerce, Amazon Web Services, React, Module Federation, Cookiebot, Contact Form 7, Google Fonts API, JSON-LD, PHP, WP Rocket, Moment.js, prettyPhoto, easy pie chart, Cart Functionality, WordPress Super Cache, Magento, Bootstrap, aThemes Sydney, Element UI, Chart.js, Google Ads Conversion Tracking, Priority Hints, Apache HTTP Server, Facebook Pixel, WordPress, jQuery Waypoints, Facebook, Open Graph, oEmbed, jQuery Migrate, Elementor, MySQL, WhatsApp Business, Google Maps, CloudFlare, Yoast SEO, reCAPTCHA, Font Awesome, Apache, jQuery, GSAP, Google Analytics, Google Ads, Google Tag Manager","Furniture, Architecture, Engineering & Design, Manufacturing","","","","Privately Held","www.noblessa.fr","noblessa.fr","128","Parce que votre cuisine vous ressemble, vous inspire et vous rassemble, chez noblessa, nous accordons une attention accrue à l’humain, l'authenticité, et l'excellence. Que ce soit dans nos relations avec nos clients, mais aussi avec nos collaborateurs. Si vous adhérez à notre philosophie et que pour vous aussi, le Design fait partie de votre ADN, rejoignez notre concept, testé et approuvé ! Noblessa s’appuie sur un concept marketing novateur autour de la qualité et l’exigence d’une cuisine allemande. En plein essor en France, l’enseigne est déjà présente à l’international dans plusieurs pays : USA, Arabie Saoudite, Chine, Taiwan, Finlande et Suède.","106899560","Company Hiring Event. Company Noblessa Cuisines announced on 2025-03-28 that they will be hiring Concepteur cuisine h/f in their  department in France. URL:https://fr.indeed.com/m/viewjob?jk=6850ef6217615431.","Company Hiring Event. Company Noblessa Cuisines announced on 2024-05-19 that they will be hiring Concepteur vendeur h/f in their  department in France. URL:https://fr.indeed.com/viewjob?jk=e1c1ef75185ee7ec.","Company Hiring Event. Company Noblessa Cuisines announced on 2024-02-14 that they will be hiring Concepteur-vendeur h f in their  department in France. URL:https://europa.eu/eures/portal/jv-se/jv-details/MTY5S1dUQiA5?lang=en.","","","","","","",""
"827960ff-0704-3fee-a8a6-837ba421feeb","ARTHUR BONNET","https://www.linkedin.com/company/arthur-bonnet","[France, Saint Philbert De Bouaine, Route De Nantes, 85660], [France, Pays De La Loire, Saint-philbert-de-bouaine, 1770 Route De Nantes, 85660]","","France, Saint Philbert De Bouaine, Route De Nantes, 85660","","Tout, prix, Montage, eSpace, Google, WPMU DEV Smush, Google Font API, Instagram Feed for WordPress, MySQL, Amazon ALB, core-js, jQuery Migrate, OWL Carousel, oEmbed, Google Maps, Max Mega Menu, Varnish, Facebook, Smush, Facebook Pixel, RSS, Open Graph, RankMath SEO, Apache HTTP Server, ZURB Foundation, Hotjar, Swiper, W3 Total Cache, Shopify, WordPress, Priority Hints, Smash Balloon Instagram Feed, Envoy, Font Awesome, Cybot, Amazon Web Services, Google Tag Manager, Apache, jQuery, reCAPTCHA, Yoast SEO Premium, Yoast SEO, Sentry, Google Analytics, JSON-LD, Microsoft 365, Lodash, Contact Form 7, Google Fonts API, WP Rocket, WordPress Super Cache, Babel, Vue.js, Gravity Forms, PHP, Cookiebot, Prefix-Free","Furniture, Architecture, Engineering & Design, Manufacturing","","","","Partnership","www.arthur-bonnet.com","arthur-bonnet.com","212","Fabricant de cuisines depuis 90 ans, Arthur Bonnet est le premier cuisiniste français labellisé Origine France Garantie. La marque  propose des modèles de cuisines exclusifs combinant élégance et convivialité et réussit le pari d'un design à la fois esthétique, fonctionnel, ergonomique et innovant.  Franchir le pas de la porte d’un magasin Arthur Bonnet, c’est être transporté dans un univers à la fois design et convivial, moderne et authentique où l’on retrouve toute la saveur des cuisines à la française.","104827731","Company Hiring Event. Company Arthur Bonnet announced on 2023-10-05 that they will be hiring Concepteur vendeur h f h f in their  department in France. URL:https://ec.europa.eu/eures/eures-apps/searchengine/page/jv/id/MTYyUkdHWCA5.","Company Hiring Event. Company Arthur Bonnet announced on 2024-05-07 that they will be hiring Concepteur vendeur de cuisines h f in their  department in France. URL:https://fr.indeed.com/viewjob?jk=993c3536a954d170.","Company Hiring Event. Company Arthur Bonnet announced on 2024-05-07 that they will be hiring Concepteur vendeur de cuisines h f in their  department in France. URL:https://fr.indeed.com/viewjob?jk=ec4a34247e6f3c08.","Company Hiring Event. Company Arthur Bonnet announced on 2023-12-19 that they will be hiring Concepteur trice décorateur trice in their  department in France. URL:https://fr.indeed.com/viewjob?jk=5a868d1ca30215c2.","Company Hiring Event. Company Arthur Bonnet announced on 2023-12-19 that they will be hiring Concepteur trice dcorateur trice in their  department in France. URL:https://www.simplyhired.fr/job/OD1YsUkwhVJjJlvfveB_O_vWi_hOBrB-WaZp6CAPPhhJFEG68luJjA.","Company Hiring Event. Company Arthur Bonnet announced on 2024-05-14 that they will be hiring Poseur de cuisines expérimenté (h/f) in their  department in France. URL:https://fr.indeed.com/viewjob?jk=d3764445c11541b1.","Company Hiring Event. Company Arthur Bonnet announced on 2023-09-24 that they will be hiring Assistant e administratif ve et commercial e in their  department in France. URL:https://www.simplyhired.fr/job/jUzCnVtb7BNEUjSPaPaeSfZrGQRQKu2wvYxGRhD9Kyt3s9X4ci3fUw?q=.","Company Hiring Event. Company Arthur Bonnet announced on 2023-10-12 that they will be hiring Concepteur-vendeur de cuisines expérimenté h f in their  department in France. URL:https://www.simplyhired.fr/job/ZNFLTUt920ZYiTaP42LZPUvbTastT2psxUr1qoYI3VqOQ_KENRBVTQ?q=.","Company Hiring Event. Company Arthur Bonnet announced on 2023-08-30 that they will be hiring Concepteur trice décorateur trice in their  department in France. URL:https://www.simplyhired.fr/job/ISvj5Q6huXGznmSxREyVFKxqVIWRqLbMSEuHV_1hoQEVYBjBzvWa_g?q=.","Company Hiring Event. Company Arthur Bonnet announced on 2023-10-11 that they will be hiring Concepteur-vendeur de cuisines expérimenté h f in their  department in France. URL:https://www.simplyhired.fr/job/ZNFLTUt920ZYiTaP42LZPUvbTastT2psxUr1qoYI3VqOQ_KENRBVTQ."
"95aa23c9-e67e-31c1-9e93-2f75daf49925","Chêne Vert","https://www.linkedin.com/company/chêne-vert","[France, Occitanie, Albi]","+33563773434","France, Occitanie, Albi","+33563773434","Google, M1, Argent, Accord, R, Google Adwords, Cadre, Sourcing, Adwords, Pinterest, prix, Open Graph, Swiper, Apache HTTP Server, AddThis, SendinBlue, Google Analytics, reCAPTCHA, PWA, Apache, Google Tag Manager, jQuery, PHP, Modernizr, YouTube, HSTS, Google Maps, Cart Functionality","Furniture, Architecture, Engineering & Design, Manufacturing","","","","Privately Held","www.chenevert.fr","chenevert.fr","67","Chêne Vert est un fabricant français de mobilier de cuisines et salles de bains, spécialisé dans l'équipement des bâtiments collectifs, promotion immobilière, ERP, habitat social, EPHAD, hôtels et résidences.","31735806","Company Hiring Event. Company Chêne Vert announced on 2024-02-16 that they will be hiring Responsable commerciale h f de secteur junior in their  department in France. URL:https://www.simplyhired.fr/job/WY04CREbAtgMrFclrYIkky-lrKmajCv7vr2omVRVm2b6bVnKHrDqHw.","Company Hiring Event. Company Chêne Vert announced on 2025-09-15 that they will be hiring Head Waiters/Waitresses in their  department in France. URL:https://fr.indeed.com/viewjob?jk=8696a0273b99d266.","Company Hiring Event. Company Chêne Vert announced on 2025-09-02 that they will be hiring State Employees in their  department in France. URL:https://fr.indeed.com/viewjob?jk=b6040b7895f1a516.","Company Hiring Event. Company Chêne Vert announced on 2025-08-21 that they will be hiring Dishwashers Kitchen Support in their Customer department in France. URL:https://fr.indeed.com/viewjob?jk=eac363a65b147b23.","Company Hiring Event. Company Chêne Vert announced on 2025-09-20 that they will be hiring Cooks in their  department in France. URL:https://fr.indeed.com/m/viewjob?jk=357440077680b4e3.","Company Hiring Event. Company Chêne Vert announced on 2025-08-31 that they will be hiring Wait Staff in their  department in France. URL:https://fr.indeed.com/viewjob?jk=b5a1ee48d96f8a7a.","Company Hiring Event. Company Chêne Vert announced on 2025-10-22 that they will be hiring Housekeepers in their  department in France. URL:https://fr.indeed.com/m/viewjob?jk=3223160c72f7db19.","","",""
"cd79a30f-f1f6-32ea-ae60-7ad3813963ea","CAREA Group","https://www.linkedin.com/company/carea---mineral-composite","[France, Maine-et-loire, Combrée, 49520], [France, Essonne, Bièvres, 23 Burospace, 91573], [France, Sarthe, Sillé-le-guillaume, Zi Bp10, 72140]","","France, Essonne, Bièvres, 23 Burospace, 91573","","staffing, Daily, Montage, Vision, Inform, LinkedIn Insights, Google, Microsoft Exchange, Groupe, Google Ads, SEO, R, PrestaShop, Office 365 Mail, Ai, Popper, CloudFlare, Google Font API, oEmbed, jQuery Migrate, Twenty Sixteen, Elementor, TrackJs, Polylang, Floating UI, Linkedin Insight Tag, jQuery CDN, Google Tag Manager for WordPress, MySQL, Facebook, Piwik PRO Core, Flickity, Shopify, jQuery UI, Linkedin, RSS, WordPress, Facebook Pixel, Open Graph, Font Awesome, Yoast SEO, JSON-LD, Bootstrap, Google Fonts API, cdnjs, PHP, Microsoft 365, Apache HTTP Server, Matomo, Apache, Google Tag Manager, jQuery, Google Analytics","Building Materials","","","","Privately Held","carea-facade.com","carea-group.com","226","UN SAVOIR-FAIRE INDUSTRIEL ET UNE EXPERTISE UNIQUE POUR VOUS ACCOMPAGNER DANS VOS PROJETS Le groupe CAREA® conçoit, fabrique et distribue depuis 40 ans des solutions autour d’un matériau unique, le Minéral Composite CAREA®, pour créer, fabriquer et distribuer une gamme complète de solutions axées sur deux activités principales : - Le marché du parement de façade pour l’isolation thermique par l’extérieur. - Les équipements sanitaires pour la cuisine et la salle de bains. Implanté dans les Pays de la Loire, le groupe français CAREA® est présent en France et à l’International et accompagne ses clients au travers d’équipes commerciales intégrées. Notre fabrication est 100% française, pour plus de qualité, de services et de proximité. Nos produits sont prescrits auprès d’un large public, maîtrise d’ouvrage, maîtrise d’œuvre et entreprises, en neuf ou en rénovation. Nous développons aussi des gammes dédiées aux particuliers en sanitaire au niveau européen.","25471437","Company Hiring Event. Company Carea Group announced on 2023-07-10 that they will be hiring Prescripteur commercial second œuvre rhône-alpes in their  department in France. URL:.","Company Hiring Event. Company Carea Group announced on 2023-06-22 that they will be hiring prescripteur commercial second œuvre sud-ouest in their  department in France. URL:.","Company Hiring Event. Company Carea Group announced on 2024-04-07 that they will be hiring Technicien planification et gestion de la production h f in their  department in France. URL:https://joblift.fr/Emplois-%C3%A0-Angers-ces-7-derniers-jours?page=11&search_type=standard_search&click_source=search&rid=67050740-6fc6-432c-8410-e9699db8f63d&jd=eaef4b08-6a7b-4df4-b76f-981a338b479f.","Company Hiring Event. Company Carea Group announced on 2024-04-07 that they will be hiring Technicien planification et gestion de la production h f in their  department in France. URL:https://joblift.fr/Emplois-%C3%A0-Angers-ces-7-derniers-jours?page=18&search_type=standard_search&click_source=search&rid=25373551-c885-4cbb-bda1-38edc9c0805e&jd=eaef4b08-6a7b-4df4-b76f-981a338b479f.","Company Hiring Event. Company Carea Group announced on 2024-02-21 that they will be hiring Responsable hygiène-sécurité-environnement in their  department in France. URL:https://joblift.fr/Emplois-%C3%A0-Angers-ces-7-derniers-jours/details/162ccb38-c5de-4cf5-b7af-ea46b8031e59?page=6&search_type=standard_search&click_source=search&rid=11188137-db9b-41c2-b986-931880600011.","Company Hiring Event. Company Carea Group announced on 2024-04-02 that they will be hiring Technicien planification et gestion de la production h f in their  department in France. URL:https://joblift.fr/Emplois-%C3%A0-Angers-ces-7-derniers-jours?page=17&search_type=standard_search&click_source=search&rid=7b577bf7-af43-4fd0-9811-ca372ceab681&jd=25a3dccd-78c2-487c-8ccf-cfa44628eb66.","Company Hiring Event. Company Carea Group announced on 2024-08-28 that they will be hiring Responsable de la production in their  department in France. URL:https://joblift.fr/Emplois-%C3%A0-Angers-ces-7-derniers-jours?page=4&search_type=standard_search&click_source=search&rid=a1280da2-6a98-4ab5-a75c-48b576dc590f&jd=43086a4d-ca52-48b5-9c07-c123251478b3.","Company Hiring Event. Company Carea Group announced on 2024-04-02 that they will be hiring Technicien planification et gestion de la production h f in their  department in France. URL:https://joblift.fr/Emplois-%C3%A0-Angers-ces-7-derniers-jours?page=4&search_type=standard_search&click_source=search&rid=9c4c2654-3391-4dbd-93ca-d31614edba7f&jd=25a3dccd-78c2-487c-8ccf-cfa44628eb66.","Company Hiring Event. Company Carea Group announced on 2024-02-21 that they will be hiring Technicien.ne planification ordonnancement - h f in their  department in France. URL:https://joblift.fr/Emplois-%C3%A0-Angers-ces-7-derniers-jours/details/9676f950-5b1b-48f1-bf77-9ba16eb77b4f?page=12&search_type=standard_search&click_source=search&rid=8a4fcb74-bbdd-4003-b776-139d110b35e2.","Company Hiring Event. Company Carea Group announced on 2024-04-02 that they will be hiring Technicien planification et gestion de la production h f in their  department in France. URL:https://joblift.fr/Emplois-%C3%A0-Angers-ces-7-derniers-jours?page=15&search_type=standard_search&click_source=search&rid=1272bb8f-d243-46c3-a2f6-3662cd9fd30e&jd=25a3dccd-78c2-487c-8ccf-cfa44628eb66."
"c52d20d0-3477-3b4a-a15e-46724a9399be","TELEWIG","https://www.linkedin.com/company/telewig","[France, Hoerdt, 4 A Zone Industrielle, 67720]","","France, Hoerdt, 4 A Zone Industrielle, 67720","","Google Font API, jQuery, Lozad.js, React, Nginx, Google Maps, FlexSlider, HSTS, styled-components, Video.js, MyWebsite, Google Fonts API, Duda, MobX, Skrollr, Usercentrics, Open Graph, MyWebsite Creator, X-Content-Type-Options, Snowplow, IONOS","Building Materials","","","","Self Owned","www.telewig.fr","telewig.fr","18","Entreprise leader dans le secteur de la chambre froide et des menuiseries isothermes, nos matériels conviennent pleinement à la construction de laboratoires de transformation, de magasins de vente, d’abattoirs, et de locaux de stockage de viandes. Entreprise alsacienne crée il y a plus de 40 ans, TELEWIG se situe à Hoerdt à 15 km au nord de Strasbourg. Nous réalisons en France un chiffre d’affaires de 28 M€ pour 2021, principalement auprès de nos clients isoleurs, frigoristes ou cuisinistes. Nous ne distribuons nos produits que par nos clients professionnels installateurs. Nos portes et nos panneaux industriels sont fabriqués en Allemagne et nos chambres froides modulaires dans le nord de l’Italie.  Nos matériels sont réputés pour leur qualité et leur solidité… Nous sommes spécialisés dans le matériel standard mais également sur mesure. Nos fabrications ultra automatisées nous permettent des délais de livraison record. Notre bureau d’études est à votre disposition pour toutes questions techniques, études de cas, ou plans de calpinage…. Nous assurons nous même les livraisons vers nos clients ou leur chantier, au départ de Strasbourg.  En complément de la vente de nos produits, nous pouvons vous proposer la mise en œuvre et la réalisation de vos projets, via un réseau d’installateurs sélectionnés. Dans ce cas, nous nous chargeons de l’étude, de l’élaboration des plans, de la réalisation du chantier et de son suivi jusqu’à complet achèvement","10662462","","","","","","","","","",""
"ee8f42c0-9be3-38e4-b106-1e7cba58a013","Alternatinnov","https://www.linkedin.com/company/alternatinnov","[France, Bourgogne-franche-comté, Laissey, Rue Élysée Bost, 25820]","","France, Bourgogne-franche-comté, Laissey, Rue Élysée Bost, 25820","","Google Font API, jQuery, Google Hosted Libraries, Apache, Google Fonts API, PrestaShop, PHP, jQuery UI, WordPress, Apache HTTP Server, MySQL, FancyBox, Underscore.js, jQuery Migrate","Building Materials","","","","Partnership","www.alternatinnov.fr","alternatinnov.fr","2","Entreprise spécialisée dans la déconstruction sélective, et dans la récupération et reconditionnement des matériaux, appareils et équipements du bâtiment et de la construction. Alternatinnov propose un service de remise en état et/ou revente de ces matériaux aux professionnels comme aux particuliers. Nos principaux corps de métiers représentés sont la ventilation, l'isolation, les appareils sanitaires, les luminaires, les cuisines, ... destinés aux rebuts (erreur de commande, légers défauts, surstocks,...) ou issus de la déconstruction sélective.  D'une manière générale, l'entreprise vise à réduire la production des déchets et réduire l'impact carbone du domaine du BTP.","1237661","","","","","","","","","",""
"e076e9b6-4a74-3518-a525-d25b0dbeac2b","Groupe I.H.F.","https://www.linkedin.com/company/groupe-i.h.f.","[France]","","France","","","Building Materials","","","","Privately Held","www.groupeihf.com","groupeihf.com","11","Groupe I.H.F. is the company leading essential home renovation and green energy conversion : re wiring, kitchens and bathrooms, windows and doors, flooring and carpets, home security, organization, lighting, painting, heating and cooling, roofing and siding, plumbing, landscaping, as well as general home energy audit.","5194764","","","","","","","","","",""
"24a0fe5a-52a3-3c04-a68a-524b81c62ced","Natalie And Boris","https://www.linkedin.com/company/natalie-and-boris","[France, Jerusalem, 255 Rue Golda Meir]","","France, Jerusalem, 255 Rue Golda Meir","","","Building Materials","","","","Privately Held","www.natalie-n-boris.co.il","natalie-n-boris.co.il","2","botique kitchens | bath cabinets & sinks custome made | interior door designs","777490","","","","","","","","","",""
"fea54b19-d173-3820-b74b-6ea055a6cfb0","Laminam France","https://www.linkedin.com/company/laminam-france","[France, Auvergne-rhône-alpes, Portes-lès-valence, 149 Rue Jean Rostand, 26800], [France, Chanos-curson, 145 Rue Des Artisans, 26600]","","France, Auvergne-rhône-alpes, Portes-lès-valence, 149 Rue Jean Rostand, 26800","","X-XSS-Protection, Google Font API, BowNow, Animate.Css, Cloudflare Browser Insights, RSS, X-Content-Type-Options, jsDelivr, YouTube, MySQL, Lucky Orange, Elementor, Nginx, Lightbox, Font Awesome, imagesLoaded, Microsoft Clarity, oEmbed, jQuery Migrate, jQuery CDN, Google Tag Manager, Google Analytics, jQuery, Apache, Shopify, Swiper, Facebook, Facebook Pixel, Open Graph, WordPress, Google Fonts API, Microsoft 365, JSON-LD, Redux Framework, PHP, TrackJs, Onsen UI, Google Tag Manager for WordPress, OWL Carousel, Google Maps, Linkedin Insight Tag, PWA, CloudFlare, Cybot, WordPress Multisite, reCAPTCHA, WooCommerce, Google Optimize, Yoast SEO, Element UI, Cloudflare Web Optimizations, Google Analytics Enhanced Ecommerce, Cloudflare CDN, WPML, Amazon Web Services, Apache HTTP Server, Lenis, All in One SEO, Bootstrap, Autoptimize, core-js, EWWW Image Optimizer, Cookiebot, Microsoft Azure, UserWay, Contact Form 7, WordPress Super Cache, cdnjs, Amazon Cloudfront, Polyfill","Building Materials","","","","Privately Held","www.laminam.com","laminam.com","19","LAMINAM France, spécialiste dans la fabrication de surface en céramique en grand format et fine épaisseur pour l'aménagement intérieur et extérieur : surfaces murales, sol, façades, plans de travail de cuisine, salle de bains, portes et éviers.","7946171","","","","","","","","","",""
