Name,Revenue,HQ Location,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Mövenpick Hotels & Resorts,15732664172.0,"France, Île-de-france, Issy-les-moulineaux, 92130",France,15732.664172,,,
Accor,5824073400.0,"France, Île-de-france, Issy-les-moulineaux, 82 Rue Henri Farman, 92130",France,5824.0734,,,
Golden Tulip Hotels Suites & Resorts,5000000000.0,"France, Île-de-france, Puteaux",France,5000.0,,,
Sofitel,4614596102.0,"France, Île-de-france, Paris",France,4614.596102,,,
Pullman Hotels & Resorts,2735085564.0,"France, Île-de-france, Issy-les-moulineaux",France,2735.085564,,,
Swissôtel Hotels & Resorts,2477242981.0,"France, Île-de-france, Issy-les-moulineaux, 82 Rue Henry Farman, 92130",France,2477.242981,,,
Groupe Pierre & Vacances-Center Parcs,2035390255.0,"France, Île-de-france, Paris, 11 Rue De Cambrai, 75947",France,2035.390255,,,
Raffles Hotels & Resorts,1995618114.0,"France, Île-de-france, Issy-les-moulineaux, 82 Rue Henry Farman, 92130",France,1995.618114,,,
B&B HOTELS GROUP,1278008670.0,"France, Brittany, Brest",France,1278.00867,,,
Groupe Barrire,1073705881.0,"France, Île-de-france, Paris, 33 Rue D'artois, 75008",France,1073.705881,,,
Louvre Hotels Group,989493655.0,"France, Île-de-france, Puteaux",France,989.493655,,,
MAMA SHELTER,858496859.0,"France, Île-de-france, Paris",France,858.496859,,,
Cheval Blanc,819392868.0,"France, Île-de-france, Paris, 12 Cours Albert 1er, 75008",France,819.392868,,,
Belambra,650085112.0,"France, Île-de-france, Bourg-la-reine",France,650.085112,,,
Adagio Aparthotels,579226624.0,"France, Île-de-france, Paris",France,579.226624,,,
Hôtel Lutetia,558100000.0,"France, Île-de-france, Paris, 45 Boulevard Raspail",France,558.1,,,
Le Méridien Tahiti,481440510.0,"French Polynesia, Îles Du Vent, Punaauia, 98718",French Polynesia,481.44051,,,
Evian Resort,478423235.0,"France, Evian-les-bains, 74501",France,478.423235,,,
Eden Rock - St Barths,467618200.0,Saint Barthélemy,Saint Barthélemy,467.6182,,,
Ritz Paris,416177998.0,"France, Île-de-france, Paris",France,416.177998,,,
The Hyatt Student Prize,334130677.0,"France, Île-de-france, Paris",France,334.130677,,,
Vatel Business School - Hotel & Tourism Management,291818755.0,"France, Auvergne-rhône-alpes, Lyon",France,291.818755,,,
Grape Hospitality,258811104.0,"France, Île-de-france, Courbevoie",France,258.811104,,,
Concorde Hotels & Resorts,250882256.0,France,France,250.882256,,,
PARIS SOCIETY,249322500.0,"France, Île-de-france, Paris",France,249.3225,,,
Edmond De Rothschild Heritage,244355700.0,"France, Île-de-france, Paris",France,244.3557,,,
Thalazur,229244393.0,"France, Île-de-france, Levallois-perret",France,229.244393,,,
Appart'City,208797631.0,"France, Île-de-france, Paris",France,208.797631,,,
EXOTISMES,201674200.0,"France, Provence-alpes-côte D'azur, Marseille",France,201.6742,,,
Le Royal Monceau - Raffles Paris,186553472.0,"France, Île-de-france, Paris",France,186.553472,,,
Les Clefs D'Or International,176026944.0,"France, Île-de-france, Paris",France,176.026944,,,
Zenitude Groupe,167254837.0,"France, Grand Est, Schiltigheim",France,167.254837,,,
