Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
SAMSUNG SDI Europe GmbH,16421363980.0,"Germany, Bavaria, Ismaning",https://www.linkedin.com/company/samsung-sdi-eu,www.samsungsdieurope.com,"SAMSUNG SDI Europe GmbH is a prominent subsidiary of Samsung SDI, specializing in the development and manufacturing of advanced battery solutions and electronic materials. The company focuses on lithium-ion batteries for a variety of applications, including electric vehicles (EVs), energy storage systems (ESS), and consumer electronics. With a mission to contribute to a sustainable future through innovative technology, SAMSUNG SDI Europe aims to lead the transition to eco-friendly energy solutions while prioritizing safety, quality, and environmental responsibility. The company's vision is to become a global top-tier battery manufacturer by 2030, emphasizing its commitment to sustainability and compliance with ethical standards. SAMSUNG SDI Europe collaborates with a diverse range of clients, including major automotive manufacturers such as Jaguar Land Rover and Stellantis, as well as technology firms and energy providers. These partnerships enhance its technological capabilities and market reach, allowing the company to meet the growing demand for high-performance battery systems in the European market. The company actively engages in initiatives that promote responsible consumption and production, aligning its operations with global environmental standards and the United Nations Sustainable Development Goals (UN SDGs). With a workforce dedicated to innovation and continuous improvement, SAMSUNG SDI Europe is committed to achieving net-zero emissions by 2050 and has joined the RE100 initiative to transition to 100% renewable energy. The company emphasizes a culture of safety and quality, aiming for zero high-consequence incidents by 2030 and integrating advanced technologies into its operations. Through its comprehensive sustainability management strategies, SAMSUNG SDI Europe strives to create a positive impact on the environment and society while delivering exceptional value to its customers. By fostering a circular economy and minimizing its ecological footprint, SAMSUNG SDI Europe is well-positioned to lead the battery industry in the rapidly evolving energy landscape.",Germany,16421.36398,,,
Alliander,8615669902.0,"Netherlands, North Holland, Amsterdam",https://www.linkedin.com/company/alliander,www.alliander.com,"Liander is a key player in the Dutch energy sector, specializing in the development and management of energy networks, including electricity and gas. As part of Alliander, the company is dedicated to building a sustainable energy grid for the future, focusing on innovative infrastructure projects that have a significant societal impact. Liander's mission is to ensure reliable and affordable energy access for millions of households and businesses across the Netherlands, while actively contributing to the energy transition. The company collaborates with a diverse range of clients, including municipalities, construction firms, and energy providers, to design and implement projects such as solar parks, residential towers, and highway expansions. With a strong emphasis on teamwork and professional development, Liander seeks motivated engineers and technical professionals to join its ranks in shaping the energy landscape of tomorrow.",Netherlands,8615.669902,,,
Nordex SE,7582749292.0,"Germany, Hamburg, Hamburg, 600 Langenhorner Chaussee, 22419",https://www.linkedin.com/company/nordex,www.nordex-online.com,"The development, manufacture, project management and servicing of wind turbines in the onshore segment has been the core competence and passion of the Nordex Group and its more than 9,000 employees worldwide for over 35 years.  As one of the world's largest wind turbine manufacturers, the Nordex Group offers high-yield, cost-efficient wind turbines that enable long-term and economical power generation from wind energy in all geographical and climatic conditions. The focus is on turbines in the 3 to 6 MW+ class, and the Group’s comprehensive product portfolio offers individual solutions for both markets with limited space and regions with limited grid capacities. A global service network, with some 350 service points throughout 30 countries, delivers service quickly to keep our systems running smoothly. The Group covers the needs of all customer segments within the global wind market, from large energy suppliers to SMEs operating power plants. With more than 45 GW of installed capacity worldwide, Nordex Group systems deliver sustainable energy throughout more than 80 per cent of the world’s energy market (excluding China).  Nordex SE is listed on the TecDAX and MDAX of the Frankfurt Stock Exchange (ISIN: DE000A0D6554). The management holding company is headquartered in Rostock, while the executive board and administrative offices are based in Hamburg. At production facilities in Germany, Spain, Brazil, the US, and India, the Nordex Group produces its own nacelles, rotor blades and concrete towers. The Group also maintains offices and branches in more than 30 countries.",Germany,7582.749292,,,
Luminus,5097260000.0,"Belgium, Saint-josse-ten-noode Brussels Region, Koning Albert Ii Laan, 1210",https://www.linkedin.com/company/luminus,www.luminus.be,"Luminus is a leading energy provider in Belgium, dedicated to delivering innovative and sustainable energy solutions tailored to the needs of its diverse clientele, which includes residential customers, businesses, and public entities. Specializing in electricity generation and energy supply, Luminus is particularly recognized for its commitment to renewable energy sources, such as wind and hydropower, positioning itself as the number one provider of onshore wind energy in the country. The company's mission is to contribute to a CO₂-neutral world by providing sustainable electricity and solutions that empower customers to reduce their carbon footprint and optimize their energy consumption. With a strong focus on customer service and transparency, Luminus offers a range of energy contracts—fixed, variable, or dynamic—designed to meet the specific consumption patterns and budget management needs of businesses. The company actively engages with its stakeholders, including customers, partners, and regulatory bodies, to align its operations with the United Nations' Sustainable Development Goals, ensuring compliance with safety standards and ethical practices. Luminus is committed to driving the energy transition through innovative technologies and significant investments in renewable energy projects. The company aims to expand its wind energy capacity to over 1,000 MW by 2027, reflecting its dedication to enhancing energy efficiency and security. Collaborating with various partners, including public institutions and citizen cooperatives, Luminus fosters community involvement in renewable energy initiatives. With over 2,000 employees, Luminus is recognized as an employer of choice, promoting a diverse and inclusive workplace where every individual can thrive. The company also emphasizes corporate social responsibility, integrating sustainable practices into its operations and actively participating in initiatives that promote biodiversity and environmental protection. Overall, Luminus stands out as a key player in Belgium's energy landscape, committed to simplifying energy management for its clients while championing sustainability and innovation.",Belgium,5097.26,,,
Innomotics,3660751770.0,"Germany, Bavaria, Nürnberg",https://www.linkedin.com/company/innomotics,www.innomotics.com,"Innomotics is a forward-thinking company specializing in innovative solutions for the automation and digitalization of industrial processes. With a mission to enhance operational efficiency and sustainability, Innomotics aims to empower businesses through cutting-edge technology and tailored services. The company serves a diverse clientele, including manufacturers, energy providers, and logistics firms, focusing on industries that require advanced automation and control systems. By partnering with leading technology providers and leveraging its expertise, Innomotics is committed to driving transformation in the industrial sector, ensuring that its clients remain competitive in an ever-evolving market.",Germany,3660.75177,,,
KSB Nederland BV,3279976000.0,"Netherlands, Zwanenburg, 68 Wilgenlaan, 1161",https://www.linkedin.com/company/ksb-nederland-bv,www.ksb.nl,"KSB Nederland BV is a prominent subsidiary of the KSB Group, specializing in the manufacturing and distribution of high-quality pumps, valves, and related services. Established in 1958, the company has built a strong reputation for delivering innovative solutions that enhance efficiency and sustainability across various sectors, including water management, energy, and industrial applications. KSB Nederland's mission is to inspire customers and partners worldwide to shape a sustainable future through advanced technology and reliable service, encapsulated in its motto ""Solutions. For Life."" The company serves a diverse clientele, including municipalities, industrial facilities, energy providers, and engineering firms, offering tailored solutions to meet their specific needs. With a focus on innovation, KSB Nederland integrates advanced automation and digitalization technologies into its products, enhancing operational efficiency and sustainability. The company specializes in high-efficiency pumps and valves, particularly for wastewater management and industrial applications, ensuring optimal performance in challenging environments while minimizing lifecycle costs. Operating from two locations in the Netherlands, Zwanenburg and Heinenoord, KSB Nederland boasts a dedicated team of over 70 professionals who provide expert advice, engineering, and service support. KSB Nederland is committed to quality and customer satisfaction, holding certifications under ISO 9001, ISO 14001, and ISO 45001, which reflect its dedication to quality and environmental management. The company emphasizes corporate governance and ethical practices, ensuring compliance with legal standards and fostering a culture of integrity among its employees and stakeholders. By collaborating with partners across multiple sectors, KSB Nederland aims to enhance its product offerings and service capabilities, striving to be a global champion in the fluid handling industry while addressing the evolving needs of its customers.",Netherlands,3279.976,,,
Wien Energie GmbH,3255719000.0,"Austria, Vienna, Vienna",https://www.linkedin.com/company/wien-energie-gmbh,wienenergie.at,"Wien Energie GmbH is a leading energy provider based in Vienna, dedicated to delivering sustainable energy solutions to its customers. The company focuses on the transition to renewable energy sources, aiming to significantly increase its renewable electricity generation capacity by 2030 as part of its commitment to achieving climate neutrality by 2040. Wien Energie serves a diverse clientele, including residential, commercial, and industrial customers, and collaborates with various partners to enhance its service offerings and promote environmental sustainability. The company's mission emphasizes innovation and investment in green technologies, ensuring a reliable and eco-friendly energy supply for the future. Through its initiatives, Wien Energie not only contributes to the local economy but also plays a vital role in the broader efforts to combat climate change.",Austria,3255.719,,,
Dolomiti Energia,2598494500.0,"Italy, Trentino-alto Adige, Trento",https://www.linkedin.com/company/dolomiti-energia-spa,www.dolomitienergia.it,"Dolomiti Energia is a leading energy provider focused on delivering sustainable and renewable energy solutions to businesses and households. The company offers a range of services, including fixed-rate energy plans like the Mitica Energia 24 Premium Business, which guarantees stable energy costs for 24 months, allowing clients to concentrate on their growth without worrying about fluctuating energy prices. Committed to environmental sustainability, Dolomiti Energia provides 100% certified renewable electricity and CO2-compensated natural gas, supporting clients in their transition to greener practices. The company also emphasizes customer engagement through free energy checkups and green marketing tools, helping businesses communicate their commitment to sustainability. With a target market that includes small to medium-sized enterprises consuming less than 200,000 kWh annually, Dolomiti Energia aims to empower its clients with transparent billing and efficient energy management solutions.",Italy,2598.4945,,,
Italgas Reti,2413960390.0,"Italy, Piedmont, Turin",https://www.linkedin.com/company/italgas-reti,www.italgas.it,"Italgas Reti S.p.A. is a prominent company in the natural gas distribution sector, primarily operating in Italy and Greece, and ranks as the third largest operator in Europe. With a rich history of over 185 years, Italgas Reti is dedicated to providing safe, efficient, and sustainable gas distribution services to approximately 12 million customers. The company's mission emphasizes enhancing the quality of life for communities by ensuring reliable energy access while actively contributing to the energy transition and reducing greenhouse gas emissions. Italgas Reti focuses on innovation and digital transformation, investing significantly in modernizing its infrastructure, including the integration of renewable gases such as biomethane and hydrogen into its networks. The company operates an extensive distribution network of over 154,000 kilometers, serving a diverse clientele that includes residential, commercial, and industrial users. Italgas Reti collaborates with various stakeholders, including local authorities, regulatory bodies, and energy suppliers, to enhance service delivery and maintain compliance with industry standards. The company's strategic vision aims to solidify its position as a European leader in gas distribution while expanding its capabilities in water services and energy efficiency. With planned investments of €15.6 billion from 2024 to 2030, Italgas Reti is committed to fostering sustainability and promoting a circular economy. The company actively engages in initiatives that support the ecological transition and aims to achieve net-zero carbon emissions by 2050. Through its focus on innovation, community engagement, and responsible business practices, Italgas Reti strives to create long-term value for its stakeholders and contribute positively to the environment and society.",Italy,2413.96039,,,
Loh Services GmbH & Co. KG,1868937000.0,"Germany, Hesse, Haiger",https://www.linkedin.com/company/loh-services-gmbh-&-co-kg,www.friedhelm-loh-group.de,"Loh Services GmbH & Co. KG is a prominent entity within the Friedhelm Loh Group, dedicated to the development and provision of innovative system solutions tailored for a variety of industries, particularly in IT infrastructure and the energy sector. The company is committed to delivering high-quality products and services that enhance operational efficiency and drive growth for its clients. With a strong emphasis on customer orientation and technological excellence, Loh Services collaborates closely with other group companies, such as Rittal and Eplan, to leverage their combined expertise in both hardware and software solutions. The target market for Loh Services encompasses a diverse range of industries, including machine and plant engineering, energy providers, and IT sectors, ensuring that the company meets the specific needs of its global clientele. The company's mission is centered around fostering innovation and sustainability while maintaining a strong commitment to employee development and community engagement. By leveraging cutting-edge technologies, such as artificial intelligence and digitalization, Loh Services aims to enhance operational efficiency and support the energy transition. Loh Services GmbH & Co. KG strives to empower its clients and partners to achieve their strategic goals in an increasingly competitive market. Through a culture of innovation and continuous improvement, the company is dedicated to driving growth and transformation across the industrial, commercial, and technological sectors. With its diverse portfolio of advanced system solutions, Loh Services is well-positioned to address the evolving challenges faced by its clients, ensuring they remain at the forefront of their respective industries.",Germany,1868.937,,,
