Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
SEOLIS,675941000.0,"France, Nouvelle-aquitaine, Niort",https://www.linkedin.com/company/seolis,www.seolis.net,"SÉOLIS is a dedicated energy provider focused on serving local communities with a range of services including public lighting, electricity, heating for municipal buildings, and electric mobility solutions. The company aims to ensure the comfort and safety of residents while helping municipalities manage their energy budgets effectively. SÉOLIS offers the Regulated Tariffs for Electricity Sales (TRVe), a transparent and state-regulated pricing model designed for eligible non-domestic clients, particularly small communities. With a commitment to public service and local economic development, SÉOLIS partners with various stakeholders, including local governments and energy producers, to deliver competitive offers and tailored services. The company’s mission is to provide reliable energy solutions that align with the needs of its diverse clientele, which includes individuals, professionals, businesses, and public entities.",France,675.941,,,
Selectra,106377600.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/selectra,selectra.com,"Selectra is a leading energy comparison and subscription service that helps consumers find the best gas and electricity offers tailored to their needs. The company's mission is to empower households to reduce their energy bills by providing transparent information and facilitating easy transitions to more economical energy plans. With a focus on both traditional and green energy solutions, Selectra caters to a diverse clientele, including families and individuals seeking to optimize their energy expenses. The company partners with various energy providers to offer competitive rates, particularly emphasizing indexed pricing plans that allow customers to benefit from market fluctuations. Selectra's target market includes consumers who are currently on fixed-rate contracts and are looking for ways to take advantage of upcoming price reductions in the energy sector.",France,106.3776,,,
COZYNERGY,57876291.0,"France, Occitanie, Toulouse",https://www.linkedin.com/company/cozynergy,www.cozynergy.com,"Cozynergy specializes in providing efficient heating solutions for residential homes, focusing on enhancing comfort and reducing energy costs during the winter months. The company aims to help homeowners transition to modern, eco-friendly heating systems that not only lower energy bills but also comply with current environmental regulations. By offering a range of heating options, including heat pumps, wood stoves, and electric heating, Cozynergy caters to a diverse clientele looking to improve their home's energy efficiency and comfort. The company is committed to guiding clients through the selection and installation process, ensuring they receive tailored solutions that meet their specific needs. With a strong emphasis on customer satisfaction, Cozynergy has built a reputation for reliable service and quality installations, making it a trusted partner for homeowners seeking to upgrade their heating systems.",France,57.876291,,,
Gaz De Tahiti,51258978.0,"French Polynesia, Îles Du Vent, Papeete, 98715",https://www.linkedin.com/company/gaz-de-tahiti,www.gazdetahiti.pf,"Gaz de Tahiti assure aujourd’hui : - Le stockage de gaz approvisionné par butanier et le conditionnement des divers emballages dans son centre d’emplissage de Motu Uta - La distribution des bouteilles via un réseau de revendeurs, - L’installation et la gestion de réservoirs en clientèle - La livraison de gaz « en vrac » par camion-citerne - L’exploitation de réseaux de distribution collective de gaz - La commercialisation de solutions énergétiques spécifiques : climatisation au gaz, chauffe-eau solaire-gaz, … Au-delà du simple fournisseur de gaz, Gaz de Tahiti propose des solutions énergétiques, en mettant son expertise au service du conseil au client, dans le but de gérer et rationaliser au mieux l’emploi de cette énergie. Membre associé de France Gaz Liquides, nous bénéficions par ailleurs de toute l’expertise technique de ce groupement de professionnels de l’industrie de gaz.",French Polynesia,51.258978,,,
TRIMET France SAS,42828384.0,"France, Auvergne-rhône-alpes, Saint-jean-de-maurienne, Rue Henri Sainte-claire Deville, 73300",https://www.linkedin.com/company/trimet-france-sas,www.trimet.eu,"TRIMET France SAS - Votre partenaire pour le fil d'aluminium de haute qualité !       Bienvenue chez TRIMET France SAS ! Nous comptons parmi les principaux fabricants d'aluminium en Europe et sommes une filiale du célèbre TRIMET Aluminium SE et partenaire d’EDF, actionnaire et fournisseur d'énergie français. Notre siège social se trouve à Saint-Jean-de-Maurienne, usine située au sein des pittoresques alpes savoyardes. Fiers de nos racines, nous pouvons nous targuer d'une longue tradition de plus de 100 ans dans l'industrie de l'aluminium. Notre usine est spécialisée dans la production de fils d'aluminium de haute qualité et répond aux normes techniques les plus élevées en matière de procédés d'électrolyse. De la production du métal primaire au produit final, nous nous adaptons de manière flexible aux exigences individuelles et aux spécifications souhaitées par nos clients. Nous apportons un grand soin à la sélection des alliages et au diamètre des fils afin de fournir des produits en aluminium d'une qualité exceptionnelle. Nos clients du secteur de l'automobile font confiance à notre expertise et à notre fiabilité. Par exemple, nos fils sont utilisés pour les câbles électriques et d'autres pièces, tandis que l'industrie de l'énergie bénéficie de nos produits pour diverses applications. Chez TRIMET France SAS, les besoins de nos clients sont au cœur de nos préoccupations. Notre personnel hautement qualifié et nos installations de production ultramodernes nous permettent de produire du fil d'aluminium de la plus haute qualité et de dépasser les attentes de nos clients. En mettant l'accent sur la qualité, l'innovation et la durabilité, nous nous efforçons d'être un acteur responsable dans l'industrie de l'aluminium. La gestion responsable de notre environnement et de ses ressources est d'une importance capitale pour nous. Ainsi, nous nous engageons activement pour une production durable. Nous vous invitons à faire partie de la famille TRIMET France SAS.",France,42.828384,,,
Naturgy France,42213276.0,"France, Île-de-france, La Defense, 20 Avenue André Prothin Paris",https://www.linkedin.com/company/naturgyfrance,www.naturgy.fr,"Naturgy est une entreprise du secteur énergétique, pionnier dans l’approvisionnement du gaz naturel et de l’électricité en Espagne et en Amérique latine.  Présent dans 30 pays, nous fournissons 18 millions de clients dans le monde. Par un dialogue actif, Naturgy aspire à vous offrir une réponse rapide et efficace, en fournissant des prestations de qualité et une excellente expérience client qui répondent à vos attentes dans la fourniture d’énergie. Notre filiale Naturgy France est implantée en France depuis 2005. Nous sommes fournisseur de gaz naturel pour les professionnels. Nous portons des valeurs de flexibilité, de réactivité, d’accompagnement et sommes résolument engagés pour le respect de l’environnement, la transition énergétique et l’innovation.",France,42.213276,,,
Drapo Energie,36562854.0,"France, Île-de-france, Paris, 34 Rue Laffitte, 75009",https://www.linkedin.com/company/drapo,www.drapo.com,"Fondée en 2015, Drapo Energie est délégataire d'obligation de Certificats d'Economies d'Energie pour la 5ème période. Nous accompagnons un réseau de +3500 artisans de la rénovation énergétique dans la conformité et le financement de leurs chantiers.  Plus généralement, le rôle de Drapo Energie est de fluidifier la relation entre les fournisseurs d'énergie (Butagaz, Total, EDF...), les faiseurs de cette transition (fabricants, distributeurs, installateurs), et les bénéficiaires (particuliers comme entreprises). Drapo mêle finance et nouvelles technologies pour mettre au point des services d'accompagnement et des outils qui servent la massification de la rénovation énergétique en France.",France,36.562854,,,
Hello Watt,32995518.0,"France, Île-de-france, Paris, 48 Rue René Clair, 75018",https://www.linkedin.com/company/hello-watt,www.hellowatt.fr,"Hello Watt is a leading expert in energy transition and renovation assistance, established in 2022 to guide households through their energy renovation projects. The company simplifies the complex process of energy renovation by providing personalized support from the initial assessment to project completion. Hello Watt's mission is to empower homeowners with expert advice, regulatory energy audits, and assistance in navigating financial aid programs like MaPrimeRénov’. The company primarily serves individual homeowners across various regions in France, collaborating with trusted contractors to deliver high-quality renovation services while protecting clients from potential fraud in the construction sector. In addition to renovation assistance, Hello Watt operates as a dynamic energy comparison platform, helping consumers find the best electricity and gas offers tailored to their needs. Founded by energy experts Sylvain Le Falher and Xavier Coudert, the company promotes sustainable energy solutions and empowers consumers to make informed decisions about their energy usage. Hello Watt's clientele includes residential customers looking to optimize energy costs and those interested in renewable energy options. The company specializes in comprehensive support for energy transition projects, including switching to greener energy suppliers, improving home insulation, and installing solar panels. By partnering with certified installers, Hello Watt guarantees quality workmanship and a seamless experience for clients seeking to embrace renewable energy solutions. The innovative application developed by Hello Watt allows users to understand their energy consumption, conduct energy audits, and identify cost-effective renovation solutions. With a commitment to transparency and customer satisfaction, Hello Watt has successfully helped users reduce their energy consumption by an average of 15% during recent winters. The company also focuses on exterior insulation and facade renovation, providing tailored solutions to enhance thermal and acoustic performance for both residential and commercial properties. By enabling clients to access various financial aids, Hello Watt makes energy-efficient renovations more affordable, ultimately contributing to a more sustainable future.",France,32.995518,,,
SEFE Energy France,26215411.0,"France, Île-de-france, Levallois-perret, 159 Rue Anatole France, 92300",https://www.linkedin.com/company/gazprom-energy---france,www.sefe-energy.fr,"SEFE Energy est fournisseur de gaz naturel pour toutes les entreprises. Elle dispose d'équipes spécialisées pour les artisans-commerçants et PME/PMI, pour les copropriétés, pour les entreprises tertiaires et les industries ainsi que pour les collectivités locales. SEFE Energy fait partie du groupe SEFE Securing Energy For Europe GmbH et représente sa branche commerciale. SEFE, entreprise internationale de l'énergie, assure la sécurité d'approvisionnement de ses clients et les accompagne dans leur décarbonation. Les activités de SEFE couvrent l'ensemble de la chaîne de valeur de l'énergie, du sourcing et trading jusqu'à la vente, le transport et le stockage.  Forte de son expertise de plusieurs décennies dans le trading et le développement de son activité GNL, SEFE est devenue l'un des principaux fournisseurs des industriels en Europe, avec un volume annuel de ventes de 200 TWh de gaz et d'électricité. Son portefeuille compte 50 000 clients, de la petite entreprise à la multinationale en passant par les communes et le secteur public. En investissant dans les énergies propres et particulièrement dans l'écosystème de l'hydrogène, SEFE contribue à la transition énergétique. L'entreprise emploie environ 2 000 personnes à travers le monde et est détenue par le gouvernement fédéral d'Allemagne. Sécuriser l'énergie, pour aujourd'hui et demain.",France,26.215411,,,
OKSIGEN,18367596.0,"France, Pays De La Loire, Nantes, 3 Place Albert Camus 6 Ème Étage, 44200",https://www.linkedin.com/company/oksigen,www.oksigen.fr,"OKSIGEN est une société spécialisée en Maîtrise de l'Energie, nous accompagnons nos clients professionnels sur 3 thématiques :  - Stratégie bas carbone * - Stratégie d'efficacité énergétique * - Achats d'énergie** * Persuadés que la mise en oeuvre d'une vraie démarche d'accompagnement est plus efficace que la réalisation d'un simple rapport, nous proposons à nos clients de leur mettre à disposition les compétences d'un ingénieur qui se chargera d'animer la démarche dans leur entreprise auprès de leurs collaborateurs.  Nous proposons également la gestion de projets ""ponctuels"" comme par exemple la réalisation d'un bilan carbone, l’accompagnement à la certification ISO 50001, installation de centrales photovoltaïques, etc...  ** Parce que l'achat d'énergie est une condition importante de la Maîtrise de l'Energie nous accompagnons nos clients dans la gestion de leur fourniture d'énergie.  Notamment les clients qui ne sont pas structurés en interne pour réaliser ces achats complexes ou encore les clients qui ont des volumes peu important pour les rendre attractifs auprès des fournisseurs d'énergie. Nous organisons des Groupement d'achats réguliers sur tous les types d'énergie (électricité, gaz, fioul, etc...). Nous sommes indépendants des fournisseurs d'énergie et ne leur prenons aucune commission. OKSIGEN a pour objectif de permettre à ses clients d'allier performance environnementale et performance financière.",France,18.367596,,,
