Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Openbank,21921542300.0,"Spain, Madrid, Madrid",https://www.linkedin.com/company/openbank,www.openbank.es,"Openbank is a digital banking platform operating under the umbrella of Banco Santander, dedicated to providing innovative financial services to a diverse clientele. Established with a mission to enhance financial inclusion and simplify banking, Openbank offers a wide range of products including personal accounts, loans, investment options, and insurance solutions, all accessible through a user-friendly online interface. The bank primarily targets tech-savvy individuals and small to medium-sized enterprises (SMEs) who seek efficient and convenient banking solutions without the constraints of traditional banking. Openbank emphasizes a customer-centric approach, leveraging advanced technology to deliver personalized services and streamline financial management. The company's vision is to become the leading open platform for financial services, focusing on transparency, accessibility, and sustainability. Openbank collaborates with various fintech partners and financial institutions to enhance its service offerings and maintain a competitive edge in the rapidly evolving digital banking landscape. With a strong commitment to responsible banking practices, Openbank integrates environmental, social, and governance (ESG) criteria into its operations, ensuring alignment with sustainability goals. Openbank actively engages in community investment and social initiatives, aiming to create a positive impact in the communities it serves. The bank's target market includes individuals from various demographics, including young professionals and underserved communities, reflecting its dedication to promoting financial literacy and inclusion. By continuously evolving its offerings and prioritizing customer satisfaction, Openbank is positioned as a leader in the digital banking sector, striving to redefine the banking experience for modern consumers.",Spain,21921.5423,,,
XM,3359090568.0,"Cyprus, Limassol, Limassol, 12 Richard & Verengaria Str. Araouzos Castle Court, 3042",https://www.linkedin.com/company/xm-global,www.xm.com,"🏆 At XM, we're not just another forex and CFD broker. Since our inception, we've been on a mission to redefine currency trading. Our dedication to innovation and excellence has earned us numerous awards and made us a prominent leader in the global fintech landscape. 🌎 With a diverse team of over 1,400 professionals spanning seven offices across the globe, we're united by our commitment to providing exceptional service in over 30 languages. 🚀 But what truly sets us apart is our #XMers. We don't just embrace growth, learning, and innovation – we own it. As part of the XM family, we dive headfirst into challenges, supporting each other every step of the way. 🙌 Guided by our values - Big. Fair. Human. - we have cultivated an unparalleled work environment, where every individual is nurtured for both personal and professional growth. Competitive benefits and perks that exceed market average, engaging team activities, rewarding volunteer programs, initiatives supporting the employees’ physical and mental wellbeing, and flexible work arrangements are only some of the proof points of how XM prioritizes its people’s wellbeing and work-life balance. And with a strong focus on learning and development, diversity and inclusion, and fostering a culture where everyone's voice is heard, we empower each member of our team to be a leader in their own right. 🤘 Ready to join a community that rocks and work somewhere truly awesome? ▶ xm.com/careers",Cyprus,3359.090568,,,
PayU,3119749476.0,"Netherlands, North Holland, Hoofddorp",https://www.linkedin.com/company/2046824,www.payu.com,"Global reach, local expertise: we combine the best of both worlds to reshape the future of payments and fintech to build a world of unlimited possibilities. We successfully bridge the global and local gap by supplying ultimate global payment coverage with extensive local expertise and support.    Our vision is to create a world without financial borders where everyone can prosper. Thus, we strive to shape the payment industry of tomorrow to support global financial inclusion.    As the payments and fintech business of Prosus- a global consumer internet group and one of the largest technology investors in the world- we are a leading online payment service provider operating in 50+ high-growth markets, dedicated to creating cutting-edge financial services tailored to the needs of over 450,000 merchants and millions of consumers.    Focused on empowering people through financial services and creating a world without financial borders, we have set out to be one of the most prominent investors in the Fintech space, with investments totaling over $1 billion to date.    We deploy more than 400 payment methods and PCI-certified platforms to process approximately 10 million payments daily. As a Fintech innovator, we develop cutting-edge technologies to ensure that merchants benefit from the highest approval rates and can optimally expand their global reach.",Netherlands,3119.749476,,,
Codahead,1500000000.0,"Poland, Lesser Poland Voivodeship, Kraków",https://www.linkedin.com/company/codahead,codahead.com,"Codahead is a deep-tech company based in Poland. We take pride in being an exceptional solution provider in the realm of software development, artificial intelligence, hardware development and blockchain.   We have successfully delivered award-winning products in segments such as fintech, retail, healthcare, automotive, media & internet, manufacturing, and transportation. We have an intimate understanding of these industries as we continue to actively explore and enter new segments. Our solutions currently work on over 30,000+ devices and process over $1,5 billion in transactions annually. We support our clients on every step of the digital innovation.   We make product development process effective using our consultant-driven (outsourced) project model to scale live projects or your team with little time or resource investment, giving you access to an amazing talent pool in the most cost-efficient manner.  Our models of engagement, be it project-based, managed team or staff augmentation allows maximum flexibility.     WHAT WE DO 	- Software:  		- Web Apps 		- Mobile Apps 		- Web Platforms 		- Advanced data analytics 		- Admin Panels 		- Outsourcing (Staff Augmentation, Dedicated Teams) 	- Deep Tech: 		- Artificial Intelligence / Machine Learning 		- Data sets and neural networds training 		- Image and sound processing 	- Hardware: 		- Electronics design 		- Hardware prototyping 		- Communication protocols 		- Wireless connectivity 		- Firmware and embedded software development Lets partner. https://codahead.com/get-estimate Want to know more about our clients or projects?  https://codahead.com/case-studies/",Poland,1500.0,,,
Azimut Holding S.p.A.,1434898551.0,"Italy, Lombardy, Milan, 4 Via Cusani",https://www.linkedin.com/company/azimutgroup,www.azimut-group.com,"Azimut is an independent, global group in the asset management, wealth management, investment banking and fintech space, serving private and corporate clients. A public company listed on the Milan Stock Exchange (AZM.IM), the group is a leader in Italy and active in 18 countries around the world, with a focus on emerging markets.  The Group’s business model is unique and is based on a full integration between portfolio management and distribution.  In fact, Azimut Group currently has almost 100 Investment Professionals based around the world and a proprietary network of over 2,000 Financial Advisors working exclusively for Azimut.  The parent company Azimut Holding was listed on the Italian stock exchange on 7 July 2004 (AZM.MI) and, among others, is a member of the main Italian index FTSE MIB.  The shareholder structure includes over 1,900 managers, employees and financial advisors bound by a shareholders’ agreement that controls ca. 21% of the company. The remaining is free float.  The company was founded in Italy; we are proudly Italian but we have a global outreach with 18 investment and distribution hubs around the world.  18 Countries",Italy,1434.898551,,,
Trade Republic,1408113302.0,"Germany, Berlin, Berlin",https://www.linkedin.com/company/trade-republic,traderepublic.com,"Trade Republic is a leading European fintech company that operates a mobile-first brokerage platform, enabling users to trade stocks, ETFs, and cryptocurrencies with zero commission fees. Founded in 2015, the company is dedicated to democratizing investing, making it accessible and affordable for everyone, regardless of their financial background. With a mission to empower individuals to take control of their financial futures, Trade Republic provides a user-friendly interface and a range of investment options that cater to both novice and experienced investors. The platform primarily targets retail investors, particularly younger generations such as millennials and Gen Z, who are increasingly interested in self-directed investing and personal finance. Currently, Trade Republic serves 8 million customers across 17 countries, managing assets exceeding €100 billion. The company partners with leading financial institutions to enhance its service offerings and ensure a secure trading environment for its clients. Regulated by the German Federal Financial Supervisory Authority (BaFin), Trade Republic prioritizes reliability and security in its operations. The platform not only facilitates trading but also offers banking services with competitive interest rates, further broadening its appeal to users. Trade Republic's vision is to reshape the investment landscape by fostering financial literacy and encouraging a culture of investing among its clients. By leveraging innovative technology and a customer-centric approach, the company aims to provide a seamless and efficient trading experience, positioning itself as a key player in the digital investment space in Europe. Through its commitment to transparency and inclusivity, Trade Republic is transforming how individuals engage with financial markets, making investing a viable option for all.",Germany,1408.113302,,,
Stock3 AG,1346648600.0,"Germany, Bavaria, Munich, 73 Balanstraße",https://www.linkedin.com/company/boersego-ag,www.boerse-go.ag,"stock3 ist die Homebase für anspruchsvolle Trader und aktive Anleger – eine Finanzmarktanalyse- und Tradingplattform (www.stock3.com), die alles bietet, was man im Börsenalltag braucht: Informationen, Analysen und eine Tradingmöglichkeit bei Deutschlands führenden Online-Brokern.  Schon seit dem Jahr 2000 liefern wir Privat- und Geschäftskunden IT-Lösungen und redaktionelle Inhalte rund um Börse, Trading und Finanzen – und sind damit ein echter „FinTech“-Vorreiter.  Im März 2022 ging es dann auch für uns selbst an die Börse (ISIN DE000A0S9QZ8). Mehr erfahrt Ihr unter https://inside.stock3.com",Germany,1346.6486,,,
Raisin,929990434.0,"Germany, Berlin, Berlin, 33/34 Schlesische Straße, 10997",https://www.linkedin.com/company/join-raisin-ds,www.raisin.com,"Raisin is a trailblazer for open banking in the deposits and investments space. Raisin GmbH was formed by a merger of the FinTech companies Deposit Solutions and Raisin in June 2021.   The FinTech company provides an open banking infrastructure for the global $50+ trillion deposit market that benefits banks and savers alike. For savers, it means more product choice and decision power. Customer-facing institutions like banks benefit from best-in-class savings marketplace solutions for their own customers, while deposit-taking banks receive flexible, cost-effective access to diversified deposit funding.   Raisin operates its own B2C platforms across Europe and the UK under the Raisin, WeltSparen, Savedo, and ZINSPILOT brands, and in the U.S. under the brand SaveBetter. In the U.S., Raisin also offers a patented B2B Savings as a Service software solution. In Germany, in addition to savings products for retail and corporate clients, the company also offers ETF-based investment and pension products. Raisin collaborates with ca. 400 banks and financial services providers from more than 30 countries. The company is servicing over 550,000 direct customers.   Raisin is backed by renowned international investors such as btov Ventures, Deutsche Bank, FinLab, Goldman Sachs, Greycroft, Headline/e.ventures, Index Ventures, Kinnevik, Orange Digital Ventures, PayPal Ventures, Thrive Capital, Top Tier Capital Partners, Ribbit Capital, and Vitruvian Partners, as well as Peter Thiel.   The company has offices in Berlin, Frankfurt, Hamburg, London, Madrid, Manchester, Milan, New York, Paris, and Zurich.",Germany,929.990434,,,
Fintua,750000000.0,"Ireland, Leinster, Kilkenny, Ida Business And Technology Park Ring Road, etn5",https://www.linkedin.com/company/taxbackinternational,fintua.com,"Fintua (formerly Taxback International) is a global fintech leader, delivering specialist tax technology solutions for indirect tax recovery, compliance, eInvoicing and payments. We partner with tax and finance professionals worldwide who are redefining their approach to tax management and risk mitigation. Built by tax experts for tax experts, our innovative platforms offer greater visibility, consistency and control - empowering businesses to manage indirect taxes with confidence and accelerate their digital transformation.",Ireland,750.0,,,
Zeb Nordics,750000000.0,"Germany, North Rhine-westphalia, Münster, 165 Hammer Straße, 48153",https://www.linkedin.com/company/zeb-nordics,www.zeb.se,"Zeb Consulting is a leading strategy, management, and IT consulting firm specializing in financial services, operating across 14 countries in Europe. With a team of over 800 consultants and more than 200 internal experts, Zeb focuses on delivering tailored solutions to banks, insurance companies, leasing firms, fintechs, and other financial service providers. The company's mission is to drive transformation and innovation within the financial sector, emphasizing regulatory compliance, digital transformation, and sustainable practices. Zeb Consulting partners with a diverse range of clients, including major financial institutions and tech companies, to navigate the complexities of the evolving financial landscape. Their commitment to education and corporate responsibility is reflected in their initiatives aimed at fostering diversity, sustainability, and community engagement.",Germany,750.0,,,
