Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
W-HA,17979103.0,"France, Île-de-france, Puteaux",https://www.linkedin.com/company/w-ha,www.w-ha.com,"W-HA was created in 2000 to promote the development of fixed and mobile internet services; it originally set up « multi-operator premium rate services» systems allowing service providers to be paid through the operator invoice: Internet+ box et mobile, SMS+. If W-HA has become today one of the Europan leaders in carrier billing, it has also developped its own payment platform using many additional technologies in the fields of prepaid services, e-money, as well as local or online electronic banking solutions. W-HA is a member of the GIE Cartes Bancaires (CB Economic Interest Group) and VISA/Mastercard. In order to offer its services within the framework of banking and financial regulations, W-HA is an authorised Electronic Money Establishment. W-HA is a wholly-owned subsidiary of Orange and a limited liability company with a capital of Euro 10 008 000.",France,17.979103,,,
AH Capital,1055605.0,"France, Provence-alpes-côte D'azur, Nice, Rue Alexis Mossa, 06000",https://www.linkedin.com/company/ahcapital,www.ahcapital.fr,"We invest our own capital into groundbreaking startups, focusing on transformative solutions across web3, SaaS, FinTech, and GreenTech.  Our commitment lies in supporting innovation by financing projects with clear, impactful visions.  Open to exploring how we can elevate your idea, we encourage founders to reach out with compelling proposals.",France,1.055605,,,
Sagacity Ventures,1886826.0,"France, Île-de-france, Paris, 11 Rue Eugène Labiche, 75116",https://www.linkedin.com/company/sagacity-ventures,www.sagacityventures.com,"Sagacity Ventures: capital with mind Sagacity Ventures is an investment fund dedicated to new technologies (web, e-commerce, media, fintech). We source and grow the best opportunities among French technology, one of the very best in the world. Our human approach to startups is a distinctive element and we are proud of it. Sagacity Ventures invests in startups from early stage to capital development, investing or co investing with other VC partners. We are also happy to assist and represent international investors in their selection and negotiation with potential opportunities in France and in other European countries. As money is not enough, SagaCity Ventures provides consulting to startups, improving vision, strategy and business development. Our partners share experience and network, a strong request from founders who are always eager to be understood. We speak ""startups"" ! For more information: Startups, please visit our web site at www.sagacityventures.com Investors, please check our executive summary and ask for our business plan. If you are interested in joining our team, please contact us as well.",France,1.886826,,,
SISTAFUND,4231308.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/sistafund,sistafund.com,"We are a new generation of venture capital funders backing exceptional female founders and gender-balanced teams.  SISTAFUND is a pan-European VC fund backing female founders and gender-balanced teams, building companies that challenge the status quo.  With a target of €100 million, SISTAFUND will be deployed from pre-seed to Series A, mainly in France and Europe, with some investments in the U.S.  SISTAFUND’s ambition is twofold:  Drive the performance of backed companies, since start-ups founded or co-founded by women are 2.5 times more profitable investments than others (BCG study, 2018). Accelerate a new generation of diversified leaders, by supporting start-ups with at least one female co-founder We focus on four key themes:  Fintech, Healthtech,  Frontier tech and, Sustainability startups. SISTAFUND I is a Professional Private Equity Investment Fund (FPCI) reserved for qualified investors. The Fund's Management Company, SUNSHINE, is a SAS with a registered office at 1-3 rue d'Enghien, 75010 Paris, RCS Paris n°983 158 023, approved by the Autorité des Marchés Financiers as a portfolio management company under the number GP-20240015 since July 23rd, 2024.",France,4.231308,,,
Motier Ventures,5278025.0,"France, Île-de-france, Paris, 75009",https://www.linkedin.com/company/motierventures,www.motier.vc,"Motier Ventures is the Family Office managing the investments in Tech start-ups made by the owners of the Galeries Lafayette Group. We are a value-added business angel. At scale. We provide agile and patient capital, investing up to €300k as Business Angel in your early days and following with up to €1m on next rounds. We focus on Future of Commerce, FinTech, CreativeTech, Consumer & Gaming, Infra & Tooling and Future of Work, with Blockchains and AI as transversal expertises. We bring for your business 130 years of entrepreneurial experience and an access to a wide ecosystem: our portfolio companies, the Groupe Galeries Lafayette (Les Galeries Lafayette, La Redoute, Louis Pion, Royal Quartz Paris, Mauboussin, Eataly, Citynove, and the Lafayette Anticipations foundation), as well as a corporate network that spans across various industries. If you are aiming at changing the game in your industry, we would be happy to connect.",France,5.278025,,,
Truffle Capital,8801093.0,"France, Île-de-france, Vélizy-villacoublay",https://www.linkedin.com/company/truffle-capital,www.truffle.com,"Founded in 2001, Truffle Capital is an independent, European venture capital firm focused on disruptive technologies in IT (FinTech and InsurTech) and Life Sciences (BioTech and MedTech). Truffle Capital aims to support the creation and growth of young innovative companies with the potential to become tomorrow’s market leaders. Chaired by Patrick Kron, alongside the company’s founders and CEOs, Philippe Pouletty and Bernard-Louis Roques, Truffle Capital raised over $1.1 billion and has supported over 75 companies since its creation, in the digital technologies and life sciences sectors. At the end of 2017, Truffle Capital successfully completed the first close of its two new institutional funds, Truffle Financial Innovation Fund and Truffle BioMedTech Fund, as well as the first close of a fund dedicated to the French Reserve Fund (« Fonds de Réserve pour les Retraites » or « FRF »). On December 2019, Truffle Capital successfully raises nearly €400 million for new Venture Capital funds: Truffle BioMedTech Fund and Truffle Financial Innovation Fund.",France,8.801093,,,
ResiliAnce.io,1055605.0,"France, Nouvelle-aquitaine, Bordeaux",https://www.linkedin.com/company/resiliance-io,www.resiliance.io,"ResiliAnce is the corporate capital investment fund that accelerates the digital, economic, and sustainable transformation of global agro-industrial systems. We look for bold tech solutions to build resilient business models, with positive social and environmental impact, throughout the agri-food value chain. Thanks to our distinctive international networks and risk management expertise, especially in tropical countries, we offer both capital and mentoring, to propel seed stage startups to the next level.   #Agritech #Foodtech #Climatetech #Cleantech #Greentech #Fintech #Assurtech #Legaltech #Edtech #Bigdata #Blockchain #Iot Collaborate to innovate: our adventure with startups has only begun, dare to join!",France,1.055605,,,
BlackFin Capital Partners,17245669.0,"France, Île-de-france, Paris, 15 Rue De Laborde, 75008",https://www.linkedin.com/company/blackfin-capital-partners,www.blackfin.com,"Founded in 2009, BlackFin Capital Partners is the leading private equity firm investing in financial services companies across Europe. A fully independent firm, BlackFin is led by its partners, who have worked together as senior executives and entrepreneurs in the European financial industry for decades. The firm now spans Europe with offices in Paris, Brussels, Amsterdam, Frankfurt, and London and has team of +50 investment professionals with nationalities spanning the globe.   Backed by institutional investors from Europe, the Americas and Asia, BlackFin has raised an aggregate of +€4 billion in commitments and deploys capital from its complementary financial services buyout and fintech venture funds.   Our Buyout strategy targets asset-light businesses, such as: asset management, institutional and retail brokerage, distribution of insurance and banking products, payments, fund administration, business process outsourcing, and financial software.   BlackFin Tech, our VC strategy, focuses on early-stage B2B FinTech, InsurTech and RegTech companies with exceptional growth that have also a demonstrated a clear product-market fit with potential to be international category leaders.   We believe in responsible investing and incorporate ESG in our investment and monitoring processes.",France,17.245669,,,
Bpifrance Digital Venture,11320956.0,"France, Île-de-france, Paris, 75009",https://www.linkedin.com/company/bpifrance-digital-venture,medium.com,"Digital Venture is the venture capital team of Bpifrance Investment, the French Sovereign Wealth Fund, which focuses on top-tier innovative early-stage start-ups. With €700M+ under management, our team manages several funds to best serve the needs of entrepreneurs at each stage: •	F3A: a €50M Seed fund made available by the PIA (Programme d’Investissements d’Avenir) •	Ambition Numérique I (2008): a €300M Venture fund that focuses on Series A/B investments and was initiated by the PIA •	Digital Venture (2019): a €350M Venture fund backed by Bpifrance and covering all stages from Seed to Series B Investment thesis 👉Mission : to fund and support the best French entrepreneurs to build international category leaders 👉Ticket : between €200k and €10M 👉Maturity : from seed stage to Series B 👉Multi-sector focus : #SaaS, #marketplaces, #deeptech, #fintech, #consumerapps, …",France,11.320956,,,
Orange Ventures,9297061.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/orange-ventures1,ventures.orange.com,"With a 350 million euros allocation, Orange Ventures is dedicated to investments in innovative startups in areas of strategic interest of Orange (Networks & IT, Digital Enterprise, Cybersecurity, and Fintech) and beyond (Consumer platforms, E -gaming, Edtech, Health etc). Orange Ventures also deploys initiatives dedicated to the Africa and Middle East region. Supported by the Orange group, and made up of a team of 20 people, Orange Ventures offers startups in which it invests access to the Group's expertise and the possibility of setting up synergies with its many business units and its 256 million customers in 26 countries. For more information, visit ventures.orange.com or follow us on Twitter @Orange_DV.",France,9.297061,,,
