Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
IKEA,140952759322.0,"Netherlands, South Holland, Delft, 1 Olof Palmestraat, 2616",https://www.linkedin.com/company/ikea,about.ikea.com,"IKEA is a global leader in home furnishings, dedicated to creating a better everyday life for the many people by offering a wide range of well-designed, functional, and affordable products. Founded in 1943 in Sweden, the company specializes in ready-to-assemble furniture, kitchen solutions, and home accessories that cater to diverse customer needs and preferences. IKEA's mission emphasizes sustainability and social responsibility, focusing on providing accessible and stylish solutions for home living while promoting a positive impact on both people and the planet. The company's vision for 2030 aims to regenerate resources, protect ecosystems, and improve biodiversity, with a commitment to using only responsibly sourced renewable or recycled materials in its offerings. IKEA serves a diverse clientele, including families, young professionals, and students, who seek practical home solutions at competitive prices. The company partners with over 1,600 suppliers and manufacturers worldwide to ensure quality and sustainability throughout its value chain, while also engaging with social businesses to empower marginalized communities and promote ethical practices. With a focus on circularity, IKEA is transforming its business model to ensure that all products are designed for reuse, refurbishment, and recycling by 2030. Through initiatives like the SOLSTRÅLE home solar offer and various biodiversity projects, IKEA strives to inspire and enable customers to live healthier, more sustainable lives. The company actively engages with communities and stakeholders to drive positive social impact, addressing critical issues such as climate change and human rights. By championing environmental stewardship and promoting equality, diversity, and inclusion, IKEA continues to innovate and adapt to meet the evolving needs of its customers while maintaining its commitment to affordability and accessibility.",Netherlands,140952.759322,,,
Mondo Convenienza,1745813950.0,"Italy, Latium, Civitavecchia",https://www.linkedin.com/company/mondoconvenienza,www.mondoconv.it,"Mondo Convenienza is a leading Italian company that has been specializing in affordable furniture and home decor for over 40 years, making quality design accessible to millions of families. Founded in Civitavecchia in 1985, the company has expanded significantly, operating 47 retail locations and 42 logistics centers across Italy, as well as 3 stores and 2 hubs in Spain. With a dedicated workforce of 4,500 employees, Mondo Convenienza is committed to providing a tailored shopping experience through its ""Dolce Casa"" service and various digital channels. The company's mission is to offer stylish and affordable home furnishings, catering to a diverse clientele that includes budget-conscious consumers, families, and individuals looking to enhance their living spaces with modern and functional products. Mondo Convenienza prides itself on its strong relationships with suppliers, with 80% being Italian, which underscores its commitment to supporting local businesses and fostering community engagement. The company emphasizes continuous innovation and a forward-looking vision, ensuring that it remains at the forefront of the furniture industry. Customer satisfaction is a top priority, and Mondo Convenienza offers multiple communication channels for support, including live chat, phone consultations, and in-store assistance. Its partnerships and community initiatives reflect a commitment to inclusivity and providing opportunities for all. With a focus on quality and value, Mondo Convenienza aims to be the leading choice for consumers seeking comprehensive home furnishing solutions that combine style, functionality, and affordability.",Italy,1745.81395,,,
Conforama España,1254725999.0,"Spain, Catalonia, El Prat De Llobregat, 1-3 Avenida Baix Llobregat, 08820",https://www.linkedin.com/company/conforamaiberica,www.conforama.es,"Conforama España es una compañía multinacional líder en el equipamiento del hogar, con más de 2500 empleados y 57 tiendas en la península ibérica y las islas. Su misión es hacer que el confort sea accesible para todos sus clientes, satisfaciendo plenamente sus expectativas a través de una oferta variada de mobiliario y decoración. La empresa se caracteriza por su ambiente de trabajo dinámico y positivo, donde el talento y la calidad humana son considerados sus principales valores. Conforama busca constantemente personas con orientación al cliente y habilidades en el montaje de muebles, ofreciendo oportunidades de crecimiento y desarrollo profesional. Su mercado objetivo incluye a familias y particulares que buscan soluciones de mobiliario asequibles y de calidad para sus hogares.",Spain,1254.725999,,,
BHG Finland,1149709210.0,"Sweden, Skåne, Malmö",https://www.linkedin.com/company/bygghemma-finland,www.wearebhg.com,"BHG Finland is a leading player in the Nordic consumer e-commerce landscape, operating under the umbrella of BHG Group AB, one of Europe's largest online retailers. The company specializes in three primary business units: Home Improvement, Value Home, and Premium Living, offering an extensive selection of approximately 1.7 million products, including DIY supplies, furniture, and home furnishings. BHG Finland's mission is to simplify the lives of its customers, encapsulated in its vision, ""We make living easy!"" This commitment drives the company to provide a comprehensive product portfolio at competitive prices, ensuring exceptional online customer experiences and professional services. With a strong online presence, BHG serves a diverse clientele across the Nordic region, including individual consumers and businesses, while also expanding its reach into European and Asian markets. The company operates over 100 online platforms, featuring well-known brands like Bygghemma and Nordic Nest, and collaborates with reputable external brands such as Bosch and Husqvarna to enhance its offerings. BHG Finland is dedicated to sustainability and operational efficiency, focusing on ethical supply chains and high standards of product safety and quality. The company's strategic vision emphasizes profitable growth through organic expansion and strategic acquisitions, with a net sales target of SEK 20 billion in the medium term. BHG Finland aims to strengthen its leadership position in the premium segment of the home furnishings industry while adapting to changing consumer behaviors and market conditions. By continuously seeking to streamline operations and consolidate its market presence, BHG is well-positioned for long-term growth and success in the evolving e-commerce landscape.",Sweden,1149.70921,,,
Dänisches Bettenlager,846509369.0,"Germany, Bavaria, Memmingen, 4 Zeissweg, 87700",https://www.linkedin.com/company/dänisches-bettenlager-gmbh-&-co-kg,www.jysk.de,"Dänisches Bettenlager, auch bekannt als JYSK, ist ein international tätiges Einzelhandelsunternehmen, das sich auf den Verkauf von Möbeln, Matratzen, Heimtextilien und Wohnaccessoires spezialisiert hat. Gegründet 1979 in Dänemark, verfolgt das Unternehmen die Mission, hochwertige Produkte zu einem dauerhaft niedrigen Preis anzubieten und dabei ein hervorragendes Einkaufserlebnis zu gewährleisten. Mit über 3.000 Filialen weltweit bedient JYSK eine breite Zielgruppe, die sowohl Privatkunden als auch Geschäftskunden umfasst. Das Unternehmen legt großen Wert auf die Entwicklung seiner Mitarbeiter und bietet zahlreiche Aufstiegsmöglichkeiten sowie ein positives Arbeitsumfeld.  Dänisches Bettenlager strebt danach, die erste Wahl für Kunden im Bereich Wohn- und Schlafkomfort zu sein und arbeitet eng mit verschiedenen Partnern zusammen, um ein vielfältiges Sortiment anzubieten, das sowohl im stationären Handel als auch online verfügbar ist. Die Produktpalette reicht von Schlafzimmermöbeln bis hin zu Gartenaccessoires und spricht Kunden an, die Wert auf Qualität und ansprechendes Design legen. JYSK ist stolz auf seine skandinavischen Wurzeln und hat sich auch dem Thema Nachhaltigkeit verschrieben, indem es umweltfreundliche Materialien wie FSC-zertifiziertes Holz verwendet.  Das Unternehmen bietet zudem spezielle Rabatte und Dienstleistungen für den B2B-Bereich an, um den Bedürfnissen seiner Geschäftskunden gerecht zu werden. Durch kontinuierliche Entwicklungsmöglichkeiten für Mitarbeiter und ein starkes Engagement für Kundenzufriedenheit positioniert sich Dänisches Bettenlager als vertrauenswürdiger Anbieter in der Möbelbranche.",Germany,846.509369,,,
Nanu-Nana,750000000.0,"Germany, Lower Saxony, Oldenburg",https://www.linkedin.com/company/nanu-nana,unternehmen.nanu-nana.de,"Nanu-Nana ist ein inhabergeführtes Familienunternehmen, das sich auf den Vertrieb von dekorativen Produkten spezialisiert hat und europaweit in Ländern wie Deutschland, Österreich, Tschechien und Polen tätig ist. Die Mission des Unternehmens ist es, ansprechende und trendige Dekoartikel anzubieten, die den Wünschen der Kunden entsprechen. Nanu-Nana legt großen Wert auf die Zufriedenheit seiner Mitarbeitenden und bietet zahlreiche Benefits, darunter flexible Arbeitszeiten, individuelle Weiterbildungsmöglichkeiten und attraktive Vergütung. Das Unternehmen richtet sich an eine breite Zielgruppe, die Wert auf stilvolle und kreative Wohnaccessoires legt, und sucht motivierte Mitarbeiter für verschiedene Positionen in den Filialen sowie in der Zentrale in Oldenburg. Durch regelmäßigen Austausch mit den Filialen und eine intensive Einarbeitung fördert Nanu-Nana eine starke Teamkultur und ein positives Arbeitsumfeld.",Germany,750.0,,,
Nolte Küchen GmbH & Co. KG,750000000.0,"Germany, North Rhine-westphalia, Löhne",https://www.linkedin.com/company/nolte-küchen-gmbh-&-co-kg,www.nolte-kuechen.com,"Nolte Küchen GmbH & Co. KG is a distinguished German kitchen manufacturer headquartered in Löhne, specializing in high-quality kitchen cabinetry that seamlessly blends innovative design with functionality. Established in 1958, this family-owned company has earned accolades as ""Germany's favorite kitchen brand,"" underscoring its unwavering commitment to quality, sustainability, and customer satisfaction. Nolte Küchen's mission is to create kitchens that serve as the heart of the home, where families can gather and share experiences, emphasizing personalization and adaptability in their designs. The company caters to a diverse clientele, including homeowners, interior designers, and kitchen retailers, and collaborates with various partners to offer a wide range of customizable options. With a strong focus on sustainability, Nolte Küchen employs eco-friendly practices and materials, striving to minimize its environmental impact while delivering stylish and durable kitchen solutions tailored to individual needs and budgets. The company operates exclusively within Germany, with production facilities located in Löhne and Melle, where it prioritizes sustainably sourced materials and innovative manufacturing processes to reduce waste. Nolte Küchen aims to provide long-lasting satisfaction to its customers by ensuring the durability and reparability of its products, while also engaging in proactive dialogue with suppliers to uphold sustainability standards. Dedicated to meeting the evolving demands of consumers who prioritize eco-friendly solutions, Nolte Küchen primarily serves the kitchen retail market, collaborating with kitchen studios and furniture stores. The company is also committed to social responsibility, actively participating in community initiatives and supporting various charitable causes, reflecting its desire to make a positive impact both locally and globally. As one of the world's largest kitchen furniture manufacturers, Nolte Küchen is renowned for its quality, innovation, and sustainability, all proudly produced in Germany.",Germany,750.0,,,
Hülsta-werke Hüls GmbH & Co. KG,750000000.0,"Germany, North Rhine-westphalia, Stadtlohn",https://www.linkedin.com/company/huelsta-werke-huels-gmbh-co-kg,www.huelsta.com,"Hülsta-werke Hüls GmbH & Co. KG is a renowned German furniture manufacturer specializing in high-quality, stylish furniture for living, sleeping, and dining spaces. With a commitment to excellence, the company emphasizes meticulous craftsmanship, timeless design, and sustainability in its products, which are well-regarded for their durability and aesthetic appeal. Hülsta's mission is to create innovative and functional furniture solutions that enhance everyday living, while its vision focuses on expanding its product range to include comprehensive home furnishing options, such as kitchens. The company caters to a diverse clientele, including individual consumers and interior designers, and collaborates with various retail partners to deliver customized solutions that meet the unique needs of its customers. Through its ongoing dedication to quality and design, Hülsta aims to inspire and elevate the living experiences of its customers.",Germany,750.0,,,
XXXLutz Österreich,694792105.0,"Austria, Vienna, Vienna",https://www.linkedin.com/company/xxxlutz-österreich,karriere.xxxlutz.at,"XXXLutz Österreich is a prominent furniture and home goods retailer, known for its extensive range of products that cater to various customer needs in home furnishing. The company aims to provide high-quality, stylish, and affordable solutions for creating comfortable living spaces, aligning with its mission to enhance the quality of life for its customers. XXXLutz has established a strong connection with its audience through innovative marketing campaigns, such as the recent film featuring the well-known Putz family, which showcases their journey in Hollywood, reflecting the brand's commitment to creativity and entertainment. The target market includes families and individuals looking for comprehensive home solutions, while partnerships with creative agencies and production teams help to elevate its brand presence in the competitive retail landscape. With a focus on customer satisfaction and a vision to be a leader in the home furnishing sector, XXXLutz continues to expand its influence across Austria and beyond.",Austria,694.792105,,,
ELLOS GROUP,600926308.0,"Sweden, Västra Götaland, Borås",https://www.linkedin.com/company/ellos-group,www.ellosgroup.com,"Ellos Group är en ledande nordisk shoppingdestination för heminredning och mode med onlinebutikerna Ellos, Jotex och Homeroom samt betalvarumärket Elpy. I nära relation med våra miljontals kunder utvecklar vi attraktiva och hållbara erbjudanden för kvinnan mitt i livet, hennes familj och hem. Med innovation, kreativitet och hållbarhet söker vi ständigt nya vägar i stort och smått, och alltid med kunden i fokus. Ellos Group, med huvudkontor i Borås, är verksamt i samtliga nordiska länder och på utvalda marknader i Europa. Ellos Group har ca 500 medarbetare och omsätter runt 3,3 miljarder SEK.   The Ellos Group, which includes the online stores Ellos, Jotex, Homeroom and payment brand Elpy, is a leading shopping destination for fashion and home furnishings in the Nordic region. Working closely with our millions of customers, we offer attractive and sustainable products for the woman in mid-life, her family and home. We continuously develop our business through innovation, creativity, and sustainability, and always focusing on the customer. The Ellos Group, headquartered in Borås, and with operations in all Nordic countries and selected European markets, has around 500 employees and sales of around SEK 3.3 billion.",Sweden,600.926308,,,
