Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
T,985903.0,"France, Île-de-france, Paris, 18 Rue Duret, 75116",https://www.linkedin.com/company/superstore-fr,www.superstore.fr,"Créé en 2012 sur le constat qu’aucun site de mobilier ne s’adressait spécifiquement aux professionnels, SUPERSTORE.FR est le site de e-commerce spécialisé dans la vente de mobilier design pour entreprises.   Aujourd’hui, les plus grandes marques européennes sont présentées sur le site, soit plus de 2000 gammes avec une multitude de déclinaisons possibles : dimensions, revêtements, options ergonomiques... pour offrir un choix illimité à la personnalisation de votre entreprise.",France,0.985903,,,
H&S Bureau,911373.0,"France, Nouvelle-aquitaine, Bordeaux",https://www.linkedin.com/company/h&s-bureau,www.bureau-et-mobilier.com,"Vente en ligne de mobilier de bureau  Le mobilier de bureau, armoires de classement, sièges de bureau et autres accessoires sont issus de notre partenariat avec des marques telles que EOL, Vinco, Moll, Alphadex et bien d'autres. Nos critères de sélection sont la qualité, la disponibilité et le meilleur rapport qualité/prix. Nous assurons la livraison et le montage du mobilier de bureau sur la France Métropolitaine en standard, et vers d'autres territoires sur demande. Notre expérience en solutions de classement de dossiers nous permet de vous offrir, sur demande de devis, la possibilité de chiffrer des rayonnages mobiles, classeurs rotatifs, rayonnages à translation latérale, ainsi que les prestations associées telle que la fourniture de supports de classement(hamacs, dossiers, boites...), le transfert et le reclassement de vos dossiers. Pour toute demande spéciale, vous pouvez nous écrire via le formulaire de contact du site.",France,0.911373,,,
Burossimo,911373.0,"France, Auvergne-rhône-alpes, Lyon",https://www.linkedin.com/company/burossimo,www.burossimo.com,"Burossimo est un site de vente en ligne de mobilier de bureau professionnel pour les professionnels. Nous fournissons des produits qualitatifs, sur-mesure, livrables et installables dans vos locaux partout en France.",France,0.911373,,,
MTS Industrie,1258668.0,"France, Aubry Du Hainaut, 106 Rue Du Bois, 59494",https://www.linkedin.com/company/mts-industrie,mtsindustrie.com,MTS Industrie est spécialisée en maintenance tuyauterie et soudure. Ameublement industriel professionnels et particuliers.,France,1.258668,,,
LUGASSY GROUP DESIGN,3571477.0,"France, Provence-alpes-côte D'azur, Cannes, Chemin De La Bastide Rouge, 06150",https://www.linkedin.com/company/lugassy-group-design,lugassygroupdesign.com,"Groupe spécialisé dans la décoration et l’ameublement pour les professionnels et particuliers.  L’expérience familiale transmise de générations en générations de tapissiers et décorateurs, nous permet de mettre notre savoir-faire au service de notre clientèle. Plus que de la vente de mobilier, c’est avant tout la création d’une ambiance et d’un espace unique que nous concevons avec nos clients afin de répondre à une demande d’exigence. De l’extérieur à l’intérieur, nos collections résolument contemporaines, s’inscrivent avec les tendances actuelles.",France,3.571477,,,
KANN,3729962.0,"France, Île-de-france, Paris, 30 Rue Des Trois Bornes, 75011",https://www.linkedin.com/company/kann-design,www.kanndesign.com,"Kann est une maison d’édition, de fabrication, de création et de vente de mobilier design depuis 2010.  Adossée à un atelier détenteur d’un savoir-faire depuis plus de cinquante ans, et très marqué par la fabrication de mobilier scandinave, Kann Design perpétue naturellement cet héritage et a construit son ADN autour de ce style.",France,3.729962,,,
Galerie Contemporaine,1020422.0,"France, Bourgogne-franche-comté, Besançon, 88 Rue Des Granges, 25000",https://www.linkedin.com/company/galeriecontemporaine,www.lagaleriecontemporaine.fr,"La Galerie Contemporaine est un carrefour du design, de l’art et de la décoration. Cette enseigne de caractère, indépendante, est une référence dans la vente de mobilier contemporain à Besançon. Depuis plus de 40 ans, nous sélectionnons pour nos clients des objets parmi les plus grandes marques du design qui correspondent à notre vision avant-gardiste de l’aménagement de vos intérieurs et de vos espaces publics. Une équipe sérieuse et passionnée vous accueille et vous conseille dans le choix du mobilier qui donnera du caractère à votre intérieur. Nous avons le souci du détail, de l’excellence et de l’exclusivité. La Galerie Contemporaine ce n’est pas seulement du mobilier, c’est aussi des ambiances de confort et de bien-être.",France,1.020422,,,
BEESPOK,532851.0,"France, Pays De La Loire, Crosmières",https://www.linkedin.com/company/beespok,www.mobilier-beespok.fr,"Agencement & ameublement sur mesure pour les professionnels & les particuliers, nous intervenons un peu partout selon le projet.",France,0.532851,,,
Creaticube,532851.0,"France, Auvergne-rhône-alpes, Caluire-et-cuire, 4 Cours Aristide Briand, 69300",https://www.linkedin.com/company/studiocréatis,www.creaticube.fr,"Cuisines   Quand le sur- mesure devient un art de vivre : Une fabrication 100 % française adaptée à vos envies, à vos besoins, à votre espace et à votre budget. Alliez esthétique et pratique, style et efficacité. Le chemin des possibles est infini de la conception à la réalisation.     Salles de bain & Dressings   Nouveaux ""chouchous"" de nos intérieurs : Fabrication sur-mesure 100% française, design, pratique et tenant compte des contraintes techniques et budgétaires. A vos côtés de la conception à la réalisation.     Décoration & Ameublement   Parce que chaque projet est unique et particulièrement le vôtre :  Nous mettons notre savoir -faire et notre expérience au service de vos envies, de vos idées, de vos goûts pour réaliser, ensemble, l'espace dont vous rêviez. 100% sur-mesure.",France,0.532851,,,
Conicio Design+ingénierie,3768923.0,"France, Villaz, 30 Route Des Futaies, 74370",https://www.linkedin.com/company/conicio-design-ingenierie,www.conicio.com,"Conicio est une agence de design industriel, qui offre un service intégré design+ingénierie. Cette approche singulière, nous permet de garantir à nos clients la transformation de leur projets d'innovation en des produits tout à la fois esthétiques, fonctionnels et réalisables par l'industrie. Animée par une équipe dynamique de créateurs (designers, ingénieurs et techniciens), l'agence est à même d'accompagner les différents services acteurs de l'innovation dans l'entreprise pour accélérer les développements de nouveaux produits et accroitre la performance des équipes.  Grâce à ses compétences en design produit, R&D et en ingénierie mécanique & matériaux, Conicio a su apporter de la valeur à des équipements professionnels et grand public dans divers secteurs d’activité: médical, électroménager, sports & loisirs, éclairage, analyse & contrôle, ameublement, mécatronique & robotique.",France,3.768923,,,
