Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Globus Baumarkt,10881542000.0,"Germany, Saarland, Völklingen",https://www.linkedin.com/company/globus-baumarkt,www.globus-baumarkt.de,"Globus Baumarkt is a leading retail chain in Germany and Luxembourg, specializing in home improvement and gardening supplies. The company offers a comprehensive range of products, including building materials, tools, and garden equipment, catering to the diverse needs of its clientele. With approximately 90 stores and a dedicated workforce of around 9,000 employees, Globus Baumarkt aims to provide an exceptional shopping experience for both DIY enthusiasts and professional tradespeople. The company's mission is to deliver high-quality products at competitive prices while ensuring excellent customer service and expert advice. Globus Baumarkt serves a diverse customer base that includes homeowners, contractors, and gardening aficionados, making it a go-to destination for a wide array of home improvement needs. The company actively engages in training and development, with around 700 apprentices enrolled in various programs, reflecting its commitment to fostering talent within the retail sector. By collaborating with various suppliers and partners, Globus Baumarkt maintains a diverse product range, ensuring customers have access to the latest tools, materials, and gardening supplies. A standout product offering is the Power XChange battery system from Einhell, which promotes flexibility and organization by allowing universal use across all devices in the product family. Globus Baumarkt is also dedicated to sustainability and community engagement, striving to provide innovative solutions that are both cost-effective and environmentally friendly. Through its strong focus on customer service and partnerships with renowned manufacturers, Globus Baumarkt aims to be the first choice for all DIY and construction projects, empowering customers with the knowledge and resources they need to succeed in their endeavors.",Germany,10881.542,,,
OBI Bau- Und Heimwerkermärkte Systemzentrale GmbH,9640470000.0,"Germany, North Rhine-westphalia, Wermelskirchen",https://www.linkedin.com/company/obi-bau--und-heimwerkermärkte-systemzentrale-schweiz-gmbh,www.obi.ch,"OBI Bau- und Heimwerkermärkte Systemzentrale GmbH is a leading DIY retailer operating across ten European countries, including Germany, Austria, and Poland. The company is dedicated to empowering customers to create their ideal living spaces by providing a wide range of home improvement products and expert advice. With a workforce of approximately 40,000 employees, OBI emphasizes a strong commitment to employee development and sustainability, aligning with its mission to enhance customer experiences while promoting responsible practices. The company collaborates with various partners, including franchisees, to expand its market presence and continuously innovate its offerings. OBI's vision is to be the preferred partner for all home-related projects, ensuring that customers feel supported and inspired in their DIY endeavors.",Germany,9640.47,,,
Hornbach Holding AG & Co. KGaA,6454808547.0,"Germany, North Rhine-westphalia, Bornheim, 11 Hornbachstra�e, 76879",https://www.linkedin.com/company/hornbach-holding,www.hornbach-holding.de,"HORNBACH Holding is an independent, family-run European home improvement company which is listed on the Frankfurt Stock Exchange and part of the SDAX. It’s largest and most important subsidiary is HORNBACH Baumarkt AG, which operates DIY megastores and online shops in 9 European countries. The Group also includes HORNBACH Baustoff Union, a regional builders’ merchant business, as well as HORNBACH Immobilien AG which develops retail real estate for the Group.   HORNBACH caters for customers who pursue their own DIY projects or run a commercial builders’ business. For our clients, we offer a broad and deep product range, meeting high standards of quality, reliability, and accessibility. We are proud to be known for our excellent project-related services in store and online.   Through this profile, we aim to provide interesting and exciting insights into our company and show why we are one of the leading home improvement companies and stocks in Europe.",Germany,6454.808547,,,
QVC Germany,6024919490.0,"Germany, North Rhine-westphalia, Düsseldorf",https://www.linkedin.com/company/qvc-deutschland,www.qvc.de,"QVC Germany is a prominent home shopping network that specializes in multimedia retailing, offering a wide array of products across categories such as fashion, beauty, home goods, and technology. The company is dedicated to providing an engaging shopping experience through live television broadcasts, an online platform, and mobile applications, enabling customers to conveniently shop from the comfort of their homes or on the go. QVC's mission is to inspire customers with innovative products and exceptional service, while its vision emphasizes the creation of a personalized shopping experience that fosters customer loyalty and community.  The target market for QVC Germany encompasses a diverse demographic, appealing to consumers ranging from fashion enthusiasts to home improvement aficionados who value quality and convenience. To enhance its product offerings, QVC collaborates with renowned brands and designers, providing exclusive deals and unique items that cater to the evolving preferences of its clientele. With a strong commitment to customer satisfaction, QVC Germany continuously adapts its product selection and services to meet the changing needs of its shoppers. By focusing on exceptional value and convenience, QVC aims to build a community of loyal customers who appreciate quality and innovation in their shopping experiences.",Germany,6024.91949,,,
MR.DIY Poland,5718307580.0,"Poland, Łódź Voivodeship, Łódź, 70 Zachodnia, 90403",https://www.linkedin.com/company/mr-diy-poland,www.mrdiy.com,"MR.DIY Poland is a prominent home improvement retailer, part of the larger MR.DIY Group, which operates over 1,400 stores across Malaysia and Brunei. The company offers an extensive range of approximately 17,000 products across various categories, including hardware, household items, electrical goods, stationery, and sports equipment, all at affordable prices. With a mission to provide quality products at ""ALWAYS LOW PRICES,"" MR.DIY aims to cater to the everyday needs of its customers, making home improvement accessible to everyone. The company also engages in community initiatives, such as partnerships with local brands and participation in promotional events, to enhance customer experience and support local economies. Targeting a diverse clientele, MR.DIY serves both individual consumers and businesses, ensuring a wide reach in the retail market.",Poland,5718.30758,,,
MR DIY Spain,5718307580.0,"Spain, Catalonia, Barcelona",https://www.linkedin.com/company/mr-diy-spain,www.mrdiy.com,"MR DIY Spain is a leading retail company specializing in a wide range of home improvement and DIY products, offering over 18,000 items across categories such as hardware, household goods, electrical supplies, stationery, and toys. The company is committed to providing high-quality products at competitive prices, adhering to its promise of ""Always Low Prices"" to meet the needs of modern households. MR DIY collaborates with top global manufacturers to ensure that its offerings meet the highest industry standards. The company's mission is to enhance everyday life for its customers by delivering exceptional value and variety, making it the preferred choice for consumers seeking quality and affordability. MR DIY Spain serves a diverse clientele, including families, DIY enthusiasts, and professionals, while also engaging in various corporate social responsibility initiatives to support underprivileged communities.",Spain,5718.30758,,,
Castorama Polska Sp. Z O.o.,2361148270.0,"Poland, Mazovia, Warsaw",https://www.linkedin.com/company/castorama-polska-sp-z-o-o-,www.castorama.pl,"Castorama Polska Sp. z o.o. is a leading retail chain in Poland, specializing in the sale of building materials and accessories for DIY enthusiasts. Headquartered in Warsaw, the company offers a comprehensive range of products and services for home renovation, construction, and gardening, catering to both individual customers and professional contractors. Castorama's mission is to empower customers to create their ideal living spaces by providing quality products at competitive prices, complemented by exceptional customer service. The company is committed to promoting sustainability by offering eco-friendly products and renewable energy solutions, aligning with its ambitious ESG goals, which include reducing CO₂ emissions and increasing the share of sustainable products in its sales.  Castorama engages in responsible business practices and strives to be a market leader by delivering innovative solutions and maintaining high standards of customer satisfaction. Its clientele includes homeowners, DIY enthusiasts, and professionals in the construction industry, reflecting a diverse target market. The company collaborates with suppliers and manufacturers from around the world, leveraging the international expertise and resources of its parent organization, the Kingfisher Group. By focusing on customer needs and sustainability, Castorama aims to be the go-to destination for home improvement in Poland, fostering a community of creativity and responsible living.",Poland,2361.14827,,,
Brico Depôt Iberia,2195175278.0,"Spain, Catalonia, El Prat De Llobregat",https://www.linkedin.com/company/bricodepot,www.bricodepot.es,"Brico Depôt Iberia is a leading retailer specializing in home improvement and construction materials, particularly known for its extensive range of plasterboard products. The company is committed to providing high-quality solutions for both professional contractors and DIY enthusiasts, ensuring customer satisfaction through a diverse product selection and competitive pricing. With a mission to simplify the construction process, Brico Depôt offers convenient services such as home delivery and in-store pickup, catering to a wide array of clients, including homeowners, builders, and renovation specialists. The company emphasizes the importance of quality and efficiency, aiming to be a trusted partner in the construction and home improvement sectors. Through its partnerships with reputable manufacturers, Brico Depôt ensures that its customers have access to reliable and innovative products for their projects.",Spain,2195.175278,,,
Praxis,2003248014.0,"Netherlands, North Holland, Amsterdam",https://www.linkedin.com/company/praxis-diy,www.werkenbijpraxis.nl,"Praxis Doe-Het-Zelf Center B.V. is a leading retailer in the Netherlands, specializing in home improvement and DIY products since its establishment in 1978. The company offers an extensive range of items, including bathroom furniture, kitchen supplies, and garden accessories, aimed at empowering customers to create their ideal living spaces. Praxis's mission is to provide accessible and affordable solutions that enable individuals to undertake their DIY projects with confidence. The company's vision is centered on enhancing the DIY experience through expert advice and high-quality products. Catering to a diverse clientele that includes homeowners, renters, and DIY enthusiasts, Praxis collaborates with various partners to ensure a comprehensive selection of tools and materials. As part of the Maxeda DIY Group, the largest DIY retailer in the Benelux, Praxis serves both private customers and professional tradespeople. The company is committed to customer satisfaction, offering services such as professional installation, personalized product advice, and tool rental, which further solidifies its position as a go-to destination for all home improvement needs. With a strong focus on sustainability, Praxis aims to support the makers of today and tomorrow, providing not only products but also the knowledge and resources necessary for successful DIY projects. The company operates numerous stores across the Netherlands and is expanding its online platform, ensuring that customers have access to its offerings wherever they are. Through its dedication to quality, service, and customer empowerment, Praxis Doe-Het-Zelf Center B.V. continues to inspire creativity and satisfaction in home improvement endeavors.",Netherlands,2003.248014,,,
Boels Rental,1662150000.0,"Netherlands, Limburg, Sittard",https://www.linkedin.com/company/boels-rental,www.boels.com,"Boels Rental is one of the most renowned rental companies in Europe. We provide our services through an international network of over 750 rental locations in both general and specialist rental. As well as through our network of almost 3000 DIY shop-in-shops. We have a market presence in 17 countries and employ over 7000 employees.  Over the years and thanks to its unlimited drive, the family business has grown into one of Europe’s leading rental organisations. We pride ourselves in our ability to exceed our customers’ expectations with innovative rental equipment. By optimising usage of our extensive range of environmentally friendly equipment in a shared economy and decreasing transport distances, we contribute to a more sustainable world. We provide a full ‘One Stop Shop’ service. Our dense depot network allows us to work efficiently and locally to provide a high level of service and added value to our customers. Boels Rental also has 15 specialized business divisions including Site Preparation, Modular Space, Survey & Laser, Event Service, Power & HVAC, Traffic Service, Industrial Support, Sanitation, Hoisting & Lifting and Access Control.  Our employees have a can-do attitude. Boels thrives on the entrepreneurial spirit of our employees who see themselves as service providers, furthermore as partners to our customers. It’s no surprise that an extremely high number of colleagues feel engaged in the company. At Boels Rental, our moto is “anything is possible and we’ll make it happen”.  Our full range of products, branches and specialties can be found at www.boels.com",Netherlands,1662.15,,,
