Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Beko Italia,7574065060.0,"Italy, Lombardy, Milan, 162 Via Varesina, 20156",https://www.linkedin.com/company/beko-italia,www.beko.com,"Beko Italia is a leading provider of innovative home appliances, specializing in energy-efficient solutions that enhance everyday living. As a subsidiary of Beko, which operates globally with a strong presence in 57 countries, Beko Italia focuses on delivering high-quality products such as refrigerators, washing machines, and kitchen appliances that incorporate advanced technologies like HarvestFresh™ to preserve the nutritional value of food. The company's mission is to create a more livable planet through sustainable practices and cutting-edge technology, while its vision emphasizes improving the quality of life for consumers. Beko Italia serves a diverse clientele, including families and environmentally conscious consumers, and partners with various retailers to ensure accessibility to its products. With a commitment to sustainability, Beko Italia aims to lead the market in eco-friendly innovations, contributing to a healthier lifestyle for its customers.",Italy,7574.06506,,,
Casa Mia Srl,4433469278.0,"Italy, Piedmont, San, 49 Via Cubito, 10077",https://www.linkedin.com/company/casa-mia-srl,www.casamiasrl.it,"""Casa Mia Srl"" è una catena di punti vendita specializzati in tende e tendoni, tappeti d’arredamento, da bagno, stuoie per cucina, zerbini, cuscini e coordinati e tutti gli arredamenti tessili per la casa. Fin dal primo negozio pilota, unico nel suo genere (aperto nel Centro Commerciale Panorama di Settimo Torinese nel Marzo 1993) l’iniziativa si conferma vincente. Conclusa la fase di start-up e d’ottimizzazione della formula, la catena registra una crescita regolare raggiungendo 35 punti vendita in Piemonte, Lombardia, Liguria, Toscana e Veneto. Da aprile 2021 Casa Mia ha anche un e-commerce, visitalo ora www.casamiasrl.shop Perché noi crediamo che ogni cosa che facciamo debba essere fatta con il CUORE.",Italy,4433.469278,,,
Hansgrohe Group,1573502000.0,"Germany, Schiltach, 5-9 Auestraße, 77761",https://www.linkedin.com/company/hansgrohe-group,www.hansgrohe-group.com,"The Hansgrohe Group, headquartered in Schiltach, Germany, has been a leader in innovation, design, and quality within the bath and kitchen industry since its founding in 1901. Operating under two prominent brands, AXOR and hansgrohe, the company specializes in producing high-quality faucets, showerheads, and shower systems that offer holistic bathroom experiences, seamlessly blending functionality with aesthetic appeal. Hansgrohe is committed to sustainability, exemplified by its ""ECO 2030"" initiative, which aims to equip all water-bearing products with water-saving technologies by 2030, reflecting its dedication to responsible resource management and environmental stewardship. The company serves a diverse clientele, including luxury hotels, spas, and private residences, and has established a robust global presence, operating in over 145 countries with 35 subsidiaries and 22 sales offices. Hansgrohe's innovative partnerships, such as its collaboration with Hydraloop for gray water recycling solutions, further enhance its position as a pioneer in sustainable water management technologies. With a workforce of approximately 5,600 employees, the Hansgrohe Group continues to set the standard for quality and sustainability in the global sanitation industry. Renowned for its pioneering products, Hansgrohe introduced the first handheld shower with multiple spray types and the first pullout kitchen faucet, showcasing its commitment to innovation. The company's dedication to quality and sustainability has earned it numerous awards, solidifying its reputation as a trusted partner in the sanitary industry. Through its focus on design excellence and eco-friendly practices, Hansgrohe aims to create products that not only enhance the user experience but also contribute positively to the environment.",Germany,1573.502,,,
Fiskars Group,1218910000.0,"Finland, Uusimaa, Espoo",https://www.linkedin.com/company/17729,www.fiskarsgroup.com,"Fiskars Group, established in 1649, is a leading global company renowned for its innovative consumer products, particularly in the areas of gardening, cooking, and crafting. With a mission to enhance everyday life through design and functionality, Fiskars aims to create sustainable solutions that resonate with consumers worldwide. The company operates through two main business areas: BA Vita, which focuses on premium and luxury products in tableware, drinkware, jewelry, and interior design, and BA Fiskars, which specializes in gardening, outdoor, and kitchen products. Fiskars Group serves a diverse clientele, including individual consumers, retailers, and professional users, and partners with various stakeholders to drive growth and innovation. With a strong commitment to sustainability, Fiskars Group aims to minimize its environmental impact through responsible sourcing and manufacturing practices. The company targets markets that value quality and functionality, ensuring that its products not only meet high standards but also contribute positively to the environment. Fiskars Group's vision emphasizes creativity, quality, and a deep understanding of customer needs, positioning it as a leader in the consumer goods industry. The company operates in over 100 countries and employs nearly 7,000 people, reflecting its global reach and influence. Fiskars Group reported global net sales of EUR 1.2 billion in 2024, showcasing its robust market presence. Through its iconic brands, including Fiskars, Georg Jensen, Iittala, and Royal Copenhagen, the company emphasizes innovation and craftsmanship, aiming to make everyday life extraordinary for its customers. By fostering strong partnerships and focusing on direct-to-consumer sales through its extensive network of stores and e-commerce platforms, Fiskars Group continues to enhance its product offerings and expand its market reach.",Finland,1218.91,,,
POCO Einrichtungsmärkte GmbH,1217342601.0,"Germany, North Rhine-westphalia, Bergkamen",https://www.linkedin.com/company/poco-service-ag,www.poco.de,"POCO – das ist Schönes Wohnen für weniger Geld. Preisbewusste Kunden finden in den gelben Einrichtungsmärkten ein umfassendes Sortiment von Möbeln und Küchen über Haushaltswaren, Heimtextilien, Farben, Tapeten, Teppichböden, Teppichen und Elektroartikeln bis hin zu Geschenkartikeln. Produkte namhafter Markenhersteller sind genauso im Angebot wie besonders günstige, exklusiv für POCO hergestellte Eigenmarken. Kunden schätzen neben dem exzellenten Preis-Leistungs-Verhältnis besonders den kompetenten Service im Markt vor Ort. In deutschlandweit über 100 Märkten sind aktuell mehr als 7.000 Mitarbeiter tätig. Mit einem Umsatzvolumen von 1,2 Milliarden Euro im Jahr 2012 zählt das Unternehmen zu den großen deutschen Anbietern im Mitnahmebereich und steuert einen konsequenten Wachstumskurs. Jährlich sind rund 6 Neueröffnungen geplant. Die POCO Service AG übernimmt im Konzern sämtliche Verwaltungsaufgaben und stellt somit die Zentrale an den Standort Bergkamen und Hardegsen dar.",Germany,1217.342601,,,
NOBIA PRODUCTION SWEDEN AB,1027602220.0,"Sweden, Tidaholm, 6 Mossebogatan, 522 30",https://www.linkedin.com/company/nobia-production-sweden-ab,www.nobia.com,"Nobia Production Sweden AB is a leading kitchen specialist in Europe, renowned for its commitment to designing and manufacturing high-quality, sustainable kitchen solutions. The company's mission is to enhance everyday living through innovative and functional kitchen designs, while its vision emphasizes long-term value creation and environmental stewardship. Nobia operates across five countries—Sweden, Norway, Denmark, Finland, and the UK—offering a diverse range of kitchen brands, including Marbodal, HTH, and Magnet, which cater to individual consumers, tradespeople, and project customers alike.  Nobia prioritizes sustainability in its operations, focusing on responsible sourcing of materials, including the use of recycled wood and ensuring that virgin wood comes from certified sustainable forests. The company aims to minimize its environmental impact in alignment with the Paris Agreement, with strategic objectives that include reducing greenhouse gas emissions and promoting a circular economy. Nobia serves a diverse clientele, including homeowners, contractors, and property developers, and collaborates with various partners, such as suppliers and academic institutions, to enhance its sustainability initiatives. With a robust distribution network and economies of scale, Nobia is well-positioned to meet the growing demand for environmentally friendly kitchen solutions while continuously improving operational efficiency and profitability. The company actively engages in initiatives that align with international ethical guidelines, ensuring compliance with human rights and environmental standards. Nobia's commitment to innovation and sustainability is reflected in its advanced production facilities and strategic initiatives aimed at strengthening its market position and driving profitable growth. Through its dedication to quality craftsmanship and customer satisfaction, Nobia Production Sweden AB aims to lead the kitchen industry in both design and sustainability.",Sweden,1027.60222,,,
Arabesque,902554328.0,"Romania, Bucureşti, Bucharest, Aleea Teisani, 014034",https://www.linkedin.com/company/arabesque-,arabesque.ro,"ARABESQUE is the largest and most diversified regional wholesale distributor of building construction and finishing materials with predominant market presence in Romania, Ukraine, Bulgaria, Serbia and Moldavia. A leading provider of integrated supply services. with annual sales (2009) of approximately €550 million euros, ARABESQUE employs more than 5,000 people, deploys over 900 trucks, maintains relationships with over 2,000 suppliers, and serves more than 75,000 customers in 5 countries. The group offers complete portfolio of building construction and finishing materials (over 30,000 items), from heavyweight (masonry blocks, metallurgical products, concrete mixers etc.), roof systems (waterproofing, metal and concrete or ceramic tiles, bituminous shingles, corrugates plates, etc.), interior decoration products (paints, grouts, binders, putties, gypsum board systems, thermal insulations, coffered roofs, wood floorings, wall panels, doors etc.), sanitary and thermal installations, electric equipments, lighting fixtures, down to furniture supplies (chipboards, ironware, table and kitchen tops, stratified wood etc.).  Local and regional customers benefit from the a broad product catalog with competitive pricing and our support-services such as  * technical counseling *  structural steel shaping and cutting *  coloring of paints and decorative plasters *  chipboard panels cutting and edging.  *  over 900 specialized trucks for on-site delivers.",Romania,902.554328,,,
NEOLITH,754654370.0,"Spain, Valencia, Almassora",https://www.linkedin.com/company/neolithofficial,www.neolith.com,"Neolith is a pioneering company specializing in the production of sintered stone surfaces, crafted from 100% natural raw materials. As a leader in architectural surfaces, Neolith aims to redefine the standards of design and sustainability in the industry, offering versatile applications for kitchens, bathrooms, facades, flooring, and even furniture. The company's mission is to provide innovative, high-quality surfaces that combine aesthetic beauty with superior technical performance, ensuring durability and hygiene. Neolith's products are favored by architects, designers, and consumers alike, thanks to their elegant designs inspired by natural elements and their commitment to sustainability, with many models containing up to 98% recycled materials. The brand has established a strong presence in global markets, collaborating with professionals and partners across Europe, North America, Asia, and beyond, while continuously pushing the boundaries of innovation in surface design.",Spain,754.65437,,,
Sklepy Komfort S.A.,750000000.0,"Poland, Łódź Voivodeship, Łódź, 14 Srebrzyńska, 91-074",https://www.linkedin.com/company/komfort,www.komfort.pl,"Sklepy Komfort S.A. is a leading retailer in Poland specializing in home improvement and interior design products, particularly focusing on bathroom and kitchen furnishings. The company operates under the brand Senti, which offers a unique line of decorative ceramics that combine exceptional design, high quality, and functionality, catering to the needs of discerning customers. With over 160 stores across the country, Sklepy Komfort aims to provide an unparalleled shopping experience, emphasizing customer satisfaction through personalized service and a diverse product range. The company's mission is to deliver high-quality products at competitive prices, ensuring that every customer can find stylish solutions for their homes. By leveraging decades of experience and a deep understanding of customer preferences, Sklepy Komfort continues to innovate and expand its offerings, making it a trusted partner for homeowners and interior designers alike.",Poland,750.0,,,
Casa International,750000000.0,"Belgium, Flanders, Olen",https://www.linkedin.com/company/c-a-s-a--international,www.casashops.com,"CASA is an international chain of contemporary interior decoration shops, with a total of more than 500 stores, subsidiaries and franchisees. Objects for interior decoration, giftware, household and bath products, textiles and small items of furniture make up  the range offered by CASA.  CASA stands for cosy living. Our CASA shops will inspire you and offer great ideas for seasonable changes in your living and kitchen corners. We invite you to visit our website ""www.casashops.com"" or a CASA shop in your neighbourhood for an exciting shopping and decoration experience.",Belgium,750.0,,,
