Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Perene_officiel,89361350.0,"France, Auvergne-rhône-alpes, Clermont-ferrand",https://www.linkedin.com/company/perene-agencement-d-intérieurs,www.perene.fr,"Perene_officiel is a creative workshop specializing in bespoke interior design and renovation, with a focus on kitchens and living spaces. The company aims to provide a warm and intimate environment where clients can explore their design ideas with skilled agency professionals who treat each project with personal care and attention. Perene's mission is to transform spaces into unique, functional, and aesthetically pleasing environments that reflect the individuality of their clients. With a commitment to high-quality materials and meticulous craftsmanship, Perene serves a diverse clientele, including homeowners looking for tailored solutions and partners in the luxury interior design sector. The company operates boutiques in key locations such as Versailles and Paris, where clients can engage in a collaborative design process that emphasizes creativity and inspiration.",France,89.36135,,,
Noblessa Cuisines,106899560.0,"France, Nouvelle-aquitaine, Pau",https://www.linkedin.com/company/noblessacuisines,www.noblessa.fr,"Parce que votre cuisine vous ressemble, vous inspire et vous rassemble, chez noblessa, nous accordons une attention accrue à l’humain, l'authenticité, et l'excellence. Que ce soit dans nos relations avec nos clients, mais aussi avec nos collaborateurs. Si vous adhérez à notre philosophie et que pour vous aussi, le Design fait partie de votre ADN, rejoignez notre concept, testé et approuvé ! Noblessa s’appuie sur un concept marketing novateur autour de la qualité et l’exigence d’une cuisine allemande. En plein essor en France, l’enseigne est déjà présente à l’international dans plusieurs pays : USA, Arabie Saoudite, Chine, Taiwan, Finlande et Suède.",France,106.89956,,,
ARTHUR BONNET,104827731.0,"France, Saint Philbert De Bouaine, Route De Nantes, 85660",https://www.linkedin.com/company/arthur-bonnet,www.arthur-bonnet.com,"Fabricant de cuisines depuis 90 ans, Arthur Bonnet est le premier cuisiniste français labellisé Origine France Garantie. La marque  propose des modèles de cuisines exclusifs combinant élégance et convivialité et réussit le pari d'un design à la fois esthétique, fonctionnel, ergonomique et innovant.  Franchir le pas de la porte d’un magasin Arthur Bonnet, c’est être transporté dans un univers à la fois design et convivial, moderne et authentique où l’on retrouve toute la saveur des cuisines à la française.",France,104.827731,,,
Chêne Vert,31735806.0,"France, Occitanie, Albi",https://www.linkedin.com/company/chêne-vert,www.chenevert.fr,"Chêne Vert est un fabricant français de mobilier de cuisines et salles de bains, spécialisé dans l'équipement des bâtiments collectifs, promotion immobilière, ERP, habitat social, EPHAD, hôtels et résidences.",France,31.735806,,,
CAREA Group,25471437.0,"France, Essonne, Bièvres, 23 Burospace, 91573",https://www.linkedin.com/company/carea---mineral-composite,carea-facade.com,"UN SAVOIR-FAIRE INDUSTRIEL ET UNE EXPERTISE UNIQUE POUR VOUS ACCOMPAGNER DANS VOS PROJETS Le groupe CAREA® conçoit, fabrique et distribue depuis 40 ans des solutions autour d’un matériau unique, le Minéral Composite CAREA®, pour créer, fabriquer et distribuer une gamme complète de solutions axées sur deux activités principales : - Le marché du parement de façade pour l’isolation thermique par l’extérieur. - Les équipements sanitaires pour la cuisine et la salle de bains. Implanté dans les Pays de la Loire, le groupe français CAREA® est présent en France et à l’International et accompagne ses clients au travers d’équipes commerciales intégrées. Notre fabrication est 100% française, pour plus de qualité, de services et de proximité. Nos produits sont prescrits auprès d’un large public, maîtrise d’ouvrage, maîtrise d’œuvre et entreprises, en neuf ou en rénovation. Nous développons aussi des gammes dédiées aux particuliers en sanitaire au niveau européen.",France,25.471437,,,
TELEWIG,10662462.0,"France, Hoerdt, 4 A Zone Industrielle, 67720",https://www.linkedin.com/company/telewig,www.telewig.fr,"Entreprise leader dans le secteur de la chambre froide et des menuiseries isothermes, nos matériels conviennent pleinement à la construction de laboratoires de transformation, de magasins de vente, d’abattoirs, et de locaux de stockage de viandes. Entreprise alsacienne crée il y a plus de 40 ans, TELEWIG se situe à Hoerdt à 15 km au nord de Strasbourg. Nous réalisons en France un chiffre d’affaires de 28 M€ pour 2021, principalement auprès de nos clients isoleurs, frigoristes ou cuisinistes. Nous ne distribuons nos produits que par nos clients professionnels installateurs. Nos portes et nos panneaux industriels sont fabriqués en Allemagne et nos chambres froides modulaires dans le nord de l’Italie.  Nos matériels sont réputés pour leur qualité et leur solidité… Nous sommes spécialisés dans le matériel standard mais également sur mesure. Nos fabrications ultra automatisées nous permettent des délais de livraison record. Notre bureau d’études est à votre disposition pour toutes questions techniques, études de cas, ou plans de calpinage…. Nous assurons nous même les livraisons vers nos clients ou leur chantier, au départ de Strasbourg.  En complément de la vente de nos produits, nous pouvons vous proposer la mise en œuvre et la réalisation de vos projets, via un réseau d’installateurs sélectionnés. Dans ce cas, nous nous chargeons de l’étude, de l’élaboration des plans, de la réalisation du chantier et de son suivi jusqu’à complet achèvement",France,10.662462,,,
Alternatinnov,1237661.0,"France, Bourgogne-franche-comté, Laissey, Rue Élysée Bost, 25820",https://www.linkedin.com/company/alternatinnov,www.alternatinnov.fr,"Entreprise spécialisée dans la déconstruction sélective, et dans la récupération et reconditionnement des matériaux, appareils et équipements du bâtiment et de la construction. Alternatinnov propose un service de remise en état et/ou revente de ces matériaux aux professionnels comme aux particuliers. Nos principaux corps de métiers représentés sont la ventilation, l'isolation, les appareils sanitaires, les luminaires, les cuisines, ... destinés aux rebuts (erreur de commande, légers défauts, surstocks,...) ou issus de la déconstruction sélective.  D'une manière générale, l'entreprise vise à réduire la production des déchets et réduire l'impact carbone du domaine du BTP.",France,1.237661,,,
Groupe I.H.F.,5194764.0,France,https://www.linkedin.com/company/groupe-i.h.f.,www.groupeihf.com,"Groupe I.H.F. is the company leading essential home renovation and green energy conversion : re wiring, kitchens and bathrooms, windows and doors, flooring and carpets, home security, organization, lighting, painting, heating and cooling, roofing and siding, plumbing, landscaping, as well as general home energy audit.",France,5.194764,,,
Natalie And Boris,777490.0,"France, Jerusalem, 255 Rue Golda Meir",https://www.linkedin.com/company/natalie-and-boris,www.natalie-n-boris.co.il,botique kitchens | bath cabinets & sinks custome made | interior door designs,France,0.77749,,,
Laminam France,7946171.0,"France, Auvergne-rhône-alpes, Portes-lès-valence, 149 Rue Jean Rostand, 26800",https://www.linkedin.com/company/laminam-france,www.laminam.com,"LAMINAM France, spécialiste dans la fabrication de surface en céramique en grand format et fine épaisseur pour l'aménagement intérieur et extérieur : surfaces murales, sol, façades, plans de travail de cuisine, salle de bains, portes et éviers.",France,7.946171,,,
