Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Darty,11679041570.0,"France, Île-de-france, Gennevilliers, 106 Avenue Du Vieux Chemin De Saint-denis, 92230",https://www.linkedin.com/company/15496,www.darty.com,"Darty is a leading French retailer specializing in consumer electronics, home appliances, and lifestyle products. The company is committed to providing customers with a wide selection of high-quality products, expert advice, and exceptional service, embodying its mission to enhance the shopping experience through trust and reliability. Darty caters to a diverse clientele, including individual consumers and businesses, and partners with renowned brands to offer the latest technology and appliances. With a focus on customer satisfaction, Darty aims to be the go-to destination for all home and electronic needs, ensuring that every purchase is backed by a unique service contract that guarantees quality and support.",France,11679.04157,,,
Fnac,6858984880.0,"France, Île-de-france, Ivry-sur-seine",https://www.linkedin.com/company/fnac,www.fnac.com,"Fnac est une entreprise française spécialisée dans la distribution de produits culturels et électroniques, fondée en 1954. Elle propose une large gamme de livres, de musique, de films, de jeux vidéo, ainsi que d'appareils électroniques, visant à rendre la culture accessible à tous. La mission de Fnac est de favoriser l'accès à la culture en offrant des produits variés et en organisant des événements culturels qui encouragent les échanges entre artistes et public. Sa vision repose sur la création d'un espace où les clients peuvent découvrir, partager et s'enrichir culturellement.  La clientèle de Fnac est diversifiée, englobant des passionnés de littérature et de musique, ainsi que des amateurs de technologie. L'entreprise collabore avec de nombreux partenaires, tels que des éditeurs, des labels de musique et des fabricants d'électronique, pour enrichir son offre. En ciblant principalement les jeunes adultes et les familles, Fnac s'efforce de répondre aux besoins d'un marché en constante évolution.  Fnac met un point d'honneur à maintenir un engagement fort envers la qualité du service et l'expérience client, tout en promouvant la culture et l'innovation. Grâce à sa large gamme de produits et à son approche centrée sur le client, Fnac se positionne comme un acteur clé dans le secteur de la distribution culturelle et technologique en France.",France,6858.98488,,,
Boulanger,6136621364.0,"France, Lesquin, Av De La Motte, 59810",https://www.linkedin.com/company/boulanger,www.boulanger.com,"Avec plus de 68 ans d’expérience et 25 000 références disponibles dans ses 191 magasins, sur son site boulanger.com et son application, Boulanger est aujourd’hui le spécialiste des équipements de la maison en électroménager et multimédia. Notre mission ? Aider chacun à profiter pleinement du monde connecté par un usage plus juste, plus durable et plus partagé.  Nos 10 000 collaborateurs se mobilisent au quotidien pour construire et enrichir un écosystème vertueux et innovant d’offres et de services qui simplifient la vie. Au cœur de l’aventure humaine de Boulanger, nos collaborateurs portent et incarnent nos valeurs “Pro, Simple et Sympa” et notre promesse “Si Bien Ensemble”.  Chaque jour, nous mettons ainsi au service de nos clients des conseillers experts ainsi que de nombreux services d'accompagnement comme la livraison dans l’heure à Paris, la livraison dès le lendemain dans toute la France, l’accompagnement 7j/7, la mise en service, le dépannage, l’aide à la prise en main à distance ou à domicile, l’abonnement, la location et les offres de produits reconditionnés.  Afin de répondre aux besoins de performance et de simplicité d’utilisation de nos clients, nous leur proposons également nos 6 marques Boulanger (Listo, Essentielb, Miogo, Adeqwat, Oglo# et Skillkorp) dont les produits sont tous imaginés et conçus par nos experts.  Envie d'en savoir plus ?  ➡ Rendez-vous sur notre site www.boulanger.com ! #sibienensemble @boulanger",France,6136.621364,,,
Cdiscount,3102680000.0,"France, Nouvelle-aquitaine, Bordeaux",https://www.linkedin.com/company/cdiscount,emploi.cdiscount.com,"Cdiscount est une plateforme de commerce électronique française qui se distingue par sa vaste gamme de produits, allant de l'électronique aux articles de maison, en passant par les vêtements et les jouets. La mission de Cdiscount est de rendre le shopping en ligne accessible et abordable pour tous, en offrant des prix compétitifs et une expérience utilisateur fluide. L'entreprise s'adresse à une clientèle variée, incluant des particuliers à la recherche de bonnes affaires ainsi que des entreprises souhaitant acheter en gros. Cdiscount collabore avec de nombreux partenaires et fournisseurs pour enrichir constamment son catalogue, garantissant ainsi une offre diversifiée et tendance.  Le programme d'abonnement ""Cdiscount à volonté"" permet aux membres de bénéficier de livraisons gratuites et d'offres exclusives, renforçant l'attractivité de la plateforme. En mettant l'accent sur la satisfaction client, Cdiscount s'efforce d'améliorer continuellement ses services, notamment à travers des options de livraison flexibles et un service client réactif. L'entreprise se positionne également comme un acteur responsable en promouvant des pratiques durables, telles que la reprise gratuite des anciens appareils pour lutter contre le gaspillage.  Cdiscount vise à devenir le leader du e-commerce en France, en intégrant des technologies avancées pour personnaliser l'expérience d'achat et en offrant des promotions attractives. Avec un engagement fort envers l'innovation et la durabilité, Cdiscount continue d'élargir son offre et d'améliorer ses services dans un paysage e-commerce compétitif.",France,3102.68,,,
ELECTRO DEPOT,1371259766.0,"France, Hauts-de-france, Faches-thumesnil, 1 Route De Vendeville, 59155",https://www.linkedin.com/company/electro-depot,www.engagements.electrodepot.fr,"ELECTRO DEPOT is a retail company that specializes in the sale of electronic products and home appliances at reduced prices. The company's mission is to make electronic equipment accessible to everyone by offering a wide range of products, from household appliances to smartphone accessories, while ensuring optimal quality. Committed to sustainability, ELECTRO DEPOT aims to reduce its carbon footprint by 50% per product sold by 2030, reflecting its dedication to minimizing environmental impact. The clientele primarily consists of individuals seeking great deals, as well as professionals looking to equip their workspaces with reliable electronic solutions.  ELECTRO DEPOT collaborates with various partners to provide products from well-known brands, maintaining competitive pricing without compromising on quality. The company caters to a diverse target market that includes tech enthusiasts and everyday consumers who value both affordability and reliability in their electronic purchases. Through its physical stores and online platform, ELECTRO DEPOT enhances the shopping experience by offering convenient delivery options and a user-friendly purchasing process. By focusing on customer satisfaction and accessibility, ELECTRO DEPOT continues to establish itself as a go-to destination for quality electronic products at budget-friendly prices.",France,1371.259766,,,
Micromania,1042060640.0,"France, Hauts-de-france, Villeneuve-d'ascq",https://www.linkedin.com/company/micromania,www.micromania.fr,"Micromania, founded in 1983 by Albert Loridan, is a pioneering French company that has established itself as a key player in the video game retail industry. With a mission centered on the passion for gaming and a strong commitment to customer engagement, Micromania offers a wide array of products, including video games, consoles, and gaming accessories. The company is known for its innovative services, such as the Club Micromania loyalty program, Click & Collect, and Live Shopping, which enhance the shopping experience for its customers. Over the decades, Micromania has expanded its network of stores, beginning with its first retail location in Printemps Haussmann, Paris, in 1987, and has adeptly adapted to the evolving market landscape. Micromania's target market primarily consists of young individuals and passionate gamers, ranging from casual players to dedicated enthusiasts. The company collaborates with major gaming brands and publishers to provide the latest titles and exclusive merchandise, ensuring that it remains at the forefront of gaming culture in France. Celebrating 40 years of innovation and success, Micromania continues to play a vital role in fostering a vibrant gaming community through events and customer-centric initiatives. With a focus on customer satisfaction and a deep-rooted love for gaming, Micromania remains a go-to destination for all gaming needs in France, solidifying its reputation as an essential part of the gaming landscape.",France,1042.06064,,,
IVS France,804717160.0,"France, Île-de-france, Cormeilles-en-parisis, 3 Rue Georges Méliès, 95240",https://www.linkedin.com/company/ivs-france,www.ivsfrance.com,"IVS France is a leading player in the vending industry, specializing in the provision of hot and cold beverages and snacks through advanced automatic and semi-automatic vending machines. As a key member of the IVS Group, which operates across several European countries, IVS France is dedicated to delivering high-quality products and services while emphasizing sustainability and social responsibility. The company's mission is to create long-term value for its stakeholders, including employees, customers, and local communities, by focusing on quality, risk management, and environmental benefits.  IVS France serves a diverse clientele, including businesses, institutions, and public services, and collaborates with various partners to enhance its service offerings. The company is committed to promoting a culture of sustainability, focusing on the circular economy to minimize waste and enhance the quality of life for future generations. With a workforce of approximately 79 employees, IVS France prioritizes employee well-being and responsible marketing practices, aiming to be a benchmark in the vending market. The company operates around 280,000 vending machines across several European countries, including Italy, Spain, and Switzerland, and boasts a workforce of approximately 4,000 employees. IVS France's innovative approach includes the use of satellite communication and telemetry systems to ensure maximum efficiency and product integrity. The company also enhances the customer experience with user-friendly payment systems and a dedicated mobile application, Coffee cApp, allowing users to purchase products directly from their smartphones. IVS France is committed to creating enjoyable break areas that foster employee well-being and productivity while engaging in eco-friendly practices and supporting local suppliers. Through its initiatives, IVS France strives to contribute positively to the communities it serves and uphold high standards of quality and responsibility. With a strong emphasis on consumer satisfaction, technological innovation, and environmental sustainability, IVS France aims to transform the coffee break experience into a moment of connection and inspiration.",France,804.71716,,,
Easy Cash S.A.S,661395542.0,"France, Nouvelle-aquitaine, Mérignac",https://www.linkedin.com/company/easy_cash,www.easycash.fr,"Easy Cash S.A.S is a leading retail company in the French market, specializing in the sale of second-hand and refurbished electronic products, including gaming consoles, smartphones, and a variety of accessories. The company is dedicated to providing high-quality, tested items that come with a two-year warranty, reflecting its commitment to customer satisfaction and trust. Easy Cash promotes sustainable consumption by encouraging the reuse of electronic devices, thereby contributing to environmental preservation and responsible consumption practices.  The company's mission is to make technology accessible to a broad audience by offering affordable alternatives to new products, catering to tech-savvy consumers, gamers, and budget-conscious individuals. Easy Cash collaborates with various partners to source its products, ensuring a diverse inventory that meets the needs of its clientele. With multiple retail locations, the company offers convenient services such as click-and-collect and home delivery, enhancing the shopping experience for its customers.  By focusing on quality, customer service, and sustainability, Easy Cash S.A.S positions itself as a trusted choice for those seeking reliable electronic products at competitive prices. The company’s vision is to lead the way in promoting the resale of pre-owned goods, making a positive impact on both consumers and the environment.",France,661.395542,,,
Groupe LDLC SA,578021734.0,"France, Limonest, 2 Rue Des �rables, 69760",https://www.linkedin.com/company/ldlc,www.groupe-ldlc.com,"Founded in 1996, Groupe LDLC is today the leader in computer and high-tech e-commerce in France. With 10 brands and 6 online stores, the e-commerce pioneer combines activities in the fields of computers, high-tech, home, childcare and education. Groupe LDLC employs nearly a thousand people, for a turnover of 472.1 million euros. More infos : https://www.groupe-ldlc.com/ We're hiring : https://carrieres.groupe-ldlc.com/fr",France,578.021734,,,
Whirlpool France,421787933.0,"France, Île-de-france, Puteaux",https://www.linkedin.com/company/whirlpoolfrance,www.whirlpool.fr,"Whirlpool France, une filiale de European Appliances France SAS, est un acteur majeur dans le secteur des appareils électroménagers, proposant une vaste gamme de produits allant des lave-linge aux réfrigérateurs, en passant par les lave-vaisselles et les fours. La mission de l'entreprise est d'améliorer la vie quotidienne de ses clients grâce à des solutions innovantes et durables, tout en respectant les normes de protection des données personnelles. Whirlpool France s'engage à offrir un service client de qualité, incluant des options de livraison gratuite, des paiements échelonnés sans frais, et un service après-vente réactif, garantissant ainsi une expérience client satisfaisante. L'entreprise cible principalement le marché français, s'adressant à des ménages soucieux de la qualité et de l'efficacité énergétique de leurs appareils. Whirlpool France collabore également avec des partenaires commerciaux, notamment dans le secteur de la distribution, pour élargir sa portée et répondre aux besoins d'un marché en constante évolution. En intégrant des technologies avancées, telles que la technologie 6ème SENS, Whirlpool France optimise l'efficacité énergétique et le confort d'utilisation de ses produits. En plus de la vente d'appareils électroménagers, Whirlpool France propose des services de réparation et d'entretien pour ses marques emblématiques, telles que Whirlpool, Hotpoint et Indesit. L'entreprise met un accent particulier sur la durabilité et la satisfaction client, en collaborant avec des techniciens qualifiés et des partenaires agréés pour assurer des interventions rapides et fiables. Whirlpool France vise à simplifier la vie quotidienne de ses clients tout en promouvant des pratiques durables et responsables, consolidant ainsi sa position de leader dans l'industrie de l'électroménager.",France,421.787933,,,
