Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Farart Srl - Fine Art Management,746368.0,"Italy, Piedmont, Tortona, 6 Strada Comunale Costa Longarino, 15057",https://www.linkedin.com/company/farart-s-r-l-,www.farart.it,"Farart è una società piccola e giovane ma con un obiettivo ambizioso: provvedere ad ogni aspetto della comunicazione di professionisti, imprese, pubbliche amministrazioni e organizzazioni non profit. Dalla comunicazione tradizionale cartacea: progettazione grafica, redazione e stampa di biglietti da visita, brochures, cataloghi, materiali promozionali, riviste ed ogni altro genere di pubblicazione; ufficio stampa; acquisto di spazi pubblicitari. Fino alla comunicazione digitale: realizzazione di newsletter; creazione e gestione di profili sui principali social media; miglioramento della visibilità. Senza dimenticare la comunicazione diretta: organizzazione di meeting, convegni ed eventi promozionali; attività di fund raising e progettazione culturale. Ci occupiamo infine di riordino ed archiviazione di documenti cartacei e digitali, per non perdere ciò che si ha comunicato negli anni.",Italy,0.746368,,,
Muzeum Memów,1454542.0,"Poland, Mazovia, Płock, 5a Tumska, 09-402",https://www.linkedin.com/company/muzeum-memów,bigfestivalowski.pl,"Zupełnie na serio przygotowana najbardziej niepoważna galeria w kraju, która otworzyła się w połowie sierpnia 2022 roku w ramach festiwalu lekkich treści - Big Festivalowski.  Tegoroczną wystawę możecie odwiedzać do końca roku w podziemiach kina ""Przedwiośnie"" w Płocku.  Czekają na Was kreatywne przestrzenie: memory, pokój terapeutyczny, dinozaury, pokój klasyczny, memy filmowe, memy współczesne oraz doświadczenia audiowizualne i dotykowe.  Bilety kupisz na miejscu lub online.  Partnerem Muzeum jest bileteria going. *** Mem to obecnie podstawowy nośnik informacji kulturowej, żartu, język pokoleń.  W naszym Muzeum poznasz historię zjawiska i jego różne odmiany. Sprawdź, jak to jest oglądać memy nie tylko w swoim telefonie lub na komputerze.",Poland,1.454542,,,
DAS GERICHT,2783111.0,"Germany, Hesse, Frankfurt Am Main, 15 Konrad-adenauer Straße, 60313",https://www.linkedin.com/company/das-gericht,www.dasgericht.com,"– EN – DAS GERICHT is an offspace established in April 2022, consisting of two showcases in the arcades of an 80s postmodern parking garage at Konrad-Adenauer-Strasse 15 in Frankfurt, Germany. In the direct vicinity of a dim sum restaurant, militaria store and bodybuilding store, monthly changing exhibitions of contemporary positions take place close to the city center. Particularly distinguished by the low-threshold character of the project space – available to viewers around the clock without an entrance ticket and opening hours. – DE – DAS GERICHT ist ein seit April 2022 existierender Offspace bestehend aus zwei Vitrinen in den Arkaden eines 80er-Jahre-postmodernen-Parkhauses in der Konrad-Adenauer-Strasse 15 in Frankfurt am Main. In direktem Umfeld zu einem Dim Sum Lokal, Militaria-Shop und Bodybuilding-Geschäft finden in Innenstadtnähe monatlich wechselnde Ausstellungen zeitgenössischer Positionen statt. Besonders ausgezeichnet durch den niederschwelligen Charakter des Projektraumes, der ohne Eintrittskarte, ohne Öffnungszeiten, ohne Schwellenangst rund um die Uhr den Betrachter:innen zur Verfügung steht.",Germany,2.783111,,,
Livingstone Paint Factory Srl,1426638.0,"Italy, Friuli Venezia Giulia, Udine",https://www.linkedin.com/company/livingstone-paint-factory-srl,www.livingstonepaintfactory.it,"Siamo artigiani digitali. Siamo grafici e stampatori, realizziamo stampe digitali su diversi supporti, progetti grafici e personalizziamo abbigliamento. Nel nostro laboratorio lavoriamo con plotter Roland e stampanti Brother di ultima generazione. Frequentiamo corsi di aggiornamento organizzati direttamente dai produttori. Conosciamo a fondo i nostri macchinari e li usiamo sfruttando completamente le loro potenzialità.  I nostri PVC personalizzano automobili e furgoni resistendo alla pioggia e all'usura del sole. La nostra grafica crea progetti adatti ad ogni esigenza, dai biglietti da visita ai loghi.  Scegliamo le tele e calibriamo gli inchiostri in base alle opere d'arte da riprodurre per ottenere il risultato più vicino possibile all'originale. Siamo a completa disposizione per qualsiasi richiesta e preventivo.",Italy,1.426638,,,
Black Flamingo,951092.0,"Germany, Berlin, Berlin, 40-43 Herzbergstr., 10365",https://www.linkedin.com/company/black-flamingo-agency,blackflamingo.eu,"black flamingo is dedicated to the realization of commercial and non-commercial art ventures for artists, galleries and brands. Our goal is to couple artists with appropriate funds from sponsors, foundations or companies supporting the realization of projects across commercial and non-commercial ventures. Our office is located at Fahrbereitschaft where we showcase artists during Gallery Weekend and art berlin contemporary when the Haubrok foundation and art collection as well as the 30 artists residing in the compound open their spaces to the public. balck flamingo supported artists during the pandemic, we helped collecting 60.000,-€: On July 24, 2020, an enormous festival has taken place in Berlin where a stunning amount of artists, ensembles and culture makers working in all fields took part - by not showing up.  Over 1.800 tickets were sold for Berlin’s (non) festival of the year and nobody showed up! Our donations provided real support  to many artists and culture makers. Check out www.niemandkommt.de for more information. In November 2014 black flamingo launched the website berlin-artist.info, a rich platform dedicated to supply information for visual artists and art production in Berlin. To date our Newsletter has almost 2.000 subscribers.",Germany,0.951092,,,
FTG-Arte Milano - The Dynamic Museum,1902184.0,"Italy, Lombardy, Milan, 6 Via Pasquale Paoli, 20143",https://www.linkedin.com/company/ftg-arte,ftg-arte.it,"Coltivare il futuro con gli strumenti del presente.  👉🏻 FTG-Arte è il settore dedicato al mondo museale, del design e della cultura dell'agenzia Fotogramma. Si propone di collaborare con musei, gallerie e istituzioni culturali per creare nuovi legami, anche a distanza, con il pubblico, valorizzare i beni e le attività, potenziare il numero delle visite. Il team è composto da una museologa, una esperta di Comunicazione creativa, una Marketing specialist che - con il supporto di una motion graphic designer, operatori Matterport™, fotografi, videomaker - realizzano nuovi prodotti multimediali. Ottimizziamo i contenuti già presenti e ne creiamo di nuovi per rendere l’esperienza dello spettatore il più possibile immersiva e coinvolgente. Tutto questo nella ricerca di un dialogo anche con nuovi pubblici e con la volontà di ampliare il raggio di azione del museo. 👉🏻 Ecco cosa può fare FTG-Arte per voi: 1⃣ Virtual Tour Matterport: i tour virtuali capaci di attrarre il pubblico e rendere una visita memorabile. Al momento lo stato dell’arte del VT, migliori e più fluidi di Google Street View. 2⃣ L’inserimento nel VT dei contenuti già presenti o la creazione di nuovi pensati per target di pubblico diversi. (Scolaresche, famiglie, disabilità, corporate). 3⃣ La generazione di nuovi introiti - attraverso un esclusivo sistema di ticketing che dialoga con la vostra biglietteria - anche con il coinvolgimento e la valorizzazione delle risorse umane presenti. 👉🏻 Questi strumenti innovativi sono utili per raggiungere vari obiettivi: •	Rendere desiderabili le visite in presenza •	Mantenere vivo il legame con il pubblico. •	Ottenere visitatori paganti con tour digitali di alto livello •	Potenziare gli strumenti didattici per migliorare il legame con le scuole •	Promuovere il museo e il proprio territorio presso nuovi pubblici •	Accogliere le disabilità •	Supportare iniziative di fundraising         ... e forse altre cose ancora da scoprire.",Italy,1.902184,,,
PIKOTEKA,475546.0,"Poland, Mazovia, Warsaw, 19b Ulica Cybernetyki, 02-677",https://www.linkedin.com/company/pikoteka,,"Z przyjemnością każdego dnia zaspokajamy potrzeby w zakresie dokonywania wygodnych i bezpiecznych zakupów ze szczególnym uwzględnieniem najwyższej jakości reprodukcji obrazów, grafik i fotografii, najwyższej próby artystycznej. Naszą misję działania oparliśmy na przekonaniu o tym, że sztuka odgrywa szczególną rolę w życiu każdego człowieka. Pikoteka dostarcza swoim Klientom najwyższej jakości reprodukcje dzieł sztuki, co pozwala na na obecność sztuki w każdej przestrzeni(...) Rozumiemy, że zapewniając najwyższą jakość swoich produktów, musimy wykorzystywać do ich tworzenia najbardziej wyrafinowane technologie reprodukcyjne. Nasze obrazy wykonane są w technice druku Giclée. Korzystamy również z technik tradycyjnych (np. wysokiej jakości druk cyfrowy). Dzięki użyciu najnowszej technologii artystycznego, wykonujemy idealne pod względem kolorów wydruki. Nasza oferta to m.in.: - Najwyższej jakości reprodukcje dzieł sztuki twórców klasycznych - Oryginalne dzieła twórców współczesnych - Albumy/ Teczki kolekcjonerskie - Sprzedaż biletów do muzeów  - Wystawy i wydarzenia kulturalne - Blog - Współpraca z muzeami, galeriami, artystami - Promocja artystów -... Zapraszamy do odwiedzenia platformy ze sztuką online.",Poland,0.475546,,,
IOKode,330039.0,"Estonia, Harjumaa, Tallinn",https://www.linkedin.com/company/iokode,iokode.blog,"IOKode es un canal de YouTube y un blog de desarrollo de software. El contenido será principalmente sobre desarrollo de software, desde entradas y vídeos puramente técnicos, pasando por mis propias reflexiones y opiniones personales, hasta documentar desafíos con los que me he encontrado y como me he enfrentado a ellos hasta solucionar problemas. Hay contenido para todo los niveles, desde artículos sobre como funciona algo a bajo nivel, hasta información que puede consumir incluso personas ajenas a la industria, por lo que si tus conocimientos no son muy avanzados, tal vez no todo el contenido sea para ti, pero sí que podrás consumir una gran parte de ellos.",Estonia,0.330039,,,
Intelligent Delivery - Hapiick,1751596.0,"Spain, Basque Country, Ermua, 48260",https://www.linkedin.com/company/hapiick,www.hapiick.com,"La irrupción del e-commerce como fórmula de compra provoca una demanda creciente de logística asociada a la entrega de paquetes al consumidor. Las entregas en domicilio son dificultosas para el operador logístico con un porcentaje importante ( 1 de cada 4) de intentos fallidos en la entrega lo que representa una incomodidad y un hándicap importante con los horarios y el ritmo de vida actual . Se propone “hapiick” como un servicio innovador para paliar esta situación que afecta a un número importante de usuarios que compran por internet .La solución consiste en la instalación de unos puntos de recogida equipados con armarios automatizados y telegestionados mediante un aplicativo que facilita el control y operación de los agentes implicados en los  procesos de venta on line, entrega y recepción, es decir Tiendas On line, compañías logísticas y consumidor.La ubicación y entorno son elementos clave en el servicio ; Ubicados en lugares estratégicos de fácil acceso, con un horario amplio, arropados de un entorno de seguridad, comodidad y privacidad. Ejemplos son los supermercados urbanos o estaciones de servicio de ciudad. Operativamente el funcionamiento es muy simple; el consumidor recibe un aviso en el que se informa que su paquete está disponible para su recogida, incluyendo una clave que facilita su identificación y acceso a la taquilla en la que está depositado su compra. La funcionalidad base de los armarios permiten desarrollar diferentes modelos de servicio y explotación agrupados de forma genérica en operaciones B2C  y C2C. Por ultimo señalar que la solución habilita una alternativa dentro de la problemática de la entrega de paquetería especialmente complicada en zonas urbanas con restricciones o congestión de tráfico, al agrupar los envíos y facilitar su recepción.",Spain,1.751596,,,
Ticloud,1830072.0,"Spain, Andalusia, Málaga, 3 Calle Concejal Muñoz Cerván, 29003",https://www.linkedin.com/company/ticloud,www.ticloudapp.com,ticloud es la solución que permite digitalizar el ticket de compra ahorrando toneladas de papel lo que deriva en beneficios tanto de costes como ecológicos además de un importante valor añadido. Ticloud almacena los tickets de compra  en la nube securizados  y permite al usuario acceder a ellos desde cualquier dispositivo.,Spain,1.830072,,,
