Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Parc Astérix,818017547.0,"France, Hauts-de-france, Plailly, 60128",https://www.linkedin.com/company/parc-asterix,www.parcasterix.fr,"Parc Astérix, a subsidiary of Compagnie des Alpes, is a unique family leisure destination inspired by the spirit of Gaul, offering a blend of thrilling attractions and a convivial atmosphere. The park is dedicated to providing high-quality experiences for its visitors, supported by a professional team committed to excellence in service. Its mission revolves around creating memorable moments for families and friends, while its vision emphasizes the importance of teamwork and collaboration across various departments, including hotels and reservation centers. The target market includes families seeking entertainment and adventure, with a focus on inclusivity and diversity in its hiring practices. Parc Astérix also partners with ticket resellers to ensure seamless access for guests, enhancing the overall visitor experience.",France,818.017547,,,
Olympique Lyonnais Groupe SA,210090690.0,"France, Auvergne-rhône-alpes, Décines-charpieu, 10 Avenue Simone Veil, 69150",https://www.linkedin.com/company/olympique-lyonnais-groupe,www.olentreprises.com,"Organisé autour de l’Olympique Lyonnais, club de football fondé en 1950 et dirigé par Jean-Michel Aulas depuis 1987, OL Groupe, depuis sa création en 1999, s’impose comme un acteur leader des médias et du divertissement sportif en France. Le modèle de développement d'OL Groupe allie croissance, récurrence et pérennité autour de 5 produits d'activités : billetterie, droits marketing et TV, partenariats et publicité, produits de la marque (produits dérivés, OL Images, …) et trading de joueurs Palmarès de l'équipe masculine : Championnat de France L1 Vainqueur en : 2002, 2003, 2004, 2005, 2006, 2007, 2008 Vice Champion en : 1995, 2001, 2010 Troisième en : 1974, 1975, 1999, 2000, 2009, 2011  Trophée des Champions  Vainqueur en : 1973, 2002, 2003, 2004, 2005, 2006, 2007, 2012 Coupe de la Ligue  Vainqueur en : 2001  Finaliste en : 1996, 2007, 2012  Coupe de France  Vainqueur en : 1964, 1967, 1973, 2008, 2012  Finaliste en : 1963, 1971, 1976  Demi-finaliste en : 1956, 1998 Quart de finaliste en : 1959, 1974, 2000, 2001, 2006 Championnat de France L2 Vainqueur en : 1951, 1954, 1989  Coupes d'Europe  Quarts en 2004, 2005, 2006 (C1) Demi-finale en 1964 (C2), 2010 (C1) Quarts en : 1967, 1999 (C3) Palmarès de l'équipe féminine : Championnat de France de D1 2007, 2008, 2009, 2010, 2011 Coupe de France 2008, 2012 Ligue des Champions 2011, 2012",France,210.09069,,,
Weezevent,104827635.0,"France, Bourgogne-franche-comté, Dijon",https://www.linkedin.com/company/weezevent,weezevent.com,"Weezevent is a leading provider of online ticketing, cashless payment, and access control solutions for live events across Europe. Founded in France in 2008, the company has carved out a significant niche in the event management industry, known for its innovative and user-friendly platform. Weezevent's mission is to simplify the event planning process, allowing organizers to concentrate on creating memorable experiences while ensuring seamless operations. The company caters to a diverse range of occasions, including festivals, sports events, and corporate gatherings, making it a versatile choice for event professionals. With a client base that features major events like Lollapalooza and Formula 1, Weezevent serves event organizers of all sizes, from small local events to large international festivals. The platform is designed to efficiently manage ticket sales, registrations, and access control, supporting both small-scale events and large festivals. Weezevent's commitment to continuous growth and innovation drives its aim to expand its reach and enhance its services in the global market. By partnering with various organizations and venues, Weezevent enhances the overall event experience while ensuring a smooth operational flow for its users. The company’s focus on providing seamless solutions positions it as a key player in the event management landscape, dedicated to helping clients create unforgettable experiences for their attendees.",France,104.827635,,,
Fimalac Entertainment,103804013.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/fimalac-entertainment,www.fimalac-entertainment.com,"Attachée à la promotion du patrimoine artistique et culturel français, et convaincue du rôle fédérateur que joue la culture dans le monde, Fimalac, fondée par Marc Ladreit de Lacharrière, crée et accompagne de nombreux projets favorisant le rayonnement de la culture.  La création d'une entité dédiée au divertissement est apparue comme une évidence pour soutenir la filière du spectacle vivant. Fédérer les acteurs du secteur de la variété, du théâtre, des musiques actuelles, de l'humour, du jazz et des musiques électroniques, permet une continuité et un développement de la création artistique. La première action de Fimalac dans le divertissement remonte à 2010 pour accompagner des sociétés de production sur un marché en mutation. Depuis, le groupe Fimalac Entertainment n'a cessé de se développer en réunissant l'ensemble des savoir-faire nécessaires à l'organisation et à la structuration de la filière du divertissement. A travers un ensemble de compétences et d’infrastructures uniques, Fimalac Entertainment regroupe aujourd’hui: - 7 sociétés spécialisées dans la production (Auguri productions, Arts Live productions, Encore productions, Gilbert Coullier productions, K-Wet production, Non stop productions et TS3) et le management (AS Talents) au service des artistes et des projets artistiques - une diversité de 20 équipements partout en France via sa filiale S-PASS (Zénith, salles de spectacle, parcs d’expositions, centres de congrès, stade, théâtres, arénas...) - 6 théâtres parisiens (Théâtre Marigny, Théâtre de la Michodière, Théâtre de Paris, Théâtre de la Porte Saint-Martin, Bouffes Parisiens et Théâtre de la Madeleine) et la Salle Pleyel - Un service de fonctions supports (domaines financiers, juridiques, ressources humaines, booking, marketing, sponsoring et billetterie).",France,103.804013,,,
HelloCSE,84034028.0,"France, Auvergne-rhône-alpes, Lyon",https://www.linkedin.com/company/hellocse,helloce.fr,"Fondée en 2017, HelloCSE est la référence des avantages salariés : application mobile et site intuitifs, offres diversifiées qualitatives et une culture du service client ancrée dans les équipes. Testé et adopté par +3500 entreprises, CSE et associations en France, nos équipes cherchent en permanence à dénicher les meilleurs bons plans pour vos collaborateurs, à améliorer l'expérience d'utilisation et écouter vos idées !  Nos 3 solutions pour les CSE : - Application et plateforme d'avantages salariés : +300 000 réductions dans tous les univers (cinéma, sport, loisirs vacances, mode, beauté, presse, billetterie spectacle, shopping...). - Site de communication complet pour votre CSE : communication (actualité, sondage, newsletter, annuaire, chat, vente privée...), avantages salariés et outils de gestion (e-chèques cadeaux, subventions, cagnotte-remboursements, partage documentaire...). - Chèques cadeaux : fini les commandes, offrez des e-chèques à vos salariés donnant accès à +1500 partenaires. Lauréat FT120 Volonté d'apporter un plus à votre marque employeur et à vos équipes ? Souhait de profiter de nos 300 000 offres en 3 clics ? Retrouvez-nous sur https://www.hellocse.fr !",France,84.034028,,,
Marineland Côte D'Azur,76875736.0,"France, Provence-alpes-côte D'azur, Antibes",https://www.linkedin.com/company/marineland-côte-d-azur,www.marineland.fr,"Créé en 1970 et situé à Antibes, Marineland est le plus grand zoo marin d’Europe. Les présentations animalières d’orques et de dauphins et les animations pédagogiques, en font un lieu ludique et de sensibilisation pour petits et grands. Les missions principales du zoo Marineland sont le bien-être et la bonne santé des animaux, l'éducation, la recherche et la conservation. Trois parcs à thème (Aquasplash, Adventure Golf Kid’s Island) sont également présents autour de Marineland, accessibles avec des billets spécifiques ou combinés.",France,76.875736,,,
La Seine Musicale,64926544.0,"France, Île-de-france, Boulogne-billancourt",https://www.linkedin.com/company/laseinemusicale,www.laseinemusicale.com,"Figure de proue de l’île Seguin, La Seine Musicale, conçue par Shigeru Ban et Jean de Gastines, est un nouveau lieu culturel unique en son genre, pouvant accueillir tous les styles de musique, pour tous les publics. Cette culture pour tous et cette recherche d'excellence permanente se retrouveront dans La Grande Seine, l'Auditorium, les Studios Riffx, mais également les commerces et les jardins qui en font un lieu de promenade et de vie permanent. Plus de 300 concerts par an rythmeront ce projet architectural unique en Europe.  La Seine Musicale accueille également en résidence l'Insula Orchestra, la Maîtrise des Hauts de Seine et l'Académie Jaroussky.  Jardins ouverts du mercredi au dimanche de 11h à 17h. Le lieu est ouvert du mardi au samedi de 11h à 19h  Accès : -METRO : ligne 9 station terminus Pont de Sèvres, sortie numéro 1 (emprunter le Quai Georges Gorse puis le Pont Renault) -BUS : station Pont de Sèvres (lignes 160 – 169 – 171 – 179 – 279 – 291 – 389 – 426 – 467) -TRAMWAY : T2 stations Brimborion puis emprunter la passerelle de Meudon -Taxis ou VTC : dépose minute sur le parvis de l’île, au bout du Pont Renault -parking Indigo Cours Seguin au pied du Pont Renault Restauration  Les Bars de la Grande Rue sont ouverts pendant l'heure précédant le début des spectacles et lors des entractes Le Restaurant O 2 Scènes -  sur le parvis de la Seine Musicale  Réservations au 01 46 21 36 01 ou par mail à o2scenes@gmail.com Le Restaurant Octave -  à l’intérieur de la Seine Musicale  Réservations au 01 74 34 54 21 ou par mail à octave.lerestaurant@laseinemusicale.com  Ouverture du mardi au samedi pour le déjeuner de 12h à 14h30 et pour le dîner sur l’espace lounge les soirs de spectacle à partir de 18h30 pour les spectateurs munis d’un billet.",France,64.926544,,,
Francebillet,61435028.0,"France, Île-de-france, Ivry-sur-seine",https://www.linkedin.com/company/francebillet,www.francebillet.pro,"Francebillet is a leading ticketing platform in France, specializing in the sale of tickets for a wide range of events, including concerts, festivals, and cultural performances. The company's mission is to provide seamless access to live entertainment, ensuring that fans can easily find and purchase tickets to their favorite artists and events. With a focus on customer satisfaction, Francebillet aims to enhance the event-going experience through features like personalized ticket alerts and user-friendly navigation. The platform caters to a diverse clientele, including music enthusiasts, families, and event organizers, and partners with various artists and venues to offer a comprehensive selection of events. By prioritizing data privacy and user engagement, Francebillet strives to be the go-to destination for ticket purchases in the French market.",France,61.435028,,,
Rodez Aveyron Football,52597476.0,"France, Occitanie, Rodez, 17 Place De La Cité, 12000",https://www.linkedin.com/company/rodez-aveyron-football,www.rodezaveyronfootball.com,"Le Rodez Aveyron Football est depuis 1929 un acteur sportif et économique du Ruthénois et de l'Aveyron, devenu Société Anonyme Sportive Professionnelle en 2004. La SASP RAF organise les compétitions de ses équipes allant de l’école de football à la D1 Arkema ou encore la Ligue 2 BKT et développe différentes activités commerciales dont la billetterie, le sponsoring, le merchandising, l’évènementiel, les séminaires d’entreprise et les médias, en gardant un ancrage territorial important, qui en fait sa force. - - - - - - - - - - - - - - - - -  Dates remarquables du RAF  - - - - - - - - - - - - - - - - - [Equipe professionnelle masculine] Depuis 2019-2020 : Ligue 2 BKT 2018-2019 : Champion de National (record : 76 points) 2009 : Victoire face au PSG (2ème de Ligue 1) en 8ème de finale de Coupe de France [Equipe féminine] 2022-2023 : retour en Division 1  2019-2022 : Division 2 2010-2019 : Présence en Division 1 2015-2016 : Demi-finale de Coupe de France contre l’Olympique Lyonnais",France,52.597476,,,
Shotgun,51635346.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/shotgun-,shotgun.live,"Shotgun is a dynamic event management platform that specializes in promoting and facilitating live music events, particularly within the alternative and electronic music scenes. The company aims to create immersive experiences for attendees by curating unique lineups and engaging atmospheres, as exemplified by their events like ""Normal Bias"" and ""Femme District."" Shotgun's mission is to foster a vibrant community of music lovers and artists, while their vision focuses on enhancing the live music experience through innovative ticketing solutions and event organization. Their target market includes young adults and music enthusiasts who appreciate alternative genres and nightlife culture. Shotgun collaborates with local artists, venues, and sponsors to deliver memorable events that resonate with their audience.",France,51.635346,,,
LE MANS FC,38994772.0,"France, Pays De La Loire, Le Mans",https://www.linkedin.com/company/le-mans-fc,www.lemansfc.fr,"Le Mans FC is a professional football club based in Le Mans, France, dedicated to fostering a vibrant football culture and community engagement. The club's mission is to create an inclusive and festive atmosphere at their home ground, Stade MarieMarvingt, particularly during significant matches such as their upcoming Coupe de France clash against PSG. Le Mans FC prioritizes its loyal supporters and local residents, offering exclusive ticketing options and special promotions to enhance their matchday experience. The club collaborates with local football clubs and businesses, ensuring that the community is actively involved in its activities. With a vision of transforming the stadium into a ""sang et or"" (blood and gold) fortress, Le Mans FC aims to build a strong fan base and achieve success on the pitch while celebrating the spirit of football in the Sarthe region.",France,38.994772,,,
HelloAsso,33516500.0,"France, Nouvelle-aquitaine, Bègles",https://www.linkedin.com/company/helloasso,www.helloasso.com,"Nous apportons la meilleure technologie au meilleur de l’innovation sociale 🚀 HelloAsso, c’est la plateforme des associations. Nous les accompagnons à développer leurs activités en facilitant la participation des citoyens. Depuis notre création en 2009, nous avons construit la solution de paiement leader du secteur qui a permis à +370 000 associations de collecter 2 milliards d’euros à travers nos outils (billetterie, adhésions, crowdfunding, dons, boutique en ligne...) Deux mots pour nous définir : agir ensemble. 🤝 Notre culture valorise l’entraide, l’audace et l’engagement au service de l’impact de nos services 💡Nous sommes convaincus que la tech peut avoir un rôle positif sur la société 🔁 🌱 Nous sommes pionniers d’un modèle vertueux unique en France : HelloAsso est 100% gratuit pour les associations et exclusivement financé par les internautes qui jugent le service utile. Et tout cela n’aurait jamais pu voir le jour sans chacun des 160 membres de l’équipe 🏆 Envie de nous rejoindre ? Jetez un oeil à nos offres sur Welcome to the Jungle ➡️ https://www.welcometothejungle.com/fr/companies/helloasso/jobs?page=1",France,33.5165,,,
Le Vaisseau,30434944.0,"France, Grand Est, Strasbourg",https://www.linkedin.com/company/le-vaisseau,levaisseau.com,"Le Vaisseau est un espace dédié à la découverte et à l'apprentissage, offrant une variété d'activités et d'ateliers pour les enfants et les familles. Sa mission est de stimuler la curiosité et l'imagination des jeunes esprits à travers des expériences interactives et éducatives. Le Vaisseau s'adresse principalement aux enfants âgés de 3 à 12 ans, ainsi qu'à leurs parents, en proposant des ateliers thématiques qui favorisent l'apprentissage ludique. En collaborant avec des partenaires éducatifs et culturels, Le Vaisseau vise à créer un environnement enrichissant qui encourage l'exploration scientifique et artistique. Les visiteurs peuvent également profiter d'une billetterie flexible, permettant un accès facile à ses diverses activités.",France,30.434944,,,
Mon Petit Paris,29854655.0,"France, Île-de-france, Paris, 23 Rue D'aboukir, 75002",https://www.linkedin.com/company/monpetitparis,monpetitparis.com,"Depuis 2013, Mon Petit Paris offre à la clientèle des hôtels le plus large choix d'activités coupe-file sur Paris: visite guidée de la Tour Eiffel, Disneyland Paris, Moulin Rouge, Versailles, Louvre, Fondation Louis Vuitton, Bateaux Parisiens, Open tour Bus, Catacombes, Concerts, Spectacles... mais également des excursions avec nos guides certifiés dans Paris, food tour, bike tour et pleins d'autres activités insolites. Plus de 600 hôtels et palaces parisiens font appel à nous depuis déjà 4 ans. Notre qualité de service ainsi que notre expertise font de nous un leader dans le domaine de la billetterie touristique.",France,29.854655,,,
Ticketmaster France,29462075.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/ticketmaster-france-ticketnet,www.ticketmaster.fr,"Ticketmaster France is a leading ticketing platform that specializes in providing access to a wide range of live events, including concerts, sports, and theater performances. The company is dedicated to enhancing the ticket-buying experience through innovative technology and customer service, ensuring that fans can easily find and purchase tickets to their favorite events. Ticketmaster France partners with various event organizers, venues, and promoters, catering to a diverse clientele that includes both individual consumers and large organizations. With a mission to connect people with the events they love, Ticketmaster France aims to be the go-to source for live entertainment in the region, continually striving to improve accessibility and convenience for all users.",France,29.462075,,,
Ticket For Change,25272793.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/ticket-for-change,www.ticketforchange.org,"Ticket For Change is a pioneering organization dedicated to supporting entrepreneurs who aim to create a positive impact on society. With a mission to transform dreams into concrete projects, the company has been actively involved in the entrepreneurial ecosystem for over a decade, impacting more than 155,000 individuals and helping launch over 1,000 impact-driven businesses. Recently, Ticket For Change has highlighted the mental health challenges faced by leaders in the impact sector through a groundbreaking study, revealing that a significant percentage of these leaders experience mental health issues. The organization collaborates with various partners, including educational institutions and corporate entities, to provide innovative programs that enhance leadership skills and foster a supportive community. By prioritizing mental well-being and offering tailored support, Ticket For Change aims to ensure the sustainability of impactful projects and contribute to building a more just and sustainable society.",France,25.272793,,,
