Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Lufthansa,75999038500.0,"Germany, North Rhine-westphalia, Köln, 50672",https://www.linkedin.com/company/lufthansa,www.lufthansa.com,"Lufthansa is one of the world's largest and most prestigious airlines. With hubs in Frankfurt and Munich, we currently fly to 211 destinations in 74 countries. As an industry innovator, we have long been committed to environmental care and sustainability, operating one of the most technologically-advanced and fuel-efficient fleets in the world. Our long-haul fleet includes the Boeing 747-8 and the Airbus A350-900, which are some of the most environmentally-friendly passenger aircraft in the aviation industry. Known for our premium services, we have recently been named “Europe’s best airline” by Skytrax and continue to build new or upgrade existing lounge facilities across our worldwide network. Our entire long-haul fleet features all new onboard products in each class– bringing us one step closer to becoming the first five-star airline in the Western Hemisphere. Additionally, the entire Lufthansa long-haul fleet is equipped with our onboard broadband wireless Internet service, FlyNet. For more information, reservations or customer service, visit lufthansa.com or follow us on Facebook, Twitter, Instagram and Snapchat. We look forward to welcoming you onboard. This LinkedIn page is maintained by Deutsche Lufthansa AG. We will not answer specific Customer Service queries here on LinkedIn. If you have an immediate concern or need to contact us please visit http://www.lufthansa.com/us/en/imprint",Germany,75999.0385,,,
Lufthansa CityLine GmbH,36312437000.0,"Germany, Bavaria, Munich",https://www.linkedin.com/company/lufthansa-cityline,www.lufthansacityline.de,"Lufthansa CityLine ist eine hundertprozentige Konzerngesellschaft der Deutschen Lufthansa AG. Rund 8,2 Millionen Passagiere fliegen zurzeit pro Jahr mit Lufthansa CityLine. Unsere Flotte besteht aus modernen und umweltfreundlichen Flugzeugen der Typen Embraer 190, Bombardier CRJ900, Airbus A319, Airbus A320neo sowie Airbus A321P2F. Lufthansa CityLine beschäftigt rund 2.250 Mitarbeiter in den Bereichen Cockpit und Kabine, sowie am Boden in den Bereichen Technik und Verwaltung. Das Streckennetz von Lufthansa CityLine ist weit gefächert. Mit 330 Flügen täglich zu rund 80 Zielorten bietet Lufthansa CityLine schnelle und bequeme Nonstop-Verbindungen von und zu den Hubs Frankfurt und München.",Germany,36312.437,,,
KLM Royal Dutch Airlines,24765538317.0,"Netherlands, North Holland, Amstelveen",https://www.linkedin.com/company/klm,klm.com,"Welcome to our LinkedIn page! KLM was founded in 1919 and is the oldest airline in the world. With a vast network of European and intercontinental destinations, KLM can offer direct flights to major cities and economic centres all over the world.  Through our LinkedIn account, we make sure you are kept up-to-date about KLM and other developments in the air transport industry.  For all COVID information, please see https://klmf.ly/COVID19. See all our community standards here: https://social.klm.com/standards",Netherlands,24765.538317,,,
Ryanair Holdings plc,15085302749.0,"Ireland, Leinster, Ny",https://www.linkedin.com/company/ryanair,www.ryanair.com,"Catch flights, not feelings 💅 Ryanair Holdings plc, Europe’s largest airline group, is the parent company of Ryanair DAC, Lauda, Buzz and Ryanair UK. Carrying 160m+ guests p.a. on over 3,000 daily flights to/from 225 airports. Plan to carry 225m+ guests p.a. by 2026.  Unfortunately, we are unable to answer customer service queries through LinkedIn.  Please contact our customer service department through our website: http://www.ryanair.com/ie/questions/contacting-customer-service/ alternatively you can contact us through Twitter @askRyanair or on facebook.com/Ryanair",Ireland,15085.302749,,,
TAP Air Portugal,10763247202.0,"Portugal, Lisbon, Lisbon, 25 Rua C Edf.",https://www.linkedin.com/company/tap-air-portugal,www.flytap.com,"TAP is a Portuguese airline market leader, founded in 1945. The airline is a member of the Star Alliance, the largest global alliance of airlines in the world. With its Hub in Lisbon - a privileged access platform to Europe – at the crossroad with other Continents, the Company currently flies to Africa, North and South America; a region in which TAP stands out as being the leading operational European transportation company to Brazil. Continuing a strategic direction whose priority is Client expectation satisfaction, TAP continuously seeks to provide its clients with the best and easiest solutions for their trips, continuously adding additional value to the product they offer. With this objective, the Company also establishes the best of partnerships, on land and in the air; offering, thus, an increased number of destinations served in code-share with similar companies, in addition to a diversified group of advantages and associated fringe benefits. TAP intends to turn itself into, ever more, a reference airline on the international scene, taking advantage of business opportunities of markets in which it competes and differentiating itself with its operational efficiency and quality of service. The Company aims to build, at every moment the best choice for its client’s trips, as well as to assure its Shareholders with the most adequate levels of profitability and its employees with the best conditions of professional development.",Portugal,10763.247202,,,
Iberia,9755192002.0,"Spain, Madrid, Madrid",https://www.linkedin.com/company/iberia,www.iberia.com,"Iberia is Spain's leading airline, renowned for its extensive domestic and international flight services. The company is committed to enhancing air travel through innovative solutions, including the integration of cloud technology and artificial intelligence to improve customer experience. With a mission to achieve annual profitability between 13.5% and 15% by 2030, Iberia is investing €6 billion in its strategic flight plan, which aims to adapt to evolving market demands and customer needs. The airline serves a diverse clientele, including business travelers and leisure passengers, and has established partnerships with various organizations, such as the National Transplant Organization, to facilitate critical services like organ transport. Iberia's target market encompasses both individual travelers and corporate clients, with tailored offerings like the Iberia Club loyalty program and specialized air shuttle services between major cities.",Spain,9755.192002,,,
Alitalia Società Aerea Italiana S.p.A.,6947506937.0,"Italy, Latium, Fiumicino-isola Sacra",https://www.linkedin.com/company/6295,www.alitalia.com,"Alitalia - Società Aerea Italiana is the leading Italian airline. During 2019, Alitalia transported 21.3 million passengers and has one of the most efficient fleets, featuring long-haul aircraft (Boeing 777-300 ER, Boeing 777-200 ER, Airbus A330-200), medium-haul aircraft (Airbus A321, Airbus A320, Airbus A319) and regional aircraft (Embraer 190 and Embraer 175).  On long haul-flights, Alitalia offers three service classes: Magnifica, Premium Economy and Economy.  In 2019, Alitalia received two awards from the respected American magazine Global Traveler: ""Best Airline Cuisine"" for the tenth consecutive edition and, for the second time, the ""Best Business-Class Seat Design"". The comfort of the armchair and the quality of the meals served on board make the Magnifica class travel experience even more unique.  Alitalia is also a member of the global SkyTeam alliance.",Italy,6947.506937,,,
Vueling Airlines,6086080000.0,"Spain, Catalonia, Viladecans, 83 Carrer De Catalunya, 08840",https://www.linkedin.com/company/vueling-airlines,www.vueling.com,"Vueling, part of IAG and celebrating its 20th anniversary in 2024, is one of the main low-cost airlines in Europe and a key carrier in Spain.  It is the leading airline operating from its main base at Barcelona-El Prat, as well as in other important markets in Spain, such as Bilbao. It is also the leading airline between mainland Spain and the Balearic and Canary Islands. Internationally, it is working to strengthen its presence in major hubs such as London-Gatwick, Paris-Orly, Amsterdam, Florence and Rome.  With more than 4,600 employees, Vueling is the first airline in Europe to be certified as a Top Employer.  Mission: We love connecting people and places, creating value for our shareholders, employees, customers, and society while building a sustainable future. Vision: Together we will be the leading LCC in all the markets we choose to serve by unlocking our full potential through Vueling Transform.",Spain,6086.08,,,
Wizz Air Holdings Plc,5696909399.0,"Hungary, Budapest, Budapest, 2/a K?�r Street, 1103",https://www.linkedin.com/company/36906,corporate.wizzair.com,"At WIZZ, we believe that affordable travel provides the opportunities that can change people and the world around us for the better. Wizz Air is one of the leading low-cost airlines in Europe and the largest in Central and Eastern Europe. Founded in 2004, Wizz Air carried more than 34 million passengers in 2018 and continues to grow, adding new countries, new destinations and new opportunities to travel. Wizz Air flies to 44 countries and counts on more than 4,500 enthusiastic aviation professionals from more than 50 countries – pilots, cabin crew, operations, administration, sales, marketing and communications for the company’s success. Visit the Careers section at wizzair.com (https://wizzair.com/en-GB/career) to learn about exciting opportunities to join the WIZZ team.",Hungary,5696.909399,,,
Condor Flugdienst GmbH,5000000000.0,"Germany, Hesse, Neu Isenburg",https://www.linkedin.com/company/condorairlines,www.condor.com,"Condor Flugdienst GmbH is a prominent German airline specializing in leisure travel, offering flights to various destinations worldwide. Founded in 1955, the company has evolved into a key player in the tourism sector, known for its commitment to customer satisfaction and innovative services. Condor's mission extends beyond providing air travel; it actively participates in social initiatives, such as the FlyPink campaign, which raises awareness and supports breast cancer research and prevention. The airline caters to a diverse clientele, including vacationers and business travelers, and partners with various organizations to enhance its service offerings. With a modern fleet, including the latest Airbus A330neo aircraft, Condor aims to deliver exceptional comfort and efficiency while expanding its reach in the North American market and beyond.",Germany,5000.0,,,
