Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Air France,20661434154.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/air-france,www.airfrance.com,"Air France is a leading global airline that specializes in passenger and cargo transportation, connecting travelers to destinations across the globe with a strong emphasis on French culture and hospitality. The company's mission is to provide an exceptional travel experience, highlighted by its commitment to culinary excellence, as seen in its collaboration with renowned French chefs to create gourmet in-flight dining options. Air France aims to embody the essence of French gastronomy and elegance, offering a luxurious travel experience through its premium services, including the La Première suite. The airline serves a diverse clientele, including business and leisure travelers, and partners with various international airlines to enhance connectivity and service offerings. With a focus on sustainability and innovation, Air France targets a global market while promoting the rich heritage of France in every aspect of its operations.",France,20661.434154,,,
Corsair,1316379000.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/flycorsair,www.flycorsair.com,"Corsair is a prominent airline that has been providing exceptional travel experiences for over four decades. Committed to a mission of making every flight a personalized and human experience, Corsair emphasizes warm hospitality and attentive service, ensuring that every passenger feels valued and welcomed. The airline has modernized its fleet with next-generation aircraft, such as the Airbus A330neo, to enhance comfort and reduce its carbon footprint. Corsair caters to a diverse clientele, offering various travel classes, including Economy, Premium, and Business, each designed to meet different passenger needs. The company also engages in social responsibility initiatives, supporting sustainable tourism and economic development in the regions it serves. With a focus on reliability, comfort, and kindness, Corsair continues to earn recognition for its quality of service, including awards for being the Best Leisure Airline in France and having one of the youngest fleets in Europe.",France,1316.379,,,
Air Caraïbes,797163394.0,"Guadeloupe, Guadeloupe, Les Abymes, Fwi, 97139",https://www.linkedin.com/company/air-caraibes,www.aircaraibes.com,"Air Caraïbes | Haute en couleurs... ✈  Aujourd’hui reconnue comme la compagnie aérienne antillaise spécialiste des Caraïbes et de la Guyane, (code IATA : TX code ICAO : FWI : indicatif radio : French West) elle participe à la mise en valeur des départements d’outre-mer.  Elle emploie plus de 1105 collaborateurs et propose depuis 2003 de nombreux vols entre Paris Orly 4 et la Guadeloupe (Pointe-à-Pitre), la Martinique (Fort-de-France), la Guyane (Cayenne), Saint-Martin (Princess-Juliana, à compter du 12 décembre 2025), Haïti (Port-au-Prince), la République dominicaine (Punta Cana, Saint-Domingue et Samaná), Les Bahamas (San Salvador) et le Mexique (Cancún). Voyagez aussi sur notre réseau régional : Guadeloupe, Martinique, Saint-Martin (Grand Case), Saint-Barthélemy (desserte avec St Barth Commuter ou St Barth Executive) et la République dominicaine (Saint-Domingue - desserte avec Sky High). En partenariat avec French bee, la compagnie propose également à ses passagers de s’envoler vers les Etats-Unis,Montréal, La Réunion et la Polynésie française.  Air Caraïbes appartient au Groupe Dubreuil et possède la certification IOSA de l'IATA.  Des solutions de pré et post-acheminement de / vers la province et l’Europe vous sont proposées avec Train + Air  et Air Caraïbes Connect.  Notre compagnie vous offre également une liaison air-mer de / vers les îles de Marie-Galante, des Saintes et de Sainte-Lucie avec navigAIR. Pour en savoir plus : www.aircaraibes.com ou par téléphone au 0 820 835 835 (0,20€ / min + prix appel).",Guadeloupe,797.163394,,,
AIR AUSTRAL,651000745.0,"Réunion, Réunion, Sainte-marie, Réunion Sainte-marie, 97438",https://www.linkedin.com/company/110443,www.air-austral.com,"AIR AUSTRAL, VOTRE COMPAGNIE PARTENAIRE AU DEPART DE LA REUNION VERS /  - L'OCEAN INDIEN  DES LIAISONS DIRECTES VERS TOUTES LES ILES DE L’OCEAN INDIEN, COMORES, MADAGASCAR (3 VILLES), MAURICE, MAYOTTE, LES SEYCHELLES.  AVEC SA FILIALE EWA BASEE A MAYOTTE DE NOUVELLES DESTINATIONS EN CORRESPONDANCES A MADAGASCAR DIEGO SUAREZ ET MAHAJUNGA ET ANJOUAN AUX COMORES.  - L’ASIE, L’INDE,  L'AFRIQUE DU SUD, L’AUSTRALIE      -2 VOLS HEBDOMADAIRES EN B737   REUNION / CHENAI /BANGKOK ,     -2 VOLS HEBDOMADAIRES ST DENIS/JOHANNESBURG AVEC DES HORAIRES  FACILITANT TOUTES LES CORRESPONDANCES,    -LA REUNION RESTE RELIEE A L’AUSTRALIE, DANS LE CADRE DU CODESHARE AVEC AIR MAURITIUS SUR LA ROUTE MAURICE PERTH, 3 FOIS PAR SEMAINE.  -LA FRANCE METROPOLITAINE  JUSQU’A 12 VOLS PAR SEMAINE  ENTRE LA REUNION ET PARIS CDG (UN VOL QUOTIDIEN DE NUIT, 5 VOLS DE JOUR ST DENIS - PARIS).  SON PARTENARIAT AVEC LA SNCF ET LE TGVAIR PERMET DE REJOINDRE 20 VILLES DE PROVINCE EN METROPOLE EN CORRESPONDANCE A PARIS  CDG2 DANS LE MEME TERMINAL.  -L’EUROPE  PLUS ACCESSIBLE EN PLUS DES ACCORDS AVEC LES COMPAGNIES EUROPEENNES EN CORRESPONDANCE A PARIS CHARLES DE GAULLE , UN NOUVEAU CODESHARE AIR AUSTRAL/AIR FRANCE  VERS 43 DESTINATIONS EN EUROPE DANS 17 PAYS.  NOS ATOUTS  UNE FLOTTE JEUNE (3 B777-300, 2 B 787 DREAMLINER, 2 B737-800 ET 2ATR-72) ET UN ENGAGEMENT DE QUALITE.  AVEC PLUS D’UN MILLION DE PASSAGERS TRANSPORTES PAR AN, AIR AUSTRAL S’AFFIRME COMME LA COMPAGNIE PHARE DE L’OCEAN INDIEN.",Réunion,651.000745,,,
Aircalin,373099393.0,"New Caledonia, South Province, Nouméa, 8 Rue Frédéric Surleau, 98800",https://www.linkedin.com/company/aircalin,www.aircalin.com,"Founded in 1983, AIRCALIN is the international airline of New Caledonia. Its mission is to facilitate travel for New Caledonians, promote tourism in New Caledonia, connect New Caledonia with mainland France and other Pacific nations, and support the commercial exchanges essential to the territory’s economy. A French airline, AIRCALIN is a member of IATA and holds IOSA certification. Its fleet comprises two Airbus A330NEO and two Airbus A320NEO aircraft. To strengthen its medium-term development strategy and enhance operations on its new Nouméa–Paris route via Bangkok, Aircalin will add two Airbus A350-900 aircraft to its fleet between 2026 and 2028. Aircalin operates direct flights to Paris, Thailand, Singapore, Australia, New Zealand, Vanuatu, Fiji, Wallis and Futuna, and French Polynesia. Today, thanks to the continuous development of airline partnerships and the optimization of its flight schedule, Aircalin offers over 110 destinations from Nouméa. In addition, the airline actively promotes New Caledonia by showcasing local expertise onboard its aircraft, including cuisine, local products, and music. Its cabin designs reflect the vibrant colors of the lagoon as seen from the sky, paired with the striking red earth, offering a unique invitation to explore the territory’s beauty from the very start of the journey.",New Caledonia,373.099393,,,
HOP!,349574982.0,"France, Auvergne-rhône-alpes, Clermont-ferrand",https://www.linkedin.com/company/brit-air,www.hop.fr,"HOP! est la compagnie régionale du Groupe Air France desservant les aéroports de Roissy-CDG et de Lyon-St Exupéry avec des fréquences régulières et des horaires adaptés. Avec des trajets en France et en Europe, HOP! répond aussi bien aux besoins des voyageurs d'affaires qu'à ceux de la clientèle loisirs, en leur permettant d'atteindre directement leur destination finale ou de rejoindre les lignes du Groupe Air France et de ses partenaires (correspondances via les hubs). Qualité de services, proximité et sécurité, telles sont les valeurs que HOP! défend au quotidien avec pour mission de faciliter les déplacements de ses passagers grâce à des vols à la fois rapides et confortables.  HOP! en chiffres : • 36 avions Embraer de 70 à 110 sièges • 200 vols quotidiens • Plus de 100 destinations • 1800 salariés",France,349.574982,,,
French Bee,267398454.0,"France, Île-de-france, Orly",https://www.linkedin.com/company/frenchbee,www.frenchbee.com,"French bee is a modern airline that specializes in providing affordable long-haul flights, primarily connecting North America to popular destinations in France and beyond, including direct flights from Montreal to Paris. The company's mission is to offer low-cost travel options while ensuring a seamless and comfortable experience for its passengers. With a focus on reliability and convenience, French bee aims to simplify the travel process from booking to arrival, catering to a diverse clientele that includes leisure travelers, families, and business professionals. The airline partners with various travel service providers to enhance the travel experience, making it accessible for those seeking to explore the rich culture and history of France and other destinations. French bee's target market includes budget-conscious travelers looking for quality service without the premium price tag, making international travel more attainable for everyone.",France,267.398454,,,
ASL Airlines France,183392745.0,"France, Île-de-france, Tremblay-en-france",https://www.linkedin.com/company/asl-airlines-france,www.aslairlines.fr,"Depuis 25 ans ASL Airlines France met ses « avions au service des hommes ». Elle se classe aux premiers rangs des compagnies aériennes françaises. ASL Airlines France est une compagnie aérienne française membre du groupe international ASL Aviation Holdings.  Elle est reconnue pour son très haut niveau de qualité de service. Des vols passagers pour tous Des vols touristiques : ASL Airlines France a développé, en France et en Europe, sa notoriété de compagnie aérienne passagers en effectuant des vols pour les principaux tours opérateurs français et européens. Des vols réguliers : En s’appuyant sur son savoir-faire inégalé en matière de vols passagers, ASL Airlines France a ouvert des lignes régulières au départ de la France vers l'Algérie et le Maroc et le Kosovo. Des vols à la demande : ASL Airlines France effectue des vols VIP, des vols incentive, des navettes d’entreprise et des vols à la demande. Grâce à la flexibilité de son organisation, ASL Airlines France peut proposer à ses clients des solutions adaptées au plus près de leurs besoins. La compagnie a ainsi équipé l’un de ses Boeing 737-700 d’une cabine VIP avec 56 sièges.  Des avions passagers dédiés : ASL Airlines France intervient pour le compte de compagnies aériennes européennes et internationales pour lesquelles elle met en place des avions dédiés. L’activité cargo  Du fret express : ASL Airlines France effectue des vols cargo réguliers pour les principaux expressistes internationaux et pour des opérateurs postaux. Des vols à la demande : L’offre de vols cargo à la demande répond à des demandes aussi diverses que le transport d’instruments d’orchestres, de poussins, de chevaux, de pièces pour l’industrie automobile ou encore pour l’industrie du BTP.",France,183.392745,,,
Air Antilles,166356172.0,"Guadeloupe, Guadeloupe, Les Abymes, 97139",https://www.linkedin.com/company/air-antilles,www.airantilles.com,French Regional Airline  IATA CODE: 3S - CALLSIGN: Greenbird Air Antilles operates scheduled flights within the Caribbean Islands Main destinations: SFG - SBH - PTP - FDF Fleet: 3 ATR / 2 Twin,Guadeloupe,166.356172,,,
VALLJET,79296084.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/valljet,www.valljet.com,"VallJet, compagnie aérienne française basée à Paris-Le Bourget met à votre service 30 avions d'affaires pour 4 à 49 passagers : EMB145, Legacy,  Hawker 800XP/900XP, Cessna Citation II/CJ1/CJ2/CJ2+/CJ3/M2 VALLJET vous propose des vols à la demande avec un service sur-mesure. Disponible et réactive 7j/7 et 24h/24, l’ensemble de nos équipes assure le transport de nos clients en toute sécurité et discrétion.",France,79.296084,,,
