Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
TopAtlântico,381235148.0,"Portugal, Azores, Ponta Delgada",https://www.linkedin.com/company/topatlântico,topatlantico.pt,"TopAtlântico is a travel agency dedicated to creating unforgettable vacation experiences for its clients. With a team of specialized travel experts, including Carole Lima, Cláudia Melo, and Frederico Nobre, the company offers personalized travel planning services across diverse destinations such as Africa, Asia, America, Europe, and Oceania. TopAtlântico's mission is to provide tailored travel solutions that cater to individual preferences, ensuring that every journey is memorable. The agency collaborates with various partners to deliver exclusive offers and promotions, enhancing the travel experience for its clientele. Targeting both leisure travelers and adventure seekers, TopAtlântico aims to be the go-to choice for those looking to explore the world with expert guidance.",Portugal,381.235148,,,
Viagens Abreu S.A.,322671914.0,"Portugal, Porto, Porto",https://www.linkedin.com/company/viagens-abreu-s.a.,www.abreu.pt,"Established in the city of Porto in the year 1840, ABREU is the world’s oldest travel agency, as well as the largest travel organization in Portugal. The current headquarters remains in Porto, with the main office in Linda–a –Velha, a suburb of Lisbon, in a spacious and modern office building. Abreu has offices throughout mainland Portugal, Madeira and Azores Islands, with over 140 retail locations in the main cities and towns. A steady growth in the Portuguese market lead to the expansion of the company to international locations, with the opening of companies in Brazil, Spain, United States, UK and more recently in Angola. This effort has been accompanied with improvements in infrastructure, communications, technology and the continuing fine tuning of our trademark: quality service to our clients.",Portugal,322.671914,,,
Wamos Portugal,136155410.0,"Portugal, Lisbon, Lisbon, 083 Av. D. João Ii Lt 1.16.1, 1900",https://www.linkedin.com/company/wamosportugal,www.grupotravellive.com,"A Wamos Portugal representa um Grupo de empresas lideres no mercado português de Viagens e Turismo. Suportada por  avançadas ferramentas tecnológicas e serviços inovadores, a Wamos Portugal apresenta uma proposta integrada de valor, baseada em altos níveis de serviço e no fornecimento das melhores soluções de mercado sustentadas por uma forte capacidade de negociação e  contratação. Uma empresa feita de pessoas para pessoas, que acredita no valor proporcionado  por cada colaborador, parceiro, fornecedor, cliente e consumidor. Atenta à satisfação dos seus clientes  e à  garantia de um nível de qualidade  se serviço acima da média, a Wamos Portugal  é Certificada em Qualidade  pela APCER e IQNET. Em Portugal, a Wamos opera quer no segmento das Viagens de Lazer, quer nos segmentos Corporate  e de Viagens de Negócios. Também desenvolve uma atividade  de destaque no segmento de Incoming.  É uma referência na  Operação Turística de  vários segmentos, com a liderança absoluta  nas viagens de neve  e especialista  no segmento de Cruzeiros com uma marcas dedicadas.  A Wamos Portugal integra  nas suas empresas um  Global Sales Agent  que representa  várias companhias aéreas e outras empresas de serviços de viagem que não possuem escritórios e operação comercial direta em Portugal. As marcas que integram a Wamos Portugal, são: ▪ Top Atlântico  ▪ GeoStar  ▪ NetViagens.pt  ▪ Loja de Cruzeiros  ▪ Sporski  ▪ Meganeve  ▪ Take Off Surf Travel ▪ CWT  ▪ TA DMC  ▪ TopAtlântico DMC  ▪ Magnet  ▪ ATR  ▪ TA Turismo Angola",Portugal,136.15541,,,
Cosmos Active,132905000.0,"Portugal, Lisbon, Lisbon",https://www.linkedin.com/company/cosmos-active,www.cosmosactive.com,"Cosmos Active is a trading name of Cosmos Viagens S.A, registered travel operator with tourism license RNAVT Nº 1945 and IATA member nº 64201421. We are Sports Tourism Specialists including Sports Tours Worldwide, Training Camps Arrangements for All Sports, Sports Tournaments and Event Management. Cosmos Active has specialized in servicing the unique needs of sports teams including football/soccer, rugby, basketball, field hockey, tennis, swimming and many other sports disciplines at every level – professional, universities, youth and senior amateurs. Cosmos Active offers comprehensive travel solutions that save clients time and money, while providing unforgettable sporting experiences.  WHY SHOULD YOU TRAVEL WITH US? 28 years of sports travel experience Multi sports travel specialists Safety management policies in place All inclusive sports travel packages Worldwide destinations 24/7 assistance during all tours Unique and exclusive sports experiences Sports Travel Company specialized in: SPORTS TOURS WORLWIDE WARM WEATHER TRAINING CAMPS SPORTS EVENTS MANAGEMENT OUR SERVICES CAN INCLUDE: • Round Trip Flights (IATA Member nº 64201421) • Competition against local teams of appropriate level for your team • Quality sports facilities available for games and training sessions • Visits to professional matches, pro team training academies and stadium guided tours • Affordable yet suitable accommodations at all of our international sports destinations • Excellent balance of sporting experiences and exciting cultural and sightseeing group activities for all teams. • Pre-inspection site visits • Team meeting room • Laundry Services • Luxury and Private Coach Transfers • Specialist dietary needs • Team security • Special Accommodation Club Officials / Head Coache(s) • VIP packages for sponsors / special team guests • 24/7 Team Tour Managers • Special price conditions for coaches / staff • Community services with local institutions",Portugal,132.905,,,
OSIRIS,81693246.0,"Portugal, Lisbon, Lisbon, 35 A Av. Marquês De Tomar, 1050-153",https://www.linkedin.com/company/osiris-travel,www.osiris.pt,"A OSIRIS é uma agência de viagens e de eventos que cria experiências exclusivas e altamente personalizadas.  A OSIRIS actua no mercado nacional, quer na gestão de viagens, de deslocações e de eventos empresariais, quer na organização de viagens de lazer à medida. A OSIRIS é ainda uma referência a nível internacional  na captação e na organização de viagens de lazer ou temáticas  e de “eventos & incentivos “ a serem realizados em Portugal & Espanha. O grupos OSIRIS engloba mais 4 empresas: O-JETS ( www.o-Jets.com): broker de aviação privada ; O-SPORTS ( www.o-sports.pt): gestão de eventos e estágios desportivos em Portugal & Espanha; O- BUS (www.o-bus.pt): um meio de transporte premium e especial . Onde começa e acaba o seu evento! O-BIKE (www.o-bike.pt): empresa especializada em viagens de bicicleta para Portugal, quer na vertente de estrada quer de montanha (BTT), e organização de eventos corporativos com bicicletas .",Portugal,81.693246,,,
Ovnitur,47654393.0,"Portugal, Viana Do Castelo, Viana Do Castelo",https://www.linkedin.com/company/ovnitur,www.ovnitur.pt,"A Ovnitur- Viagens surge no ano de 1987, com sede social na Rua da Ponte Férrea nº18, Nogueira, Viana do Castelo. Conta ainda, com agências de viagens em Ponte de Lima e Viana do Castelo.",Portugal,47.654393,,,
Valpi,42670123.0,"Portugal, Paredes, 256 Av. Joaquim Ribeiro Da Mota, 4585-166",https://www.linkedin.com/company/valpig,www.valpi.pt,"A Valpi, sociedade gestora de participações, emprega atualmente cerca de 400 colaboradores distribuidos pelas seguintes empresas: Valpi Bus - Transporta anualmente cerca de 12,5 Milhões de passageiros, designadamente em transporte regular (urbano e interurbano) nas áreas dos Concelhos do Porto, Penafiel, Valongo, Paredes, Lousada, Amarante e Matosinhos, em transporte ocasional (aluguer) nacional e internacional. Valpi Rent - Solução rent-a-car com numa rede nacional de estações distribuídas por 40 concelhos e 10 distritos para entrega e recolha de viaturas. Soluções flexíveis adaptadas a todas as necessidades: uso pessoal, viagem em família ou necessidade empresarial. Valpi Travel - Uma agência de viagens com oferta global de serviços, desde aviação ao alojamento hoteleiro, aluguer de automóveis e viagens de autocarro, passando também pelos pacotes turísticos e organização de viagens próprias. Britafiel - É uma referência de inovação e qualidade no sector da industria extrativa. Sendo reconhecida como uma das principais alternativas ao fornecimento de agregados e rochas ornamentais de granito, marcando presença nas principais obras nacionais e multinacionais. Bioport - A Bioport dedica a sua actividade industrial à produção de biocombustível desde o ano de 2009. Localizada a norte de Portugal, no parque empresarial de Paredes, tem actualmente uma capacidade de produção anual de 35.500 m3.  A Valpi tem como missão o mérito e o empenho. O nosso objetivo é criar as condições para que todos os que ingressam nos nossos projetos se possam realizar individualmente, contribuindo para um futuro comum cada vez melhor. Trabalho, Ambição e Honestidade, estes são os valores da Valpi. Valores que nos acompanham desde sempre.",Portugal,42.670123,,,
Abreu Online,30814580.0,"Portugal, Lisbon, Lisbon",https://www.linkedin.com/company/abreuonline,www.abreuonline.com,"Abreu online is part of Grupo Viagens Abreu S.A., was founded in 2003 and is one of the leading e-wholesalers in Europe. Abreu online has established a strong reputation for providing our clients with excellent value for money, the highest standard of service, creative technology and flexible credit facilities. We are recognised as being a fast, innovative and flexible company within the industry. Abreu online serves over 185 000 hotels and land arrangements worldwide, spread over 120 countries and over 4 900 locations. We are allied with more than 8,500 tour operators and travel agencies across the world. It's an online booking platform of hotels and services, exclusively for travel agents, operators and various sales solutions available for B2B and B2C channels. Don't need to pay any registration fee or sales commission. It's free! It's a ""User Friendly"" system, which offers its partners the most advanced XML technology, enabling online search engines holders, integrate all of our inventory.",Portugal,30.81458,,,
Lusanova,30425075.0,"Portugal, Lisbon, Lisbon",https://www.linkedin.com/company/lusanova,www.lusanova.pt,"Lusanova is a travel company specializing in curated tours and travel experiences across various global destinations, including Europe, Africa, North America, Central America, South America, Asia, the Middle East, and Oceania. The company offers a diverse range of products, such as European circuits, city breaks, and family-friendly vacations, with a focus on providing unique travel experiences that cater to different interests and preferences. Lusanova's mission is to create memorable journeys for its clients, ensuring that each trip is enriched with cultural insights and local experiences. The company primarily serves travel agencies and individual travelers, with a target market that includes families, couples seeking romantic getaways, and adventure seekers. Through partnerships with hotels and local guides, Lusanova aims to deliver high-quality services and unforgettable travel experiences.",Portugal,30.425075,,,
CLUB-TOUR VIAGENS E TURISMO SA,23570490.0,Portugal,https://www.linkedin.com/company/club-tour-viagens-e-turismo-sa,www.clubtour.pt,"SOMOS CLUB-TOUR  O que significa isto para nós?  Que todos os elementos da nossa equipa vivem a empresa e se empenham num projecto que sabem ser seu também. Vivem-no, sabendo que o sucesso da empresa é fruto da sua dedicação, do seu dinamismo e do seu renovado compromisso em servir o cliente, para que este faça desta, a sua casa. Ao iniciarmos este projecto em 1988, não antevíamos que aqui seriam formadas gerações de agentes de viagens. 26 anos depois, continuamos a trabalhar no futuro da nossa empresa garantindo ao Cliente, em cada viagem, um acompanhamento personalizado, profissional e pleno de responsabilidade. Queremos planear e reservar a sua próxima viagem. Para si, trazemos do passado uma promessa que é presente e continuará a ser futuro: “Club- Tour, Um cliente, uma excepção…”",Portugal,23.57049,,,
Landescape,20423311.0,"Portugal, Aveiro, Ovar, 7 Rua Dr. Zagalo Dos Santos, 3880-206",https://www.linkedin.com/company/landescape,www.landescape.pt,"We are a cultural and adventure travel agency with a strong investment in sustainable tourism.  We work with small groups of 4 to 12 travellers, and we count on an experienced travel leaders team that share their knowledge and passion to create the best designed travels. Our aim is to provide to the ones who travel with us the immersion on the local culture, enjoying to the fullest landscapes, historic richness and gastronomic diversity that each country as to offer. More information available on our website : www.landescape.pt",Portugal,20.423311,,,
Tours For You,12835557.0,"Portugal, Lisbon, Lisbon, 18 Rua Do Pólo Norte, 1990-266",https://www.linkedin.com/company/tours-for-you,www.toursforyou.pt,"We're an Incoming Tour Operator and D.M.C. (Destination Management Company) in Portugal, focused in developing charming, luxury & experiential travel services and special events. Our specialization is to provide tailor-made, personalized and creative travel planning, where all details are important. We've started our business in 2003 and we became a Virtuoso On-Site to Portugal in January 2008 as a natural recognition of our reliable and special way of work (and we're the only Portuguese Virtuoso On-Site). We are also the only Ensemble Travel Group On-Location to Portugal as well as for Traveller Made, American Express Crafted Journeys Program and Travel Leaders Group.  Tours For You is the only Portuguese DMC selected to attend very exclusive and ""by invitation only"" Travel Events since the very first editions (like Pure Life Experiences since 2009, Travel Week São Paulo, in Brazil, since 2011 and Limited Edition Miami since 2013). Tours For You has also 2 other specialized brands: TFY Events (www.tfyevents.com) Tours For You Spain (www.toursforyouspain.com)",Portugal,12.835557,,,
Days Of Adventure,12586680.0,"Portugal, Faro, Lagos, Loja 2 Passeio Dos Descobrimentos, 8600-315",https://www.linkedin.com/company/days-of-adventure,www.daysofadventure.com,"We are a specialist tour operator for both sea and land adventures on the Algarve, operating from Lagos Marina. - Our activities on the ocean are: Dolphin spotting on our large catamaran designed for family adventures, providing stunning views of these fabulous mammals, toilets sun protection and freedom to move around, suitable to all ages. - Dolphin spotting on a RIB rigid inflatable boat, up close and personal with these fabulous mammals this is more suitable to the adventurous type; - Grotto trips to the famous Ponta da Piedade, using specially constructed 9 seater boats, enabling excellent access to the fabulous grottos and caves of this area, suitable to all ages; - Kayaking at Ponta da Piedade, transporting you to Ponta da piedade on one of our specially constructed vessels launching you fresh and ready on board your kayak at Ponta da Piedada, suitable to all ages; - Benagil caves on our large catamaran designed for family adventures, especially designed vessel for incredible views, toilets sun protection and freedom to move around, suitable to all ages; - Benagil caves on a RIB rigid inflatable boat, ultra-high speed journey, and incredible views at the Benagil caves, this is more suited to the adventurous type; - WATER TAXI water taxi adventure to and from Lagos and Alvor through the stunning Alvor nature reserve.",Portugal,12.58668,,,
Bestravel,12494462.0,"Portugal, Lisbon, Lisbon, 1750",https://www.linkedin.com/company/bestravel,www.bestravel.pt,"A BESTRAVEL é a maior rede de Agências de viagens em Franchising, detendo mais de 60 lojas, estrategicamente instaladas em todo o país. Procuramos e promovemos o desenvolvimento de mais e melhores soluções, mais próximas dos gostos e necessidades dos consumidores – na imaginação, na qualidade, no sentido prático e no preço. A BESTRAVEL só completa a sua missão quando os nossos clientes regressam a casa 100% satisfeitos.",Portugal,12.494462,,,
Honeymooners,11452320.0,Portugal,https://www.linkedin.com/company/honeymooners,honeymooners.travel,"Honeymooners is a travel company specialized in designing personalized honeymoons and transformative experiences for couples in love. Anywhere in the world. Founded by Joana & André, a couple who turned their own love story into a lifelong mission, Honeymooners was born to celebrate romance with meaning, detail, and sophistication. Since 2021, we’ve crafted thousands of one-of-a-kind journeys for couples across more than 40 countries, always treating each story as if it were our own. With headquarters in Portugal and an expanding international presence — including Brazil, Mexico, UAE, the US, the UK, and Australia — we create soulful trips, blending human connection, sensitive curation, and excellence in every detail. We are more than a travel agency: we are a legacy of love, resilience, and purpose. 🌍 Because when two hearts come together, the whole world becomes a destination.",Portugal,11.45232,,,
Atlântida WTA Viagens Portugal,10849602.0,"Portugal, Lisbon, Lisbon",https://www.linkedin.com/company/atlântida-wta-viagens,corporate.atlantidawtaviagens.com,"Atlântida WTA Viagens Portugal is a travel agency established in February 2020, specializing in providing comprehensive travel services including hotel bookings, travel arrangements, activities, and car rentals. The company is dedicated to delivering exceptional customer experiences, as evidenced by its perfect ratings in sleep, location, service, cleanliness, and rooms. Atlântida WTA Viagens aims to be a trusted partner for travelers seeking memorable experiences in Portugal, catering to a diverse clientele that includes both leisure and business travelers. The agency collaborates with various partners in the hospitality and transportation sectors to ensure high-quality service and satisfaction for its customers. With a commitment to excellence, Atlântida WTA Viagens strives to enhance the travel experience for all its clients.",Portugal,10.849602,,,
Pinto Lopes Viagens,10827648.0,"Portugal, Porto, Porto, 4300-428",https://www.linkedin.com/company/3841405,www.pintolopesviagens.com,"Agência de Viagens em Grupo, Culturais e de Autor, com guia. A Pinto Lopes Viagens é um operador turístico e agência de viagens especializada em Viagens em grupo, culturais e de Autor, com Guia em português. Com 50 anos de experiência, organizamos anualmente cerca de 1.000 circuitos, levando mais de 30.000 viajantes aos quatro cantos do mundo. A programação por nós desenvolvida é comercializada em exclusivo pela Pinto Lopes Viagens, não sendo possível encontrá-la numa outra agência. RNAVT n.º 2070.",Portugal,10.827648,,,
Realvitur - Viagens E Turismo,10479359.0,"Portugal, Vila Real, Vila Real, 5000-596",https://www.linkedin.com/company/10202382,realvitur.pt,"Bem-vindo ao LinkedIn da REALVITUR – Viagens e Turismo. Desde a nossa fundação em 1988, a REALVITUR tem construído uma sólida reputação de prestígio e credibilidade junto dos nossos clientes. Com 36 anos de experiência, somos hoje uma das principais agências de viagens e turismo a atuar tanto no mercado nacional como internacional, com balcões em Portugal (Vila Real) e Angola (Luanda). Em Portugal, fomos distinguidos como PME Excelência 2014, um reconhecimento pelo nosso desempenho superior e pela confiança que conquistámos no mercado. Em Angola, a nossa determinação e ousadia também têm sido premiadas ao longo dos anos. Na REALVITUR, o nosso objetivo é ser o parceiro ideal para as suas viagens. Oferecemos soluções personalizadas para atender às suas necessidades, sejam elas viagens de negócios, de incentivo ou de lazer. Garantimos todos os serviços essenciais para que as suas viagens sejam uma experiência agradável e segura, incluindo reserva de voos e hotéis, organização de congressos e eventos, apoio na obtenção de vistos e documentação, transferes e aluguer de veículos e ainda viagens de grupo e incentivo. A nossa equipa é composta por profissionais experientes e especializados, sempre disponíveis e comprometidos com a satisfação dos nossos clientes. Na REALVITUR, cada cliente conta com um gestor de conta personalizado, dedicado ao planeamento das suas viagens e à gestão de todas as suas reservas, pronto a atendê-lo presencialmente ou através de Telefone, Whatsapp, Skype ou Email. Na REALVITUR, acreditamos que podemos ajudá-lo a voar mais longe! O mundo é seu, explore-o!",Portugal,10.479359,,,
Transol SA,10365598.0,"Portugal, Faro, Portimão",https://www.linkedin.com/company/transol-sa,www.transol.pt,"Fundada em 1994, a Transol – Transportes e Turismo, SA, é uma empresa de Transportes de Turismo de Passageiros e Agência de Viagens. Desenvolveu-se a partir da necessidade que o mercado turístico Algarvio apresentava respeitante ao transporte de passageiros de turismo. Iniciou com uma frota reduzida, cerca de 20 autocarros, ultrapassando rapidamente a capacidade instalada. O crescimento nos primeiros anos foi exponencial, captando os principais agentes de viagens da região, operadores estrangeiros, empresas e escolas de toda região Algarvia. Hoje, a Transol, SA é sem dúvida uma das empresas de maior dimensão da região algarvia na área dos transportes de turismo, com mais de 100 viaturas de Turismo. A qualidade de serviço, para a qual contribui a diversificada frota de autocarros e o profissionalismo de todos os colaboradores, é amplamente reconhecida por todos os clientes.",Portugal,10.365598,,,
GeoStar,9202032.0,"Portugal, Lisbon, Lisbon, 90 Avenida Da República, 1600-206",https://www.linkedin.com/company/geostar,www.corporate.geostar.pt,"Constituída em 2009, a GeoStar é detida a 100% pela RASO - Viagens e Turismo, SA, empresa que integra o Grupo Wamos Portugal, SA. Somos uma das marcas de topo no panorama nacional, oferecendo um serviço especializado na organização de viagens de corporativas, sendo o parceiro ideal no planeamento de  passagens aéreas, estadas em hotéis, aluguer de viaturas com e sem condutor,  e outros serviços turísticos. Atuamos também no segmento de Eventos e Incentivos.  Pioneiros na implementação de tecnologia para ajudar  os clientes a melhorar os seus processos de Gestão de Viagens, apresentamos uma taxa de retenção de clientes de 96%.  Somos Certificados em Qualidade há mais de 20 Anos .  Como parceiro da CTM, a GeoStar faz parte de uma rede mundial de empresas independentes de gestão de viagens e que oferecem consistência, fiabilidade e soluções económicas de viagens corporativas em seis continentes. Esta parceria permite-nos assegurar padrões de serviço alinhados, tecnologia inovadora e maior eficiência operacional, garantindo que cada viagem é otimizada em termos de custos, segurança e satisfação dos viajantes. Através da CTM, disponibilizamos ainda aos nossos clientes o acesso ao CTM Global Hotel Program, uma seleção premium de tarifas corporativas e benefícios exclusivos em mais de 48.000 propriedades, distribuídas por mais de 200 países. Aproveitando o poder de compra global da CTM e relações com fornecedores, entregamos valor imbatível, descontos exclusivos, e experiências melhoradas para os nossos viajantes.  Operamos através de 2 BTC (Business Travel Centers – call centers business), em Lisboa e no Porto, e um escritório em Madrid.  Saiba mais em www.corporate.geostar.pt",Portugal,9.202032,,,
