Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Deutsche Bahn,50086120000.0,"Germany, Berlin, Berlin",https://www.linkedin.com/company/deutschebahn,www.deutschebahn.com,"Welcome! Deutsche Bahn is an international provider of mobility and logistics services and active in over 130 countries. We design and operate the transport networks of the future. With the integrated operation of transport and infrastructure and the intelligent linking of all modes of transport, we move people and goods – on the rails and roads, by sea and by air. With some 300,000 employees, of which roughly 200,000 are based in Germany, we are one of Germany’s largest and most diverse employers. Each year we seek to fill jobs in more than 500 different occupations with up to 8,000 enthusiastic new employees, who help us to connect people and markets. Together we want to change mobility. Do you want to be on board? Welcome!  Learn more:  Information about Deutsche Bahn: www.deutschebahn.com  Careers at Deutsche Bahn: www.deutschebahn.com/karriere Impressum & Legal notice: http://www.deutschebahn.com/impressum-datenschutz",Germany,50086.12,,,
ÖBB,5780958945.0,"Austria, Vienna, Vienna",https://www.linkedin.com/company/obb,www.unsereoebb.at,"ÖBB. Heute. Für morgen.  Für uns. Rund 1,3 Mio. Reisende, und ca. 1.300 Güterzüge sind täglich mit den ÖBB unterwegs. Darüber hinaus sind wir einer der Top-Arbeitgeber Österreichs. Knapp 42.000 engagierte Mitarbeiter:innen sowie zusätzlich rund 2.000 Lehrlinge sorgen täglich dafür, dass unsere Züge und Busse ihr Ziel erreichen.  Wir sind Wirtschaftsmotor, internationaler Konzern, verlässlicher Geschäftspartner, Innovationstreiber und Klimaschützer. Aber vor allem sind wir eines: ein attraktiver Arbeitgeber. Kaum ein anderes Unternehmen bietet so viele unterschiedliche und spannende Jobmöglichkeiten wie die ÖBB. #JobsmitSinn",Austria,5780.958945,,,
Trenitalia,5710172914.0,"Italy, Latium, Rome",https://www.linkedin.com/company/trenitalia,www.trenitalia.com,"Trenitalia, the Ferrovie dello Stato Group's company for the transportation of passengers and the provision of logistics services for goods, is one of Europe’s largest rail operators. Trenitalia's mission is to provide services, in a domestic and European context, able to satisfy demand for the mobility of travellers and the transportation of goods.",Italy,5710.172914,,,
ECT Rotterdam,3202996893.0,"Netherlands, South Holland, Rotterdam",https://www.linkedin.com/company/ect,www.ect.nl,"Hutchison Ports ECT Rotterdam is one of the leading and most advanced container terminal operator in Europe. The company handles a majority of the containers at the port of Rotterdam. ECT operates two terminals to this extent: the Hutchison Ports ECT Delta and the Hutchison Ports ECT Euromax at the Maasvlakte (directly on the North Sea).   European Gateway Services is a part of ECT Rotterdam, and offers its clients an extended network of inland terminals and extended gates that are connected to the deepsea terminals in Rotterdam through high-frequency rail and inland shipping services. Extra services are added to these efficient connections, especially in the area of customs clearance.",Netherlands,3202.996893,,,
NMBS Internationaal - SNCB International,3014032000.0,"Belgium, Brussels Capital, Brussels",https://www.linkedin.com/company/nmbs-europe---sncb-europe,www.b-europe.com,"NMBS Internationaal - SNCB International is a leading provider of international train travel services, specializing in group travel for parties of ten or more. The company aims to facilitate seamless and enjoyable travel experiences by offering tailored group booking services, including dedicated contact personnel, meal options on board, and the ability to reserve before the standard booking period opens. Its target market includes schools, businesses, and travel agencies looking to organize group trips across Europe, with popular destinations such as Paris, London, and Amsterdam. SNCB International partners with various train operators, including Eurostar and TGV, to provide a comprehensive range of travel options, ensuring that clients benefit from competitive pricing and flexible travel arrangements. The company's mission is to promote sustainable travel by encouraging the use of trains as an eco-friendly alternative to air travel.",Belgium,3014.032,,,
Hanzevast,2741439400.0,"Netherlands, Groningen, Groningen",https://www.linkedin.com/company/hanzevast,www.hanzevast.nl,"Hanzevast is een toonaangevende speler in de scheepvaartsector, actief sinds 1999, met een focus op het faciliteren van internationale handel over zee via haar wereldwijd opererende rederij, Hanzevast Shipping. Het bedrijf biedt een breed scala aan diensten, waaronder de inkoop, exploitatie en verkoop van schepen, en het commercieel, operationeel en technisch beheer van schepen in haar scheepsfondsen. Hanzevast heeft meer dan 25 jaar ervaring in het beheren van investeringsfondsen, met een indrukwekkend totaal van € 3,4 miljard aan vastgoedfondsen en € 600 miljoen in scheepvaartfondsen. De missie van Hanzevast is om integriteit, transparantie en klanttevredenheid te waarborgen, terwijl het zich richt op duurzame investeringen en het creëren van waarde voor haar klanten. De klanten van Hanzevast omvatten zowel particuliere als institutionele beleggers die op zoek zijn naar stabiele rendementen in de scheepvaart- en vastgoedmarkten.",Netherlands,2741.4394,,,
Nederlandse Spoorwegen,2557910340.0,"Netherlands, North Brabant, Uden",https://www.linkedin.com/company/nederlandsespoorwegen,www.werkenbijns.nl,"NS is de Nederlandse spoorwegmaatschappij die zich richt op het aanbieden van betrouwbare en comfortabele treinreizen voor zowel binnenlandse als internationale reizigers. De missie van NS is om het openbaar vervoer toegankelijk en aantrekkelijk te maken, met een sterke focus op klanttevredenheid en duurzaamheid. Het bedrijf streeft ernaar om een veilige en schone reiservaring te bieden, hoewel er in de afgelopen jaren kritiek is geuit op de netheid en onderhoud van de treinen. NS bedient een breed scala aan klanten, waaronder dagelijkse forenzen, toeristen en zakelijke reizigers, en werkt samen met verschillende partners in de vervoerssector om een geïntegreerd mobiliteitsaanbod te creëren. De focus ligt op het verbeteren van de dienstverlening en het verhogen van de klanttevredenheid, terwijl het bedrijf ook rekening houdt met de financiële uitdagingen en beleidskeuzes die de spoorsector beïnvloeden.",Netherlands,2557.91034,,,
Arriva Nederland,2324960048.0,"Netherlands, Friesland, Heerenveen",https://www.linkedin.com/company/arriva-nederland,werkenbij.arriva.nl,"Arriva Nederland is een toonaangevende speler in de openbaarvervoersector, die zich richt op het bieden van duurzaam en innovatief vervoer. Met een sterke focus op de ontwikkeling van talent, biedt het bedrijf diverse stage- en afstudeermogelijkheden aan studenten van verschillende opleidingen, waarbij persoonlijke begeleiding en een leertraject centraal staan. Arriva streeft ernaar om een positieve impact te maken op de samenleving door maatschappelijk verantwoord te ondernemen, met initiatieven die kansen bieden aan mensen met een afstand tot de arbeidsmarkt. Het bedrijf werkt samen met verschillende partners en organisaties om zijn doelen te bereiken, waaronder het verminderen van CO2-uitstoot en het verbeteren van de duurzaamheid van zijn operaties. Arriva's missie is om een groen hart te hebben en bij te dragen aan een betere wereld, wat ook weerspiegeld wordt in hun hoge scores op de CO2- en MVO-prestatieladders.",Netherlands,2324.960048,,,
Connexxion,1954932586.0,"Netherlands, North Holland, Hilversum",https://www.linkedin.com/company/connexxion,www.connexxion.nl,"Connexxion wil de beste keuze zijn op het gebied van regionaal personenvervoer in Nederland.  Met zorg brengen wij mensen op hun bestemming met toegankelijk, duurzaam en veilig vervoer! Wij willen mobiliteit voor iedereen toegankelijk en beschikbaar houden. Want wij geloven dat mobiliteit essentieel is in ieders leven. Het verbindt je met de wereld om je heen en geeft je de vrijheid om te gaan en staan waar je wilt. Met onze innovatieve diensten bieden wij comfort en gemak afgestemd op individuele behoeften.  Binnen Connexxion leveren wij de volgende diensten: •	Connexxion Openbaar Vervoer verzorgt dagelijks het vervoer per bus in diverse regio’s en per trein over vier regionale lijnen.  •	Connexxion Taxi verzorgt, verspreid over heel Nederland, het taxivervoer voor speciale doelgroepen, zoals leerlingen in het bijzonder onderwijs en gebruikers van het wmo-vervoer. Ook Schiphol Taxi en business taxi zijn diensten die Connexxion Taxi levert. Connexxion maakt, samen met Witte Kruis, onderdeel uit van Transdev. Transdev is een wereldwijde speler op het gebied van personenvervoer en zorg.",Netherlands,1954.932586,,,
Banedanmark,1746401850.0,"Denmark, Capital Region, Copenhagen",https://www.linkedin.com/company/banedanmark,www.banedanmark.dk,"I Banedanmark skaber vi forudsætningen for, at hundredtusindvis af danskere hver dag kan tage toget, og transport af mange tusind tons gods. Lige nu bygger vi en helt ny attraktiv, grøn jernbane, mens vi holder den gamle kørende. Vi sætter strøm til banen, så der kan køre klimavenlige tog. Vi indsætter nye, digitale signalsystemer og bygger en højhastighedsbane til Europa. Og vi styrer togtrafikken og informerer om den på stationernes skærme og højtalere på fjernbanen.  Banedanmark er en styrelse under Transportministeriet med mere end 2.500 medarbejdere. Hovedkontoret ligger på Carsten Niebuhrs Gade 43 i København, men vi har dygtige og dedikerede medarbejdere i hele landet.  Vil du også være med? Læs mere på www.banedanmark.dk/job  RETNINGSLINJER FOR BANEDANMARKS LINKEDINSIDE Tak, fordi du er aktiv i debatten på siden. Vi ønsker en åben dialog, og vi vil meget gerne have kommentarer, forslag og feedback. Banedanmarks LinkedIn-side skal være et godt sted at være for alle. Derfor har nogle få retningslinjer for siden: • Indlæg, som er injurierende, hadefulde, racistiske, diskriminerende, krænkende eller truende, eller på anden måde i strid med dansk lovgivning, slettes. Gentagne overtrædelser medfører udelukkelse fra siden uden varsel.  • Kommentarer til opslag, der ikke har noget med opslagets emne at gøre, slettes.",Denmark,1746.40185,,,
