Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
SNCF,48040567400.0,"France, Île-de-france, Saint-denis",https://www.linkedin.com/company/sncf,www.groupe-sncf.com,"SNCF is a world leader in public transportation. Trains, passenger services, cards and passes, dialogue, ticket booking. One Group, 5 divisions SNCF offers a complete range of mobility solutions through its five divisions: SNCF Infra, SNCF Proximité, SNCF Voyages, SNCF GEODIS and Gares&Connexions.",France,48040.5674,,,
CroisiEurope,352479799.0,"France, Grand Est, Strasbourg",https://www.linkedin.com/company/croisieurope,www.croisieurope.com,"CroisiEurope is a leading river cruise company that specializes in providing immersive travel experiences across Europe and beyond. With a mission to offer all-inclusive, high-quality cruises, the company aims to showcase the unique cultural and culinary treasures of each destination, ensuring that guests enjoy a seamless and enriching journey. CroisiEurope caters to a diverse clientele, including families, couples, and solo travelers, and partners with local artisans and culinary experts to enhance the onboard experience. The company’s target market includes travelers seeking both relaxation and adventure, with a focus on those who appreciate fine dining and cultural exploration. With a commitment to exceptional service and memorable itineraries, CroisiEurope continues to be a preferred choice for river cruising enthusiasts.",France,352.479799,,,
Corsica Ferries,332897249.0,"France, Corsica, Bastia",https://www.linkedin.com/company/707029,www.corsicaferries.com,"Corsica Ferries est une compagnie maritime opérant en Méditerranée. Elle assure le transport de passagers, de véhicules et de fret entre le continent et la Corse, la Sardaigne, les Baléares et l'Île d'Elbe. Fondée en 1968 par Pascal Lota, la compagnie a transporté près de 3,5 millions de passagers en 2024.",France,332.897249,,,
Rail Europe,182859761.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/raileurope,www.raileurope.com,"Rail Europe is a global travel tech company and the reference brand for European train booking. We have been the trusted partner of travel professionals and train operators for 90 years. Our rail expert teams provide technology service solutions to +15,000 travel professionals in 70 countries. We also offer travellers a train booking website and app available worldwide. The company sells around 5 million European train tickets every year. Its catalogue of products focuses on European train operators such as SNCF, SBB, Eurostar,  Trenitalia, Italo, DB, Renfe, ÖBB, SNCB, NS, OUIGO Spain, Iryo and National Rail, and rail passes including the Swiss Travel Pass and Eurail Passes. Rail Europe is headquartered in Paris.",France,182.859761,,,
Keolis Île-de-France,175351132.0,"France, Île-de-france, Courbevoie",https://www.linkedin.com/company/keolis-le-de-france,www.keolis-idf.com,"Attentifs aux besoins des voyageurs, nous imaginons et déployons des mobilités sûres et durables au service d'Île-de-France Mobilités et des collectivités franciliennes, pour une meilleure qualité de vie de tous et de chacun. Keolis en Île-de-France, c'est : 90 millions de kilomètres parcourus par an  200 millions de voyageurs annuel  27 filiales  6 800 collaborateurs  3 000 véhicules  500 lignes de bus  1 réseau unique, le Pam francilien  14 TàD labellisés  3 lignes de tram-train  1 ligne de tramway  2 lignes BHNS Tzen 4 et Tzen 5 (en construction)  1 ligne de train (en construction)  3 lignes de métro (en construction)",France,175.351132,,,
RATP Cap Île-de-France,112602933.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/ratp-cap-iledefrance,www.ratpcap.com,"RATP Cap Île-de-France est la filiale du groupe RATP qui accompagne la transformation des réseaux de transports franciliens dans le cadre de l’ouverture à la concurrence portée par Île-de-France Mobilités. Bus, tramway, train, transport à la demande… nous opérons des services essentiels au quotidien des Franciliens. 3 missions : ✅ Transporter : pour rendre les déplacements toujours plus fluides et fiables. ✅ Innover : pour imaginer les solutions de mobilité durable qui contribueront à la transition énergétique de la région. ✅ Accompagner : pour faire grandir nos équipes et connecter les territoires. Déjà forte d’un collectif de 1600 collaborateurs alliant expertise et proximité, RATP Cap Île-de-France est une entreprise en très forte croissance et ambitionne de devenir la référence du transport public urbain dans la région capitale. Vous souhaitez apprendre, vous développer dans un environnement respectueux et stimulant ? Rejoignez une aventure humaine et professionnelle au cœur de la transformation des transports en Île-de-France !  Ensemble, on est Cap ! #recrutement #innovation #mobilitédurable",France,112.602933,,,
Trenitalia France,103147725.0,"France, Île-de-france, Paris, 185 Rue De Bercy, 75012",https://www.linkedin.com/company/thello,www.trenitalia.com,"Trenitalia Trenitalia est la compagnie ferroviaire italienne, filiale du groupe Ferrovie dello Stato Italiane fondé en 1905 et exploitant du réseau national des chemins de fer italiens. Elle est née le 1er juin 2000 pour respecter l'obligation de séparation des activités de service de transport ferroviaire de celles de gestion du réseau, imposée par la législation européenne. Aujourd’hui, elle opère quotidiennement environ 10 000 trains et transporte chaque année plus d’1 milliard de voyageurs en train et en bus. 3ème opérateur en Europe, elle est déjà présente en Grèce, en Allemagne, au Royaume-Uni et en Espagne. Trenitalia en France  Trenitalia France est le premier opérateur européen à faire son entrée sur le marché ferroviaire français. Lancée en décembre 2021, son offre de train à grande vitesse Frecciarossa vient compléter l'offre existante sur la ligne Paris-Milan et depuis avril 2022 sur la ligne Paris-Lyon (Part-Dieu et Perrache).  À la suite d’un éboulement en Maurienne survenu fin août 2023, le trafic ferroviaire entre la France et l’Italie est suspendu jusqu’à nouvel ordre. Dès la réhabilitation des voies, les trains Frecciarossa desserviront à nouveau la ligne entre Paris et Milan. Plus d’informations sur www.trenitalia.com  Frecciarossa, le train à grande vitesse de Trenitalia Les Frecciarossa sont les trains grande vitesse de Trenitalia qui font voyager les italiens depuis plus de 10 ans. Ils circulent partout en Italie et désormais aussi en France, entre Paris, Lyon, Chambéry, Modane, Bardonecchia, Turin et Milan. Vous souhaitez nous rejoindre ?  Rendez-vous sur trenitalia.com",France,103.147725,,,
VERDIÉ VOYAGES,101322774.0,"France, Occitanie, Rodez",https://www.linkedin.com/company/verdi-voyages,www.verdie-voyages.com,"VERDIÉ VOYAGES est une agence spécialisée dans l'organisation de croisières et de voyages en groupe, principalement en Polynésie française, incluant des destinations emblématiques telles que Tahiti, Moorea et les îles Marquises. La mission de l'entreprise est de proposer des expériences de voyage uniques et immersives, permettant aux clients de découvrir la culture locale et la beauté naturelle de ces îles paradisiaques. VERDIÉ VOYAGES s'adresse à une clientèle variée, allant des groupes d'amis aux entreprises, en passant par les passionnés de croisières, et collabore avec des partenaires locaux pour offrir des excursions authentiques et respectueuses de l'environnement. Avec un engagement envers la durabilité et la préservation des traditions polynésiennes, l'agence vise à enrichir chaque voyage par des rencontres significatives et des découvertes inoubliables.",France,101.322774,,,
Compagnie Des Bateaux-Mouches,76875736.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/compagniedesbateaux-mouches,www.bateaux-mouches.fr,"Lancé en 1949 par Jean Bruel, la Compagnie des Bateaux-Mouches® est depuis réputée pour sa qualité de service et son savoir-faire. Chaque année, ce sont plus de 2.500.000 passagers accueillis par la Compagnie des Bateaux-Mouches, ce qui la positionne en tant que 4ème monument parisien payant le plus fréquenté. Avec des espaces modulables et privatisables comme un Restaurant Panoramique, un Bar Rooftop avec vue imprenable sur la Tour Eiffel ou des déjeuners & dîners croisières, la Compagnie des Bateaux-Mouches organise chaque année plus de 400 événements sur-mesure. La Compagnie des Bateaux-Mouches se fera un plaisir de répondre à chaque demande par des prestations adaptées à vos besoins et envies. Facebook :  www.facebook.com/bateauxmouchesparis Instagram : www.instagram.com/bateauxmouches Youtube : www.youtube.com/user/BateauxMouches",France,76.875736,,,
PONANT,75000000.0,"France, Provence-alpes-côte D'azur, Marseille",https://www.linkedin.com/company/compagnie-du-ponant,www.ponant.com,"PONANT is a luxury cruise line renowned for offering unique and immersive travel experiences aboard its elegantly designed ships. The company specializes in voyages to some of the world's most breathtaking and remote destinations, with a mission to combine exploration with comfort, providing guests with intimate and enriching journeys. PONANT aims to connect travelers with the beauty and heritage of diverse locations, focusing on cultural immersion and offering onboard enrichment programs led by experts. Each itinerary often includes one complimentary excursion per port of call, allowing guests to engage deeply with local cultures and histories. Catering to discerning clients, PONANT targets affluent travelers in North America and Europe who seek personalized service and exclusive experiences. The company partners with local experts and renowned organizations, such as Smithsonian Journeys, to enhance the educational and cultural aspects of its voyages. PONANT's itineraries highlight UNESCO World Heritage Sites and natural wonders, showcasing stunning landscapes in regions like Canada and the American East Coast, as well as destinations in Asia and the Pacific. With a commitment to sustainability and responsible tourism, PONANT is dedicated to preserving the natural beauty and cultural heritage of the areas it explores. The company strives to redefine luxury cruising by fostering a deep connection with the natural world and the diverse cultures of its destinations, ensuring that each journey is not only luxurious but also enriching and respectful of the environments and communities visited.",France,75.0,,,
TER Pays De La Loire,52433426.0,"France, Pays De La Loire, Nantes, 131 Boulevard Ernest Dalby, 44000",https://www.linkedin.com/company/ter-pays-de-la-loire-sa-sncf-voyageurs,m.ter.sncf.com,"SNCF TER Pays de la Loire, c’est près de 1200 salariés et 580 trains quotidiens sur le territoire ligérien ! Avec PLANETER, démarche de réduction de l’impact environnemental des mobilités fondée sur la conviction qu’avec plus de TER il y aura beaucoup moins de CO2, SNCF TER Pays de la Loire s’engage à réduire ses émissions sur le territoire.",France,52.433426,,,
Compagnie Du Mont Blanc,48513814.0,"France, Auvergne-rhône-alpes, Chamonix-mont-blanc, 35 Place De La Mer De Glace, 74400",https://www.linkedin.com/company/compagniedumontblanc,www.compagniedumontblanc.fr,"Le groupe Compagnie du Mont-Blanc S.A., basé à Chamonix Mont-Blanc, est l’une des premières sociétés de remontées mécaniques en France. Dans le cadre de contrats de concession, elle exerce une activité de service et de transports en montagne, par câble (téléskis, télésièges, télécabines, téléphériques) et par trains à crémaillère. Elle opère sur les territoires des communes de Chamonix, Vallorcine, les Houches et Saint Gervais. Elle gère 4 domaines skiables de haute altitude situés dans la vallée de Chamonix : Les Grands Montets, Balme, Brévent-Flégère et les Houches ainsi que trois sites d’excursion mondialement connus : l’Aiguille du Midi, le Montenvers – Mer de Glace et le Tramway du Mont-Blanc. Issue d’entreprises pionnières, elle a été créée en 2000, afin d’offrir à ses clients le meilleur service, dans le respect de son environnement social, économique et géographique.",France,48.513814,,,
TER Centre-Val De Loire - SNCF Voyageurs,42978218.0,"France, Centre, Orléans",https://www.linkedin.com/company/ter-centre-val-de-loire,www.remi-centrevaldeloire.fr,"🚆 TER Centre-Val de Loire, le train au cœur des territoires.  Chez SNCF Voyageurs, nous nous engageons à relier les territoires en combinant toutes les solutions de mobilité disponibles.  En région Centre-Val de Loire, nos 1 700 agents travaillent chaque jour pour assurer le transport de 70 000 voyageurs, faisant circuler 420 trains quotidiennement.  Notre mission : fournir un service de transport fiable, efficace et adapté aux besoins de notre région.  Rejoignez notre page pour rester informés sur nos projets à venir, nos offres d'emplois et nos dernières actualités. Découvrez tout ce que TER Centre-Val de Loire peut vous offrir pour faciliter votre mobilité dans notre belle région. Ensemble, continuons à construire l'avenir de la mobilité durable et accessible pour tous. 🛤️",France,42.978218,,,
