Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
B Travel,2327010000.0,"Spain, Balearic Islands, Palma",https://www.linkedin.com/company/9424888,www.btravel.com,"B Travel is a premier travel agency dedicated to providing exceptional travel solutions, with a particular focus on hotel accommodations across Peru's vibrant cities, including Lima, Miraflores, and San Isidro. The company specializes in offering a diverse selection of lodging options, ranging from charming boutique hotels to luxurious five-star establishments, ensuring that every guest finds the perfect fit for their adventure. B Travel's mission is to simplify the travel planning process for its clients, delivering a seamless and enjoyable experience from start to finish while emphasizing exceptional hospitality and a unique cultural experience. To achieve this, B Travel partners with renowned hotel chains and local establishments, allowing them to offer competitive pricing and tailored services that cater to various budgets. The agency serves a diverse clientele, including leisure travelers, business professionals, and families, all seeking comfort, convenience, and a taste of Peru's rich heritage. By focusing on customer satisfaction and personalized service, B Travel aspires to be the go-to resource for unforgettable stays in Peru. In addition to hotel bookings, B Travel provides comprehensive travel solutions, including flights and vacation packages, ensuring that clients have access to exclusive deals and expert advice. The agency's target market encompasses both domestic and international travelers who value convenience and value in their travel arrangements. With a commitment to being a trusted partner in travel, B Travel helps clients explore new destinations while providing personalized support tailored to their individual needs.",Spain,2327.01,,,
Reisebüro,2204553000.0,"Germany, North Rhine-westphalia, Düsseldorf, 80 Königsallee, 40215",https://www.linkedin.com/company/reiseverband,www.exete.cc,"Reisebüro is a leisure, travel & tourism company in Düsseldorf",Germany,2204.553,,,
VIAJES HALCON S.A.,1916387395.0,"Spain, Balearic Islands, Palma",https://www.linkedin.com/company/halcon-viajes,www.halconviajes.com,"VIAJES HALCON S.A. is a travel company specializing in creating unforgettable experiences through meticulously planned tours across Europe. With a mission to enrich travelers' lives by providing unique and memorable journeys, the company offers a diverse range of itineraries that include breathtaking destinations such as the Norwegian Fjords, the castles along the Loire, and the majestic cities of Vienna, Prague, and Budapest. VIAJES HALCON S.A. caters to a wide clientele, including families, couples, and solo travelers, and partners with various travel agencies to ensure seamless booking and customer service. The company targets the leisure travel market, focusing on those seeking cultural enrichment and adventure, while also offering magical experiences at Disneyland Paris, making it a go-to choice for both European tours and family vacations.",Spain,1916.387395,,,
Beijing Caesars Travels,1672482000.0,"Germany, Hamburg, Hamburg",https://www.linkedin.com/company/凯撒旅游,beijingcaesarstravelscom.godaddysites.com,"In 1993, Caesars Travel was founded in Hamburg, Germany. Over three decades of steady development, we have successively established branches in global port cities and core business cities such as London, Paris, Monaco, Mumbai, Hamburg, Beijing, Guangzhou, Shanghai, Shenyang, and Chengdu. As of 2010, it has more than 10 branches worldwide, and is a member of CATS (China Association of Travel Agents), BTIA (Beijing Tourism Industry Association), and PATA (Asia Pacific Tourism Organisation). Its business scope includes inbound tourism, domestic tourism, Outbound tourism (license number: L-BJ-CJ00051), MICE tourism, tourism e-commerce and other businesses. Originating from Europe, Caesars Travel has followed the advanced concepts of the international mature tourism market, fully leveraged its overseas advantages, and grown into a unique commercial brand in China's outbound tourism market, and has become China's largest large-scale comprehensive tourism operation integrating wholesale, retail and reception. business. With its perfect service system, rigorous corporate style, and fashionable brand image, Caesars Travel has successfully ranked among the top 100 international travel agencies in China, and has been awarded the ""Best Travel Agency of the Year"" by ""Travel Agency"" magazine for many consecutive times. As of 2011, Caesars Travel has been awarded the ""Top Ten Wholesalers of China's Outbound Travel"" for many times in a row. The city travel agency rating committee was rated as the highest level travel agency - AAAAA level travel agency. Caesars Travel has more than 300 high-end travel products covering nearly 100 countries around the world and serving different groups of people. Satellite TV launched the ""Okinawa 100k-person Super Tour Group"", and in 2011 jointly launched the ""100K-person Tour to Switzerland"" large-scale summer event with the Swiss National Tourism Administration and Swissair, & recently ventured into Women's fashionable travel lifestyle line.",Germany,1672.482,,,
DER Touristik,1573397030.0,"Germany, Hesse, Frankfurt Am Main",https://www.linkedin.com/company/der-touristik-deutschland-gmbh,www.dertouristik.com,"Die DER Touristik zählt zu den führenden Reisekonzernen in Europa. Jährlich vertrauen millionen Gäste aus 16 europäischen Ländern mit den Veranstaltern der DER Touristik in 179 Reiseländer weltweit. Zu den deutschen Reiseveranstaltern zählen im Volumengeschäft die Marken ITS, Jahn Reisen, DERTOUR, und Meiers Weltreisen. Hinzu kommen Spezialisten wie camperboerse.de oder Clevertours. Im Reisevertrieb ist die DER Touristik mit rund 2.100 Vertriebsstellen, dem Online-Reiseportal der.com und zahlreichen Veranstalter-Onlineportalen deutschlandweit Marktführer. Hierzu gehören die Vertriebslinien DER Reisebüro, das Franchisesystem Derpart sowie die Organisation der mittelständischen inhabergeführten Reisebüros unter dem Dach des DER Touristik Partner-Service (DTPS). Mehr über die Vielfalt in unserem Unternehmen erfahren Sie auf unserer Unternehmenswebseite: www.dertouristik.com ÜBERZEUGENDER – Was die DER Touristik als Arbeitgeber attraktiv macht Chancen und Perspektiven Jeder hat bei uns die Chance, sich zu entwickeln. Deshalb fördern wir ein Karriereverständnis, das den Aufstieg innerhalb der DER Touristik und der REWE Group einschließt – und dabei individuelle Entwicklungs-Chancen eröffnet. Die DER Touristik Akademie bietet zahlreiche Weiterbildungs- und Entwicklungsmöglichkeiten, die Sie im Beruf und als Persönlichkeit weiterbringen.  Work-Life-Balance Die Vereinbarkeit von Familie und Beruf ist uns wichtig. Wir unterstützen unsere Mitarbeiter auf ihren unterschiedlichen Wegen in allen Lebensphasen, beruflich wie privat. Ganz gleich, ob es sich beispielsweise um die flexible Jahresarbeitszeit-Regelung handelt, um die Planung eines mehrmonatigen Sabbaticals oder einen Platz in den Kindertagesstätten in Frankfurt und Köln. http://www.dertouristik.com/de/impressum/",Germany,1573.39703,,,
Tjäreborg,1462709550.0,"Finland, Uusimaa, Helsinki",https://www.linkedin.com/company/tjareborg,www.tjareborg.fi,"Tjäreborg is a prominent travel company that specializes in offering comprehensive vacation packages, primarily targeting Nordic travelers. With a strong focus on beach holidays in popular destinations such as Greece, Spain, and the Canary Islands, Tjäreborg aims to provide a seamless travel experience that allows clients to enjoy their holidays with ease and comfort. The company’s mission is to create unforgettable travel experiences by combining high-quality services with a customer-centric approach, ensuring that every traveler’s needs are met. Catering to a diverse clientele that includes families, couples, and solo travelers, Tjäreborg partners with a variety of hotels and service providers to deliver exceptional accommodations and services. The company offers a range of options, including all-inclusive stays, family-friendly resorts, and luxury accommodations, making it a versatile choice for different types of travelers. In addition to vacation packages, Tjäreborg provides essential services such as airport transfers and local activity bookings, enhancing the overall travel experience. Tjäreborg is committed to responsible tourism, actively working to minimize its environmental impact while supporting local communities and promoting sustainable practices. The company collaborates closely with local partners to offer authentic experiences that allow travelers to engage with the local culture. With a vision to be a leading travel agency known for its excellent customer service and high-quality travel products, Tjäreborg strives to simplify the travel planning process, making it accessible and enjoyable for all its clients.",Finland,1462.70955,,,
Ávoris,1276456968.0,"Spain, Balearic Islands, Palma",https://www.linkedin.com/company/avoris,www.avoristravel.com,"Ávoris Corporación Empresarial is a leading player in the tourism and travel industry in the Iberian Peninsula, specializing in providing comprehensive travel solutions through its wholesale division, Welcomebeds. The company operates a global distribution platform that offers over 350,000 hotels, transportation, tours, and services, catering to both leisure and corporate travel markets. Ávoris is committed to enhancing local employment and operational presence, exemplified by its recent office opening in Lanzarote. The company also produces the Ávoris Travel Insights report, which analyzes business travel trends and the MICE segment, providing valuable data to help stakeholders make informed decisions. With a focus on traditional travel agencies as key partners, Ávoris aims to navigate the evolving landscape of corporate travel, emphasizing personalized service and technological integration. Its target market includes medium to large enterprises, particularly in regions like Madrid and Catalonia, where business travel expenditure is significant.",Spain,1276.456968,,,
DERTOUR Deutschland,1147923060.0,"Germany, North Rhine-westphalia, Köln",https://www.linkedin.com/company/dertour-group-deutschland,dertour-group.com,"DERTOUR Deutschland, part of the DERTOUR Group and a subsidiary of the REWE Group, is a leading player in the European travel industry, specializing in both package and individual travel solutions. The company is committed to providing high-quality travel experiences, focusing on sustainable growth, individuality, and quality across its diverse portfolio, which includes over 100 hotels and resorts in 14 countries. With a strong emphasis on earthbound travel, DERTOUR Deutschland has recently expanded its hotel division by acquiring a majority stake in DR Hospitality GmbH, enhancing its presence in the German-speaking vacation hotel market. The company serves a wide range of clients, from leisure travelers to families, and collaborates with numerous partners, including over 2,100 travel agencies and various hotel brands. DERTOUR's mission is to ensure that every vacation remains the highlight of its customers' year, while its vision aims to increase visibility and relevance in the international tourism market.",Germany,1147.92306,,,
Evolution Travel,962215240.0,"Malta, Zebbug, Mdina Road, zbg9015",https://www.linkedin.com/company/evolution-travel,www.evolutiontravel.eu,"Evolution Travel, fully operating online since 2000, is to this day the first 100% cloud working Travel Agency and Tour Operator.  Moreover it is the N.1 Online Travel Consultants' Network. A few numbers? - More than 500 Consultants; - More than 100 thematic portals; - At least 160 hourse of training a year. Who are the Online Travel Consultants of the Evolution Travel Network? They are free professionals with a great passion for travelling and they love to organize holidays and trips for themselves and for others. They are entrerpreneurs who work from home or from wherever they want, thanks to Evolution Travel Network  tools. Why do our Consultants choose Evolution Travel? - Inside the Network the Consultants can focus solely on the parts of the job they enjoy the most, that is taking care of the clients and planning the trips, while the headquarter handles the accounting, fiscal, legal and bureaucratic work. - Through Evolution Travel tools the Consultants constantly receive contacts and quotation requests. - Through Evolution Travel online platform it's possible to easily create customized offers in real time and find the best proposal for every client by comparing many Tour Operators products. Is working as an Online Travel Consultant a job suitable for everyone? NO, it is not suitable for everyone, because in order to succeed as an Online Travel Consultant some characteristics are necessary. Which ones? To become successful Online Travel Consultants people have to: - Be responsible and reliable at work.  - Continuously train themselves and be willing to learn new things every day. - Cooperate with their coworkers. - Love taking care of their customers. - Be continuous in their effots. Do you think it could be an activity suitable  for you?  Find out everything about this work! Click here, fill out the form and read the Free Introductory Guide to become an Online Travel Consultant: https://goo.gl/CBSh2G",Malta,962.21524,,,
ESky Group,904086440.0,"Poland, Silesia, Katowice",https://www.linkedin.com/company/esky-group,pressroom.esky.com,"eSky Group is a Polish-based travel technology company, that owns and operates several online travel agency brands including eSky, Thomas Cook (since 2024) and eDestinos. It operates in over 50 countries and is a leader in Central and Eastern Europe and a key player in South America.  The company offers stand-alone flights and hotels as well as city break and holiday packages with a wide range of ancillary products such as travel insurance, car rentals, transfers, and others. In September 2024, eSky Group acquired Thomas Cook, the world's oldest travel brand. The acquisition agreement signed with Fosun Tourism Group is expected to enable the Polish company to enter the top tier of package tour operators in Western Europe.  In 2023, eSky closed with an impressive EBITDA of over €18.7 million and 3.3 million customers served, earning it recognition as the most valuable Polish travel e-commerce company by Forbes.  eSky Group is also a long-standing member of the International Air Transport Association (IATA) and is part-owned by listed private equity fund MCI, a leading Digital & ClimaTech fund in Central and Eastern Europe.",Poland,904.08644,,,
