Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Havas Voyages,3180247000.0,"France, Auvergne-rhône-alpes, Lyon",https://www.linkedin.com/company/havas-voyages,www.havas-voyages.fr,"Havas Voyages accompagne les voyageurs et les entreprises, avant, pendant et après les voyages, au travers 4 piliers : - L’optimisation du budget voyages par nos experts et par nos négociations avec les acteurs du marché - La mise à disposition d’une technologie innovante et intuitive au service de votre politique voyages - L’accompagnement de tous les voyageurs par nos Travel Planners - La personnalisation de nos services pour répondre parfaitement aux attentes de nos clients",France,3180.247,,,
Club Med,2228661620.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/club-med,www.clubmed.com,"Since it was founded in 1950 and it created the all-inclusive vacation concept, Club Med has been the world leader on its market, and has developed a resolutely upscale, friendly and multicultural spirit. Club Med boasts 70 resorts located in the most beautiful sites in the world, a cruise ship and Luxury Villas & Chalets and, now more than ever, is associated with dreams and happiness. There are 20,000 Gentle Organizers (G.Os) and Gentle Employees (G.Es) at Club Med, who work in the villages, but also at the Paris, Lyon, Singapore, Shanghai, Rio de Janeiro and Miami headquarters, in the sales offices situated in dozens of countries and in travel agencies.",France,2228.66162,,,
Voyageurs Du Monde SA,763872003.0,"France, Île-de-france, Paris, 55 Rue Sainte Anne, 75002",https://www.linkedin.com/company/voyageurs-du-monde,www.voyageursdumonde.fr,"Voyageurs du Monde, le spécialiste du voyage sur mesure. Avec plus de 300 salariés (14 agences en France, 1 en Suisse, 1 en Belgique), Voyageurs du Monde est aujourd’hui une grande entreprise dans son secteur. Les parcours de nos collaborateurs sont aussi divers que nos voyages, mais nous partageons tous la passion de l’autre et de l’ailleurs... Nos offres d'emploi:  http://www.voyageursdumonde.fr/voyage-sur-mesure/institutionnel/recrutement",France,763.872003,,,
Salaün Holidays,750000000.0,"France, Hauts-de-france, Pont-de-buis Lès Quimerc'h, 38 Rue De Quimper, 29590",https://www.linkedin.com/company/salaün-holidays,www.salaun-holidays.com,"Salaün Holidays is a prominent travel agency specializing in a wide range of holiday experiences, including circuits, cruises, and stays across various global destinations. With a mission to provide affordable travel options, the company offers significant discounts, such as up to €500 off trips to the United States, and features over 186 agencies to assist clients. Salaün Holidays prides itself on customer satisfaction, boasting more than 10,000 satisfied clients and a dedicated team of specialists available to support travelers from Monday to Saturday. The company collaborates with various partners, including cruise lines and tour operators, to deliver exceptional travel experiences tailored to diverse markets, including families, groups, and solo travelers. Its extensive offerings cover popular destinations in Europe, North America, Asia, and beyond, ensuring that clients can find the perfect getaway to suit their needs.",France,750.0,,,
Groupe Karavel - Promovacances,635157785.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/karavel,www.promovacances.com,"Groupe Karavel - Promovacances is a leading travel agency specializing in vacation packages, including flights, accommodations, and transfers, primarily targeting the French market. The company aims to provide customers with exceptional travel experiences at competitive prices, focusing on popular destinations such as Spain and the Balearic Islands. With a mission to simplify the travel planning process, Promovacances offers a user-friendly online platform for booking and personalized customer service to assist clients in selecting their ideal vacations. The company collaborates with various partners, including airlines and hotels, to ensure a wide range of options for its clientele, which includes families, couples, and solo travelers seeking memorable getaways. Through its commitment to quality and customer satisfaction, Groupe Karavel - Promovacances strives to be a trusted name in the travel industry.",France,635.157785,,,
Selectour,250032735.0,"France, Occitanie, Toulouse",https://www.linkedin.com/company/selectour,www.selectour.com,"Selectour is a travel agency dedicated to crafting personalized travel experiences tailored to individual preferences and desires. With a mission to provide unique and memorable journeys, Selectour connects clients with experienced travel advisors who assist in designing the perfect trip, free of charge and without obligation. The company caters to a diverse clientele, including families, couples, and solo travelers, offering a wide range of travel options from luxury vacations to adventure tours across various global destinations. Selectour partners with numerous travel service providers to ensure clients receive the best deals and experiences, making it a go-to choice for those seeking customized travel solutions.",France,250.032735,,,
EXOTISMES,201674200.0,"France, Provence-alpes-côte D'azur, Marseille",https://www.linkedin.com/company/exotismes,www.exotismes.fr,"EXOTISMES is a travel company specializing in creating unforgettable experiences in exotic destinations, primarily focusing on the Caribbean, Indian Ocean, and Polynesia. With a mission to provide personalized travel solutions, EXOTISMES offers a wide range of services including island combinations, cruises, and themed trips such as honeymoons and family vacations. The company partners with renowned hotel chains and local accommodations to ensure high-quality stays for its clients, who range from couples seeking romantic getaways to families looking for adventure. EXOTISMES aims to cater to diverse travel preferences, making it a go-to choice for travelers seeking unique and luxurious experiences in some of the world's most beautiful locations.",France,201.6742,,,
Comptoir Des Voyages,136585046.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/comptoir-des-voyages,www.comptoir.fr,"Comptoir Des Voyages est une agence de voyage spécialisée dans la création d'expériences sur mesure, offrant des conseils d'experts et des idées de voyage inspirantes à ses clients. Sa mission est de permettre aux voyageurs de découvrir des destinations uniques tout en respectant l'environnement, en intégrant des pratiques durables dans ses offres. L'entreprise se distingue par son application mobile, Luciole, qui fournit des recommandations locales et des cartes interactives, ainsi que par ses Welcome Hosts, des habitants qui partagent leur culture et leurs connaissances. Comptoir Des Voyages s'adresse à une clientèle variée, allant des aventuriers aux familles, et collabore avec des partenaires locaux pour enrichir l'expérience de voyage. En mettant l'accent sur la réduction de l'empreinte carbone, l'agence vise à promouvoir un tourisme responsable et conscient.",France,136.585046,,,
TUI France,110762784.0,"France, Île-de-france, Clichy",https://www.linkedin.com/company/tui-france,www.nouvelles-frontieres.fr,"TUI France est une agence de voyage renommée, spécialisée dans la création de séjours sur mesure, offrant une gamme variée de services et de produits de qualité pour des vacances inoubliables. Située à Kingersheim, l'agence dispose d'une équipe de conseillers expérimentés qui accompagnent les clients dans la planification de leurs voyages, que ce soit en famille, entre amis, en couple ou en solo, tout en respectant différents budgets et envies. La mission de TUI France est de garantir des vacances uniques et personnalisées, en proposant des séjours tout compris, des circuits et des options de personnalisation adaptées aux besoins de chaque voyageur.  L'agence collabore avec divers partenaires pour offrir des séjours dans des établissements tels que Club Marmara et Club Lookéa, ciblant principalement les familles et les groupes d'amis à la recherche d'expériences enrichissantes et de détente. Avec plus de 50 ans d'expérience dans le secteur du tourisme, TUI France s'engage à fournir un service client de qualité, soutenu par des avis positifs de voyageurs satisfaits. En tant que filiale du groupe TUI, l'entreprise se spécialise dans l'organisation de voyages et de séjours touristiques, proposant une large gamme de services, incluant des séjours tout compris dans des clubs de vacances, des circuits, ainsi que des offres de transport aérien. TUI France s'adresse principalement aux familles, couples et groupes d'amis, en collaborant avec divers partenaires hôteliers et transporteurs pour offrir des destinations variées, notamment en Méditerranée, avec une attention particulière portée sur la Grèce et ses îles. L'objectif de l'entreprise est de fournir des vacances mémorables et de qualité à ses clients, en mettant l'accent sur l'expérience client et la satisfaction. En intégrant des éléments de durabilité et de responsabilité sociale, TUI France vise à promouvoir un tourisme respectueux de l'environnement tout en offrant des expériences authentiques et enrichissantes à ses clients.",France,110.762784,,,
Groupe Kuoni France,99141832.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/1633115,www.kuoni.fr,"Tour Operator créé en 1906, Kuoni est un voyagiste reconnu à l'échelle mondiale.  Fort de ses centres d'achat, ses propres réceptifs, et ses points de ventes, le groupe est organisé pour répondre de manière compétitive aux envies d'évasion.  Avec 5 marques et plus de 15 brochures, Kuoni se positionne comme l'un des acteurs majeurs du tourisme en France. Ce sont plus de 100 destinations qui sont revendues à travers nos offres de voyages, qui s'adressent à tous les profils.  Croisières, circuits en individuel ou en groupe, séjours balnéaires, location de villas : les prestations ne manquent pas pour répondre aux besoins de nos clients et prospects.  Ces voyages sont vendus dans toutes les agences de voyages en France, mais aussi au sein de notre propre réseau de boutiques, notre département incentive, et via notre site internet.",France,99.141832,,,
