Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
B Travel,2327010000.0,"Spain, Balearic Islands, Palma",https://www.linkedin.com/company/9424888,www.btravel.com,"B Travel is a premier travel agency dedicated to providing exceptional travel solutions, with a particular focus on hotel accommodations across Peru's vibrant cities, including Lima, Miraflores, and San Isidro. The company specializes in offering a diverse selection of lodging options, ranging from charming boutique hotels to luxurious five-star establishments, ensuring that every guest finds the perfect fit for their adventure. B Travel's mission is to simplify the travel planning process for its clients, delivering a seamless and enjoyable experience from start to finish while emphasizing exceptional hospitality and a unique cultural experience. To achieve this, B Travel partners with renowned hotel chains and local establishments, allowing them to offer competitive pricing and tailored services that cater to various budgets. The agency serves a diverse clientele, including leisure travelers, business professionals, and families, all seeking comfort, convenience, and a taste of Peru's rich heritage. By focusing on customer satisfaction and personalized service, B Travel aspires to be the go-to resource for unforgettable stays in Peru. In addition to hotel bookings, B Travel provides comprehensive travel solutions, including flights and vacation packages, ensuring that clients have access to exclusive deals and expert advice. The agency's target market encompasses both domestic and international travelers who value convenience and value in their travel arrangements. With a commitment to being a trusted partner in travel, B Travel helps clients explore new destinations while providing personalized support tailored to their individual needs.",Spain,2327.01,,,
VIAJES HALCON S.A.,1916387395.0,"Spain, Balearic Islands, Palma",https://www.linkedin.com/company/halcon-viajes,www.halconviajes.com,"VIAJES HALCON S.A. is a travel company specializing in creating unforgettable experiences through meticulously planned tours across Europe. With a mission to enrich travelers' lives by providing unique and memorable journeys, the company offers a diverse range of itineraries that include breathtaking destinations such as the Norwegian Fjords, the castles along the Loire, and the majestic cities of Vienna, Prague, and Budapest. VIAJES HALCON S.A. caters to a wide clientele, including families, couples, and solo travelers, and partners with various travel agencies to ensure seamless booking and customer service. The company targets the leisure travel market, focusing on those seeking cultural enrichment and adventure, while also offering magical experiences at Disneyland Paris, making it a go-to choice for both European tours and family vacations.",Spain,1916.387395,,,
Ávoris,1276456968.0,"Spain, Balearic Islands, Palma",https://www.linkedin.com/company/avoris,www.avoristravel.com,"Ávoris Corporación Empresarial is a leading player in the tourism and travel industry in the Iberian Peninsula, specializing in providing comprehensive travel solutions through its wholesale division, Welcomebeds. The company operates a global distribution platform that offers over 350,000 hotels, transportation, tours, and services, catering to both leisure and corporate travel markets. Ávoris is committed to enhancing local employment and operational presence, exemplified by its recent office opening in Lanzarote. The company also produces the Ávoris Travel Insights report, which analyzes business travel trends and the MICE segment, providing valuable data to help stakeholders make informed decisions. With a focus on traditional travel agencies as key partners, Ávoris aims to navigate the evolving landscape of corporate travel, emphasizing personalized service and technological integration. Its target market includes medium to large enterprises, particularly in regions like Madrid and Catalonia, where business travel expenditure is significant.",Spain,1276.456968,,,
Travel Compositor,1000000000.0,"Spain, Balearic Islands, Palma",https://www.linkedin.com/company/travelcompositor,www.travelcompositor.com,"Travel Compositor is a technology solutions provider specializing in customized travel and booking systems for various sectors within the tourism industry, including tour operators, DMCs, OTAs, and travel agencies. The company's mission is to enhance business outcomes by offering innovative functionalities that streamline the booking process and improve customer satisfaction. With a focus on personalization, Travel Compositor enables clients to create tailored platforms that integrate multiple services, allowing for dynamic packaging and cross-selling opportunities. Their extensive client base includes hotels, transportation companies, and tourism offices, all benefiting from a robust platform that supports over 36 languages and 78 currencies. By leveraging cutting-edge technology and a commitment to continuous improvement, Travel Compositor aims to lead the digital transformation of the travel industry.",Spain,1000.0,,,
EDreams ODIGEO S.A,725885495.0,"Spain, Madrid, Madrid, 35 Calle López De Hoyos, 28002",https://www.linkedin.com/company/edreamsodigeo,www.edreamsodigeo.com,"eDreams ODIGEO is one of the world's largest online travel companies and one of the largest European e-commerce businesses. Under its four leading online travel agency brands – eDreams, GO Voyages, Opodo, Travellink, and the metasearch engine Liligo – it offers the best deals in regular flights, low-cost airlines, hotels, cruises, car rental, dynamic packages, holiday packages and travel insurance to make travel easier, more accessible, and better value for the more than 18,5 million customers it serves across 43 markets. eDreams ODIGEO is listed in the Spanish Stock Market. Because we are growing rapidly globally, we are covering more and more regions. As a result, we are culturally diverse, with more than 65 different nationalities represented throughout the group. #WE FLY HIGH #WE SET THE PATH #WE JOURNEY TOGETHER #WE EXPLORE ... GROW AND DISCOVER!",Spain,725.885495,,,
IAG7 Viajes,508880844.0,"Spain, Madrid, Madrid",https://www.linkedin.com/company/iag7-viajes,iag7viajes.com,"IAG7 Viajes, parte del Grupo IAG7, es una agencia de viajes que se especializa en la distribución de viajes corporativos y vacacionales, ofreciendo un servicio personalizado y eficiente a sus clientes. Con un equipo de más de 350 profesionales comprometidos, la empresa se dedica a gestionar reservas de vuelos, trenes, hoteles y otros servicios relacionados con los viajes, garantizando una atención al cliente de alta calidad. La misión de IAG7 Viajes es proporcionar experiencias de viaje excepcionales, mientras que su visión se centra en el crecimiento sostenible y la innovación en el sector turístico. Su clientela abarca tanto empresas que requieren servicios de Business Travel como viajeros individuales en busca de ofertas vacacionales. Además, IAG7 Viajes colabora con diversos proveedores y partners en la industria para ofrecer soluciones integrales y personalizadas a sus usuarios. La empresa también se compromete a proteger la privacidad de los datos personales de sus clientes, cumpliendo con las normativas de protección de datos vigentes.",Spain,508.880844,,,
Viajes Carrefour,496967246.0,"Spain, Madrid, Alcobendas",https://www.linkedin.com/company/viajes-carrefour,www.viajes.carrefour.es,"Viajes Carrefour is a travel agency that specializes in organizing trips and circuits throughout Spain, offering a wide range of travel experiences tailored to meet the diverse needs of its clients. The company aims to provide exceptional service from the planning stage to the return home, ensuring that travelers enjoy authentic experiences while exploring Spain's rich history, culture, and stunning landscapes. With a focus on personalized assistance, Viajes Carrefour caters to various target markets, including solo travelers, couples, families, and groups of friends, and collaborates with local providers to offer exclusive rates and benefits. Their offerings include weekend getaways, organized tours, beach vacations, and rural tourism, making it easy for clients to find the perfect escape. Through their commitment to customer satisfaction and attention to detail, Viajes Carrefour strives to create unforgettable memories for every traveler.",Spain,496.967246,,,
Special Tours,495265303.0,"Spain, Balearic Islands, Palma",https://www.linkedin.com/company/5144628,www.specialtours.com,"Special Tours, que forma parte de la división Ávoris, del Grupo Barceló, es una mayorista con más de cuarenta años de experiencia en el sector que opera en España y Latinoamérica.  Formada por un equipo humano de trescientas personas altamente cualificadas, hace realidad los sueños de miles de viajeros cubriendo, en la actualidad, grandes viajes culturales en Europa, Medio & Lejano Oriente, África y Oceanía-Exóticos, siempre en pos de la más avanzada tecnología, guiados por una cultura empresarial responsable y sostenible. Reconocimientos: -Fitur 2015: Premio Iberia Airlines al Mejor Touroperador. -Fitur 2017: Diploma de Honor Iberia. -Ladevi 2018: Premio Insignia de Ladevi al apoyo a la red de distribuidores y su contacto directo continuado con los agentes de viaje.",Spain,495.265303,,,
Wamos,439101197.0,"Spain, Madrid, Madrid",https://www.linkedin.com/company/wamos,www.wamos.com,"Wamos es el nombre y marca de  un  grupo  turístico,  que  aglutina varias  compañías  del  sector,  con  amplia experiencia  en  su  área  de  actividad  y una visión conjunta de crecimiento y apuesta  de  futuro.   El grupo es propiedad de la sociedad Andros en un 81 por ciento (propiedad en su mayoría del fondo de inversión Springwater Capital) y de Royal Caribbean (19 por ciento restante). En  concreto,  Wamos está integrado por dos turoperadores (Wamos  Tours  y  Wamos  Circuitos),  una línea aérea (Wamos Air) y la red de agencias Nautalia.  •	En el área de turoperación, Wamos Tours, compañía que ofrece  paquetes  vacacionales  al  Caribe. •       En esta misma área, Wamos  Circuitos, con una programación de circuitos exclusiva para pasajeros latinoamericanos hacia España, Portugal, Marruecos, Resto de Europa, Oriente Medio, Lejano Oriente y África, comercializa en 19 países de Latinoamérica.  •	Wamos Air, con una flota de 5 aviones Jumbo (y en este año se sumará un nuevo avión) que colocan a la compañía como la tercera aerolínea de largo radio más importante de España. •	Nautalia, empresa turística dedicada a la comercialización de productos y servicios turísticos 360º y todo lo que un cliente pueda necesitar de una agencia de viajes. Queremos ser más que una compañía de viajes. Queremos ser tus compañeros de viaje. Una gran empresa en continuo crecimiento y en continuo aprendizaje. Un gran equipo de personas que trabajan buscando lo mejor del mundo para ofrecértelo. Nos encantan los viajes y viajar y nos emociona hacer felices a las personas que quieren pasar unas vacaciones geniales. Las vacaciones que siempre recordarán. Somos un equipo comprometido con la sociedad. Por ese motivo, apoyamos diferentes causas sociales y encaminamos nuestras actuaciones a preservar el medio ambiente. Tenemos el mejor trabajo del mundo. Conseguir que las ilusiones de nuestros clientes se hagan realidad con la mejor experiencia de viaje.",Spain,439.101197,,,
Exoticca,332430000.0,"Spain, Catalonia, Barcelona",https://www.linkedin.com/company/exoticca-travel-agency,www.exoticca.com,"Exoticca is a travel company dedicated to creating unforgettable vacation experiences by offering the best flight and hotel packages at competitive prices. With a mission to turn dream trips into reality, Exoticca focuses on providing exceptional service and personalized travel solutions to its clients. The company has garnered positive feedback from travelers, highlighting its professionalism, organization, and attention to detail in planning trips to various destinations, including Peru, India, and Costa Rica. Exoticca's target market includes adventure-seeking travelers looking for unique experiences, and it partners with local guides and service providers to ensure high-quality excursions and accommodations. With a strong presence in the travel industry, Exoticca aims to inspire wanderlust and facilitate memorable journeys for its customers.",Spain,332.43,,,
Azulmarino,267204992.0,"Spain, Basque Country, Bilbao",https://www.linkedin.com/company/grupo-azul-marino,www.azulmarino.com,"Azulmarino is a prominent travel agency network in Spain, specializing in unique travel experiences, including exotic destinations, hotel circuits, and tailored activities for individuals over 55. The company is dedicated to creating unforgettable journeys, with a particular focus on personalized honeymoon packages that cater to the specific desires of couples. Azulmarino operates through a vast network of over 200 travel agencies across Spain, ensuring expert advice and support for clients seeking memorable travel experiences. Their mission is to provide exceptional service and unique travel solutions, while their vision encompasses becoming a leading name in the travel industry, known for quality and customer satisfaction. The agency collaborates with various partners in the tourism sector to offer a diverse range of travel options, targeting a wide demographic, including couples, families, and senior travelers.",Spain,267.204992,,,
Atrápalo,254863000.0,"Spain, Catalonia, Barcelona",https://www.linkedin.com/company/atrapalo,www.atrapalo.com,"Somos una agencia de viajes y de promoción de actividades de ocio que nacimos y vivimos en Internet. Para ello utilizamos el comercio electrónico, centrado en el sector de las agencias de viajes, vuelos, hoteles, alquiler de coches, entradas, actividades y restaurantes, convirtiendo sus promociones y transformando sus excedentes en ofertas de Internet. Además de encontrar las mejores ofertas, nos esforzamos para que nuestros clientes estén siempre informados sobre ellas, enviamos e-mails personalizados según sus gustos donde les sugerimos las propuestas más interesantes para que puedan atraparlas al instante. Y después de que las hayan disfrutado, publicamos sus opiniones (si les apetece enviárnoslas, claro) para que otros usuarios puedan tenerlas en cuenta a la hora de decidir qué hacer en su tiempo libre.",Spain,254.863,,,
Zafiro Tours,233166139.0,"Spain, Valencia, Alicante",https://www.linkedin.com/company/zafirotours,www.zafirotours.es,"Zafiro Tours es, por su solvencia económica y experiencia en el mercado, la empresa líder en el sector. Pioneros franquiciando agencias de viaje desde el año 2000, nuestro éxito está avalado por más de 500 agencias operando en territorio nacional e internacional. Somos especialistas en formar a emprendedores que no provienen del sector.",Spain,233.166139,,,
EUROPA MUNDO VACACIONES S.L.U.,231216150.0,"Spain, Madrid, Madrid",https://www.linkedin.com/company/europa-mundo-vacaciones-sl,www.europamundo.com,"EUROPA MUNDO VACACIONES S.L.U. is a travel company that specializes in organized tours across a variety of destinations, with a strong emphasis on customizable travel experiences. The company is dedicated to creating memorable journeys for its clients by offering a diverse range of tours, including cultural explorations in countries such as Mexico and Japan, among other international locations. With a mission to promote sustainable tourism, EUROPA MUNDO VACACIONES prioritizes social impact through its foundation, which supports humanitarian initiatives globally.  The company caters to a wide audience, including travel agencies, individual travelers, families, and groups, ensuring that there is something for everyone. By partnering with local guides and hotels, EUROPA MUNDO VACACIONES enhances the travel experience, providing clients with authentic insights into the cultures they explore. The company’s vision underscores the importance of responsible travel as a means to foster social change and support local economies, aiming to connect travelers with enriching experiences that contribute positively to the communities they visit. EUROPA MUNDO VACACIONES S.L.U. strives to be a leader in the tourism industry by combining comfort, cultural immersion, and responsible travel practices. Its target market consists of socially conscious travelers who seek to engage in cultural exchange and community development through their journeys. By focusing on sustainable tourism, the company not only enriches the lives of its clients but also works towards the well-being of the destinations it serves, making a meaningful impact on the global travel landscape.",Spain,231.21615,,,
Viajes Soltour,178869530.0,"Spain, Murcia, Murcia",https://www.linkedin.com/company/viajes-soltour,www.soltour.es,Soltour es uno de los grandes touroperadores españoles. Nació en el año 1976 como primera unidad de negocio de Grupo Piñero. Desde 1975 Grupo Piñero ha tratado de ir conformando en su estructura de trabajo una oferta turística integrada y completa. La principal actividad de Soltour se centra en la elaboración y en la venta de paquetes turísticos a diversos destinos vacacionales. Es el único mayorista independiente del mercado y no participa en ninguno de los grupos integrados verticalmente. De esta forma Soltour intenta dar un servicio profesional y de calidad a todas las agencias de viajes de España y Portugal.,Spain,178.86953,,,
VB Group,156242100.0,"Spain, Madrid, Madrid",https://www.linkedin.com/company/viajabien-es_2,www.vbtravelgroup.com,"VB Group is a leading company in the travel and mobility industry, specializing in comprehensive solutions for corporate travel, events, and sports. Founded in 2009 by brothers Jorge and Guillermo Espinós, the company has grown from a local travel agency to a global partner for businesses, with a strong presence in Spain and Latin America. With over 270 professionals, VB Group is committed to innovation and excellence, offering tailored services through its ten recognized brands. The company aims to redefine standards in corporate travel management and event planning, focusing on delivering premium services and leveraging technology to enhance client experiences. Its diverse clientele includes sectors such as entertainment, sports, and corporate travel, supported by strategic partnerships with organizations like Corporate Travel Management and Traveller Made. VB Group's mission is to accompany clients in their projects with a global mindset, ensuring a positive and collaborative approach to every journey.",Spain,156.2421,,,
Viajes El Corte Inglés Empresas,151472893.0,"Spain, Madrid, Madrid",https://www.linkedin.com/company/viajes-el-corte-inglés-empresas,www.viajeselcorteingles.es,"Viajes El Corte Inglés Empresas is a specialized travel agency that focuses on providing tailored travel solutions for businesses and corporate clients. With a mission to enhance the travel experience through personalized service and expert guidance, the company aims to simplify the complexities of business travel while ensuring cost-effectiveness and efficiency. Their target market includes a diverse range of corporate clients, from small businesses to large multinational corporations, seeking comprehensive travel management services. Viajes El Corte Inglés Empresas collaborates with various partners in the travel industry, including airlines, hotels, and local tour operators, to offer unique travel experiences that cater to the specific needs of their clients. The company is committed to delivering exceptional service and innovative travel solutions that align with the evolving demands of the corporate sector.",Spain,151.472893,,,
CATAI,119522258.0,"Spain, Balearic Islands, Palma",https://www.linkedin.com/company/catai-viajemos,www.catai.es,"CATAI, una de las marcas destacadas de Ávoris Corporación Empresarial, se ha consolidado como un referente en el sector de viajes durante más de 40 años, especializándose en la organización de circuitos turísticos y experiencias de viaje únicas en Europa y destinos exóticos. La misión de CATAI es ofrecer a los viajeros experiencias memorables que les permitan descubrir lugares a través de la mirada de expertos locales, promoviendo un turismo auténtico y responsable. Con un fuerte enfoque en la sostenibilidad, la empresa busca minimizar su impacto ambiental y maximizar los beneficios para las comunidades locales, estableciendo objetivos de reducción de carbono y fomentando prácticas responsables en cada destino. CATAI ofrece una amplia gama de itinerarios que incluyen visitas a sitios emblemáticos, actividades culturales y gastronómicas, y alojamiento en hoteles de calidad, adaptándose a las necesidades de viajeros individuales, parejas y grupos. Su catálogo abarca destinos icónicos como Italia, Grecia, los Balcanes y las islas del Pacífico, así como circuitos menos conocidos en Europa del Este. La compañía se distingue por su atención al cliente, ofreciendo un servicio de atención 24/7 para garantizar que cada viajero tenga el apoyo necesario durante su aventura. CATAI colabora con una red de hoteles, aerolíneas y guías locales, asegurando una experiencia de viaje fluida y enriquecedora. Su mercado objetivo incluye principalmente a viajeros de habla hispana que buscan opciones bien estructuradas que resalten la riqueza cultural e histórica de los destinos. Con un compromiso hacia la excelencia y la personalización, CATAI se posiciona como la mejor opción para aquellos que desean explorar el mundo de manera responsable y enriquecedora.",Spain,119.522258,,,
