Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Aion Bank,45895290.0,"Belgium, Brussels Capital, Brussels",https://www.linkedin.com/company/aion-moneymax,www.aion.be,"As part of the UniCredit Group, Aion Bank and Vodeno will accelerate their digital banking offer in strategic markets and will act as a sandbox for innovation for the wider UniCredit Group. Aion Bank and Vodeno's existing Banking-as-a-Service (BaaS) offering across key European markets, including Germany and Poland, will see the bank embed its services - ranging from account access and deposits to lending, payments and loyalty programs - directly into non-banking digital platforms, facilitating seamless customer experiences.",Belgium,45.89529,,,
AMINDIS,16018787.0,"Belgium, Wallonia, Louvain-la-neuve, 15a Rue Du Bosquet, 1348",https://www.linkedin.com/company/amindis,www.amindis.com,"AMINDIS is a fintech with 20 years experience developing solutions for the asset management and insurance industry.  AMINDIS provides state-of-the-art software in performance, performance attribution, risk and ESG analysis. The solutions AM-DIS and IN-DIS include tools to assess the user roles, to design the business processes that must be served and to define appropriate SLAs to meet these business needs.  AMINDIS was previously named Orfival or Confluence International Analytics",Belgium,16.018787,,,
Belmoney,21368528.0,"Belgium, Anderlecht, 28 Place Bara, 1070",https://www.linkedin.com/company/belmoney.be,www.bel.money,"Belmoney is a leading European payment institution specialized in cross border remittances payments . Our innovative (RAAS) Remittance as a Service platform seamlessly connects financial institutions, wallets, and global costumers, enabling secure and efficient international transactions. With a strong focus on financial inclusion, we empower businesses and individuals to send and receive money effortlessly to over 150 countries. Our expertise extends beyond remittances - we also offer white-label licensing, a payment aggregator, and specialized fintech solutions, ensuring that our partners have access to comprehensive suite of financial services. With robust regulatory infrastructure and a commitment to compliance, we provide competitive and reliable money transfer solutions tailored to the modern financial ecosystem.",Belgium,21.368528,,,
Buy Way Personal Finance,133239058.0,"Belgium, Brussels Capital, Brussels",https://www.linkedin.com/company/buy-way-personal-finance,www.buyway.be,"As an independent Fintech for almost 10 years, Buy Way is the undisputed leader in consumer credit at points of sale in Belgium and Luxembourg. In addition to its historic activity in Retail, the company offers financing and credit solutions to clients active in financial services and/or service sectors. The company has its headquarters in Brussels and counts more than 250 professionals of 13 different nationalities. Its mission is threefold: -  Propose transparent and fluent financing solutions - Offer innovative products to optimise the purchase experience - Personalize the service to each client and retailer  Today, the company disrupts the consumer credit industry with a fully digital and paperless offering, both at points of sale and for the e-commerce channel.  Buy Way’s reference shareholder, Chenavari Investment Managers, is an alternative investment company specialized in European credit market",Belgium,133.239058,,,
Complidata,15723550.0,"Belgium, Flanders, Tervuren, 13 Oppemstraat, 3080",https://www.linkedin.com/company/complidata-io,complidata.io,"Complidata's flagship product TradeSpeed acts as a “co-pilot” for banks in their trade finance operations. Using generative artificial intelligence (AI) and machine learning, we help banks digitise and automate traditionally manual processes, such as documentary check, sanctions and dual-use goods (DUGs) screening, and money laundering checks. We use generative AI and large language models (LLMs) to extract data from images of trade finance documents and turn unstructured data into meaningful information for the AI to perform the checks, and help in decision-making. Complidata was founded in 2018, by founders with 20+ years of experience in financial crime compliance. Our team consists of seasoned domain experts, who had hands-on experience working and running the trade finance division in banks, and tech-savvy data scientists with experience developing fintech products. Our solutions TradeSpeed and FCRR have helped international banks automate and enhance their trade finance and financial crime compliance processes, reducing false positives by more than 50%, with much less processing time.",Belgium,15.72355,,,
ETPPA,3773652.0,"Belgium, Hoegaarden, Tiensestraat, 3320",https://www.linkedin.com/company/etppa,www.etppa.org,"European Third Party Providers (TPP) Association. International non-profit organization under Belgian law. ETPPA formalised the former Future of European Fintech coalition in 2019. ETPPA represents TPP interests vis-à-vis the EU and national authorities. Member of the ERPB, EPC Board, EC expert groups & all relevant multi-stakeholder groups. Focus on creating an innovative and competitive level playing field for TPPs.",Belgium,3.773652,,,
European Digital Finance Association,9434130.0,"Belgium, Brussels Capital, Brussels, 4 Rue Des Pères Blancs, 1040",https://www.linkedin.com/company/eu-digitalfinance,www.europeandigitalfinance.eu,"Advocate for innovative, more affordable and secure financial services. Uniting over a dozen European national fintech associations, and their several thousand members, the European Digital Finance Association (EDFA) is the representative body for digital finance and fintech firms across Europe.",Belgium,9.43413,,,
European FinTech Association,3791705.0,"Belgium, Brussels Capital, Brussels, 40 Rue Washington, 1000",https://www.linkedin.com/company/fintech-association,www.eufintechs.com,"The European FinTech Association (EFA) is the first not-for-profit organization representing leading FinTech companies of all sizes, from across Europe. We are designed by and for Europe’s FinTech community. We aim to serve as a resource and forum for education, information sharing and networking between companies, policymakers and the general public.",Belgium,3.791705,,,
FinFlag,2515768.0,"Belgium, Brussels Capital, Brussels, 127-129 Rue Colonel Bourgstraat, 1140",https://www.linkedin.com/company/finflag,www.finflag.com,"FinFlag is a fast-growing fintech firm headquartered in Brussels, specializing in delivering software solutions tailored to card issuers, acquirers, and merchants.  Our core Offering consists of: 1. Scheme Fee & Interchange Monitoring and Calculation: FinFlag's software suite includes tools for monitoring and calculating scheme fees and interchange rates, with speed and accuracy. It’s your virtual business controller in managing the payment schemes. 2. Reconciliation Tool: FinFlag provides robust reconciliation engine to help clients reconcile transactions efficiently. By leveraging automation and intelligent matching algorithms, clearing, settlements, processor, scheme, and bank files are automatically matched, ensuring financial integrity and compliance with regulations. Discrepancies are promptly identified and resolved. 3. ERP for merchants and BIN sponsor affiliates:  A suite of billing, collection, and accounting modules offering a comprehensive Enterprise Resource Planning (ERP) solution designed specifically for issuers and acquirers. FinFlag empowers clients with innovative solutions and expert guidance to navigate the dynamic payment landscape. Our solution has been chosen by major flagship banks, issuers, acquirers, and merchants in Europe.",Belgium,2.515768,,,
FINTECH BELGIUM,4879741.0,"Belgium, Brussels Capital, Brussels, 4 Boulevard Albert Ii",https://www.linkedin.com/company/fintech-belgium,fintechbelgium.be,"The first and biggest community of Fintechers in Belgium This is a community for financial professionals, startup entrepreneurs and investors, who are interested in discovering and discussing disruptive business models and new technology for the financial services industry. Our missions… - To be a platform for dialogue with regulators and other parties - To actively and tangibly promote the FinTech sector in Belgium and Belgian FinTechs abroad - To share the experience, knowledge and information within and outside the community  We aim to organise an evening conference every two months and a yearly summit on FinTech.",Belgium,4.879741,,,
FinTech Policy EU,1257884.0,"Belgium, Brussels Capital, Brussels",https://www.linkedin.com/company/fintech-policyeu,,"Fintech Policy is a Brussels-based knowledge hub and policy network on technology-enabled financial innovation in Europe, aiming to serve as a platform for constructive dialogue between fintech adopters (both incumbents and newcomers) and EU regulators and policymakers. DISCLAIMER: The information contained in this site is for information purposes only. Users should be aware that the information on this site is provided with the understanding that the authors, publishers and contributors are not engaged in offering legal, regulatory, compliance or other professional advice.  FinTech Policy EU is not responsible for any errors, inaccuracies and/or omissions. Under no condition will FinTech Policy EU be held liable to anyone using information from its Facebook page, Twitter account, LinkedIn page or Internet site.  Certain links on these sites and pages refer to external links not under control by FinTech Policy EU and FinTech Policy EU therefore cannot guarantee the information contained in these referral links is accurate.",Belgium,1.257884,,,
Lighthouse,5027889.0,"Belgium, Brussels Capital, Brussels",https://www.linkedin.com/company/lighthouse-compliance-belgium,www.compliance.be,"Based upon proven experience, Lighthouse assists financial institutions in several of its compliance, governance and risk management processes, ranging from building frameworks, over appraisals and risk assessments, remediation exercises, license files, to taking up the compliance function or a director roles within the limits put forward by the authorities. Lighthouse is unique in the sense that we all share an extensive experience in the compliance domain as in-house compliance manager in a decision-making role. Next to the compliance field, all of us have a track-record in governance and/or risk management topics which we are eager to share with you. The Lighthouse members together rely upon a +60 year experience in compliance matters in credit institutions, private banks, wealth managers, FinTech and payment institutions, asset managers and investment funds and crowdfunding platforms. As a team we take the time to discuss and reflect on your case, we listen and challenge each other, all this to offer you the best support. This is what Lighthouse stands for. Do you want to get in touch with us, don’t hesitate to visit our website or contact us through the corporate or individual LinkedIn pages.",Belgium,5.027889,,,
Moneytrans,125788400.0,"Belgium, Brussels Capital, Brussels, 77 Boulevard De Waterloo, 1000",https://www.linkedin.com/company/moneytrans,www.moneytrans.eu,"Financial peace of mind that makes you smile. At Moneytrans we are revolutionizing the way millions of heroes who have made the decision to migrate to another country store, spend and send money worldwide.  *** We are a leading fintech company bringing more with less: we enable more than 10 million citizens of the world to manage their finances abroad, send money home and smile for a better everyday life! Our mission is to transform the lives of millions of migrants and their families by financially empowering them with the most complete, transparent and trusted financial services on the market: a superapp where they can open and manage a payment account plus debit Mastercard, send money in over 140 countries around the world, subscribe an insurance and much more. To take up this challenge, we count on a diverse and passionate team of over 400 employees spread into Belgium, Spain, France, Italy, Netherlands, Istanbul, Democratic Republic of Congo and Romania—and we’re still growing.  Our leitmotiv: make the world a fairer place! Want to be part of the Moneytrans revolution?",Belgium,125.7884,,,
OONEX,5027889.0,"Belgium, Ixelles, 367 Avenue Louise, 1050",https://www.linkedin.com/company/oonex,www.oonex.com,"Oonex is a full-service Payment Institution licensed in Belgium and passported across all EU and EEA Member states. As a Swift and Clearing House member and Principal Acquirer and Debit Card Issuer, Oonex works behind the scenes to deliver a suite of payment products & services to Fintech companies worldwide.   Oonex helps FinTech’s and Neo-Banks accelerate their growth and product strategy by providing them easy access to multiple international payment products. By combining these products into a flexible managed service for the Fintech industry, Oonex offers a true alternative to ‘Traditional Banking’ or the need for multiple banking partners; allowing Fintechs to provide compliant, fully managed end-to-end payment services to their end customers under one centralised contract with Oonex.",Belgium,5.027889,,,
Polybius,2515768.0,"Belgium, Brussels Capital, Brussels, 40 Boulevard D'anvers, 1000",https://www.linkedin.com/company/polybius,,"Polybius will be  a straightforward user-friendly personal finance manager for everyone. We want to be a game changer, this is why we develop an app that works for you not for the bank.  Basically we will deliver peace of mind for your finances. We take on the hard work so you don’t have to. Our key values are democratic, accessible and loyal which carry through everything we will do and touch Targeted to private individuals in Europe. We aim to be the first full online finance ecosystem in the European market.  Project was crowdfunded through an ICO in 2017 in Estonia Go-live is currently planned for the first half of 2019 Belgium was chosen as a pioneer market for its strong fundamentals Polybius Fintech Sprl was set up in Belgium in May 2018",Belgium,2.515768,,,
SOPIAD,3791705.0,"Belgium, Wallonia, Liège, 191 Boulevard Emile De Laveleye, 4020",https://www.linkedin.com/company/sopiad,www.sopiad.com,"SOPIAD is a fintech born from academic research — a spin-off from HEC Liège — dedicated to helping wealth managers, life insurers, and asset managers strengthen trust and engagement with end-investors. We believe that delivering meaningful investment experiences requires more than just products — it calls for personalization, clarity, and storytelling grounded in science and regulation. Grounded on years of academic research and guided by renowned business and academic experts, we help financial intermediaries reimagine the investing experience.",Belgium,3.791705,,,
