Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Trade Republic,1408113302.0,"Germany, Berlin, Berlin",https://www.linkedin.com/company/trade-republic,traderepublic.com,From chart to pie.,Germany,1408.113302,,,
Scalable Capital,750000000.0,"Germany, Bavaria, Munich, 8e Seitzstraße, 80538",https://www.linkedin.com/company/scalable-capital,www.scalable.capital,"Scalable Capital is a leading digital banking and investment platform with a full banking licence, enabling people in Europe to take control of their finances.  The company was founded in 2014 and has offices in Munich, Berlin, Vienna, Milan and London. For private individuals, Scalable Capital offers a broker with a trading flat rate and interest and a digital wealth management. In digital wealth management, the company creates and manages globally diversified ETF portfolios for its clients. The broker enables private individuals to trade stocks, ETFs, crypto, funds and more as well as to set up savings plans with as little as €1.   As a fast-growing Fintech, we are constantly looking for new employees and also welcome unsolicited applications: https://careers.scalable.capital/ For further information please visit our website: www.scalable.capital. Scalable Capital refers to Scalable GmbH and the affiliated companies. If this online presence contains information regarding capital markets, financial instruments and/or other topics relevant for investments of assets, the exclusive purpose of this information is to give general guidance on the investment services provided by Scalable Capital Bank GmbH. Our Privacy Policy can be found here: www.scalable.capital/privacy-policy",Germany,750.0,,,
Bitpanda,606646762.0,"Germany, Berlin, Berlin",https://www.linkedin.com/company/bitpanda,www.bitpanda.com,"Bitpanda is on a mission to reinvent the world of finance and bring investing closer to everyone, everywhere. Today’s financial ecosystem is complex, exclusive and expensive, and we’re here to change this as the #1 investment platform in Europe and beyond. Our platform is rooted in the belief that investing should be safe, easy and accessible to all. With Bitpanda, everyone has the freedom and flexibility to invest in what they believe in — commission-free stocks, cryptocurrencies or even precious metals — starting from as little as $1. Our story started in 2014 with our founders, Eric Demuth, Paul Klanschek, and Christian Trummer. Since then, we’ve grown to a powerful and diverse team of over 550 people who represent more than 50 nationalities. Headquartered in Vienna, we’re proud to be Austria’s first unicorn and one of the fastest-growing fintechs in Europe. Our innovative technology serves over 5 million users and operates across multiple hub locations. Our products are built by fast-moving, talented, “roll-up-your-sleeves-and-make-it-happen” kind of people. If you’re someone who thinks big, moves fast and wants to make an impact right from day one, then get ready to join our industry-changing team. Please note: Posts are not directed to UK users unless explicitly stated otherwise.",Germany,606.646762,,,
Smava,555506916.0,"Germany, Berlin, Berlin, 90 Palisadenstraße, 10243",https://www.linkedin.com/company/smava,www.smava.de,"Die smava GmbH (kurz: smava) ist ein Finanzunternehmen, das auf günstige Finanzierungen spezialisiert ist. Egal ob Kredit, Autokredit, Immobilienkredit oder andere Finanzierungen, smava vergleicht seit 2007 für Verbraucher Angebote zahlreicher Anbieter auf dem Finanzierungsportal www.smava.de.  Verglichen werden Angebote von bundesweit aktiven bis hin zu regional aktiven Banken und Kreditvergabepartnern. Dazu zählen u. a. Commerzbank, Deutsche Bank, DKB, ING, Norisbank, Postbank, Santander, Targobank und die Vereinigte Volksbank Raiffeisenbank.  Das Geschäftsmodell der smava GmbH zahlt sich für alle Beteiligten aus: Verbraucher können über smava günstige Finanzierungen abschließen. Banken gewinnen durch smava neue Kunden. Die smava GmbH erhält nach erfolgreichem Kreditabschluss eine Provision vom Anbieter.  smava wurde 2007 von Alexander Artopé und Eckart Vierkant als erster digitaler Kreditmarktplatz in Deutschland gestartet. Ziel von smava ist es, den Kreditmarkt transparent und fair zu machen, um Verbrauchern einen Zugang zu günstigen Finanzierungen wie Krediten zu ermöglichen. Dafür kombiniert smava Finanz- mit Technologie-Know-how (FinTech).  Seit 2007 gilt smava deshalb in Deutschland als FinTech-Pionier, der maßgeblich zur Digitalisierung der Kreditvergabe in Deutschland beiträgt. Das Unternehmen hat seinen Hauptsitz in Berlin. Die smava GmbH beschäftigt Mitarbeitende aus rund 50 verschiedenen Nationen in Bereichen wie Kreditberatung, Produktentwicklung, Software Engineering, Data Analytics, Marketing und vielen anderen.  Geführt wird die smava GmbH von Alexander Artopé (CEO), David Vangeison (COO), Markus Schruth (CCO) und Özlem Arslan (CPO). 2021 hat die smava GmbH den einstigen Wettbewerber die FFG FINANZCHECK Finanzportale GmbH und das dazugehörige Finanzierungsportal www.finanzcheck.de zu 100 Prozent übernommen. Beide Portale werden unter dem Dach der smava GmbH unabhängig voneinander betrieben.",Germany,555.506916,,,
Ratepay,313042000.0,"Germany, Berlin, Berlin, 12-14 Ritterstr., 10969",https://www.linkedin.com/company/ratepay,www.ratepay.com,"We dare to design the future of payments - together.   Born in the heart of Berlin’s fintech hub, Ratepay has passionately crafted tomorrow’s payment solutions for over a decade. Today, we’re proud to be Europe’s leading white-label Buy Now, Pay Later provider, trusted by brands like Eurowings, ZARA, and PUMA.   Our success comes from teamwork, openness, and continuous improvement. We value shared goals over egos, fostering a culture of courage, commitment, and warmth. Our dedicated team of 200+ professionals powers the entire payment value chain - from integration to AI-driven risk management and dunning – delivering tailored payment solutions for businesses across Germany, Austria, Switzerland, and beyond.   At Ratepay, we never stop improving—our products, our processes, and ourselves. Ready to transform commerce payments with us? We’d love to connect:  www.ratepay.com/ www.ratepay.com/career Impressum: https://www.ratepay.com/impressum/ Datenschutz: https://www.ratepay.com/datenschutz/",Germany,313.042,,,
Solaris SE,162020840.0,"Germany, Berlin, Berlin, 53 Cuvrystraße, 10997",https://www.linkedin.com/company/solariscompany,www.solarisgroup.com,"Solaris is Europe's leading embedded finance platform. Solaris’ proprietary modular B2B tech stack empowers its partners – from SMEs to large multinational non-financial companies – to offer unique, customer-centric banking services. Providing seamless experiences to customers across all industries. Founded in 2015, Solaris pioneered the Banking-as-a-Service market with an unparalleled combination of tech and banking.",Germany,162.02084,,,
N26,82225008.0,"Germany, Berlin, Berlin",https://www.linkedin.com/company/3116425,n26.com,"N26 is a leading digital bank founded in 2013 by Valentin Stalf and Maximilian Tayenthal, with the mission to fundamentally transform financial management and empower individuals to conduct their banking as they wish. Operating without physical branches, N26 offers a fully mobile, simple, and transparent banking experience, backed by a European banking license and cutting-edge technology. The bank serves millions of customers across 24 European markets, processing over €140 billion in transactions annually. With a diverse team of over 1,500 employees from more than 80 nationalities, N26 aims to enhance people's relationship with money through innovative products and features, including virtual cards and budgeting tools. The company is committed to providing a customer-centric approach, challenging traditional banking norms and promoting financial freedom and confidence.",Germany,82.225008,,,
Penta Group,35000000.0,"Germany, Berlin, Berlin, 32 Hardenbergstraße, 10623",https://www.linkedin.com/company/penta-group,qonto.com,"Penta Group is a prominent payment institution dedicated to providing secure and efficient financial services tailored for businesses. Founded in 2017, the company specializes in offering online business accounts and financial management tools designed specifically for startups, small and medium-sized enterprises (SMEs), and freelancers across Europe. Penta Group's mission is to facilitate seamless financial operations for its clients by helping them maintain up-to-date corporate and personal information, ensuring compliance with legal and fiscal regulations to prevent service interruptions.  The company aims to empower businesses through innovative financial solutions, offering services such as invoicing, bookkeeping, and spend management, which allow clients to focus on their core activities. Penta Group has successfully attracted over 500,000 customers across eight European markets, including France, Germany, and Italy, establishing itself as a trusted partner in financial management.  In addition to its core services, Penta Group is committed to sustainability and inclusivity, actively promoting diversity within its workforce and engaging in initiatives that support a fairer society. The company collaborates with various partners from different industries to enhance its service offerings and continuously improve the customer experience. By providing valuable resources, strategic advice, and tailored financial solutions, Penta Group supports entrepreneurs and organizations in their growth and development, making it a key player in the European financial landscape.",Germany,35.0,,,
Billie,9013534.0,"Germany, Bern, Berlin, 15 Am Postbahnhof, 10243",https://www.linkedin.com/company/billie.io,www.billie.io,"Billie is the leading provider of Buy Now, Pay Later (BNPL) payment methods for businesses, offering B2B companies innovative digital payment services. Founded in Berlin, the FinTech enables companies to pay and get paid on their own terms simply and easily through modern checkout solutions. Based on proprietary, machine-learning-enabled risk models, fully digitized processes and a highly scalable tech platform, Billie offers freedom to big and small businesses alike through fast liquidity, automated workflows and access to modern payment solutions. Billie was founded in 2016 by the former founders of Zencap (exit to Funding Circle). The startup is based in Berlin and employs over 180 people from over 45 countries. Investors include Dawn Capital, Tencent, Creandum, Picus and SpeedInvest, among others.  Billie Privacy Policy: https://www.billie.io/en/privacy-policy",Germany,9.013534,,,
Creditshelf Aktiengesellschaft,8855244.0,"Germany, Hesse, Frankfurt Am Main, 33a Mainzer Landstrasse, 60329",https://www.linkedin.com/company/creditshelf-ag,www.creditshelf.com,"creditshelf has been shaping digital SME financing for years - simple, fast, innovative. This is because the credit decisions are based on our proprietary technology-supported credit analysis. The creditshelf team consists of professionals with many years of experience in the financing of medium-sized companies. The pioneer of digital SME financing in Germany was founded in 2014 and has been listed in the Prime Standard of the Frankfurt Stock Exchange since 2018.",Germany,8.855244,,,
