Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Viva Wallet,455340514.0,"Greece, Attica, Maroúsi, 18-20 Amarousiou Chalandriou St.",https://www.linkedin.com/company/vivawallet,vivawallet.com,"Viva Wallet is a leading European cloud-based neobank. Viva Wallet’s mission is to change the way businesses pay and get paid with cutting edge technology and unprecedented agility. They offer truly unifying, yet localized, end-to-end advanced digital payments solutions and embedded banking services tailored to the needs of businesses in 24 markets across the continent.     With over 20 years dedicated to research & development of disruptive technologies, Viva Wallet responded to the fragmented European payments landscape with an ever-growing portfolio of innovative services through own infrastructure entirely based for the first time on Microsoft Azure cloud. Connecting with all local financial systems further enabled local adaptation and flexibility, making Viva Wallet the payment institution with the largest footprint in Europe. An advocate of sustainable cashless economy, quality of life, and versatile, secure payments for all, the company delivers digital payments services across three different time zones, in 19 languages and 10 currencies, featuring over 24 payment methods (card-present and card-not-present). The latter include major international card schemes, such as Visa, Mastercard, American Express and Diners, and an extensive line-up of local card schemes, such as Bancontact.   Innovation rests at the core of Viva Wallet’ DNA, with the “tap-on-phone Viva Wallet POS app” being their latest breakthrough. Turning any Android mobile to a card terminal, the tap-on-phone feature revolutionizes digital payments’ acceptance; full mobility, anywhere, anytime, by anyone, fast, frictionless, and legacy-hardware-free. Aiming to offer a holistic payment experience across all transaction platforms, Viva Wallet also introduced Smart Checkout; an easy-to-integrate, self-updated and fully customizable payment gateway that can increase conversion by 21%. Viva Wallet’ competitive offering involves ability to reduce card acceptance fees to 0%, next-day settlement",Greece,455.340514,,,
Finloup,9658726.0,"Greece, Attica, Athens, 2 Evristheos, 118 54",https://www.linkedin.com/company/finloup,finloup.com,finloup is a Greek fintech company aiming to contribute to financial inclusion and sustainability through circular economy. Our technology leasing service enables businesses to get access to the top-notch devices they want in the most affordable and flexible way.,Greece,9.658726,,,
Praxiabank,9440010.0,"Greece, Attica, Athens",https://www.linkedin.com/company/vivabank2,www.praxiabank.com,"Praxia Bank is a brand new challenger bank. A game changing bank that doesn’t simply do different things, but rather does things differently. A bank that it is as smart as you are and as simple as you ‘d like it to be. A bank with human touch coupled with a technological edge, accessible and efficient as never before. Praxia bank is the evolution of Credicom Consumer Finance Bank:  https://www.linkedin.com/company/credicom-consumer-finance/",Greece,9.44001,,,
Woli Fintech,6918362.0,"Greece, Attica, Maroúsi, 12 Neapoleos",https://www.linkedin.com/company/woli-fintech,www.woli.io,"We are on a mission to teach kids good money habits in a fun and secure way! 💸🙌🙏 Combining a mobile app, a prepaid Visa, smart parental controls and age-appropriate finance classes, Woli empowers children to earn, save and spend money responsibly within a safe environment.",Greece,6.918362,,,
AENAON Algorithmic Models,1886826.0,"Greece, Attica, Athens, 12134 Vasileos Alexandrou, 12134",https://www.linkedin.com/company/aenaon-markets,www.aenaonam.com,"AENAON Algorithmic Models is a business consulting company and fintech software developer and vendor. AENAON Markets is a registered trademark of AENAON Markets SA, a company headquartered in Athens, Greece.",Greece,1.886826,,,
EveryPay,6021836.0,"Greece, Attica, Athens, 25 Karneadou, 10675",https://www.linkedin.com/company/everypay,everypay.gr,"𝐄𝐯𝐞𝐫𝐲𝐏𝐚𝐲 is a licensed 𝐄𝐥𝐞𝐜𝐭𝐫𝐨𝐧𝐢𝐜 𝐌𝐨𝐧𝐞𝐲 𝐈𝐧𝐬𝐭𝐢𝐭𝐮𝐭𝐢𝐨𝐧 (𝐄𝐌𝐈), regulated by the Bank of Greece and passported across 24 European markets. We go beyond payments — 𝐞𝐧𝐚𝐛𝐥𝐢𝐧𝐠 𝐩𝐥𝐚𝐭𝐟𝐨𝐫𝐦𝐬 𝐭𝐨 𝐨𝐩𝐞𝐫𝐚𝐭𝐞 𝐥𝐢𝐤𝐞 𝐛𝐚𝐧𝐤𝐬, 𝐝𝐢𝐬𝐭𝐫𝐢𝐛𝐮𝐭𝐞 𝐜𝐚𝐩𝐢𝐭𝐚𝐥 𝐥𝐢𝐤𝐞 𝐢𝐧𝐬𝐭𝐢𝐭𝐮𝐭𝐢𝐨𝐧𝐬, 𝐚𝐧𝐝 𝐠𝐫𝐨𝐰 𝐥𝐢𝐤𝐞 𝐬𝐭𝐚𝐫𝐭𝐮𝐩𝐬.  We build infrastructure for a connected 𝐟𝐢𝐧𝐚𝐧𝐜𝐢𝐚𝐥 𝐞𝐜𝐨𝐬𝐲𝐬𝐭𝐞𝐦, combining 𝐏𝐚𝐲𝐦𝐞𝐧𝐭𝐬, 𝐁𝐚𝐧𝐤𝐢𝐧𝐠, and 𝐅𝐢𝐧𝐚𝐧𝐜𝐢𝐧𝐠 on one API-driven platform: •𝐏𝐚𝐲𝐦𝐞𝐧𝐭𝐬: Card-present (POS, SoftPOS, unattended) and card-not-present transactions, A2A and IRIS payments, e-commerce plugins, and cash-on-delivery integrations. •𝐁𝐚𝐧𝐤𝐢𝐧𝐠: Digital wallets, dedicated IBANs, SEPA transfers, and real-time settlement for merchants and marketplaces. •𝐅𝐢𝐧𝐚𝐧𝐜𝐢𝐧𝐠: Embedded SME lending and capital distribution, powered by payment data. Our technology serves 50,000+ 𝐛𝐮𝐬𝐢𝐧𝐞𝐬𝐬𝐞𝐬 and 50+ 𝐦𝐚𝐫𝐤𝐞𝐭𝐩𝐥𝐚𝐜𝐞𝐬 with 9% 𝐮𝐩𝐭𝐢𝐦𝐞 and over €1B annual GMV. We’re trusted by leading partners across retail, utilities, banking, and insurance — including Skroutz, Hellas Direct, and DIAS. From local infrastructure to European-scale innovation, EveryPay is powering the transition towards account-to-account, instant, and intelligent payments — making fintech solutions simple, secure, and scalable. 𝐄𝐯𝐞𝐫𝐲𝐏𝐚𝐲 – 𝐅𝐢𝐧𝐓𝐞𝐜𝐡 𝐒𝐨𝐥𝐮𝐭𝐢𝐨𝐧𝐬 𝐌𝐚𝐝𝐞 𝐒𝐢𝐦𝐩𝐥𝐞.",Greece,6.021836,,,
Kard Rewards,1100677.0,"Greece, Attica, Athens",https://www.linkedin.com/company/kard-wallet,www.kard.gr,"Kard is a cards rewards marketplace that helps consumers earn more cards rewards for shopping, travel and more while helping banks and businesses with loyalty programs to increase online sales. Kard was the best fintech startup in Greece and finalist of the Startup Europe Awards 2017 in the fintech category.",Greece,1.100677,,,
Melonpay,1073191.0,"Greece, Attica, Athens",https://www.linkedin.com/company/melonpay,www.melonpay.gr,"Melonpay is an early stage startup in the fintech space, aiming to make financial transactions as simple as possible in the e-commerce and commerce domains.  As the new payment gateway for online shopping, we are utilizing software to provide convenience and control for otherwise cumbersome or seemingly impossible options for an online business. We offer our customers the ability to complete their online transactions with a Buy Now Pay Later model.",Greece,1.073191,,,
Net Zero Analytics,5660478.0,Greece,https://www.linkedin.com/company/net-zero-analytics,netzeroanalytics.eu,"Net Zero Analytics is a green Fintech and an exclusive provider of ESG solutions in Greece and South East Europe. To meet the complex challenges of managing ESG performance, Net Zero Analytics offers a unique combination of consulting, assessments and data analytics that help companies take the next step in their ESG journey. We are undergirded by strong mutual ties with leading academic minds. ESG analysis is one of the newest financial advisory services, that in some parts of the world is still being certified. We have relied upon our best academic minds to establish standards and methodology, so that we can claim to use the very latest data analytical methods and benchmark indicators. We have established a framework where we exchange the latest academic research with our real world experience and have two key professors on our advisory committee.",Greece,5.660478,,,
PARNASSE - The Investment Marketplace,628942.0,"Greece, Attica, Athens",https://www.linkedin.com/company/parnasse-the-investment-marketplace,www.parnasse-sa.com,"PARNASSE SA is an  Alternative Funding advisor. In 2014, the company launched OpenCircle, the 1st Digital Equity Investment Platform in Greece, to support the developing Greek SME community. The company holds significant experience in advanced technology, coupled with traditional businesses, creative collaboration of talents and cultures and application of  best practices in business development. Specifically, it is led by a team of professionals with 15+ years of experience in successful local and international settings. It extends from Start-ups to the reorganization and expansion of mature businesses, through organic growth or M&A. ACTIVITIES 🌐 Developing business plans through OpenCircle Equity Investment Platform, an investors’ hub from around the world 🌐 Cultivating communication between companies and investors 🌐 Educating the investment community’s ecosystem to support healthy, new entrepreneurship in Greece 🌐 Creating cutting-edge FinTech technologies for the banking sector and the financial services market 🌐 Promoting and developing alternative financing as a member of European Consortium Katana HISTORY ➔ May 2014: PARNASSE is established ➔June 2014:PARNASSE develops OpenCircle an Equity Crowdfunding Platform and wins the Greek Entrepreneurship Award ➔ October 2015: The company becomes an advisor to the Alternative Market of the Athens Stock Exchange ➔ February 2016: Its founders publish articles used for the development  of law 4416/06.09.2016, governing the process of Crowdfunding in the Greek Market ➔ May 2016: 1st agreement with a large Greek Banking Group is singed, providing an automated lending platform ➔ June 2016: PARNASSE joins a consortium of 14 European companies, under EU Horizon 2020 program KatanaProject.eu, to finance innovative companies in agro-technology, through crowdfunding platforms",Greece,0.628942,,,
Share-Aware,2146383.0,"Greece, Central Macedonia, Thessaloníki",https://www.linkedin.com/company/share-aware,www.share-aware.com,"Share Aware is an independent student-led organization covering stories from, business, forex and digital currency news and the economy, on a weekly and daily basis. We as an organization seek to expand our network globally throughout our highly motivated and passionate team of students interested in finance and FinTech. We pride ourselves on building a community of exceptional and ambitious students, giving them the opportunity to network with like-minded peers, gain skills and knowledge through teamwork and communication.",Greece,2.146383,,,
