Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
CurrencyFair,15357178.0,"Ireland, Leinster, Dublin",https://www.linkedin.com/company/currencyfair-com,www.currencyfair.com,"CurrencyFair solves the pain experienced by anyone that needs to send money abroad. Expats, overseas home-owners, and SMEs typically pay large spreads (up to and even exceeding 5%) and high international transfer fees of around €25 on every payment. CurrencyFair helps its customer access the real exchange rate, while charging a small transparent margin on each transaction. While this charge varies depending on which currencies are being exchanged, the average margin is around 0.53% of the overall trade. In addition there is a small fee of €3 when transferring money out of your account. Crucially, our pricing is consistent. This means that you’ll get the same great offer whether it’s your first or fifty-first transaction. Our average margin is just 0.53%, so you can be sure you’re getting a competitive rate. In our market, by choosing quick trade, you are guaranteed the best rate available right now.  If you require a better rate, simply post your funds onto the market place with your required rate, looking for a match. CurrencyFair itself, as a regulated entity, provides security, and where required, liquidity, to ensure that the service operates safely and efficiently.",Ireland,15.357178,,,
Fire,65656637.0,"Ireland, Leinster, Dublin, Custom House Quay North Dock, d01 y6h7",https://www.linkedin.com/company/firefinancialservices,www.fire.com,"Fire is a digital payments provider that helps businesses get paid, automate payouts and go digital with their payment processes. Trusted Fire is regulated in the EU (2010) and UK (2018) and licenced to provide payments services for more than ten years.  Thousands of businesses and some of largest financial institutions in Europe and the UK use Fire to process their payments. We are a team with decades of payment expertise and experience, dedicated to building a customer first digital payments business. Integrated Our payment platform and API enables businesses to easily integrate their payment processes with the Fire payment services, delivering automation, better reconciliation and access to regulated services. We develop our own tech and do not use a banking as service provider. Payments  Access cutting edge features like Open Banking to get paid, set up high volume payouts, complete bank transfers, FX, card payments. Instantly create all the accounts and debit cards you need. We are members of numerous payment schemes and networks, a principal issuer of Mastercard® debit cards and a provider of Faster Payments, Bacs, Direct Debits, SEPA and Open Banking Payments.  Fire Financial Services Limited trading as Fire and fire.com (Fire-EU) is regulated as a Payment Institution by the Central Bank of Ireland, Reference No: C58301. Registered address: Dogpatch Labs, The CHQ Building, Custom House Quay, Dublin 1, D01 Y6H7, Ireland. Registration No: 464819. Fire Financial Services Limited trading as Fire and fire.com (Fire-UK) is authorised as an Electronic Money Institution by the Financial Conduct Authority, Reference No: 900983. Registered Address: The Rise, 41 Luke Street, London, United Kingdom, EC2A 4DP. Registration No: 11549793.",Ireland,65.656637,,,
Scalapay,38049420.0,"Ireland, Leinster, Dublin, 7 D'olier Street, d02",https://www.linkedin.com/company/scalapay,www.scalapay.com,"Scalapay is a financial technology company based in Milan, Italy, specializing in providing innovative payment solutions that allow consumers to make purchases and pay for them in installments. With a mission to enhance the shopping experience, Scalapay aims to empower customers by offering flexible payment options that promote responsible spending. The company operates under a robust governance framework, ensuring ethical business practices and compliance with regulatory standards. Scalapay's target market includes both consumers looking for convenient payment methods and merchants seeking to increase sales through enhanced customer engagement. The company is fully owned by Scalapay Limited and is registered as a payment institution, reflecting its commitment to transparency and financial integrity. Through strategic partnerships, Scalapay continues to expand its reach and impact in the evolving landscape of digital payments.",Ireland,38.04942,,,
TransferMate Global Payments,18562993.0,"Ireland, Leinster, Kilkenny, Dublin Road",https://www.linkedin.com/company/transfermate,www.transfermate.com,"TransferMate is a global B2B payments technology firm, enabling companies to send and receive cross-border payments faster and easier than ever before. TransferMate has built one of the largest portfolios of payment licences worldwide, including 200+ countries & territories / 140+ currencies / 92 licenses.  Leading banks, fintechs & software providers partner with TransferMate to offer an enhanced user experience for their business customers. Using TransferMate’s technology and global banking infrastructure, companies benefit from better exchange rates, greater transparency, and improved reconciliation via direct integration into accounting and ERP systems.  The unique TransferMate offering has also attracted major strategic investments from leading banks such as ING Group N.V. and Allied Irish Bank, who have cumulatively invested €51 million in the company.",Ireland,18.562993,,,
Wayflyer,13579530.0,"Ireland, Leinster, Dublin, Dublin 2 Hatch Street Upper Saint Kevin's",https://www.linkedin.com/company/wayflyer,www.wayflyer.com,"Unlocking the full potential of brands worldwide with $5k-$20m of purpose-built working capital. Today's consumer brands need a capital provider that keeps pace with their growth ambitions. Traditional financing options are slow, cumbersome, and often out of reach. That's why we built Wayflyer. Our unique technology can assess your growth potential to deliver tailored financing options in minutes, not months. Since launching in April 2020, we've deployed over $5 billion to 5,000+ brands globally, backed by leading investors like QED, Left Lane Capital and DST Global. We're a fast-growing, venture-backed startup with big ambitious. From our offices in Dublin, London, New York and Sydney, we're serving customers across 11 countries and three sales channels: Direct to Consumer, Amazon and Wholesale.",Ireland,13.57953,,,
Fenergo,8958655.0,"Ireland, Leinster, Dublin, 93-94 N Wall Quay, d01 v8y6",https://www.linkedin.com/company/fenergo,www.fenergo.com,"Fenergo is a leading provider of AI-powered Client Lifecycle Management (CLM), Know Your Customer (KYC), and anti-money laundering (AML) transaction monitoring solutions, designed to transform how financial institutions, asset management firms, fintechs, and corporates onboard and manage clients throughout their lifecycle. The company's mission is to support financial institutions in combating financial crime and enhancing regulatory compliance, thereby creating a safer world. Fenergo's innovative software automates regulatory compliance processes, enabling continuous monitoring and efficient client onboarding, while ensuring adherence to evolving regulations across over 120 jurisdictions. The company serves a diverse clientele, including corporate and institutional banks, commercial and retail banks, private banks, wealth management firms, and asset servicing companies. Fenergo collaborates with industry leaders like PwC to deliver tailored solutions that enhance operational efficiency and drive growth for financial institutions globally. With a commitment to innovation and excellence, Fenergo is positioned as a strategic partner for organizations navigating complex regulatory environments.",Ireland,8.958655,,,
Cambrist,5031536.0,"Ireland, Leinster, Dublin, 77 Sir John Rogerson's Quay",https://www.linkedin.com/company/cambrist,www.cambrist.com,"Cambrist solves complex data reporting, reconciliation and analysis challenges across the payments industry.  Banks and Fintechs in more than 10 countries leverage our PCI compliant platform to close reporting gaps, reconcile complex data sets and analyse costs & profitability per transaction.",Ireland,5.031536,,,
CLARITAS Europe,4402594.0,"Ireland, Ballsbridge, 3 Ballsbridge Park Ballsbridge Dublin",https://www.linkedin.com/company/claritas-europe,www.claritaseurope.com,"CLARITAS is an independent financial services consultancy providing audit, oversight, due diligence & risk advisory. We offer a comprehensive range of specialist services to European financial services entities.  Our resources have extensive experience in the European financial services and banking sectors, having already delivered solutions to many of Europe’s retail banks, investment banks, building societies, hedge funds, private equity companies, family office’s, real estate institutions, originators, servicers, regulators and central banks.  CLARITAS can help your business achieve a clear understanding of privacy and cyber security threats, regulatory and op risk’s, interpret big data, provide total quality management, compliance assurance, oversight, buy side and sell side due diligence, loan review services, master servicing solutions such as third party oversight and post deal performance improvement. In addition, we can inbound specialist resources to instantly enhance your existing team. Our resources are supported by in house bespoke fin tech solutions, data analysts and developers.  CLARITAS is one of a very few independent firms servicing the European M&A space. Our European headquarters are located in Dublin, Ireland.",Ireland,4.402594,,,
CoalFace Capital,1382245.0,"Ireland, X, 12 Hebert Street, d02",https://www.linkedin.com/company/coalface-capital,www.coalfacecapital.com,Coalface Capital is a FinTech company that specialises in the modelling of Big Data and the application of AI techniques for the purposes of investment management.,Ireland,1.382245,,,
CompliReg,628942.0,"Ireland, Leinster, Dublin, 12 Lower Hatch Street",https://www.linkedin.com/company/complireg,www.complireg.com,"CompliReg = Compliance & Regulatory Experts. We specialise in financial services and fintech regulation and regtech.  We offer three core services: Regulatory Licensing; Business Establishment; and Regulatory Compliance.   Our team comprise of senior professionals in financial services, including board director roles at regulated financial institutions across Europe; accounting and legal experts; experienced chief risk & compliance officers and MLROs and a former international central banker and financial regulator (Ireland, UK, Australia and Middle-East).   Founded by Peter Oakes (https://www.linkedin.com/in/peteroakes/) and Joe Lavelle (https://www.linkedin.com/in/joe-lavelle-3875a129/).   Visit www.complireg.com for more information.",Ireland,0.628942,,,
EIP Ventures,1382245.0,"Ireland, Leinster, Dublin, 2 Dublin, d01 v4a3",https://www.linkedin.com/company/eip-ventures,eip.ventures,"At EIP Ventures, we transform groundbreaking ideas into global business successes. Specialising in fintech, regtech, and deeptech, we’re a dynamic innovation hub proudly headquartered in the heart of Dublin, Ireland. Our portfolio companies, actively supported by our team operate across 30 markets, and include: - Konvi (website: https://konvi.app): The first EU-wide platform that allows fractional investing in alternative assets, such as high-end watches and fine wine. - Richmond Blackwood (website: https://richmondblackwood.com): A managed service provider that helps high earning independents optimise their finances by levelling up from sole proprietaries to limited companies. - Monochromatic (website: https://monochromatic.io): Monochromatic provides full-cycle design, web development and product management to help businesses launch their products.  EIP Ventures empowers first-time entrepreneurs to develop their business concepts and shape them into successful and sustainable ventures. We’re active operators in every business within the group - along with the founders’ preferences, we run the departments where gaps should be filled.",Ireland,1.382245,,,
Fastnet AMS,1382245.0,"Ireland, Leinster, Dublin",https://www.linkedin.com/company/fastnet-asset-management-services,www.fastnet-ams.com,"Fastnet AMS is a global provider of behavioural data analytics to portfolio managers, CIOs and asset allocators.  Led by investment industry experts and passionate practitioners, Fastnet AMS offers next-generation analytical tools and behavioural science to enhance investor performance. Our leading platforms are: •SkillMetrics®, a SaaS platform designed to unlock full investor alpha by identifying and mitigating biases across multiple asset classes, improving decision-making and enhancing portfolio performance. •CoreValuesMetrics®, a highly innovative platform that combines financial and behavioural data with real-time ESG metrics, allowing investors to align their behaviour with sustainability objectives; providing a balanced approach to returns and sustainability. Through these platforms we are the only Fintech company capable of giving such extensive coverage across all asset classes. To learn more, please visit www.fastnet-ams.com If you are a professional investor and would like to make contact please contact us on either info@fastnet-ams.com or call us on +35312337099.",Ireland,1.382245,,,
Finclude,4402594.0,"Ireland, Leinster, Dublin, Harcourt Road, d02",https://www.linkedin.com/company/vergedotcapital,www.finclude.ai,"At Finclude, we are redefining the landscape of credit scoring across Europe. With a deep commitment to innovation and financial inclusivity, we offer a unique pan-European credit scoring system that leverages transactional data to assess consumers’ creditworthiness – especially those without a traditional credit history. Our Mission: Democratizing credit scoring for the over 200 million people in Europe who are currently underserved by conventional credit systems. We aim to bridge the gap between financial institutions, fintechs, large retailers, and consumers who have been overlooked due to the absence of a universal credit score. Our Services: Finclude develops cutting-edge solutions tailored for a diverse range of clients including banks, fintechs, credit reference agencies, retailers, property renters, and betting companies. We offer: 1. Innovative Creditworthiness Assessment: Utilizing machine learning models, we provide forward-looking, inclusive assessments based on transactional behavior, irrespective of a consumer's credit history. 2. Regulatory Compliance: As a licensed Account Information Service Provider under PSD2, we ensure complete GDPR compliance and secure access to consumer banking data across the European Economic Area. 3. Comprehensive Consumer Insights: Our technology enables businesses to obtain a 360° view of their consumers' financial assets, enhancing decision-making processes and personalizing service offerings. 4. Digital Onboarding Acceleration: With our API suite, businesses can streamline their digital onboarding processes, expand their addressable markets, and foster upselling/cross-selling opportunities. We invite you to follow Finclude on our journey as we transform consumer credit assessments based on transactional behavior. Stay updated with our latest innovations, industry insights, and how we're contributing to a more inclusive financial ecosystem in Europe.",Ireland,4.402594,,,
FinTech Innovations,691122.0,"Ireland, County Dublin",https://www.linkedin.com/company/fintech-innovations-limited,www.fin-tech.ie,FinTech Innovations specialises in the design of personal finance apps,Ireland,0.691122,,,
Humm UK & Ireland,24189287.0,"Ireland, Leinster, Dublin, Harbour Master Place, d01",https://www.linkedin.com/company/hummuki,shophumm.com,"hummgroup is revolutionising the way people buy, developing some of the most exciting and accessible consumer finance products including humm, bundll, humm90 and hummpro. hummgroup continues to design products and features around the core needs of financially savvy consumers spanning millennial spenders through to young families and SMEs. The company facilitates purchases for 2.7 million customers and operates in Australia, New Zealand, Ireland and the United Kingdom. hummgroup has led the fintech industry in groundbreaking partnerships. Following an initial partnership with Mastercard in 2020 the company announced in 2021 that it had partnered with Westpac NZ to offer bundll in New Zealand, and with Velocity to offer the first airline points accrual on BNPL payments.",Ireland,24.189287,,,
Kish Capital,1787518.0,"Ireland, Leinster, Dublin, 32 Dawson Street, d02x009",https://www.linkedin.com/company/kish-capital,www.kishcapital.com,"We are a Private Equity and Real Estate investor based in Dublin and Lisbon.  Currently building out a portfolio of residential, PRS and affordable housing in Portugal, along with selective CRE and retail.  Also a shareholder in truffleinvest.com, a leading Fintech platform for private markets.",Ireland,1.787518,,,
