Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Sun Finance,382851924.0,"Latvia, Riga, Riga, 52 Skanstes Street, lv-1013",https://www.linkedin.com/company/sun-finance,www.sunfinance.group,"A rapidly growing online and mobile lending platform focused on customer journey, superb risk technologies and data science.",Latvia,382.851924,,,
Mintos,52464960.0,"Latvia, Riga, Riga, 50 Skanstes, lv-1013",https://www.linkedin.com/company/mintos,www.mintos.com,"Mintos is a leading European investment platform that enables individuals to build long-term wealth by investing in a unique combination of assets, such as loans, bonds, real estate, and more, all in one place. With transparent low fees and access to intuitive tools, Mintos empowers investors to take control of their financial future. The company is licensed as an investment firm under MiFID II and has earned the trust of more than 600,000 registered users across Europe. Mintos is powered by an international team of 180+ professionals working across offices in Riga and Berlin. The company fosters a culture of collaboration, openness, innovation, and flat hierarchies - offering a dynamic, high-impact environment where every team member has the opportunity to grow and shape the future of investing. Disclaimer: https://tinyurl.com/4wsxxmhn",Latvia,52.46496,,,
TWINO,17776113.0,"Latvia, Riga, Riga, 2a Pērses Iela, lv-1011",https://www.linkedin.com/company/twino,www.twino.eu,"A global investment platform offering investments in loans and short-term rental properties, trusted by 20,000+ retail investors across more than 30 countries in Europe. Licensed and supervised by the Bank of Latvia, subject to EU financial industry regulation and investor protection.",Latvia,17.776113,,,
VIAINVEST,8176246.0,"Latvia, Riga, Riga, 1 Roberta Hirša Iela, lv-1045",https://www.linkedin.com/company/viainvest,www.viainvest.com,"VIAINVEST is an investment platform offering asset-backed securities backed by loans issued by VIA SMS Group, its subsidiaries, and related non-banking lenders. Unlike traditional banks or investment providers, VIAINVEST gives private investors easy access to the non-banking lending market. VIAINVEST is licensed as an investment brokerage firm and is regulated by Latvijas Banka, the central bank of Latvia, under license No. 27-55/2023/2. The information contained in this channel is a marketing communication. Investments involve certain risks and costs. Legal information about SIA ""Viainvest"" and its services is available here: https://viainvest.com/en/company/legal . Get in touch with VIAINVEST: E-mail: info@viainvest.com",Latvia,8.176246,,,
Bizon,2992595.0,"Latvia, Riga, Riga, 5 2 Vidus Iela, lv-1010",https://www.linkedin.com/company/bizonone,bizon.one,"Bizon One is a fintech platform that provides cutting-edge advisory and IT-engineering services tailored for eCommerce and FinTech enterprises. While Bizon One does not operate as a payment gateway or hold a payment license, it offers expert guidance in technology, payments, and overall business strategies. Bizon One offers top-tier integration and software development, crafting custom solutions for cross-border eCommerce. Our platform unites fintech experts, blending technical expertise with personalized guidance to help businesses scale effectively. Through our extensive network of partners, Bizon One offers access to over 50 global payment methods, ensuring that your business is well-equipped to meet the demands of a global market.",Latvia,2.992595,,,
Crassula,20090471.0,"Latvia, Riga, Riga",https://www.linkedin.com/company/crassula,crassula.io,"Crassula is a FinTech software platform providing solutions for businesses to create financial products.  Supporting launch, growth and development of FinTechs around the world. We started with a simple idea - to provide the fast and easy yet product-rich technological core for launching FinTechs. Today, trusted by the industry leaders, we embrace security and connectivity, flexibility and convenience, delivering the world-class products to more than 5 million users.",Latvia,20.090471,,,
DoFinance,2515768.0,Latvia,https://www.linkedin.com/company/dofinance,www.dofinance.eu,doFinance is an innovative and fast-growing global FinTech player in online investment management devoted to build the most technology-advanced platform for easy and smart investing.,Latvia,2.515768,,,
Eleving Consumer Finance,44390171.0,"Latvia, Riga, Riga, 52 Skanstes Street",https://www.linkedin.com/company/funderly-group,cf.eleving.com,"Eleving Consumer Finance is a dynamic and international FinTech company dedicated to empowering diverse communities worldwide. Our mission is to create access to innovative and sustainable financial solutions, driving upward social mobility. We are at the forefront of financial inclusion, serving markets where traditional banking falls short. Our reach extends across 7 countries, encompassing the Balkan Europe region, including Moldova, North Macedonia, Albania, and the Southern Africa region, covering Namibia, Botswana, Zambia, and Lesotho. In most of the markets we enter, cash economy conditions are prevalent, making our comprehensive online and offline customer service experiences a unique offering. With a presence spanning multiple continents, our international team of over 1000 dedicated professionals forms our greatest asset. From more than 180+ branches, we offer a diverse array of flexible financial products, providing the means for individuals and communities to thrive, and we are constantly expanding our footprint. Join our team, and be part of our mission to transform the financial landscape for the better.",Latvia,44.390171,,,
ELizings.lv,3773652.0,"Latvia, Riga, Riga, 51 Lāčplēša Iela, lv-1011",https://www.linkedin.com/company/elizings-lv,elizings.lv,"Elizings.lv ir Latvijas uzņēmums, kas darbojas FinTech nozarē jau no 2015. gada un šobrīd ir lielākā kredītu salīdzināšanas platforma valstī. Sadarbībā ar vairāk kā 20 kredītu kompānijām, elizings.lv piedāvā visa veida finanšu risinājumus gan uzņēmējiem, gan patērētājiem. Salīdzināšanas platforma dod iespēju saviem klientiem aizņemties gudri un atbildīgi, izvēloties sev labāko finansējumu un izdevīgākos nosacījumus. Varam lepni teikt, ka esam sasnieguši izcilus rezultātus visos kreditēšanas segmentos, kā arī kļuvuši par galvenajiem ekspertiem auto līzingu nozarē. Esam uzņēmums, kuru izvēlas uzņēmēji un kuram uzticas patērētāji. Partneru skaits, kuri izvēlās izmantot mūsu finanšu risinājumu saviem klientiem, nepārtraukti pieaug, kas neapšaubāmi, liecina par to, ka esam radījuši izcilu produktu.  E-komercijas rīku attistība biznesam, šobrīd ir mūsu prioritāte. Nodrošinot kvalitatīvu saikni starp tirgotājiem un kredītu kompānijām, ikvienam klientam būs iespēja viegli iegādaties kāroto preci uzreiz. Mūsu galvenais mērķis ir palīdzēt tirgotājiem palielināt savu pārdošanas apjomu, nezaudējot klientus, darījuma noformēšanas procesa ietvaros. Uzzini visu par mūsu piedāvāto risinājumu biznesam šeit: https://elizings.lv/lv/biznesam . Elizings.lv komandā strādā gan pieredzējuši IT speciālisti, gan finanšu eksperti, kuri savu, gadiem ilgi krāto, pieredzi veiksmīgi izmanto, palīdzot saviem biznesa partneriem sasniegt jaunas virsotnes pārdošanā. Meklēt labāko risinājumu, domāt globāli un iedvesmoties no pasaules līderiem FinTech nozarē ir mūsu ikdiena. Esam pārliecināti, ka jebkuram uzdevumam pastāv risinājums un, ja tāds vēl neeksistē, esam apņēmības pilni to radīt paši. Arī moderno tehnoloģiju laikmetā, veidojot sadarbību, neaizmirstam par cilvēcisko saikni ar katru no mūsu partneri. Tas nozīmē, ka no mums Jūs saņemat individuālu pieeju un mūsu radīto rīku pielāgošanu tieši Jūsu uzņēmuma vajadzībām.",Latvia,3.773652,,,
Finoma,1169857.0,"Latvia, Riga, Riga",https://www.linkedin.com/company/finoma,finoma.eu,"Finoma is independent FinTech consulting company helping clients to develop and manage innovative solutions and services in fintech and digital payments. We help global corporations and firms to turn business challenges into new, strategic opportunities. Our end-to-end solutions and services help Payment Service Providers, E-money institutions and Banks to develop market-driven strategies to stay ahead of the competition.  Our core competencies include industry expertise and in-depth research capabilities. We are here to fuel your growth with card issuance and payment processing solutions in this dynamic, ever-changing fintech environment.",Latvia,1.169857,,,
