Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Aritma,25386718.0,"Norway, Hordaland, Bergen, 167 Damsgårdsveien, 5160",https://www.linkedin.com/company/aritmacom,www.aritma.com,"Build your financial solutions with our Open Finance Platform, or use our plug-and-play-solutions for optimising your accounting workflows. Financial infrastructure is complex and varies greatly between different banks and different domestic markets. Aritma’s solutions and APIs handle this complexity.  We enable fintechs and ERP vendors access and exchange financial data  through a single standardised API, irrespective of banks and domestic infrastructure peculiarities.",Norway,25.386718,,,
BES - Business Enterprise Solutions,622371.0,"Norway, Oslo, Oslo",https://www.linkedin.com/company/bes-as,www.beasas.io,"Business Enterprise Solutions (BES) is a fintech startup. We are focused on designing and building solutions that change the way businesses and organisations operate, by applying our knowledge and creative talents together with the power of emerging technologies, we create solutions that give our users an advantage, no matter the challenge.",Norway,0.622371,,,
DeriveMe,3773652.0,"Norway, Oslo, Oslo, 90 Henrik Ibsens Gate, 0255",https://www.linkedin.com/company/deriveme,www.deriveanalytics.com,"DeriveMe is a Norwegian fintech company based in Oslo. We have created Derive Analytics - a premium software system for financial professionals.  We offer our customers a complete solution to make trading decisions across fixed income and interest rate markets. Comprising real-time financial market data, advanced analytics, security pricing tools, portfolio management, news and macro, and reference data. Our customer base consists of a wide variety of clients, from large financial institutions to smaller investment firms. Visit our website to learn more about Derive Analytics!",Norway,3.773652,,,
Eternic,628942.0,"Norway, Oslo, Oslo, 15 Torggata, 0181",https://www.linkedin.com/company/eternic,www.eternic.io,"Eternic is a fluid solution for global payments and settlement. Using distributed ledger and tokenization technology, the Eternic platform provides a new pathway for international financial transactions to flow in real-time between banks. Eternic is owned and operated by Constanti AG and is part of the Fintech Innovation ecosystem of financial solutions for the next generation. Contact us to learn more or visit our webs",Norway,0.628942,,,
Fintech Innovation,3726326.0,"Norway, Oslo, Oslo, 15 Torggata, 0181",https://www.linkedin.com/company/fintech-innovation-as,www.fintechinnovation.no,"Fintech Innovation is the parent company to an ecosystem of fintech companies, which are dedicated to delivering the full benefits of emerging financial technologies, for open banking, global payments settlement, and personal finance management.   Founded in 2016, we are a team of committed and experienced specialists in Oslo, who share a passion for technology and belief in the transformative power of digital financial services.",Norway,3.726326,,,
Fintech Norway,622371.0,"Norway, Hordaland, Bergen, 4 Starvhusgaten, 5014",https://www.linkedin.com/company/fintech-norway,www.fintechnorway.com,Fintech Norway aims to bring together the Norwegian fintech community to create a well-functioning fintech industry in Norway.,Norway,0.622371,,,
Fintech Solutions Holding AS,628942.0,"Norway, Oslo, Oslo, 45 Munkedamsveien, 0250",https://www.linkedin.com/company/fintech-solutions-holding-as,www.fintechsolutions.no,"Fintech Solutions is active in financial technology focusing on efficiency and development. The company seeks to streamline existing industries through automation, data analysis, machine learning and other technologies such as artificial intelligence and utilization of computer resources. We currently have personnel from bank and finance, compliance, financial regulation companies, sales and experience from IT development and digital marketing. We are present in an exciting and forward-looking market and well equipped to fulfill our ambitions.",Norway,0.628942,,,
Fixrate,2126081.0,"Norway, Nord-trøndelag, Steinkjer, 7715",https://www.linkedin.com/company/fixrate,fixrate.no,"Fixrate er et norsk fintech-selskap med fokus på å forenkle likviditetsplasseringer for bedrifter. Vi står bak innovative løsninger som plattformen for plassering av store bankinnskudd, og nå en nylansert fondsplattform spesielt utviklet for bedrifters behov med institusjonelle betingelser, rentefond i USD og EUR samt samlerapport tilpasset IFRS rapportering.  Fixrate tilbyr nå en one-stop-shop med plasseringsalternativer i over 60 banker og 15 fondsforvaltere.",Norway,2.126081,,,
Hayon,4879741.0,"Norway, Oslo, Oslo, 0155",https://www.linkedin.com/company/hayon-as,www.hayon.no,"Hayon er et norsk fintech- og analyseselskap. Vi leverer analyseverktøyet Hayon Analytics, leadsløsninger for banker og forbrukertjenesten Renteradar.",Norway,4.879741,,,
HeiHome,628942.0,"Norway, Oslo, Oslo, Tordenskiolds Gate, 0160",https://www.linkedin.com/company/hei-banking,www.heihome.no,"HeiHome is a Norwegian startup tackling financial discrimination. We run financial seminars that help immigrants with clear information and network on how to achieve their financial goals in Norway.  We are developing our core product, a digital banking agent that improves access to financial services. Winner of Oslo FinTech Startup Weekend, Accelerated Startup in TheFactory Oslo, Impact Tech Startup at Katapult Future Fest in Oslo",Norway,0.628942,,,
Huddlestock,7948730.0,"Norway, Rogaland, Stavanger",https://www.linkedin.com/company/huddlestock,huddlestock.com,"Huddlestock Fintech AS is a pioneering technology provider based in Stavanger, Norway, specializing in Investment as a Service (IaaS) solutions tailored for the wealth management industry. Founded in 2014, Huddlestock made history as Norway's first publicly traded fintech company and has since expanded its capabilities through strategic acquisitions. The company's mission is to democratize access to capital markets by offering low-cost, efficient trading and investment services, thereby promoting financial inclusion. Huddlestock collaborates closely with a diverse range of clients, including neobanks, fintech startups, and established financial institutions, providing them with customizable, reliable, and innovative solutions tailored to their unique needs. The company focuses on digitizing work processes for custody banks, asset managers, and trading venues through its open, compliance-optimized wealthtech platform, which facilitates end-to-end digital services such as onboarding, client communication, and portfolio management. Huddlestock aims to enhance efficiency and reduce costs for its clients by delivering a differentiated real-time product that integrates various financial services. Its clientele spans across Norway, Sweden, Denmark, Germany, and the UK, and the company has established partnerships with notable firms in the financial sector. With a strong emphasis on research and development, Huddlestock is committed to continuous innovation, ensuring that its clients can adapt to evolving market trends and consumer needs. The company also offers consultancy services to support clients in optimizing their operations and investment solutions. As a publicly traded entity, Huddlestock is regulated by financial authorities in Norway and Germany, underscoring its dedication to compliance and operational excellence. Through its commitment to flexibility and collaboration, Huddlestock empowers businesses to deliver modern investment experiences while navigating the challenges of the rapidly evolving financial landscape.",Norway,7.94873,,,
InvestWiser AS,619188.0,"Norway, Vestfold, Horten, 205 Raveien, 3184",https://www.linkedin.com/company/investwiser-net,investwiser.no,"InvestWiser AS bygger fremtidens verktøy for den datadrevne investor. Vi er et norsk fintech-selskap som gjør avansert aksjeanalyse tilgjengelig, intuitiv og intelligent. PROBLEMET VI LØSER: Dagens marked er fylt med støy. Privatinvestorer og profesjonelle aktører mangler ofte verktøy som er både kraftfulle nok til å gi reell innsikt, og enkle nok til å brukes effektivt i en travel hverdag. Resultatet er beslutninger basert på følelser, og tapte muligheter. VÅR LØSNING: EN INTELLIGENT ALT-I-ETT-PLATTFORM InvestWiser er en skybasert plattform som gir deg et urettferdig fortrinn. Vi kombinerer: 📊 Systematisk Dataanalyse: Identifiser selskaper basert på anerkjente faktormodeller (Kvalitet, Verdi, Momentum) gjennom vår kraftige og fleksible aksjescreener. 🤖 AI-drevet Co-pilot: Still komplekse spørsmål om selskaper, nøkkeltall og markedsforhold til vår integrerte AI-assistent og få datadrevne, kontekstuelle svar på sekunder. 💼 Helhetlig Porteføljestyring: Bygg, analyser og overvåk dine porteføljer med en dypere forståelse av risiko, diversifisering og reell avkastning. VÅR REISE OG FREMDRIFT: Grunnlagt av Didrik Lysvoll i 2021, har InvestWiser vokst organisk til over 8.000 brukere. Vi er støttet av Innovasjon Norge og anerkjente investorer fra det norske finans- og teknologimiljøet. I 2025 lanserte vi vår kommersielle v2.0-plattform og har validert vår SaaS-modell med våre første betalende kunder. BLI MED OSS: Vi er på en misjon for å styrke investorer med bedre verktøy og klarere innsikt. Følg vår reise her på LinkedIn for oppdateringer om produktutvikling, markedsanalyser og innsikt i fintech-innovasjon. Utforsk plattformen i dag på https://investwiser.no/.",Norway,0.619188,,,
Kredd,1257884.0,"Norway, Oslo, Oslo, 90 Henrik Ibsens Gate, 0255",https://www.linkedin.com/company/kredd,www.kredd.it,"Kredd is a Norwegian FinTech company offering a digital lending platform that connected credit worthy borrowers with private investors and financial institutions. The company was founded in spring 2016, and the platform went live in November 2018. Our mission was to create a more transparent and efficient financial market, benefitting both borrowers and lenders.",Norway,1.257884,,,
