Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
XTB Online Investing,437785260.0,"Poland, Mazovia, Warsaw",https://www.linkedin.com/company/x-trade-brokers-dm-sa,www.xtb.com,"XTB Online Investing is a global financial institution that has gained the trust of over 1.7 million clients worldwide. The company specializes in providing a comprehensive range of investment tools and instruments, including commission-free trading of stocks and ETFs from major global exchanges, as well as CFDs on various assets such as currencies, commodities, and cryptocurrencies. XTB's mission is to empower individuals to take control of their financial futures through innovative technology and educational resources, while its vision focuses on making investing accessible and straightforward for everyone. The firm caters to a diverse clientele, including retail investors and traders, and offers robust support through a multilingual customer service team available 24/5. With a commitment to responsible investing, XTB emphasizes the importance of understanding the risks associated with financial instruments, ensuring that clients are well-informed as they navigate the markets.",Poland,437.78526,,,
Autopay,258310410.0,"Poland, Pomerania, Sopot",https://www.linkedin.com/company/autopay-s-a,autopay.pl,"Autopay is a leading provider of automated payment solutions for highway tolls and other transport-related services in Poland and Europe. The company aims to simplify the payment process for both individual users and businesses, offering features like recurring BLIK payments that allow users to pay for highway passages without the need for credit cards or manual entry of payment codes. With a focus on convenience, safety, and efficiency, Autopay serves a diverse clientele, including over 150,000 corporate customers ranging from small transport companies to large fleet operators. The company partners with major banks in Poland to facilitate seamless transactions and is committed to enhancing mobility for its users through innovative technology and reliable service. Autopay's vision is to streamline road payment processes, making travel easier and more accessible for everyone.",Poland,258.31041,,,
Przelewy24,84310681.0,"Poland, Greater Poland, Poznań",https://www.linkedin.com/company/przelewy24,www.przelewy24.pl,"Przelewy24 is a leading payment processing company based in Poland, dedicated to providing a comprehensive range of electronic payment solutions for both businesses and consumers. The company specializes in facilitating secure, efficient, and flexible payment methods, which include various types of payment cards such as debit, credit, and prepaid cards, as well as digital wallets like Apple Pay and Google Pay. Przelewy24's mission is to enhance the e-commerce experience by enabling merchants to accept payments seamlessly, thereby increasing conversion rates and fostering customer loyalty. The company offers a variety of innovative services, including OneClick Payments, QR code payments, and omnichannel solutions that integrate online and offline sales channels. This commitment to simplifying transactions ensures a smooth and efficient payment process for both merchants and consumers. Przelewy24 serves a diverse clientele, which includes online retailers, service providers, and marketplaces, and collaborates with various financial institutions to deliver secure and reliable payment processing tailored to the needs of the Polish market. With a strong focus on innovation and customer satisfaction, Przelewy24 is dedicated to supporting the growth of e-commerce in Poland and beyond. The company aims to help businesses increase their sales and improve their overall operational efficiency, making it a vital partner in the evolving landscape of digital commerce. Through its comprehensive payment solutions, Przelewy24 is positioned as a key player in the payment processing industry, committed to driving the future of e-commerce.",Poland,84.310681,,,
Tpay,65286732.0,"Poland, Greater Poland, Poznań",https://www.linkedin.com/company/10052837,tpay.com,"Tpay is a dynamic payment processing company that specializes in providing seamless online transaction solutions for merchants and businesses. With a mission to simplify the payment experience, Tpay offers a range of services including automated payment classification, transaction simulation modes, and secure e-transfer options that enhance the efficiency of financial transactions. The company caters to a diverse clientele, including e-commerce platforms and various merchants, ensuring that their payment needs are met with precision and reliability. Tpay's innovative technology and commitment to customer support position it as a trusted partner in the digital payment landscape, aiming to empower businesses to thrive in an increasingly online marketplace.",Poland,65.286732,,,
PayPo,47829092.0,"Poland, Mazovia, Warsaw",https://www.linkedin.com/company/paypo,www.paypo.pl,"PayPo is a forward-thinking financial technology company that specializes in innovative payment solutions, allowing consumers to shop online and pay later. The company's mission is to enhance the shopping experience by providing flexible payment options that empower customers to manage their finances more effectively. By offering a ""buy now, pay later"" service, PayPo enables customers to make purchases without the immediate financial pressure, fostering a more enjoyable shopping experience.  PayPo partners with a diverse range of online retailers across various sectors, including electronics, fashion, and home goods. This collaboration allows merchants to offer seamless payment solutions to their customers, ultimately increasing conversion rates and enhancing customer satisfaction. The target market for PayPo includes tech-savvy consumers who appreciate the convenience of deferred payments, as well as e-commerce businesses seeking to improve their payment processes and attract more customers. With a strong commitment to transparency, security, and customer-centric service, PayPo aims to build trust and reliability in the digital payment landscape. The company is dedicated to revolutionizing the way people shop and pay, creating a seamless and user-friendly experience that meets the evolving needs of modern consumers. By focusing on enhancing financial flexibility and convenience, PayPo is positioned to become a leader in the payment solutions industry, driving growth for both consumers and retailers alike.",Poland,47.829092,,,
BLIK,44965696.0,"Poland, Mazovia, Warsaw",https://www.linkedin.com/company/polski-standard-płatności---polish-payments-standard,www.blik.com,"BLIK is a leading mobile payment system in Poland, designed to facilitate quick and secure transactions for users through mobile banking applications. Operated by the Polish Payment Standard (PSP), BLIK aims to enhance the convenience of cashless payments, allowing users to make transactions without the need for physical payment cards. With over 16.3 million active users, BLIK has established itself as a popular choice among Polish consumers and is supported by major banks such as Alior Bank, Santander Bank Polska, and PKO Bank Polski. The company's mission is to continuously develop its capabilities to provide a seamless payment experience, while its vision includes expanding its services into other European markets. BLIK's recent partnership with Worldline further enhances its offerings, enabling businesses to accept BLIK code payments via the Tap on Mobile app, thereby broadening its reach and accessibility for both merchants and customers.",Poland,44.965696,,,
Conotoxia,4463678.0,"Poland, All Over The",https://www.linkedin.com/company/conotoxia,,"Conotoxia is a brand that brings together Conotoxia Holding's fast-growing global fintech companies, specialising in providing innovative financial services. On the web portal conotoxia.com, users can conveniently exchange currencies, send international money transfers, order and manage multi-currency cards, or use the in-house developed payment gateway system Conotoxia Pay. The fintech also offers multi-currency loans and complex investment services.  Global reach is possible thanks to the companies offering their services on the Conotoxia.com web portal: Cinkciarz.pl Sp. z o.o.  provides online currency exchange for individual and business clients as well as institutions.  Conotoxia Sp. z o.o. offers international money transfers, online payments and multi-currency payment cards. It has a payment institution license granted by the Polish Financial Supervision Authority (No. IP30/2015).  Conotoxia Ltd. provides access to investment and CFD trading services to clients throughout the European Economic Area. It is regulated and supervised by the Cyprus Securities and Exchange Commission (CySEC) under license number 336/17.  Conotoxia, Inc., is registered in the United States and provides money transfers in US states where it holds appropriate licenses. BigScreen Defense Sp. z o.o. offers innovative solutions within regulatory technology. It provides AML and compliance services for companies.  Currency Lending Sp. z o.o. is a lending institution, providing and developing innovative multi-currency lending services. It offers convenient online loans in several currencies. Cyber Geeks Sp. z o.o. is a software house offering comprehensive IT services. The Company develops complex IT solutions for customers from Poland and abroad and takes care of formal aspects of implemented projects. Conotoxia's main goal is to introduce the ultimate portfolio of financial solutions. Within the Holding's structures, we focus on innovation, development and expansion into new markets.",Poland,4.463678,,,
MBank S.A.,3099724930.0,"Poland, Mazovia, Warsaw",https://www.linkedin.com/company/mbank-s-a,www.mbank.pl,"mBank S.A. is a leading financial institution in Poland, recognized for its innovative approach to banking and commitment to sustainability. Established as a fully digital bank, mBank specializes in a comprehensive range of financial services, including retail and corporate banking, investment solutions, and asset management. The bank's mission is to deliver modern and customer-centric financial solutions that enhance the daily lives of its clients, ensuring security and convenience through advanced technology. With a strong focus on digital banking, mBank serves a diverse clientele of over 5.7 million retail clients and 36,000 corporate clients, including small and medium-sized enterprises (SMEs) and large corporations. mBank is dedicated to promoting sustainable development and responsible banking practices, integrating Environmental, Social, and Governance (ESG) criteria into its operations and investment strategies. The bank aims to allocate a significant portion of its assets to sustainable investments, reflecting its commitment to environmental protection and social responsibility. Through strategic partnerships with various financial institutions and technology providers, mBank enhances its service offerings and maintains a competitive edge in the market. The bank's vision emphasizes being a digital leader in the banking sector, leveraging technology to improve customer experience and operational efficiency. mBank actively engages in initiatives that promote financial literacy and inclusion, ensuring that its services are accessible to all segments of the population. With a workforce of approximately 8,500 employees, mBank fosters a culture of authenticity, empathy, and cooperation, positioning itself as a trusted partner in the financial journey of its clients. Through its innovative solutions and commitment to sustainability, mBank aims to contribute positively to the economy and society while achieving long-term growth and profitability.",Poland,3099.72493,,,
4FCG Sp. Z O.o.,432362.0,Poland,https://www.linkedin.com/company/4fcg-sp-z-o-o,www.4fcg.pl,"We provide comprehensive services to empower your business. Fintech solutions, payments, crypto related innovations are our core competencies. Our team of senior consultants supports legal and technical aspects of each business products. So far we have helped many companies like big banks, acquirers and EMI to implement new products (ex. eCommerce solutions, card issuing, crypto tokens).",Poland,0.432362,,,
Apfino,10376699.0,"Poland, Lesser Poland Voivodeship, Kraków",https://www.linkedin.com/company/apfino,www.apfino.pl,"FinTech Apfino z Grupy Kapitałowej Comarch, łączy dostawców usług finansowych z użytkownikami systemów ERP oraz platform e-commerce. We współpracy z czołowymi dostawcami usług finansowych spółka rozwija platformę technologiczną ułatwiającą decydentom prostą i zautomatyzowaną obsługę kompleksowego rozwiązania problemów w obszarze finansowym. Komplementarne produkty i usługi finansowe w jednym miejscu pomagają Klientom zapewnić płynność finansową biznesu oraz w pełni kontrolować zobowiązania i należności finansowe.  Finance Connect is a FinTech belonging to the Comarch Capital Group and connects financial service providers with users of ERP systems. In cooperation with leading financial service providers, Finance Connect develops a technology platform that facilitates simple and automated processes to solve complex problems in the financial area. Customers can choose with just one click, suitable complementary and financial services that maintain liquidity and control receivables and liabilities.",Poland,10.376699,,,
