Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Revolut,3100000000.0,"United Kingdom, England, London, 30 S Colonnade, e14 5hx",https://www.linkedin.com/company/revolut,www.revolut.com,"We are building the world’s first truly global financial superapp. In 2015, Revolut launched in the UK offering money transfer and exchange. Today, our 25 million customers around the world use dozens of Revolut’s innovative products to make more than 250 million transactions a month.  Across our personal and business accounts, we help customers improve their financial health, give them more control, and connect people seamlessly across the world.",United Kingdom,3100.0,,,
Wise PLC,2129701565.0,"United Kingdom, England, London, 65 Clifton Street",https://www.linkedin.com/company/wiseaccount,www.wise.com,"Wise Plc provides global payment solutions. The principal activity of the Company is the provision of cross-border money transfer services. Its products include international money transfers, Wise account, international debit card, travel money card, large amount transfer, receive money, Wise platform, Wise business, business debit card and mass payments. The International money transfer product offers bank transfers, debit cards and credit cards. The Wise Account offers 40 currencies to use or keep handing and receive money internationally too, with account details and IBANs for nine currencies. The Travel money card product offers currency cards for all travel. The Wise travel money card also offers an exchange rate on Google for spending in approximately 40+ different currencies. The Wise Platform is used by banks, large businesses and other enterprises. The Wise Platform serves various industries, including banks, technology firms, cloud platforms and others.",United Kingdom,2129.701565,,,
Raisin,929990434.0,"United Kingdom, England, Manchester",https://www.linkedin.com/company/join-raisin-ds,www.raisin.com,"Raisin is a trailblazer for open banking in the deposits and investments space. Raisin GmbH was formed by a merger of the FinTech companies Deposit Solutions and Raisin in June 2021.   The FinTech company provides an open banking infrastructure for the global $50+ trillion deposit market that benefits banks and savers alike. For savers, it means more product choice and decision power. Customer-facing institutions like banks benefit from best-in-class savings marketplace solutions for their own customers, while deposit-taking banks receive flexible, cost-effective access to diversified deposit funding.   Raisin operates its own B2C platforms across Europe and the UK under the Raisin, WeltSparen, Savedo, and ZINSPILOT brands, and in the U.S. under the brand SaveBetter. In the U.S., Raisin also offers a patented B2B Savings as a Service software solution. In Germany, in addition to savings products for retail and corporate clients, the company also offers ETF-based investment and pension products. Raisin collaborates with ca. 400 banks and financial services providers from more than 30 countries. The company is servicing over 550,000 direct customers.   Raisin is backed by renowned international investors such as btov Ventures, Deutsche Bank, FinLab, Goldman Sachs, Greycroft, Headline/e.ventures, Index Ventures, Kinnevik, Orange Digital Ventures, PayPal Ventures, Thrive Capital, Top Tier Capital Partners, Ribbit Capital, and Vitruvian Partners, as well as Peter Thiel.   The company has offices in Berlin, Frankfurt, Hamburg, London, Madrid, Manchester, Milan, New York, Paris, and Zurich.",United Kingdom,929.990434,,,
Zopa Bank,291732990.0,"United Kingdom, England, London, Tooley Street, se1 2qg",https://www.linkedin.com/company/zopa,www.zopa.com,"We’re Zopa, and we want to make money work better for you. Our diverse team is united in their mission of creating simple, fair and honest financial products that have the customer’s needs at their heart. We’re proud that this dedication is reflected in our excellent rating on TrustPilot. We’ve always been unapologetically honest with our customers, and value the same in return. Their feedback helps us shape what we build, so we can provide a bank fit for today, and for the future. We’re not the new kids on the block though - we’ve been a pioneering force in finance for 16 years. In 2005, we built the first ever peer-to-peer (P2P) lending company, giving our customers access to loans built for real-life and intelligent investments backed by cutting-edge tech. In 2020, we launched Zopa Bank, meaning we could offer more – like fixed term savings backed by FSCS protection and a credit card to help customers take control of their finances. We’ve lent out over £6 billion and are proud to have made money work better for over half a million people across the UK, whether they were looking to borrow or save.",United Kingdom,291.73299,,,
ZAI Capital Markets,2515768.0,"United Kingdom, England, London, St James, sw1y",https://www.linkedin.com/company/zai-capital-markets,www.zaicm.co.uk,"ZAI CM (ZAI Capital Markets) is a multi asset advisory brokerage firm that has established a hard won reputation as a provider of innovative, bespoke investing and trading strategies to a professional customer base. We offer a one-to-one broker service to our customers and provide both advisory and execution only accounts for Shares, Bonds, FX and Derivatives trading (Futures, Options, CFD, Etc.). As a ZAI customer you will benefit from your own personal broker who will keep in close contact with you to offer advice on trading strategies and to assist you with all aspects of managing your trading activities. ZAI Capital Markets trading platforms offer advanced state-of-the-art technologies and access to all major exchanges across the globe. Customers can trade and monitor positions, access statements and view real time profit and loss on open positions from anywhere in the world, 24 hours a day in a multi-currency environment. ZAI advisory broking services utilise ZAI Insight, our award winning subscription based research programme, which is produced and compiled by our team of experienced analysts. This unique combination of fundamental and technical analysis research is free to all customers who operate an active trading account. ZAI Capital Markets is part of the ZAI Group of companies, with financial expertise in M&A, corporate restructurings, private placements of equity and debt, valuations, initial and secondary public offerings and management buy-outs and buy-ins advise. It also holds institutional Broking and Trading arms from different locations around the world. Our clientele include Advent International, AIG, Equant, Hays Plc, Metromedia, Schroder Ventures and World Bank amongst others and we hold offices in Hong Kong, New York, Luxembourg and UK as well as other off-shore jurisdictions.",United Kingdom,2.515768,,,
Starling Bank,744548750.0,"United Kingdom, England, London, 1 Duval Square, e1 6pw",https://www.linkedin.com/company/starlingbank,www.starlingbank.com,"Hello, we’re Starling. Banking was broken – so we decided to fix it. The vision? Fast technology, fair service and honest values. All at the tap of a phone, all the time. We built Britain’s first digital bank. One hard-won banking licence later, we set about giving people a new way to spend, save and manage their money (and take better care of the planet, too). We’re changing banking for good. Back then, we were obsessed with unravelling the knotty world of finance and solving people’s problems rather than selling them stuff. We still are. Since then, we’ve grown. A lot. Over three million accounts (and four account types!). A team of thousands. Headquartered in London with offices in Cardiff, Dublin, Manchester and Southampton. Five years voted Which? Recommended Provider and Britain's Best Banking Brand. Still zero branches. Our culture is open, inclusive and focused on solving real customer problems, with an emphasis on doing the right thing, even when it’s not always the easy thing. From our approach to working together and sustainability to how we build our products, our decisions need to make the world – and Starling – a better place to be. Everyone at Starling is essential to our mission, which is really quite simple: to solve our customer’s problems – and build the best bank in the world! And now we're providing Starling to other banks, via a Software-as-a-Service (SaaS) proposition through our subsidiary Engine, using the proprietary technology platform that it uses to power our own bank.",United Kingdom,744.54875,,,
ChangeGroup & Prosegur Change,324336853.0,"United Kingdom, England, London",https://www.linkedin.com/company/changegroup-prosegurchange,www.changegroup.com,"Travel Money Specialists ChangeGroup and Prosegur Change are now part of Prosegur Cash, listed on the Madrid stock exchange, we are now part of a group that employs 160,000 employees globally. We are a powerful innovator in international financial services, growing through a mixture in acquisitions and organic growth. We are proud of the many services that we provide to our 5 million international customers each year. We warmly welcome you to our family. • Founded in 1992 with our International Head Office in London . • Over 200 ‘Ultra-Prime’ Money Exchange branches and ATMs in 12 countries. • 380 million see our brand per year. • An exciting and dynamic sales driven culture created by 80 nationalities. • Multi award winning including the Queen's Award. CEO: Sacha Alexander Zackariya since 2008.",United Kingdom,324.336853,,,
Atom Bank,274295910.0,"United Kingdom, England, Durham, dh1 5ts",https://www.linkedin.com/company/atom-bank,www.atombank.co.uk,"Want to join one of the UK’s most innovative fintechs, working on the latest tech and being  part of one of the top 20 places to work in the North East, email iwanttowork@atombank.co.uk.",United Kingdom,274.29591,,,
Curve,255996000.0,"United Kingdom, England, London, 1-10 Praed Mews, w2 1qy",https://www.linkedin.com/company/curve-ltd,www.curve.com,"Curve is on a mission to simplify the way people spend, send, see and save money. We are focused on an ambitious opportunity fuelled by a couple of trends starting to play out in the market, from fragmentation of financial services to new convergence layers for the customer experience. We believe the end-game will be a connected world of money, tailored individually for each customer. We’re building this end game - an Operating System for Money. For more details see https://www.curve.app",United Kingdom,255.996,,,
SumUp,204490767.0,"United Kingdom, England, London, 32 34 Great Marlborough St, w1f 7jb",https://www.linkedin.com/company/sumup,www.sumup.com,"SumUp is a leading global financial technology company driven by the purpose of levelling the playing field for small businesses. Founded in 2012, SumUp is the financial partner for more than 4 million small merchants in over 35 markets worldwide, helping them start, run and grow their businesses. We're committed to leveraging our success to make the world a better place. We have become a member of 1% for the Planet and pledged to donate 1% of the net revenue generated by Solo devices to support environmental, educational and entrepreneurial causes. To mark 10 years in business, SumUp secured a new substantial funding round at an $8.5B valuation. With small businesses at the heart of what we do, we'll continue to develop new ways to help our customers do business, and our solutions are always intuitive and inclusive.  SumUp has been recognised as a Top Global Employer for LGBTQ+ and received the Bronze Award for commitment to LGBTQ+ inclusion in the workplace on the Stonewall Workplace Equality Index 2022.",United Kingdom,204.490767,,,
