Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Toolani GmbH,1372554.0,"Austria, Vienna, Vienna, 61 Schönbrunnerstrasse, 1050",https://www.linkedin.com/company/toolani,www.toolani.com,"toolani steht für günstige Auslandstelefonie und bietet Anrufe in mehr als 220 Zielländer zu den besten Tarifen an. Um günstig mit toolani ins Ausland telefonieren zu können ist weder Internet, noch eine Zusatz-SIM Karte oder ein Vertrag notwendig. Das Telefonieren kann ganz einfach über die App (für iOS und Android) oder ein Festnetz-Telefon durchgeführt werden. toolani ermöglicht unkompliziertes und günstiges Telefonieren, egal ob mit internationalen Geschäftspartnern und Geschäftspartnerinnen, Verwandten oder Freunden im Ausland.",Austria,1.372554,,,
FUSSBALL KONGRESS,4856802.0,"Austria, Salzburg, Salzburg, 1 Peilsteinerstraße, 5020",https://www.linkedin.com/company/fussballkongress,www.fussballkongress.com,"Was ist der FUSSBALL KONGRESS? Fußballinteressierte sowie Entscheidungsträger aus Wirtschaft und Sport kommen zusammen, um aktuelle Themen der Fußballbranche zu diskutieren und geschäftliche Synergien zu schaffen. Was ist das Ziel? Das Ziel der Kongresse besteht vor allem darin, mittels hochwertigen Impulsvorträgen, attraktiv besetzten Diskussionspanels und interessanten Ausstellern ein Event zu gestalten, das neue Ideen und Kontakte bringt, alte und neue Netzwerke belebt, sowie einen persönlichen Mehrwert für die Teilnehmer schafft. Wie kann ich teilnehmen? - Für Fußballinteressierte: Das BASIC Ticket - Für Unternehmensvertreter und Entscheidungsträger: Das BUSINESS Ticket - Für Studenten und Praktikanten: Das NEWCOMER Ticket Darüber hinaus haben Sie die Möglichkeit, ihre Produkte und Dienstleistungen in einem hochwertigen Ambiente als Aussteller oder Start-up zu präsentieren oder als offizieller Partner präsent zu sein.",Austria,4.856802,,,
Hochficht Bergbahnen GmbH,1618934.0,"Austria, Upper Austria, Aigen Im Mühlkreis, 2 Hauptstraße, 4160",https://www.linkedin.com/company/hochficht-bergbahnen-gmbh,skisport.com,"Hochficht Bergbahnen GmbH is a leading ski and leisure company based in Aigen-Schlägl, Austria, dedicated to providing exceptional mountain experiences throughout the year. The company operates a variety of ski lifts and facilities, catering to winter sports enthusiasts and summer adventurers alike, with activities including skiing, snowboarding, hiking, and paragliding. Hochficht Bergbahnen GmbH is committed to sustainability, implementing eco-friendly initiatives such as electric vehicle charging stations to promote environmentally responsible tourism. The company aims to create memorable experiences for families and outdoor enthusiasts, positioning itself as a key player in the regional tourism market. With a focus on enhancing the enjoyment of winter sports, Hochficht Bergbahnen GmbH offers a range of ski passes, online ticket sales, and various services, including ski depots and special event arrangements. The company prioritizes safety and accessibility for all visitors, ensuring a seamless experience for skiers and snowboarders. Its target market includes families, sports clubs, and individual adventurers seeking outdoor recreational activities in the breathtaking alpine environment.  Hochficht Bergbahnen GmbH collaborates with local businesses to promote tourism and winter sports, contributing positively to the region's economy and fostering community engagement. By focusing on quality service and sustainable practices, the company not only enhances the visitor experience but also supports the local community, making it a preferred destination for both locals and tourists looking for adventure in the stunning Austrian Alps.",Austria,1.618934,,,
FK Austria Wien,26622443.0,"Austria, Vienna, Vienna",https://www.linkedin.com/company/fk-austria-wien,vip.fk-austria.at,"FK Austria Wien is a prominent football club based in Vienna, Austria, known for its rich history and competitive spirit in the ADMIRAL Bundesliga. The club's mission is to achieve excellence on the field while fostering a strong sense of community and youth development, as evidenced by its growing membership base, particularly among young fans. With a focus on high performance, the team aims to secure victories and improve its standings, reflecting the aspirations of both players and supporters. FK Austria Wien actively engages with its fans through various initiatives, including ticket discounts and special events, to enhance the overall experience and strengthen community ties. The club's vision encompasses not only sporting success but also the nurturing of talent and the promotion of football as a unifying force in the region.",Austria,26.622443,,,
Crosspark Reiteralm,475546.0,"Austria, Styria, Pichl, 66 Preunegg, 8973",https://www.linkedin.com/company/crosspark,www.crosspark.at,"The all-new crosspark Reiteralm is the world’s first and only permanent ski-cross and snow-cross sports arena, located under the roof of the Dachstein at one of Austria’s most lovely skiing resorts: Schladming-Dachstein. crosspark Reiteralm is part of the Ski Amade World, home to the 2013 World Championships and the legendary annual Schladming The Nightrace (since 1973 with in excess of 50.000 visitors every year). Ski Amade has more than 270 cable cars and lifts, more than 760 kilometers of well-prepared slopes with multiple gold awards, 400 WLAN Hotspots and attracts 8 mio. overnight stays with 3 mio. ski tickets sold.  crosspark Reiteralm includes a world cup and a European cup track, as well as a permanent public track and a start park for the u- and-coming, young sports of ski-cross and snow-cross that have become Olympic sports only in 2008.  crosspark Reiteralm stretches over more than 1300m, dropping 201m at a width of 30m - 50m which allows for a variety of courses. We have two separate start sections, fulfil all FIS criteria for EC and WC races with a variety of potential courses. To the West of the professional tracks is a permanent, tourist track of 750m in length with waves, jumps and curves. A fully equipped start park completes crosspark Reiteralm.",Austria,0.475546,,,
FlipFam,979538.0,"Austria, Vienna, Vienna",https://www.linkedin.com/company/flipfam,www.flipfam.app,"FlipFam is a loyaly program for sports fans, where you play simple games, collect digital goods, and redeem them to win great prizes like merchandise or tickets.",Austria,0.979538,,,
Weinerei Gastronomie KG,802678.0,Austria,https://www.linkedin.com/company/weinerei-gastronomie-kg,www.weinerei-baderhaus.at,"In unserer urig wie auch trendig gestalteten Weinerei im Baderhaus in Bruck an der Mur wird kulinarisch alles getan damit sich unsere Gäste bei kulinarischen Köstlichkeiten und speziellen Tropfen aus unserem Weinkeller wohl fühlen. Die reiche Auswahl an über 200 Weinen mit einem wöchentlich wechselnden glasweisen Angebot, wird durch zahlreiche Bierspezialitäten vom Fass ergänzt.  Neben heimischen Edelbränden rundet eine kleine, aber hochwertige Auswahl an Spirituosen, die pur oder mit ungewöhnlichen „Mixern“ (zB. Ginger Beer oder Rose Lemonade) genossen werden kann, das Angebot ab.  Natursäfte und verschiedene Mineralwässer, Kaffee aus der Brucker Kaffeerösterei JAVA und der „Eistee zum Selbermachen“ aus verschiedenen Teesorten vom DEMMERS Teehaus stehen als alkoholfreie Alternative zur Verfügung. Marco´s kleinere und größere raffinierte Köstlichkeiten, qualitativ hochwertige Produkte und eine innovative Karte mit häufig wechselndem Speisenangebot bilden die Eckpfeiler der kulinarischen Genüsse zwischen 11.45 Uhr – 14.00 Uhr und 17.30 Uhr – 22.00 Uhr.  Den „schnellen Teller“ für die kurze Mittagspause gibt’s schon ab € 6,30.  Kleinigkeiten, Eisspezialitäten und Dani´s hausgemachte Mehlspeisen können während der gesamten Öffnungszeit genossen werden.  Da bleibt die Luft Weg! Wir kochen ausgewählte Produkte für Sie ""sous vide"". Durch diese Variante des Niedertemperaturgarens im Vakuum entsteht ein besonders geschmacksintensives und nahrhaftes Ergebnis.",Austria,0.802678,,,
Axess AG,72546735.0,"Austria, Salzburg, Anif/salzburg, 18 Sonystrasse, 5081",https://www.linkedin.com/company/6723670,www.teamaxess.com,"AXESS AG provides secure and innovative solutions in Ticketing and access control management. Target markets are applications with public access in tourism, sports, leisure, culture and public transport.",Austria,72.546735,,,
Talecker Communications,903198.0,"Austria, Vienna, Vienna, 7/2/ Lehárgasse, 1060",https://www.linkedin.com/company/talecker-communications,www.talecker.com,"Talecker Communications specialises in digital communication on Facebook, Instagram & LinkedIn. 🖥 “Communication is your ticket to success, if you pay attention and learn to do it effectively.” (Theo Gold) We design individual strategies that will get you the attention you need to grow your business. Photocredit banner: Golden Hour Pictures",Austria,0.903198,,,
ART For ART Theaterservice GmbH,8531862.0,"Austria, Vienna, Vienna",https://www.linkedin.com/company/art-for-art-theaterservice-gmbh,theaterservice.at,"ART FOR ART Theaterservice GmbH is a subsidiary of Österreichische Bundestheater. We are the service unit for the Vienna State Opera, the Burg- and Akademietheater as well as the Volksoper in the areas of stage decoration, costume, building technology and ticketing.",Austria,8.531862,,,
