Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
The Balkans International Wine Competition & Festival,1258668.0,"Bulgaria, Sofia, Sofia",https://www.linkedin.com/company/biwcf,www.balkanswine.eu,"THE BALKANS INTERNATIONAL WINE COMPETITION (BIWCF) is a first of its kind. It celebrates the millennial wine-making tradition of the Balkan Peninsula as expressed in its modern Balkan wines – daily savored and loved by locals and more and more preferred by wine lovers worldwide. Dedicated exclusively to regional wines, this annual competition aspires to draw the attention of the global wine community to the unique range of flavors that this interesting region has to offer. The competition is open to wine producers from all Balkan countries, from the Black Sea region, and from all over the world. The Balkan wine festival that will follow the competition is open to the wine-loving public. In 2023 the 12th BIWCF will be split again between two countries!  For the 12th consecutive year, The Balkans International Wine Competition and Festival (BIWCF) is looking for and promoting the best Balkans wine. The event will be held in two countries in June 2023. From June 1-3 June, Bistrita-Nasaud, Transylvania, Romania will  host the Competition, and in the period 22-24 June under the open sky in the heart of Sofia “The Wine Town” will rise, bringing together the best cellars from the Balkans. Galina Niforou, BIWC Managing Director E-mail: niforou@balkanswine.eu Mob: +359 885 731 331 Igor Lukovic, BIWC Chairman E-mail: punajedra@gmail.com Ivana Tsakova, BIWC Event Manager  E-mail: ivana@balkanswine.eu Mob: +359 899 838 668 Tickets: tickets@balkanswine.eu",Bulgaria,1.258668,,,
COTE Bulgaria Job Agency,508418.0,"Bulgaria, Varna, Varna, 26a Bulevard Slivnitsa, 9000",https://www.linkedin.com/company/cote-job-agency,www.cote.bg,"COTE Job Agency is recruitment company starting operation back in 2014, first mainly on the Bulgarian market. Our main activity is hiring employees for the hotel and restaurant industry. Nowadays we are expanding as we can offer candidates for the cruise industry. We work complying the international labor and marine regulations as we fulfil the requirements of our partners. COTE Job Agency offers identifying, shortlisting and contracting the right professionals for our partners. We assist our candidates for job interview, medical exams, insurance, work visas, tickets etc. Through our data base of professionals, we can offer the right candidate as we follow their experience and update the education",Bulgaria,0.508418,,,
Cosmos Agency LTD.,188068.0,"Bulgaria, Varna, Varna, 6 Petko Karavelov, 9002",https://www.linkedin.com/company/cosmos-agency-manning,cosmosagency.eu,"Cosmos Agency Ltd. is a successor of Cosmos Shipping Recruitment Activities from 1998. The Agency was established as an independent entity in 2010. We specialize in hiring crew for river and sea vessels. We offer work on ships for qualified candidates, according to international maritime and labor conventions (STCW’2010 и MLC) and the specific needs of our clients, as well as for the fleet owned by the holding. As manning agent we select and train the candidates, assist with medical checks, issue of visas and flight tickets. We have a database of over 8000 candidates, track their document validity, update their experience and contacts to answer most effectively all inquiries.",Bulgaria,0.188068,,,
BREA Ltd Sofia Bulgaria,379012.0,Bulgaria,https://www.linkedin.com/company/brea-ltd-sofia-bulgaria,www.brea.bg,"Professional services for clients from Russian Federation and ex-Soviet Union, who are interested in investment in Balkan real estate market. We provide full circle of services including visas, tickets, meeting and accommodation, viewing trips, legal services, after-sale services, mortgages. The other key competence of our company is project management in marketing and sales.",Bulgaria,0.379012,,,
Broadway Performance Club,2377730.0,"Bulgaria, Blagoevgrad, Blagoevgrad, 1 Ploshtad Georgi Izmirliev, 2700",https://www.linkedin.com/company/broadway-performance-club,www.aubgmusical.com,"This is the official LinkedIn page of the Broadway Performance Club at the American University in Bulgaria (AUBG). During the past thirteen years we brought an equal number of musical productions to life  – “Chicago” 2008, “West Side Story” 2009, “Hairspray” 2010, “Moulin Rouge!” 2011, “Grease” 2012, ""Memphis"" 2013, ""All Shook Up!"" 2014, ""Burlesque"" 2015, ""Catch Me If You Can"" 2016, “Rock of Ages” 2017, “Spring Awakening” 2018, and “Hair” 2019.  Catch us in November when out latest production “RENT” will finally be brought to the Bulgarian stage! Tour dates and tickets will be announced soon!",Bulgaria,2.37773,,,
Run2gether България,3965810.0,"Bulgaria, Sofia-capital, Sofia, 1000",https://www.linkedin.com/company/run2gether-българия,www.run2gether.eu,"Run2Gether България е благотворително бягане организирано от Фондация ""Сошъл Фючър"" (JAMBA).  Мисията на JAMBA e свързана с повишаване на професионалните умения, знания и квалификация на хората с различни възможности (с фокус младежи), както крайната цел е насочена към тяхното включване в пазара на труда. За постигане на целите през 2021-та продължаваме набирането на средства за организиране на регулярни безплатни адаптирани обучения за хора с различни възможности в JAMBA хъб на възможностите. Обученията са с цел усъвършенстване на професионалните качества на кандидатите за работа и устойчивото им включване в пазара на труда.   Всички средства, натрупани от спонсорство, социална отговорност и благотворителна продажба на билети, ще отидат за реализирането на дейността на адаптираният ни кариерен хъб в кв.Лозенец и предоставянето на повече професионални възможности на хората с различни възможности.",Bulgaria,3.96581,,,
So Alive Music Conference,1709663.0,"Bulgaria, Sofia-capital, Sofia, 1000",https://www.linkedin.com/company/so-alive-music-conference,www.soalivemusicconference.com,"▦ SoAlive Music Conference & Festival 2024 ▦ invites you to immerse yourself in the heart of the Balkans where music, innovation, and cultural exchange converge in the beautiful city of Sofia. This year, we're expanding our horizons to focus of new technologies, Artificial Intelligence, and sync opportunities, setting the stage for a songwriting camp and residence for artists leading up to the conference. ▷ THE GATEWAY TO THE BALKANS' MUSIC INDUSTRY ◁ 📅 Dates: October 2nd to 4th, 2024 📍 Location: Sofia, Bulgaria - various venues including Sofia Live Club, Hall 2 of the National Palace of Culture, and more awesome spaces around the city. ✦ What to Expect ✦: ➱Over 40 panels and 20 presentations from global music industry leaders. ➱4 specialized workshop aimed at empowering artists and professionals with the tools for success in the digital age. ➱ An opening event by EU Commissioner of Culture, under the patronage of Mrs. Mariya Gabriel. ➱Unique songwriting camp that fosters creativity and innovation among artists from diverse backgrounds. 🎤 For Artists and Music Professionals: This is your platform to learn, network, and be discovered. From new talents to industry legends who want to discover new territories, SoAlive offers a unique opportunity to connect, get discovered, explore new trends, and showcase your work on an international pro lever. 🎫 Tickets: Early bird tickets are available now. Secure your spot at the forefront of music's next wave at https://www.soalivemusicconference.com/pro-tickets",Bulgaria,1.709663,,,
Chouchkov Brothers,3965810.0,"Bulgaria, Sofia, Shipka Str",https://www.linkedin.com/company/chouchkov-brothers-studio,ch-bros.com,"Using their experience based on 12 years of activity in the audio-visual industry, in 2003 Borislav and Viktor Chouchkov established the company “Chouchkov Brothers” with the main goal to produce film and television projects. Throughout the years they have created fiction and documentary films, television programs and music videos. Our project “TILT” (2011) –a feature fiction film, director Viktor Chouchkov Jr., script editors Bernd Lichtenberg (“Goodbye Lenin”) and Bill Forsyth(“Local Hero”) Awards: Best main actor, Best supporting actor, Special jury award at Golden Rose FF '10; 3 awards and 9 nominations from the Bulgarian Film Academy, In Competition Sofia IFF, Santa Barbara 2011, Raindance (London - Best debut award), Woodstock (Best editing award), California Independent Film Festival (Best Director Award); In the selection of Gotteborg, Cyprus, Seattle (#2 in the audience vote among 450 films) festivals; Top of Bulgarian box-office 4 weeks in a row, opened on the record-breaking 31 screens in Bulgaria; Effie award for most effective media campaign. The Bulgarian Oscar entry 2011. Chouchkov Brothers is currently producing a teenage drama TV series for the Bulgarian National Television, as well a feature film, based on the best-selling novel “18% Gray” by Bulgarian writer Zachary Karabashliev.",Bulgaria,3.96581,,,
ESky Bulgaria,21066393.0,"Bulgaria, Sofia-capital, Sofia, 159 Bulevard Tsar Boris Iii, 1618",https://www.linkedin.com/company/203423,www.esky.bg,"eSky Group consists of two main brands: eSky (with a global headquarter in Katowice) and eDestinos. We are an international company operating in the field of new travel technologies. We operate on over 30 markets, serving approximately 51 million customers. Our mission is to inspire you to organize your trip yourself, using the intuitive tools created by eSky to book airline tickets, hotels, tours and insurance. Since 2004, we provide comprehensive assistance in the planning and implementation of travel, both individual and business. We currently employ over 600 people - experts and enthusiasts of the latest technologies and traveling.",Bulgaria,21.066393,,,
Bulgarian VIP Travel,624672.0,"Bulgaria, Sofia, Wtc - Interpred",https://www.linkedin.com/company/bulgarian-vip-travel,www.bgviptravel.com,"BRIEF OVERVIEW Bulgarian VIP Travel is a leading Travel Management Company (TMC), based in Bulgaria, established in 1992.  The company provides high quality comprehensive travel management services to corporate and individual travelers and leisure tailor made travel products; Bulgarian VIP Travel Ltd is member in RADIUS® - The Global Travel Company (www.radiustravel.com) since 2004 and is currently providing travel management services to more than 100 corporate clients. BUSINESS AFFILIATIONS IATA accredited agent since 1994 Member and Shareholder of RADIUS® - The Global Travel Company Member of the American Society of Travel Agents (ASTA) Member of the American Chamber of Commerce in Bulgaria (Amcham) Co-founder of the Association of Bulgarian Tour Operators and Travel Agents (ABTTA)   SPECIALITIES Corporate Travel management, Travel Incentive Programs, Leisure Тravel Мanagement, Airplane Tickets, Hotel Bookings and Car Rentals, Transfers, Holiday Packages, M.I.C.E. Services, Cargo Services, Charters                            PRODUCTS:  www.tzone.bg  is a leisure travel portal which offers: Package Holidays, Citybreaks, Escorted Group Tours, Exotic Holidays, Cruise Offers. Departure country: Bulgaria",Bulgaria,0.624672,,,
DS TOURS LTD,224622.0,"Bulgaria, Varna, Varna, 41 43 Ivan Vazov Str., 9000",https://www.linkedin.com/company/ди-ес-турс-оод,dstours.bg,"“Ди Ес Турс” ООД е туроператор и туристически агент с удостоверение за регистрация № РК-01-6613 от 04.08.2010 г. Фирмата е създадена от дългогодишни професионалисти в областта на вътрешния и международен  туризъм. Ние предлагаме разнообразни туристически услуги: - Настаняване в страната и чужбина; - Екскурзии и почивки в цял свят; - Индивидуални и групови пътувания; - Продажба на самолетни билети на редовни и чартърни авиокомпании; - Конгресен туризъм; - Тиймбилдинги; - Трансфери; - Рент а кар; - Застраховки; „Ди Ес Турс“ ООД има собствена чартърна програма, ориентирана към туристически дестинации като: Палма де Майорка, Крит, Сицилия, Тенерифе, Барселона, Португалия, Прага, Дубровник, Корфу и др. Ние гарантираме за добрите условия и високото качество на предлаганите от нас продукти. Наши партньори са водещи туроператори, наложили се на световния туристически пазар, благодарение на високите си стандарти за качество: DERTOUR, ITS, MEIERS, TRAVELiX, JAHN REISEN. Отличните ни контакти и работа с чуждестранни туроператори и хотелиери, ни позволяват максимално да удовлетворим желанията и потребностите на всеки клиент. Подхождаме гъвкаво при организирането на групови и фирмени пътувания, като се стремим да предложим най-доброто съотношение между цена и качество, съобразени с бюджета на клиента. Екипът ни е съставен от обучени и опитни кадри, чийто опит и внимание е изцяло на Ваше разположение. Те с радост ще подготвят необходимата информация за Вашето пътуване, както и подходяща оферта, отговаряща на изискванията Ви.",Bulgaria,0.224622,,,
Diel Tours Ltd.,557518.0,"Bulgaria, Sofia-capital, Sofia, 77 Kozloduy Str. Sofia, 1202",https://www.linkedin.com/company/diel-tours-ltd,dieltours.eu,Диел турс ЕООД е лицензирана туристическа агенция с лиценз № 03784/2005 г.  Предлагаме: - екскурзии и почивки в България и целия свят - самолети билети - всички видове туристически застраховки - превод и легализация на всички езици - връщане на данъци от чужбина. Diel Tours Ltd. is a licensed travel agency with license № 03784/2005. We offer: - Excursions and vacations in Bulgaria and around the world - airline tickets - all types of travel insurance - translation and legalization in all languages - refund of taxes from abroad.,Bulgaria,0.557518,,,
Geo Adventures LTD,208224.0,"Bulgaria, Lozenec Sofia, 9 Ravnec Str.",https://www.linkedin.com/company/geo-adventures-ltd,geoadventures.bg,"Licensed Tour Operator and Travel Agency. We will be delighted to add more value to your business travel experience and to your company events. More than 150 000 hotels all over the world; Irresistable accomodation offers in Bulgaria; Lots of destinations and cheep air tickets; Business travel, Incentives, Corporate events and tailor made team buildings.",Bulgaria,0.208224,,,
TRIVIA Holidays,38903.0,"Bulgaria, Sofia-capital, Sofia, 30 Ulitsa Serdika, 1202",https://www.linkedin.com/company/trivia-holidays,www.triviaholidays.eu,"www.triviaholidays.eu TRIVIA LTD is licensed Travel Agent Company which offers: Hotel reservations, Booking airline tickets, Rent-a-car, Cruises, Tours and many other travel services. Our mission is to organize in best way your travel needs.",Bulgaria,0.038903,,,
Planet Travel Center,3009484.0,"Bulgaria, Sofia-capital, Sofia, 28 Hristo Botev Blvd., 1000",https://www.linkedin.com/company/planet-travel-center,www.planet.bg,27 YEARS PLANET TRAVEL CENTER BULGARIA Since 1995. www.planet.bg IATA certified tour operator company Holiday packages Charter flights operations Hotel reservations all over the world Outbound and inbound tour operator services Air ticketing Online reservation platform both B2B and B2C Corporate services Rent-a-car Cruises Yacht rentals Excursions Bundles Travel insurances Charter flights,Bulgaria,3.009484,,,
