Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Cuuma Communications Oy,4473973.0,"Finland, Uusimaa, Helsinki, 22a Itälahdenkatu, 00210",https://www.linkedin.com/company/cuuma-communications-oy,www.cuuma.com,"Cuuma Communications Oy is a Finnish technology company that was founded in 2005 We are a communication solution provider and service operator whose services are being utilized by more than 700 companies, several operators and service providers.  We specialize in developing omnichannel customer service environments. Cuuma is also a Telecom Operator. Please read more on our web page www.cuuma.com. Cuuma Communications LTD. Voip, Telephony development for SMB and operators. mobile pbx, SIM-cards, ip-pbx, telephony. SIP, MVNO, ticketing, customer service chat ***************************************************************************************************************************",Finland,4.473973,,,
Pati Dure Oy,1167014.0,Finland,https://www.linkedin.com/company/pati-dure-oy,www.patidure.com,"Specialist in telecommunications and WEB-based software development and in global sales support. Our key product at the moment is Advertisement Platform for Mobile networks.  The product is capable to provide best possible user experience.It uses Pati Dure proprietary technology to push advertisement directly to the device screen providing interactivity to advertisements.  The system also supports mobile coupons and tickets in secure environment, which solves the issues occured in traditional SMS/MMS based ticketing systems. State of the art management interface allows advertisers to manage their own campaigns on their own, without actions required from the system provider.",Finland,1.167014,,,
Knowhouze Oy,1888002.0,"Finland, Uusimaa, Helsinki",https://www.linkedin.com/company/knowhouze-oy,www.knowhouse.fi,"Knowhouze Ltd (www.knowhouse.fi) is a software house and systems integrator and was established in 2012.  Its primary field of activity is the development, sale and support of integrated software applications for businesses and organisations operating in Finland and  Europe. Knowhouze is the importer and provides Ceragon products to various companies and operators (www.ceragon.com).  Ceragon's microwave communication technology provides the highest capacity and most reliable microwave links By closely following the rapid evolution in IT and Communications technology, Knowhouze is developing and marketing a broad range of innovative solutions and services based on substantial ICT convergence know-how and aiming to cover requirements for the most demanding projects in the field. Knowhousze provides Nfc management, iBeacons, tele healthcare, access control, security and secure transactions applications, loyalty applications, ticketing, mobility and location-based value-added services through its expertise in  use of NFC (Near Field Communications) and mobile technologies and its broad experience in overall systems design and database management systems. Knowhouze maintains and offers end-to-end turnkey solutions in securely hosted and managed computing environments facilitating deployment of large scale mission-critical applications.",Finland,1.888002,,,
Finland Premier Padel,1433443.0,"Finland, Pirkanmaa, Tampere",https://www.linkedin.com/company/padel-open-finland,www.padelopen.fi,"Finland Premier Padel P2 🎾 📆 | 28.07-04.08.2024 📍 | PadelOne Arena, Nokia Upouudella padel-areenalla; maailman ensimmäinen areena, joka on suunniteltu vain padel-kilpailuja varten! Tampereen ja Nokian rajalla (osoite: Kivimiehenkatu 3, 37100 Nokia) - Vain 10 minuuttia Tampereen keskustasta! Lipunmyynti starttaa pian. Pysy kuulolla. Tapahtuma tuo 120 maailman parasta padel-pelaajaa Suomeen kilpailemaan kansainvälisen padelliiton virallisista (FIP) ranking-pisteistä! // Join The Waitlist 👉 https://www.finlandpadelopen.fi/waitlist #FinlandPremierPadel #FinlandPremierPadel🇫🇮",Finland,1.433443,,,
SportTV.fi,612781.0,Finland,https://www.linkedin.com/company/sporttv-fi,sporttv.fi,"SportTV.fi is a live streaming platform for everything sports. We let teams and other event organizers film and broadcasts their games live. Our channel customers can monetize the streams through pay-per-view, season tickets or subscriptions. It's perfect for team sports & leagues with little or no TV coverage at all, traditional pay-per-view sports such as professional boxing & MMA and national and international championships.",Finland,0.612781,,,
HPK Liiga Oy,2636799.0,"Finland, Tavastia Proper, Hämeenlinna",https://www.linkedin.com/company/hpk-liiga-oy,hpk.fi,"HPK Liiga Oy, known as Hämeenlinnan Pallokerho, is a prominent organization in Finnish ice hockey, managing the operations of the HPK team in the Liiga league. The company is dedicated to providing an exceptional experience for fans and partners alike, utilizing advanced technologies for data processing and customer engagement. HPK's mission revolves around fostering community connections through sports, while its vision includes enhancing brand visibility for partners via various advertising opportunities, including arena signage and team apparel. The organization collaborates with a diverse range of clients, including local businesses and sponsors, and aims to create a vibrant network of partnerships that benefit both the team and its supporters. With a focus on customer service and engagement, HPK Liiga Oy strives to be a leader in the sports industry, offering tailored solutions for ticket sales, corporate events, and marketing initiatives.",Finland,2.636799,,,
Manse PP,7244279.0,"Finland, Pirkanmaa, Tampere",https://www.linkedin.com/company/manse-pp,www.mansepp.fi,"Manse PP on tamperelainen pesäpallon erikoisseura, joka pelaa miesten ja naisten Superpesistä. Mansen naiset ovat Suomen mestareita vuodelta 2017 ja miehet vuodelta 2021.  Kaupin upouudella stadionilla superpesiksen kotiottelut pelaava Manse PP tarjoaa unohtumattomat karnevaalit, sekä superpesiksen parhaat puitteet pieniin ja suuriin yritystilaisuuksiin. Kesän 2025 aikana Kauppiin on valmistunut uudet upeat VIP- tilat. Stadionilla on viisi aitiota 12-20 henkilölle, sekä noin 60 paikkainen Manse PP klubi. Aitioiden hinnat alk. 1000e, sisältäen ruoat, otteluliput sekä aition. Klubi-lippu alkaen 69e sisältäen ruoan, juoman, klubiohjelman ja liput parhaalta paikalta otteluun. Lisätietoja: https://www.mansepp.fi/vip-paketit/ Varaukset VIP- tiloihin ja yhteistyökumppanuuksiin:  Matti Kailanto Kehitys- ja myyntipäällikkö  041 3118051 matti.kailanto@mansepp.fi Eero Katajamäki  myyntipäällikkö 044 2941050 eero.katajamaki@mansepp.fi",Finland,7.244279,,,
Tureksi Oy,877923.0,Finland,https://www.linkedin.com/company/tureksi-oy,www.pikkuvaki.fi,"Children's clothing and shoe store Pikkuväki-Pompii is a leading retailer of children's merchandise, ages newborn to 14 years old.  Pikkuväki was founded in 1976 in Helsinki. The Company sells and represents high-quality brands as Elle, Timberland, Reima, Ticket to Heaven, Burberry, Geox, Superfit, Marc O'Polo, Catimini, Kenzo, Lego, Primigi, Ugg etc. We love kids and our commitment to the welfare of children continues to be an important endeavor.",Finland,0.877923,,,
Hernesaaren Ranta,1258668.0,"Finland, Uusimaa, Helsinki",https://www.linkedin.com/company/hernesaaren-ranta,www.hernesaarenranta.fi,"Info to companies and event organizers about our facilities, events, ticket sales and table reservation options for groups. _____________________________________________ Hernesaaren Ranta is a diverse area for enjoying summer days. We offer not just deliciuous street food and drinks but also sunbeds by the beach, fun activities and exciting events. www.facebook.com/Hernesaaren-Ranta https://vimeo.com/user41136386 #hernesaarenranta #tänäkesänä",Finland,1.258668,,,
Linnanmäki,55401810.0,"Finland, Uusimaa, Helsinki",https://www.linkedin.com/company/linnanmaki,www.linnanmaki.fi,"Linnanmäki, operated by Lasten Päivän Säätiö sr, is a renowned amusement park located in Helsinki, Finland, dedicated to providing fun and entertainment for families and children. The park's mission is to create joyful experiences through a variety of attractions and events, ensuring a safe and enjoyable environment for all visitors. Linnanmäki offers a range of products, including wristbands and tickets for its rides, which can be conveniently purchased online and redeemed at the park. The target market primarily includes families with children, school groups, and tourists seeking recreational activities. Through partnerships with local businesses and community organizations, Linnanmäki aims to foster a sense of community while promoting the importance of play and leisure in childhood development.",Finland,55.40181,,,
