Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Promo Models Agency,3265814.0,Ireland,https://www.linkedin.com/company/promo-models-ireland,promomodels.ie,"We are a full-service event staffing agency specializing in promotional events and conventions. Our team of skilled professionals is prepared to handle every event, regardless of size, with dedication and care. Our secret lies in the quality of our staff. Our brand ambassadors understand the importance of what they do, and their passion is vital to any successful event. Together, our personal attention and efficiency ensure that what we do – and how we do it – is nothing less than outstanding. Promotional Staff Exhibition Staff Corporate Hospitality Roadshows and Sampling Product Launches Tradeshow and conventions Leafleting Events / conferences ticketing & registrations Models Registrations Contact us today on 0830949250",Ireland,3.265814,,,
One-Zero,7456599.0,"Ireland, Leinster, Dublin",https://www.linkedin.com/company/10566143,one-zero.com,"Where sport, business, and technology collide. Premium events & content for professionals at the collision of Sport, Business & Technology | Dublin, Ireland | Indianapolis, USA One-Zero Dublin 2024 - The Aviva Stadium, March 19-20th Tickets available now at one-zero.com",Ireland,7.456599,,,
Brera Holdings PLC,2998369.0,"Ireland, Leinster, Dublin, One Burlington Road",https://www.linkedin.com/company/breraholdings,www.breraholdings.com,"Brera Holdings Plc engages in the business of football division progression, global football player transfer service, sponsorship services, football school services, and consulting services on football projects. The company is headquartered in Dublin, Dublin. The company went IPO on 2023-01-27. The firm is focused on expanding its social impact football business by developing a global portfolio of emerging football and sports clubs. Its segments include Sponsorships, Ticketing, short-leases, store and youth league, Player Transfers, and Others. The firm's football operations are primarily comprised of its Global Sports Group, its noncompetitive football school, and the FENIX Trophy. Its Brera FC is an amateur football association which has been building an alternative football legacy. The club also organizes the FENIX Trophy, a nonprofessional pan-European tournament acknowledged by UEFA. Brera FC plays in the amateur Italian football leagues. The company expanded to Africa with the establishment of Brera Tchumene FC. The firm owns 90% stake in Brera Strumica FC. The company has made a strategic investment in Manchester United PLC. Its team under management, Brera Ilch FC, is competing in the Mongolia Premier League.",Ireland,2.998369,,,
Galway Races,9035374.0,"Ireland, V",https://www.linkedin.com/company/galway-races,www.galwayraces.com,"The Galway Races, Ireland's much loved & largest Horse Racing Festival, The #GalwayRaces Monday 28th July to Sunday 3rd August 2025. Tickets now on sale www.galwayraces.com",Ireland,9.035374,,,
Ultimate Rugby,4279914.0,"Ireland, Leinster, Dublin",https://www.linkedin.com/company/ultimate-rugby,www.ultimaterugby.com,"Brian O'Driscoll and Ultimate Rugby bring you the most comprehensive rugby app in the store :- Season schedules, team news, LIVE scores, competitions, social media and player interaction for ALL tier-one Rugby worldwide. Covers European and Southern Hemisphere tournaments including 6 Nations, The Rugby Championship, Heineken Cup, Super 15, Rabodirect Pro 12, Aviva Rugby Premiership and more. The only rugby app you'll ever need. Ultimate Rugby makes it easier than ever to follow your favourite rugby teams, leagues and players from anywhere in the world. See the live match timelines and scores as they happen and interact with others from around the world. Features: - Real time LIVE scores for all Tier one professional Rugby matches worldwide.  - Breaking news, ticket availability, stadium maps in the pre-match centre. - App Alerts on scores, team selection and match winners. - Real-time live chat with other fans before, during and after games. - Individual Player and Club profiles displaying Twitter, Facebook and YouTube Channels. - Calendar navigation allowing easy access to previous scores and upcoming fixtures. - Facebook check-in allows your friends to see you're gonna be there.",Ireland,4.279914,,,
Sports Events 365,23777300.0,"Ireland, Munster, Ennis, Upper O'connell Street",https://www.linkedin.com/company/sports-events-365,www.sportsevents365.com,"Sports Events 365 is the world’s largest location-based and sport-based search engine and ticket provider for upcoming sports events worldwide.  Sports Events 365 is an international sports and shows ticket vendor. The company operates a multilingual website in 21 languages for shows and sports events worldwide. dynamic and young work environment that combines professional challenge and diverse technologies.   Established in 2006, the company websites attract 200,000 visitors per month. Many more are exposed to our tickets and content through partnerships and affiliation.   Above all, we value our clients, both private and business. We do everything we can to give the most reliable service at the best price.",Ireland,23.7773,,,
Fly Cruise Stay,877923.0,"Ireland, Munster, Luimneach, v94pw96",https://www.linkedin.com/company/fly-cruise-stay,www.flycruisestay.com,"Multi-award-winning interactive travel website curating really good travel deals for people just like you! Join us on our adventure to explore more & sense the discovery in the pursuit of happiness! (Fly High Pay Low)®  #WeAreTravel #JetSetGo Winner: Best Travel Website 2021 - Europe! Global Business Awards 2021. Proud Recipient of The Honor Award 2021 - International Ecotourism Society. Winner: Best Online Travel Agency R.O.I. 2019 LUXLife Magazine  Listed in Irish Tech News IoT Awards 2017 as one of the Top 100 IoT companies in Ireland! We are a One Stop Travel Shop powered & backed by a consortium of travel brands offering: Over 27,000 cruise sailings online with the Lowest Price Promise worldwide  Best Price Guarantee on car rentals at 53,000 locations worldwide Pay at Hotel Option, Smart Rate Technology and Loyalty Points on hotel bookings. Available in 31 currencies and 16 languages Flight Comparison Search Engine in partnership with Skiplagged Reserve online & collect at box office for Sports, Shows, Tours & Attractions Transfers, Trip Insurance, Holidays, Villas, Country Cottages and more! Being Total Travel Addicts we publish travel promotions and love to blog about all things travel!",Ireland,0.877923,,,
Beetschwester,6002354.0,Ireland,https://www.linkedin.com/company/beetschwester,beetschwester.de,"KOMM INS BEET UND ISS DICH GLÜCKLICH! IN UNSERER VEGETARISCH-VEGANEN TAGESBAR WIRD VON FRÜHSTÜCK ÜBER LUNCH UND SNACKS BIS KUCHEN KREATIV UND KÖSTLICH AUFGETISCHT. OHNE FLEISCH UND OHNE FISCH, DAFÜR MIT HINREISSENDEN REZEPTEN UND SPICES AUS ALLER WELT. DAZU GIBT’S LECKER WEINCHEN, FEINE TEES, UNSERE EIGENE KAFFEERÖSTUNG, FRISCHGEPRESSTE SÄFTE UND SMOOTHIES … UNSERE KARTE WECHSELT MIT DEN JAHRESZEITEN, UND JEDEN TAG ERWARTEN DICH ÜBERRASCHUNGSEXTRAS. ALS KLEINE SCHWESTER VOM GASTHAUS GROSSER KIEPENKERL ACHTEN WIR AUF NACHHALTIGKEIT, FRISCHE SAISONALE ZUTATEN UND EHRLICHE HERKUNFT. ALLE GERICHTE WERDEN TÄGLICH FRISCH IN UNSERER PREP-KÜCHE UM DIE ECKE VORBEREITET UND HIER IM BEET À LA MINUTE VOLLENDET UND SERVIERT. GREEN CUISINE, ZUM NIEDERKNIEN LECKER – DRINNEN ODER DRAUSSEN, TO STAY OR TO GO, TÄGLICH AB 9.30 UHR (AUSSER SONNTAGS, DA WIRD AUSGERUHT). WANN KOMMST DU?",Ireland,6.002354,,,
Waterford Suir Valley Railway,3703336.0,"Ireland, Munster, Waterford, x91dh93",https://www.linkedin.com/company/waterford-suir-valley-railway,www.wsvrailway.ie,"Waterford Suir Valley Railway is Ireland’s longest narrow gauge railway. Based in Kilmeadan, Co Waterford, 10km on the Cork side of Waterford City and on Waterford Greenway. Arrive at the beautifully refurbished Kilmeadan Station. Check in at the ticket office, a converted Irish Rail Mark 2 carriage.   Board the train from the railway platform built in 1878. The original Kilmeadan Station sign is on display on the platform. When the whistle blows, the wave of the green flag signals it’s time to set off on this exciting journey through the countryside beside Waterford Greenway and along the banks of the River Suir.    On the journey watch out for the cormorants resting on the ruins of Kilmeadan Castle and get a glimpse into one of the “Great Gardens of the World ” Mount Congreve Gardens.   Make a wish when you see the fairies in the Magic Wood. Pass by the lime kilns and journey on to Carriganore where the merchants of Waterford are said to have hidden their gold from Cromwell’s army. On the return journey sit back, relax, take in the views of the River Suir and across the river to County Kilkenny.  Wave at all the walkers and cyclists enjoying the wonderful Waterford Greenway.   The 12km round trip journey lasts 40 minutes travelling at an average speed of 15km per hour.  On a Saturday the journey is 2km longer as it continues through the Dan Donovan Tunnel under the N25 to the Toll Plaza for the Francis Meagher Bridge. This last 50 minutes. Have a chat with the train driver and train guard, all of whom volunteer at the railway and will be happy to give you more information about the rolling stock. This unique tourist attraction celebrating Waterford’s rich railway heritage is operated as a social enterprise. It celebrates the importance of railways in Ireland and their contribution to education, industrial development, tourism and social life in Ireland.  Take the time to discover the Story of Rail on the storyboards around Kilmeadan Station.",Ireland,3.703336,,,
Art$ummit,237174.0,"Ireland, Limerick Limerick, Shanagolden, x75f",https://www.linkedin.com/company/artsummit,www.artsummiteurope.com,"Art$ummit is Europe's Leading Art Business Conference and Networking Event which unites senior business professionals in law, tax, and wealth management from around the globe.  It offers insights into the international art market and provides first-hand access to international experts in tax, wealth management, law, and accounting. to assist business professionals in understanding and advising their high net-worth clients in terms of a plethora of issues including, wealth management and succession planning for future generations.  This one-day unmissable professional event takes place on the 18th of June 2018 in the luxury setting of the internationally renowned five-star Adare Manor Hotel. For further information and tickets, please visit: www.artsummiteurope.com",Ireland,0.237174,,,
Midland Print Signs,1043062.0,"Ireland, Leinster, Athlone, 5 Pearse Street",https://www.linkedin.com/company/midlandprintgraphicdesign,www.midlandprint.ie,"We provide printing, graphic design, promotional gifts and now a full professional signage service. Essentially, we do it all, from business cards to leaflets, brochures, booklets, tickets, wedding stationery, Signage, promotional gifts, digital marketing, memorial cards, book binding, pull up stands, posters, banners, corriboard signs and so much more. In fact, there’s nothing we don’t do!  Midland Print + Signs is the only company in the Midlands of Ireland to provide businesses with essential marketing services all under the one roof. Our team of graphic designers, printing experts and marketing focused personnel are perfectly positioned to help clients promote their business professionally and effectively.",Ireland,1.043062,,,
Quality Print Direct Ltd,521531.0,"Ireland, Leinster, Balbriggan",https://www.linkedin.com/company/qpd,www.qpd.ie,"We have all the resources needed to satisfy your printing or design needs. We offer the highest level of quality in all our work, these include; High Quality Printing, All Business Stationery NCR Invoice & Docket Books Vouchers, Tickets, Invitations, Booklets & Magazines Small & Large Format Posters Archival Photo Printing, Black & White Copying, Colour Copying, Graphic Design, Web Design & more. Our Customers are the reason for our success, our commitment is to satisfy our customers with excellent service & unbeatable value.",Ireland,0.521531,,,
PrintSave.ie Speed Quality Price,4405338.0,"Ireland, Leinster, Dublin",https://www.linkedin.com/company/printsave-ie---low-cost-dublin-city-printers-walk-in-&-online-,www.printsave.ie,"PrintSave.ie is a new retail printing concept. We started in Dublin in 2011. We strive to offer a same day service on all of our printed items. We offer lower prices, superior quality and exceptional turnaround times. Our clients range from the small shopkeeper, student or coffee shop, to large multinationals and household names in Irish business. Owner Manager and friendly and professional team. Graphic design service also available.  PHONE: (01) 6777838 New Address: Unit 21, Naas Road Business Park, Muirfield Drive, Dublin 12 PRINTING SERVICES: Flyers, leaflets, brochures, catalogues, booklets,  business stationery, business cards, roll up banners, menus, docket books, tickets, promotional printing, window graphics and more. Personal and Wedding Stationery Printing: canvas prints, wedding stationery, wedding booklets, wedding invitations, custom invitations and more – PrintSave.ie",Ireland,4.405338,,,
Triest Press CLG,3452112.0,"Ireland, Co. Roscommon F42, Roscommon Town, Athlone Road, ax24",https://www.linkedin.com/company/triest-press-printing,www.triestpress.ie,"Triest Press is a thriving social enterprise from Roscommon, Ireland, providing a professional, high quality digital print and design service, coupled with meaningful employment and training opportunities for people with intellectual disabilities. Triest Press supplies quality print products to a wide range of businesses, community organisations and personal customers in Roscommon and surrounds. Digital print products range from memorial cards, wedding stationery, raffle tickets and promotional materials to bespoke items designed to meet customer requirements. The customers can supply their own artwork or have a highly skilled graphic designer to work on their project. Each design is given full attention and expertise. Triest Press focuses on growing the business to meet the needs of their valued customers and developing further employment opportunities for people with intellectual disability.",Ireland,3.452112,,,
JAYS Printing Ireland,521531.0,Ireland,https://www.linkedin.com/company/jays-printing,,"JAYS Printing Company offers complete print solutions for a wide range of print, signage and promotional products and design services. We offer high-quality cross-media marketing collateral, enabling companies to better focus on their branding, trusting that JAYS Printing, with our experienced team of sales staff, designers and in-house production facilities will be able to deliver the best quality print media on the market. Our best selling products include business cards, posters, banners, stickers, labels, booklets, flyers and leaflets, postcards and tickets, rubber stamps, roll up banners, large format printing and graphics, exhibition displays and promotional apparel and t-shirt prints. We are located in Dublin, and offer next day delivery to anywhere in Ireland.",Ireland,0.521531,,,
Alltype Ltd,2086124.0,"Ireland, Kildare, Mainham",https://www.linkedin.com/company/alltype-ltd7,www.alltype.ie,"Alltype Ltd is an independently owned Irish company conveniently situated 20km from Dublin in Clane, Co. Kildare. Currently employing 6 staff members, we provide a one to one design service offering our clients a more personalised approach. Whether you are looking for 50 invites or 5000 brochures, our team work hard to give you a fast turnaround at a very competitive price. Alltype Ltd, using the latest digital high quality machines (HP for large format & Xerox for short run), can create a new look business for you on a tight budget. Large format signs up to 50 inches wide & 30 metres long, creating top of the range pull-up displays, free standing, wall mounted or hanging menu boards. Also supplying election signs & posters of all sizes (specialising in laminating & mounting), making short run P.O.S. affordable & easy with tent cards, show cards, & strut cards, flyers, docket books, tickets, calendars, business cards, letterheads & compliment slips.",Ireland,2.086124,,,
Blackwater Valley Opera Festival,3804368.0,"Ireland, County Waterford, Lismore, Main Street",https://www.linkedin.com/company/blackwater-valley-opera-festival,blackwatervalleyopera.ie,"Ireland's Summer Opera Festival will return from 27 May – 2 June 2025 with four opera performances in the grounds of Lismore Castle, Co. Waterford.    Experience an exhilarating week of opera, classical music recitals and concerts, schools and free events, pop up events, dining and more at incredible homes and historic venues throughout the Blackwater Valley.  🚩 Become a BVOF Friend and avail of Priority Booking January, 2025 ➡Tickets on general sale in February, 2024 🎟 Corporate group rates and hospitality packages available on request by email: eamonn@blackwatervalleyopera.ie",Ireland,3.804368,,,
Gate Theatre,2579440.0,Ireland,https://www.linkedin.com/company/1886858,www.gatetheatre.ie,"The Gate Theatre was founded in 1928 by Micheál MacLiammóir and Hilton Edwards, and very quickly built a unique reputation as a producing house for introducing international writers and artists to Ireland. The theatre is housed in a beautiful Georgian building and has a capacity of 371 seats, which makes it attractively intimate for both actors and audiences alike.  The Gate’s vision is ‘an Open Gate where every person has access to great theatre.’ Under the shared leadership of CEOs, Róisín McBrinn and Colm O’Callaghan, an Open Gate is a civic Gate and will be a key cultural asset to Dublin’s North Inner City.  In the coming years, we will generate new audiences and excite current ones, invest in artists of the future, deliver our GATEWAYS community engagement programme and be a supportive home to the best Irish artists and their international collaborators. As the Gate approaches its centenary in 2028, we will make its theatre a home to all stories and the Gate’s communities, so that it continues to play a defining role in Irish society.  Registered Charity Number CHY 11638. Contact Box Office: Phone   01 874 4045 Email    boxoffice@gate-theatre.ie",Ireland,2.57944,,,
Dublin Business Network,1560700.0,"Ireland, Leinster, Dublin, Sandyford Road, 18",https://www.linkedin.com/company/dublin-business-network,www.dublinbusinessnetwork.com,"Dublin Business Network is a group of around 25 SME owners and managers that get together every Thursday morning for a breakfast meeting to share business opportunities and work for each other in these challenging times for small business. The essence of the DBN is that there is only ""one person per profession"" allowed to join the Group. This ensures that you won't have a competing business in the room and fosters a positive, supportive attitude among members. Feel free to attend one of our meetings as a visitor! Drop us a line at: info@dublinbusinessnetwork.com or sign up through Eventbrite: https://www.eventbrite.ie/e/dublin-business-network-weekly-morning-meetup-tickets-77353738113?aff=ebdssbeac",Ireland,1.5607,,,
Event Volunteers,3146670.0,Ireland,https://www.linkedin.com/company/fingal-volunteer-centre,www.eventvolunteers.ie,"Welcome Lives can be transformed through a wide range of events taking place, so we make it our business to ensure that it is easy for people to volunteer to get involved with public events, and that our Event Volunteers get the most out of their participation.  If you like to get down with the action, Event Volunteers provide a mobile event and information service to those attending public events. As a source of information about the event, local facilities and transport links, Event Volunteers role is to make sure visitors to an event have all the information they need to enjoy their time. Volunteering with Event Volunteers is an opportunity to put your skills to use in one of the most diverse communities in the country. You will have the chance to develop new skills, meet new people and be a part of some of the biggest events. If you are aged 16 or over (18 in the case of some events) and are motivated to be part of some great events then you are eligible to apply to be an Event Volunteer. You can fill out an online application form and we will review your application.  If you are suitable we will then contact you with details of upcoming events. Benefits In all cases food and refreshments will be provided at the venue for Event Volunteers. Additional recognition can be found for each event on our web site. Each event also has some other fanastic freebies for our Event Volunteers such as free tickets, T-shirts and other useful nice things that we know Event Volunteers like. You can choose which events you volunteer at. We will update you regularly with details of upcoming events, however it is up to you which ones you choose to attend, depending on your availability.  We ask that you attend at least two events once you have attended one of our training days. Volunteering with Friends You can volunteer with friends as long as you and your friends have completed an online application form and been accepted as Event Volunteers.",Ireland,3.14667,,,
