Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Farart Srl - Fine Art Management,746368.0,"Italy, Piedmont, Tortona, 6 Strada Comunale Costa Longarino, 15057",https://www.linkedin.com/company/farart-s-r-l-,www.farart.it,"Farart è una società piccola e giovane ma con un obiettivo ambizioso: provvedere ad ogni aspetto della comunicazione di professionisti, imprese, pubbliche amministrazioni e organizzazioni non profit. Dalla comunicazione tradizionale cartacea: progettazione grafica, redazione e stampa di biglietti da visita, brochures, cataloghi, materiali promozionali, riviste ed ogni altro genere di pubblicazione; ufficio stampa; acquisto di spazi pubblicitari. Fino alla comunicazione digitale: realizzazione di newsletter; creazione e gestione di profili sui principali social media; miglioramento della visibilità. Senza dimenticare la comunicazione diretta: organizzazione di meeting, convegni ed eventi promozionali; attività di fund raising e progettazione culturale. Ci occupiamo infine di riordino ed archiviazione di documenti cartacei e digitali, per non perdere ciò che si ha comunicato negli anni.",Italy,0.746368,,,
Livingstone Paint Factory Srl,1426638.0,"Italy, Friuli Venezia Giulia, Udine",https://www.linkedin.com/company/livingstone-paint-factory-srl,www.livingstonepaintfactory.it,"Siamo artigiani digitali. Siamo grafici e stampatori, realizziamo stampe digitali su diversi supporti, progetti grafici e personalizziamo abbigliamento. Nel nostro laboratorio lavoriamo con plotter Roland e stampanti Brother di ultima generazione. Frequentiamo corsi di aggiornamento organizzati direttamente dai produttori. Conosciamo a fondo i nostri macchinari e li usiamo sfruttando completamente le loro potenzialità.  I nostri PVC personalizzano automobili e furgoni resistendo alla pioggia e all'usura del sole. La nostra grafica crea progetti adatti ad ogni esigenza, dai biglietti da visita ai loghi.  Scegliamo le tele e calibriamo gli inchiostri in base alle opere d'arte da riprodurre per ottenere il risultato più vicino possibile all'originale. Siamo a completa disposizione per qualsiasi richiesta e preventivo.",Italy,1.426638,,,
FTG-Arte Milano - The Dynamic Museum,1902184.0,"Italy, Lombardy, Milan, 6 Via Pasquale Paoli, 20143",https://www.linkedin.com/company/ftg-arte,ftg-arte.it,"Coltivare il futuro con gli strumenti del presente.  👉🏻 FTG-Arte è il settore dedicato al mondo museale, del design e della cultura dell'agenzia Fotogramma. Si propone di collaborare con musei, gallerie e istituzioni culturali per creare nuovi legami, anche a distanza, con il pubblico, valorizzare i beni e le attività, potenziare il numero delle visite. Il team è composto da una museologa, una esperta di Comunicazione creativa, una Marketing specialist che - con il supporto di una motion graphic designer, operatori Matterport™, fotografi, videomaker - realizzano nuovi prodotti multimediali. Ottimizziamo i contenuti già presenti e ne creiamo di nuovi per rendere l’esperienza dello spettatore il più possibile immersiva e coinvolgente. Tutto questo nella ricerca di un dialogo anche con nuovi pubblici e con la volontà di ampliare il raggio di azione del museo. 👉🏻 Ecco cosa può fare FTG-Arte per voi: 1⃣ Virtual Tour Matterport: i tour virtuali capaci di attrarre il pubblico e rendere una visita memorabile. Al momento lo stato dell’arte del VT, migliori e più fluidi di Google Street View. 2⃣ L’inserimento nel VT dei contenuti già presenti o la creazione di nuovi pensati per target di pubblico diversi. (Scolaresche, famiglie, disabilità, corporate). 3⃣ La generazione di nuovi introiti - attraverso un esclusivo sistema di ticketing che dialoga con la vostra biglietteria - anche con il coinvolgimento e la valorizzazione delle risorse umane presenti. 👉🏻 Questi strumenti innovativi sono utili per raggiungere vari obiettivi: •	Rendere desiderabili le visite in presenza •	Mantenere vivo il legame con il pubblico. •	Ottenere visitatori paganti con tour digitali di alto livello •	Potenziare gli strumenti didattici per migliorare il legame con le scuole •	Promuovere il museo e il proprio territorio presso nuovi pubblici •	Accogliere le disabilità •	Supportare iniziative di fundraising         ... e forse altre cose ancora da scoprire.",Italy,1.902184,,,
Centro Copie San Giovanni,2369436.0,"Italy, Latium, Roma",https://www.linkedin.com/company/centro-copie-san-giovanni,www.cartocopie.it,"CartoCopie nasce nel 1986. Il principio su cui si è sempre basato è la professionalità, la qualità, la velocità e l’accuratezza delle consegne, il tutto contornato da merce delle migliori marche a prezzi veramente competitivi. Attraverso accordi commerciali con importanti aziende, oggi riesce a soddisfare con oltre 10000 articoli le esigenze di piccole, medie e grandi società. Si trova nel quartiere “San Giovanni” a Roma e più precisamente a 30 metri da P.zza Re di Roma facilmente raggiungibile dalla linea metropolitana A. Oltre la vendita on line di prodotti di cancelleria si occupa anche di: • Plottaggi B/N e colori  • Servizio di stampa digitale B/N e colori di piccoli e grandi formati  • Scansioni, rilegature, plastificazioni  • Fotocopie, biglietti da visita",Italy,2.369436,,,
Vapeitalia,10732197.0,"Italy, The Marches, Ancona, 36 Via Albertini, 60131",https://www.linkedin.com/company/vapeitalia,www.vapeitalia.it,"Vapeitalia è un'azienda con 10 anni di storia, una realtà imprenditoriale dinamica e in continua evoluzione, basata su valori umani e meritocratici che rendono la nostra azienda una realtà solida nel mercato italiano delle Sigarette Elettroniche e dei Liquidi da inalazione.  Siamo una delle principali imprese italiane che distribuisce Sigarette Elettroniche, Liquidi da inalazione, Sigarette Disposable Usa e Getta, liquidi scomposti, liquidi pronti, aromi concentrati, aromi, basi, box, atomizzatori, batterie, kit completi, resistenze e accessori vari grazie a relazioni di fiducia e di lunga durata con i migliori brand sul mercato offrendo un vasto assortimento di brand e prodotti di qualità a prezzi vantaggiosi. Onestà, trasparenza, affidabilità, serietà, esperienza, puntualità e innovazione sono i valori ai quali Vapeitalia ha sempre puntato per offrire ai nostri Clienti un partner sempre accanto alle esigenze di ogni singolo. Vogliamo essere un Partner e amico, una figura di fiducia che possa aiutare nella scelta più giusta, consigliando, onestamente, i prodotti e i brand più validi sul mercato attraverso un supporto a 360°, un consulente che si fa anche carico di eventuali problematiche. I nostri punti di forza: - Servizio assistenza e consulenza pre-durante e post acquisto (+ di 2000 ticket di assistenza gestiti in un anno + di 2000 pratiche chiuse) - Spedizione sempre Espressa - Continua disponibilità di prodotti - Restock frequenti - Novità in anteprima - Servizio di Dropshipping I nostri numeri:  2000 Negozianti attivi in Italia 5000 Prodotti a catalogo 8 punti vendita di proprietà BestPartner: - Hardware: Kiwi, Geekvape, Voopoo, Aspire, Justfog, Innokin, Golisi, Qwawins, ecc - Liquidi da Inalazione e aromi: Vaporart, TNT, Kiwi, La Tabaccheria, Dreamods, Eliquid France, Omerta, Blaq, Shake n'vape, Vapers Mood, ecc - Sigarette usa e getta: Elf Bar, Geek Bar, Dinner Lady, Eliquid France, Salt Switch",Italy,10.732197,,,
Clearco Srl,7055235.0,"Italy, Campania, Massa Lubrense, 2 Via Pontescuro, 80061",https://www.linkedin.com/company/clearco-s.r.l.,www.clearco.it,"Clearco S.r.l. è una società del gruppo Crems specializzata nella distribuzione di prodotti da “acquisto d’impulso”, biglietti augurali, peluche, gadget e articoli da regalo.  Rappresentiamo e distribuiamo, in esclusiva per l’Italia, aziende leader nel settore, quali: History & Heraldry, Depesche, Heart & Home, Keel Toys, John Hinde. I nostri articoli sono conosciuti e apprezzati in tutto il mondo, grazie alle straordinarie caratteristiche dei materiali utilizzati e all’ottimo rapporto qualità prezzo. Morbidi e teneri peluche realizzati anche in materiali riciclati, album da disegno, accessori moda, penne, portachiavi, magneti, tazze e tanti altri piccoli oggetti. E ancora: bellissime candele in cera di soia 100% che rispettano l’ambiente mentre inebriano la casa di delicati profumi. Per la loro varietà e qualità, i nostri articoli trovano facilmente collocazione presso cartolerie, negozi di giocattoli, librerie, tabaccherie, garden, negozi di oggettistica e articoli da regalo, farmacie, bio profumerie e negozi bio. Dal 2000 abbiamo anche realizzato un e-commerce dedicato al B2B in cui è possibile trovare tutti i nostri articoli. Per saperne di più visitate il nostro sito: www.clearco.it",Italy,7.055235,,,
Seba Iberica,973155.0,"Italy, Emilia-romagna, Ferrara",https://www.linkedin.com/company/seba-iberica,www.sebagroup.eu,"SEBA Protezione Srl nace como fabricante de guantes de protección laboral. Fue fundada en 1968 por Giancarlo Minarelli, que ha ido dando entrada en la empresa a todos los miembros de la familia e incorporando algunos importantes colaboradores de confianza. En el curso de los años ha ido ampliado la gama de productos, para actualmente ser un reconocido proveedor integral de equipos de protección laboral:  calzado de seguridad vestuario laboral guantes de protección protección auditiva protección ocular protección respiratoria protección de altura La actividad se basa en un papel de valores fundamentales para el desarrollo de la empresa: seriedad, eficiencia en los servicios, desarrollo tecnológico de los productos, adecuación constante a las normativas europeas e internacionales. SEBA está actualmente presente sobre el mercado europeo y mundial, con una estructura de unos 25 empelados en la sede italiana, más de 80 colaboradores en toda Europa y más de 400 empleados en los establecimientos de producción al extranjero.",Italy,0.973155,,,
Parole Di Carta,2752870.0,"Italy, Campania, Qualiano",https://www.linkedin.com/company/parole-di-carta,www.paroledicarta.eu,"La nostra avventura nel mondo della carta inizia nel 2003, con i biglietti d’auguri. Da qui traiamo il nostro nome e la nostra missione: le Parole di Carta sono quelle dei nostri biglietti, con cui accompagnare, commemorare e celebrare i momenti speciali dei nostri clienti. Da subito facciamo della qualità un nostro valore: scegliamo una materia prima d’eccellenza come la carta Federigoni, e intercettiamo le tecniche di stampa più all’avanguardia. In poco tempo, i nostri biglietti spiccano il volo, raggiungendo clienti in tutta la penisola. La cura nella lavorazione e il prezzo competitivo rendono ben presto Parole di Carta un riferimento del Made in Italy nel mercato dei biglietti augurali. Nel 2020 compiamo un altro piccolo passo, creando una nuova linea di prodotti: i biglietti pochette. L’idea di un biglietto con una tasca richiudibile, semplice ma rivoluzionaria, è il risultato della nostra attitudine all’innovazione e della costante voglia di ascoltare, intuire ed anticipare le tendenze e le esigenze che cambiano. L’ultima novità risale al 2017, quando lanciamo sul mercato quello che è attualmente il nostro prodotto più amato: le Box Surprise. Con queste speciali scatole sappiamo di aver trasformato l’apertura di un regalo in un’esperienza unica, una vera e propria esplosione di gioia…e palloncini! E adesso, cosa succede? Ci proiettiamo nel futuro con lo stesso entusiasmo con cui abbiamo iniziato, pronti a cogliere nuove sfide per continuare a scrivere le nostra storia, sempre insieme a chi da anni ci supporta e ci sceglie: i nostri clienti, i nostri fornitori, i nostri collaboratori.",Italy,2.75287,,,
Bo-card,578264.0,"Italy, Veneto, Verona, 20 Via Lucania, 37138",https://www.linkedin.com/company/bo-card,www.bo-card.com,Bo-Card è una nuova linea di biglietti augurali nata in Italia nel 2014 e vuole sviluppare una rete dinamica e forte per la distribuzione di questa antica e preziosa forma di comunicazione. Diventa Distributore Esclusivo. Posiziona nella tua zona i nostri espositori completi di biglietti augurali. Scrivi a info@bo-card.com Si tratta di un'opportunità di business collaudata. Si tratta di un attività sicura perché nel peggiore dei casi (= poche vendite) l'espositore fatturerà poco.  In questo caso puoi tranquillamente spostare il prodotto in un altro punto vendita più qualificato.,Italy,0.578264,,,
Blu Fast,1144008.0,"Italy, Tuscany, Arezzo, 31/33 Strada F, 52100",https://www.linkedin.com/company/blu-fast,www.blufast.it,"Dal 1977 Blu Fast opera nel settore dell’abbigliamento da lavoro, offrendo un’ampia gamma di articoli, progettati e realizzati anche su specifica richiesta. Inoltre progettiamo, produciamo e personalizziamo gadget, adesivi, pellicole per vetri, biglietti da visita e immagine coordinata, totem, espositori e tutto quello che cerchi per promuovere la tua azienda!",Italy,1.144008,,,
