Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
One Telecom S.A.,3854460.0,"Luxembourg, Beaufort, 16 Rue Du Manoir, 6313",https://www.linkedin.com/company/one-telecom-s-a-,onetelecom.lu,"One Telecom S.A. offers wired & wireless global solutions: Telecom Specialized in Business 2 Business telecom services, One Telecom has become a major player in the Belux telecom sector. One Telecom's size and approach allows it to serve business and corporate establishments with flexibility and professionalism, while developing products geared to the needs of the business customer.  VoIP With an advanced SoftPhone technology, One Telecom is a leader in VoIP telecommunication and enables you to make calls through the internet on mobiles and land lines at unbelievable prices directly from your computer or your smartphone WIFI solutions We offer revolutionary wireless IP communication technology that enables service providers to offer to their customer a wider range of next generation network services, including a full triple play package of Data, Voice and Video over IP Ticketing With an unique ticketing platform based on our wireless technology, we can offer you an ""All-in-One"" package for the organization of your events!",Luxembourg,3.85446,,,
HIGH TECH AUTOMATION SYSTEMS SA - HTAS,1293484.0,"Luxembourg, Dahlem, 19 Rue De Hivange, 8351",https://www.linkedin.com/company/high-tech-automation-systems-sa,www.htas.lu,"HTAS propose une solution établie selon vos besoins spécifiques en back-office (inséreuses et affranchisseuses), cash management (compteuses et trieuses billets/monnaies, automates de guichet), matériels bureautique & informatique, sécurité des documents et valeurs (coffres-forts et enveloppes de sécurité, scellés). HTAS est distributeur officiel des Photocopieurs multifonctions couleur et noir/blanc RICOH, télécopieurs RICOH, imprimantes et scanners RICOH , solutions logicielles de workflow. HTAS est également présent en Belgique (High Tech Automation Systems Belgium SPRL) et assure, en plus des activités mentionnées ci-dessus la distribution des Photocopieurs multifonctions couleur et noir/blanc et imprimantes DEVELOP. Une expérience de + de 15 ans ainsi qu' un service technique basé au Grand-duché de Luxembourg (Nospelt) sont vos garants de la qualité du service que vous êtes en droit d'attendre.",Luxembourg,1.293484,,,
PUSH THE PRINT S.à R.l.,1264871.0,"Luxembourg, Esch-sur-alzette, Esch-sur-alzette, 64 Avenue De La Gare, 4130",https://www.linkedin.com/company/push-the-print-s--r-l-,www.pushtheprint.com,Push The Print est une société de courtage en impression qui a pour vocation de trouver l’offre correspondant à votre demande avec le meilleur rapport qualité / prix.  Vous avez un projet spécifique ? Nous faisons des devis sur-mesure en collaboration avec les imprimeurs professionnels. N'hésitez pas à demander des devis par email à l’adresse suivante : devis@pushtheprint.com ou par téléphone au +352 24 83 62-1. Quelques exemples de prestations : Affiches Affiches grand format Autocollant micro perforé adhésif Autocollant grands format Bâches et calicots banderoles Blocs notes Brochures-magazines Calendriers Carnets de tickets Cartes de correspondance - compliments Cartes de visite: cartes de vœux cartes Menus Cartes postales Chevalets stop trottoir Classeurs Dépliants -plaquettes Enrouleurs Roll-up Enveloppes Fardes à rabat Flyers kakemono Lettre découpé Lettres à entête Liasse-carnet auto copiant Marque pages Panneaux de chantier Panneaux pyramide pour agences immobilières Post  it Ronds de serviettes Scotch-Ruban adhésif serviettes sets de table avec encres alimentaires ou normal Sous bock- dessous de verre Stand parapluie Stand pliables Stick de sucre Tapis de souris papier & pvc Textile tout type d’articles publicitaires,Luxembourg,1.264871,,,
Textildrock Lëtzebuerg By Noio sarl,1643660.0,"Luxembourg, Elvange-lès-burmerange Grevenmacher, 15 Rue D'emerange, l-5692",https://www.linkedin.com/company/noio-sarl,noio.lu,"A young start-up that offers custom clothing for businesses, associations, schools, and more at competitive prices, made in Luxembourg. Besides custom clothing, we offer custom marketing gadgets, and digital solutions, such as our online ticketing system LuxTix",Luxembourg,1.64366,,,
Imprimerie Quintus Sàrl,1564593.0,"Luxembourg, Kehlen, 8 Zone Industrielle, 8287",https://www.linkedin.com/company/imprimerie-quintus,www.imprimerie.lu,"L'imprimerie Quintus est spécialisée dans l'impression offset et digitale mais aussi dans le grand format comme pour les roll-ups, bannières, affiches, bâches publicitaires. Nous sommes à votre disposition pour vos cartes de visite, prospectus, flyers, brochures, formulaires médicaux, dépliants, roll-up, menus, billets, tickets d’entrée, fiches d’inscription, calendriers, rapports, mémoires, affiches publicitaires, papiers à en-tête, bâche de chantier micro perforé, et bien plus encore.",Luxembourg,1.564593,,,
NMC,510211.0,"Luxembourg, Ehnen Grevenmacher, 4 Rue De Wormeldange-haut, 5488",https://www.linkedin.com/company/nmc-new-mobility-consulting,www.nmc.lu,"Consulting in public transport ticketing, passenger information or price integration. Support in IT innovation and strategic surveys. Project/Program management in all IT domains",Luxembourg,0.510211,,,
Agilifly Digital Transformations,1254682.0,"Luxembourg, Luxembourg, Luxembourg, Rue De Mühlenbach, l-2168",https://www.linkedin.com/company/agilifly-consulting-solutions,www.agilifly.net,"At Agilifly, we empower lean teams to focus on meaningful work by transforming how they manage processes, collaborate, and deliver results. Our mission is simple: to enable impactful, user-friendly Digital Transformations, Process Automations, and insightful Analytics, all supported by Effective Change Management. As a boutique consultancy, our globally dispersed team brings deep industry expertise across Product Management, Program Management, Finance, M&A, Data Science, Operations, and Human Resources. This diversity allows us to understand the unique challenges of our clients and offer highly specialized solutions tailored to their needs. Our solutions leverage flexible, world-class low-code technologies like Smartsheet, ZigiWave, Power BI, and Tableau to automate processes across functional domains. By eliminating the need for multiple, siloed systems, we help organizations streamline their work on a single platform. From communication and workflows to schedule tracking, capacity planning, and dashboarding, we simplify the management of projects, programs, and business processes. With proven expertise and award-winning solutions, we deliver impactful results in weeks, not months. Our core services include:    1. Portfolio & Program Management: Covering PMO (Enterprise, IT, Business), CapEx projects, New Product Development.    2. Business Process Automation: Automating vendor, customer, and employee onboarding, 360-degree reviews, BD and incentive tracking, planning, budgeting, over 1,000 other use cases.   3.  Request & Feedback Management: Ticketing, Request Handling, Feedback and Voice of the Customer programs.   4.  Marketing:  Marketing Operations automations, Digital & Creative asset management.   5.  System Integrations: MS 365 Dynamics, Salesforce, Jira, Smartsheet, and ServiceNow for unified work environments.  6. Resource Management: Track capacity, Utilization, Expenses, Time.  7. Compliance: Streamline input & collaboration for ESG/Compliance,",Luxembourg,1.254682,,,
Travel Pro,13845348.0,"Luxembourg, Luxembourg, Luxembourg, 430-434 Route De Longwy",https://www.linkedin.com/company/travelproluxembourg,www.travel-pro.lu,"'Our goal is to put our expertise in travel management to the benefit of our clients, providing personalised travel related services exceeding our customers expectations.'  Department with over 35 highly qualified staff speaking several languages: English, French, German, Luxemburgish, Dutch, Spanish, Portuguese and Italian. The products for which we supply reservations and travel documents:  ✓ Airlines (incl. Low-cost carriers) ✓ Executive Lane ✓ Hotels  ✓ Cars  ✓ Trains  ✓ Boats  ✓ etc… Application of smart ticketing techniques realising substantial cost savings on air fares compared to the official market fares. Access to special negotiated corporate rates for airlines, hotels, car rentals, etc… >>> 24 / 24 hours assistance service <<<  >>> Passport & Visa service <<< Travel Management advise supported by MIS reports: Contracting on your behalf with our major travel suppliers (airlines, hotels, etc.). Training & seminars for assistants, travel managers, travel coordinators and travellers. Corporate payment solutions in cooperation with all major credit card companies.",Luxembourg,13.845348,,,
Business IT Solutions,1023676.0,Luxembourg,https://www.linkedin.com/company/business-it-solutions-lu,www.bis.lu,"Business IT solutions est une société informatique basée au Luxembourg. Service informatique : Nous vous proposons la vente de matériel informatique ainsi que le dépannage comme par exemple sur : serveur, postes de travail, réseau, stockage, imprimantes… Service développement : Par ailleurs, un service développement vous propose la création de site web et d'applications métiers & mobiles. Notre réalisation : Ultimate vision est un logiciel tout corps d'état et intuitif qui vous facilitera la gestion de vos interventions, des pointages, des tickets et notifications, des congés et de votre planning au sein d'un même logiciel. Service communication : Enfin, Business IT Solutions vous propose un accompagnement pour la réalisation de vos projets en communication pour les entreprises et les commerces.  Nous offrons des services tels que la réalisation de montage vidéo, de photographie et de retouche sur mesure ainsi que la prise de vue aérienne à l'aide de drone. Business IT solutions is an IT company based in Luxembourg. IT department : We offer you the sale of computer equipment as well as troubleshooting such as: server, workstations, network, storage, printers... Development department : In addition, a development department offers you the creation of websites and business & mobile applications. Our realisation : Ultimate vision is an all-inclusive and intuitive software which will facilitate the management of your interventions, time & attendance, tickets and notifications, holidays and your planning within the same software. Communication department : Finally, Business IT Solutions offers you support for the realisation of your communication projects for companies and businesses.  We offer services such as video editing, photography and customised retouching as well as aerial photography using drones.",Luxembourg,1.023676,,,
Employeurs-Employés.lu,457518.0,"Luxembourg, Koerich, 32 Rue De Windhof, 8384",https://www.linkedin.com/company/employeurs-employes,employeursemployes.lu,"E² réunit un ensemble de professionnels en Ressources Humaines qui offrent les meilleurs produits et services adaptés aux PMEs luxembourgeoises au travers d’une seule et unique plateforme en ligne. De manière simple et rapide, vous y trouverez des solutions allant de la gestion administrative des Ressources Humaines (fiches de paie, gestion des congés, gestion du personnel, etc.), au bien-être au travail, en passant par la formation, le coaching de managers ou d’équipes, les avantages sociaux tels que les Tickets Restaurants®, les chèques cadeaux, le leasing de voiture, et bien plus encore… Tout au long de l'année, E² vous informera également des actualités, nouveautés et événements RH au Luxembourg.  Rendez-vous sur notre plateforme en janvier 2020 !",Luxembourg,0.457518,,,
