Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Trinatours Ltd,2926345.0,Malta,https://www.linkedin.com/company/trinatours-ltd,www.trinatours.com.mt,"Trinatours Ltd (Malta) was established in 1990 as travel wholesalers concentrating mainly on the British, Italian and French market.Over the past years, the company has expanded its services to include all destinations worldwide. This was made possible by creating strong links with major tour operators and direct contracts with various hotels.Thanks to the good reputation we have acquired, we now enjoy a leading role in the local travel market relating to hotel bookings.  We are always trying to expand our services and offer our clients a wider choice of hotels, ranging from low-budget three star hotels to top-of-the-range five star luxury hotels. Besides accommodation, we also offer competitive rates for transfers, excursions, car hire, theatre tickets, ski packages.  Godwin Mercieca, who was the founder of the Company, always believed in hard work, determination and a good, friendly approach. This is the way a Company should be run and today, that is what we strive to do and achieve",Malta,2.926345,,,
Hamilton Travel,5038330.0,"Malta, Floriana, 2c Pinto Wharf",https://www.linkedin.com/company/hamiltontravel,www.hamiltontravel.com.mt,"At its start in 1992, Hamilton Travel had organised about six tours and carried around 250 passengers abroad.  Since then the company has expanded steadily, sending Maltese tourists to more and more new destinations. During 2011 and 2012, 150 tours were successfully organised and the annual figure of Maltese tourists travelling with Hamilton Travel grew to over 20,000.  The most popular and successful tours have always been to Paris and Disneyland, to the UK, Costa Brava in Spain, Sicily and Italy.  However, tours available today range from trips to New York, Los Angeles, Las Vegas, the West Coast and Orlando in America, including cruises in the Caribbean and Bahamas, to Istanbul and Antalya in Turkey, to North Africa, to cruises around Europe and the Mediterranean, and to various other countries, including Scandinavia, Holland, Belgium, Germany, Switzerland, Spain, Portugal, the Czech Republic, Slovenia, France, Italy and the UK. Our offices are situated on the Granaries in Floriana, just outside the capital city of Valletta. In Gozo, we are represented by Links Travel in Rabat, for the convenience of our clients on Malta’s sister island.  Our staff are highly trained, motivated and experienced in this line of business and we are familiar with the latest technologies relevant to the industry.  We employ the best tour leaders on the island, who are hand picked, trained and assigned to their specialised destinations.  The company now boasts 15 full-time staff, six part-timers and over 40 tour leaders. We keep an eye on the latest trends in international travel, and do our best to cater to market needs.Our motto, which is included in our mission statement, has always been “quality affordable tours” and our aim is being met, as can be evidenced by the positive feedback we receive from our clients. Hamilton Travel, in essence, is an incoming and outgoing tour operator, organising its own tours, constantly in search of great deals with airlines, cruise liners, hotels, cars and coach companies.  We also cater for individual travellers who may opt to travel alone for leisure or business purposes, and are also equipped to help soon-to-be-wed couples organise their dream honeymoon. Flights, accommodation, car hire, trains, football and concert and theatre tickets may all be booked through Hamilton Travel. The company is one of the top three outgoing travel enterprises on the island. Since 1996, Hamilton Travel has been the exclusive Malta General Sales Agent for one of the world’s top cruise line companies – MSC Crociere.  Over 8,000 Maltese people travel on cruises out of Malta each year.  Our company also carries out shore excursions for the foreign passengers on board the MSC ships. We are one of the leading companies in MICE and are the local representatives for several European travel agents for group and individual travel, organising flights, hotel and private apartment accommodation, sightseeing tours, transfers and private chauffeur and self drive cars for people attending MICE conferences. We also provide a personal meet and greet service at the airport or/and sea port. Air Malta, our island’s national carrier, counts Hamilton Travel as its number one partner in the Maltese travel business, both in the incoming and outgoing sectors. We specialise in outgoing and incoming tours together with ensuring the requirements of individual travellers are met. We are proud to form part of the main tour and individual travel operators in Malta.",Malta,5.03833,,,
Tickonet,5699890.0,"Malta, Birkirkara, Birkirkara",https://www.linkedin.com/company/tickonet,www.tickonet.com,"Tickonet is the official affiliate program of Sports, Music and Theater events tickets in Europe. We have number of products and we have a high performance in the industry since 1994. Our partner program is a web-based referral system where you can integrate with us and sell event tickets to your customers. Tickonet is your surefire source for premium tickets. We can ensure the best possible seats at the best possible price and aside with excellent customer service, customers keep returning to us.",Malta,5.69989,,,
Malta.com,2235956.0,"Malta, Gzira, 120 The Strand, gzr120",https://www.linkedin.com/company/malta.com,www.malta.com,"Malta.com is a portal about the Island of Malta. We provide information about the malteses islands for both people living in Malta and tourists such as : - basic information about Malta : history, geography, weather - holidays planner - leisure activities guide - accommodation guide in Malta - restaurant guide - classified ads - business directory The company is based in Malta since 2010. In 2011 we also launch an online shop, shop.malta.com, from where people can find a large choice of leisure activity vouchers and event tickets.",Malta,2.235956,,,
Lucky Stars,9659233.0,"Malta, Birkirkara, Birkirkara, Valley Road",https://www.linkedin.com/company/lucky-stars,luckystars.jp,"""About Lucky Stars"" Lucky Stars has the Top Prize odds of any lucky numbers game in the world.  And, if you introduce some friends, you have the chance to also win prizes when they win.  Even better, as a Lucky Stars Affiliate you can also get paid when the members you introduce to your community play.  In fact you can earn today from up to 8 highly lucrative revenue streams.  ""About us"" Welcome to my Lucky Stars website, where you can find everything you need to know about the world’s greatest opportunity. My goals are to enjoy myself, make money and build a massive team of Affiliates spreading the globe. If you join my team, I’ll help you do the same. In autumn 2008 this game was made available to the general public, Affiliates like me are going to be the ones who benefit from the millions of tickets sold. There is plenty of money to be made and lots of fun to be had. I look forward to welcoming you into my community --------------------------------------------------------------------- [AD] Get Your Lucky Stars! Friends who play together, win together. Online social networking with real-world benefits, With 50 EUR you may play forever. Jackpot! http://luckystars.jp/ http://an.to/luck",Malta,9.659233,,,
Raiseaticket,5095494.0,"Malta, Mriehel, Level 1/g Triq Is Salib Tal, cbd3020",https://www.linkedin.com/company/raiseaticket,raiseaticket.com,"Raiseaticket is the cloud-based free helpdesk solution that's powerful, insightful and easy to use. Raiseaticket Helpdesk Features are Ticketing Helpdesk System, Multiple Channels, Dashboard and Reporting, Notifications and many more.",Malta,5.095494,,,
246 Expats Malta,459811.0,"Malta, Slm",https://www.linkedin.com/company/246-expats-malta,www.246expatsmalta.com,"246 Expats Malta is the original expat social event group in Malta and has been in existence since 2010 and started by Trisha Steele, an expatriate from Ireland that has lived in New Zealand, Australia and Malta for the past several years.  The group is open to only foreign nationals, living or visiting Malta. We offer organized social events from weekly Friday night social drinks to group dinners, cultural and art events and boat trips during the summer months.  All events typically provide members with generous discounts on beverages/cocktails, food, and often discounts on show and event tickets.  Membership includes discounts offered by several restaurants around Malta and a “Free Lido Day” during the summer at the Fortina Pool.  These discounts are offered exclusively to 246 Expats Malta Members.",Malta,0.459811,,,
Ticketline.com.mt,2581026.0,"Malta, Qormi, Qormi, 163 Triq San Edwardu",https://www.linkedin.com/company/ticketline-com-mt,www.ticketline.com.mt,"Want to increase your sales to your next event then look no further!   Ticketline.com.mt is Malta's leading ticketing solutions company, having been in operation since 2008.  Our vast experience in ticketing solutions for all types of events from small 30 person events to large scale concerts of 15000 attendees have kept our clients coming back again and again. Our returning clients include The Malta Rugby Association, The Malta Fairs and Conventions Centre (MFCC), The Comedy Knights, Earth Garden, Teatru Malta, amongst many more. In 2017 Ticketline.com.mt was also chosen as the official Ticketing provider for Valletta 2018 - The European Capital of  Culture.   Whatever your event from a concert to a theatrical show, conference to a sporting event we have the solution for you. Contact us to day via email or visit our facebook page on  https://www.facebook.com/pg/TicketlineMalta",Malta,2.581026,,,
Big Ticket Events,1180232.0,"Malta, Malta, 1/3 Triq",https://www.linkedin.com/company/big-ticket-events,www.bigticket.com.mt,"If its a BIG TICKET EVENT - you know you want to be there! Producing and Promoting Malta's biggest events since 2010. Upcoming projects: -  Boyce Avenue: Live and Unpluggd - Nov 2017 at MCC, Valletta - Sesame Street Live: Make a New Friend - Nov 2017 at MCC, Valletta - Comedy Knights: The Last 5 years - Dec 2017 at teatru salesjan, Sliema Past projects include:  - The Comedy Knights: Christmas Comedy cavalcade - The Comedy Knights: Twelve Months of Funny - The Comedy Knights: Comedy Club Cabaret - The Comedy Knights: Three Times Funnier - The Comedy Knights:  Just 4 Laughs - CK TV - Rock of Ages - The Odd Couple - Innocent Flesh - My First Time - How to be Maltese in an Hour - Is it Me? - Dingle Bells, Malcolm Smells - Spring Awakening: A New Musical - Losing Louis - Bad Jazz by robert Farquhar - All The Great books Abridged - Love, Lust and Lynching in Fuente Ovjuna - Talk Thirty To Me -",Malta,1.180232,,,
GoldenRace - Virtual Sports & Betting Solutions,4786901.0,"Malta, Il-belt Valletta, Valletta, 1427 Old Theatre Street 66",https://www.linkedin.com/company/golden-race,goldenrace.com,"GoldenRace is an award-winning and market-leading Virtual Sports and gaming provider. We offer the world’s most played virtual Sportsbook and an incredibly realistic betting experience.  With a strong Client-First mindset, we’ve created the most reliable and cost-effective solution for Retail and a cutting-edge Online platform for desktop and mobile. What makes us a leader 🥊 • 19+ years delivering virtual betting solutions • 1,000+ websites powered by our Online solution • 60,000+ betting shops running our software • Up to 25M tickets a day processed in our servers • 500+ clients worldwide • Licensed and certified in 20+ jurisdictions ⚽️ PRODUCTS: Virtuals • Virtual Sports • Crash Games • Number Games Betting Solutions for • Online • Retail GoldenRace, a Softquo Holding Company. Softquo Holding Ltd is a B2B online gaming operator and does not provide services to players. It is licensed by the Malta Gaming Authority, holding license number MGA/CRP/320/2016 and Company Registration Number C39041 with its registered address at 66, Apt 5, Old Theatre Street, Valletta VLT 1427, Malta. 🔞 Gamble responsibly. https://www.rgf.org.mt | info@goldenrace.com",Malta,4.786901,,,
