Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Muzeum Memów,1454542.0,"Poland, Mazovia, Płock, 5a Tumska, 09-402",https://www.linkedin.com/company/muzeum-memów,bigfestivalowski.pl,"Zupełnie na serio przygotowana najbardziej niepoważna galeria w kraju, która otworzyła się w połowie sierpnia 2022 roku w ramach festiwalu lekkich treści - Big Festivalowski.  Tegoroczną wystawę możecie odwiedzać do końca roku w podziemiach kina ""Przedwiośnie"" w Płocku.  Czekają na Was kreatywne przestrzenie: memory, pokój terapeutyczny, dinozaury, pokój klasyczny, memy filmowe, memy współczesne oraz doświadczenia audiowizualne i dotykowe.  Bilety kupisz na miejscu lub online.  Partnerem Muzeum jest bileteria going. *** Mem to obecnie podstawowy nośnik informacji kulturowej, żartu, język pokoleń.  W naszym Muzeum poznasz historię zjawiska i jego różne odmiany. Sprawdź, jak to jest oglądać memy nie tylko w swoim telefonie lub na komputerze.",Poland,1.454542,,,
PIKOTEKA,475546.0,"Poland, Mazovia, Warsaw, 19b Ulica Cybernetyki, 02-677",https://www.linkedin.com/company/pikoteka,,"Z przyjemnością każdego dnia zaspokajamy potrzeby w zakresie dokonywania wygodnych i bezpiecznych zakupów ze szczególnym uwzględnieniem najwyższej jakości reprodukcji obrazów, grafik i fotografii, najwyższej próby artystycznej. Naszą misję działania oparliśmy na przekonaniu o tym, że sztuka odgrywa szczególną rolę w życiu każdego człowieka. Pikoteka dostarcza swoim Klientom najwyższej jakości reprodukcje dzieł sztuki, co pozwala na na obecność sztuki w każdej przestrzeni(...) Rozumiemy, że zapewniając najwyższą jakość swoich produktów, musimy wykorzystywać do ich tworzenia najbardziej wyrafinowane technologie reprodukcyjne. Nasze obrazy wykonane są w technice druku Giclée. Korzystamy również z technik tradycyjnych (np. wysokiej jakości druk cyfrowy). Dzięki użyciu najnowszej technologii artystycznego, wykonujemy idealne pod względem kolorów wydruki. Nasza oferta to m.in.: - Najwyższej jakości reprodukcje dzieł sztuki twórców klasycznych - Oryginalne dzieła twórców współczesnych - Albumy/ Teczki kolekcjonerskie - Sprzedaż biletów do muzeów  - Wystawy i wydarzenia kulturalne - Blog - Współpraca z muzeami, galeriami, artystami - Promocja artystów -... Zapraszamy do odwiedzenia platformy ze sztuką online.",Poland,0.475546,,,
Karta Telegrosik,885223.0,"Poland, Silesia, Gliwice, 2 Świętokrzyska, 44-100",https://www.linkedin.com/company/telegrosik,www.telegrosik.pl,"Karta telegrosik obecna na rynku jest od ponad 20 lat. Telegrosik to usługa pre-paid przeznaczon dla osób korzystających z budek telefonicznych, telefonów stacjonarnych i komórkowych. Umożliwia wykonywanie połączeń najwyższej jakości na numery stacjonarne i komórkowe polskich i zagranicznych operatorów. Korzystanie z karty jest bardzo proste bez konieczności podpisywania umów czy też zakupu dodatkowych urządzeń. Kartę telegrosik oprócz niskich cen wyróżnia również najwyższa jakość połączeń. Dodatkowo oferowane są liczne promocje, dzięki którym można rozmawiać jeszcze taniej.",Poland,0.885223,,,
AskHenry,9694009.0,"Poland, Mazovia, Warsaw",https://www.linkedin.com/company/askhenry.pl,www.askhenry.pl,"AskHenry – więcej czasu na to, co ważne Codziennie pomagamy firmom i osobom prywatnym uwolnić się od zadań, które pochłaniają ich cenny czas. Łączymy inteligentną logistykę miejską z elastycznym wsparciem administracyjnym, realizując setki spraw szybciej, wygodniej i bardziej ekologicznie. Dla Twojej firmy AskHenry to sposób na większą efektywność bez konieczności zatrudniania dodatkowych osób. Przejmujemy zadania administracyjne i operacyjne, dzięki czemu Twój zespół może skupić się na tym, co naprawdę przynosi wartość. Zarządzanie biurem, obsługa floty, organizacja podróży służbowych czy digitalizacja dokumentów – wiemy, jak to zrobić sprawnie i bez zbędnego angażowania Twoich pracowników. Benefit, który realnie pomaga AskHenry jako benefit pracowniczy to nie kolejna karta sportowa – to wsparcie, które odciąża pracowników w ich codziennym życiu. Odbiór przesyłek, serwis auta, planowanie podróży, zakupy czy sprawy urzędowe – dzięki AskHenry Twoi pracownicy mają więcej czasu dla siebie, mniej stresu i lepszą równowagę między pracą a życiem prywatnym. To benefit, który faktycznie wpływa na komfort życia i lojalność zespołu. Twój osobisty asystent na co dzień Dzięki AskHenry klienci indywidualni mogą cieszyć się wygodą osobistego asystenta, który zna ich preferencje i styl życia. Dedykowany asystent przejmuje zadania, od organizacji codziennych spraw, po wyszukiwanie najlepszych ofert czy planowanie wyjątkowych wydarzeń. Wystarczy jedno zgłoszenie, by AskHenry załatwił sprawę – a wszystko to elastycznie, wtedy, kiedy jest potrzebne. Łączymy trzy filary Nasza usługa to połączenie concierge, logistyki miejskiej i wsparcia administracyjnego. Działamy w oparciu o sprawdzonych partnerów i wypracowane procesy, które pozwalają nam realizować zadania szybciej i bardziej efektywnie. Niezależnie od tego, czy chodzi o codzienne obowiązki, zadania firmowe czy organizację życia prywatnego – AskHenry daje czas na to, co naprawdę się liczy.",Poland,9.694009,,,
KKS Lech Poznań S.A,75545075.0,"Poland, Greater Poland, Poznań",https://www.linkedin.com/company/kkslech1922,www.lechpoznan.pl,"KKS Lech Poznań S.A. is a distinguished Polish football club located in Poznań, celebrated for its extensive history and competitive prowess in the Ekstraklasa, Poland's premier football league. The club's mission centers on fostering a vibrant community of fans and players, striving for excellence both on and off the pitch. With aspirations to secure its ninth championship title, Lech Poznań is dedicated to maintaining a leading position in Polish football while also aiming for success in domestic and international competitions. The club serves a diverse clientele, including passionate football enthusiasts, local businesses, and families, offering a range of ticketing options, such as discounted rates for groups and special benefits for youth players through its Lech Future program.  KKS Lech Poznań actively partners with various sponsors and local organizations to enhance the matchday experience and promote community engagement, providing amenities like free public transport for ticket holders on match days. The club is committed to nurturing talent through its youth academy and women's team, thereby fostering a comprehensive football culture. Engaging with a broad fan base, KKS Lech Poznań aims to be a source of pride for its supporters while also positioning itself as a formidable competitor in European tournaments. With a focus on both sporting success and community involvement, KKS Lech Poznań S.A. continues to be a cornerstone of Polish football culture, embodying the spirit and passion of the game.",Poland,75.545075,,,
Roboticket.,2053724.0,"Poland, Greater Poland, Poznań",https://www.linkedin.com/company/11494563,roboticket.com,"Roboticket is a ticketing system provider for the sports industry specifically focused on elite spectator sports. The all-in-one online ticketing platform, FAN+ is used today by many professional football brands internationally - clubs such as FC Copenhagen, KKS Lech Poznan, Cardiff City FC, or Palmeiras São Paulo.  The platforms’ development is borne from decades of sports event industry experience, close collaboration with sports organisations and a commitment to building the tools necessary to meet the vast range of our partners’ needs.     As a technology company, Roboticket brings evolution into the spectator sports realm; harnessing the latest technology to build and execute solutions which are designed to vastly improve ticketing operations and event management as businesses transition through their digital transformation.   The company distinguishes itself with an expert level of understanding the spectator sports business, paying special attention to multi-event high-yield products such as season tickets, memberships, and subscriptions. Whilst streamlining the sales and user experience, Roboticket also takes the ticket fulfilment process as an opportunity to take further steps forward.  In the COVID-19 era, Roboticket is already delivering intelligent solutions to address today's changing regulatory environment by allowing partner businesses to easily work with dynamic audience capacities and automate their ticket inventory management processes.",Poland,2.053724,,,
Legia Soccer Schools,13118605.0,Poland,https://www.linkedin.com/company/legia-soccer-schools,www.legiasoccerschools.pl,"Legia Soccer Schools to Piłkarskie Przedszkola Legii czyli zajęcia piłkarskie dla dzieci w wieku od 3 do 7 roku życia, jak również całoroczne zajęcia piłkarskie dla dziewczynek i chłopców w wieku lat 6 - 10.   Ogólnopolski projekt „Legia Soccer Schools”, którego celem jest edukacja w zakresie trwałego kształtowania prozdrowotnych nawyków wśród najmłodszych dziewczynek i chłopców poprzez promocję zasad aktywnego stylu życia w oparciu o zajęcia sportowe na najwyższym poziomie. Jest on realizowany przez Fundację Legia Soccer Schools przy wykorzystaniu pełnego know-how i współpracy z klubem piłkarskim Legia Warszawa.    Legia Soccer Schools to :  • Profesjonalne szkolenie piłkarskie dzieci i młodzieży według    metodologii i filozofii Legii Warszawa • Harmonijny rozwój sportowy z uwzględnieniem wartości    oraz potrzeb społecznych, edukacyjnych i mentalnych • Przynależność do rodziny Legii Warszawa - największego Klubu    w Polsce • Bilety na mecze Legii Warszawa dla opiekuna oraz zawodnika • Zestaw oficjalnego sprzętu treningowego firmy adidas    w barwach Legii Warszawa • Wsparcie projektu edukacyjnego LegiaCoaching.pl • Małe grupy treningowe • Wykwalifikowana kadra trenerska Akademii Piłkarskiej    Legii Warszawa • Zajęcia w dogodnych terminach i wysokiej jakości lokalizacjach • Profesjonalne wyposażenie placów treningowych",Poland,13.118605,,,
WKS Śląsk Wrocław SA,15208820.0,"Poland, Lower Silesia, Wrocław",https://www.linkedin.com/company/slask-wroclaw,slaskwroclaw.pl,"WKS Śląsk Wrocław został założony w 1947 roku. Jest dwukrotnym mistrzem Polski i dwukrotnym zdobywcą Pucharu Polski. Rywalizuje w najwyższej klasie rozgrywkowej w kraju - PKO Ekstraklasie. Siedziba klubu mieści się we Wrocławiu przy ul. Oporowskiej 62, a drużyna swoje mecze rozgrywa na Stadionie Wrocław - największym obiekcie, na którym w Polsce odbywają się mecze ligowe. Ważną częścią klubu jest Akademia Piłkarska Śląska Wrocław, w której szkoli się kilkuset młodych zawodników w drużynach od U6 do U18. Akademia ta należy do czołowych organizacji tego typu w kraju, odnosząc znaczące sukcesy na arenie ogólnopolskiej. Bilety na mecze Śląska Wrocław można kupować on-line lub w stacjonarnych punktach sprzedaży na terenie Wrocławia i całego województwa. Zapraszamy również do skorzystania z oferty VIP. Więcej informacji na stronie internetowej slaskwroclaw.pl.",Poland,15.20882,,,
Fundacja Festiwal Biegów,2261828.0,"Poland, Mazovia, Warsaw, 00-382",https://www.linkedin.com/company/fundacja-festiwal-biegow,www.festiwalbiegowy.pl,"Festiwal Biegów to jeden z największych projektów biegowych w Polsce. Festiwal Biegów obejmuje m.in. najwszechstronniejszą w Polsce imprezę biegową - Festiwal Biegowy w Krynicy-Zdroju i towarzyszące mu największe w kraju targi dla biegaczy, ogólnopolski portal biegowy www.festiwalbiegow.pl, ogólnopolski program rabatowy pn. Karta Biegacza czy pomiar czas u na wszelkiego rodzaju imprezach. Festiwal Biegowy jest jedną z największych imprez sportowych w Polsce, w której uczestniczy ponad 8000 biegaczy. Jest także jedynym tak wszechstronnym i różnorodnym wydarzeniem biegowym w naszym kraju - w ciągu trzech dni sportowych zmagań zawodnicy mają do wyboru ponad 30 biegów na dystansach od kilkuset metrów do 100 km. Festiwal Biegowy to także wydarzenia towarzyszące takie jak: targi sportowe, Forum Sport – Zdrowie – Pieniądze, strefa dzieci, pokazy i koncerty. Festiwal Biegowy to także finał ponad pięćdziesięciu imprez biegowych rozgrywanych w ciągu całego roku w różnych regionach Polski, w których łącznie uczestniczy ponad 100 000 zawodników.",Poland,2.261828,,,
CRAG SPORT,8344496.0,"Poland, Lesser Poland Voivodeship, Kraków, 406 Cholerzyn, 32-060",https://www.linkedin.com/company/cragsport,www.cragsport.pl,"Jesteśmy młodą, dynamicznie rozwijającą się firmą, której celem jest dostarczanie najwyższej jakości produktów sportowych oraz turystycznych. Firma powstała w 2013 roku jako wyłączny przedstawiciel marki Black Diamond na polskim rynku. W swoim portfolio gromadzimy specjalistyczne marki outdoorowe, będące liderami w wielu kategoriach związanych ze wspinaniem oraz innymi aktywnościami górskimi. Firma z powodzeniem działa również na rynku czeskim i słowackim. Od 2016 roku redagujemy autorskie pismo CRAG MAGAZINE, poświęcone pasjonatom sportów ekstremalnych oraz podróży. Nasza firma znana jest z bliskiej współpracy ze środowiskiem wspinaczkowym oraz podróżniczym. Naszą misją jest  inspirowanie, kreowanie i promowanie aktywnego stylu życia przez dostarczanie najlepszej jakości produktów górskich i sportowych, przy jednoczesnym budowaniu wartości dodanej dla naszych kontrahentów, współpracowników i klientów. Jakość, pasja, ludzie, poszanowanie środowiska naturalnego to dla nas kwestie najważniejsze, które są siłą napędową nie tylko codziennych zawodowych, ale także prywatnych działań w outdoorze. Nasze marki: Black Diamond, PIEPS, Gregory Packs, Gerber, Source Tactical, EXPED, Teko, Mizu, Fritschi, G3, OAC Skinbased, ClimbOn, Kubek Polski, Rejbel, Ticket to The Moon",Poland,8.344496,,,
