Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Fashion Camp,629334.0,"Slovenia, Ljubljana, Ljubljana",https://www.linkedin.com/company/fashion-camp,www.fashioncamp.eu,"FASHION CAMP (Fashion Summer School) is the VIP ticket for all who want to enter the world of fashion and for all who have such a strong wish to be established in this world that they are willing to do something about it. It is intended for MODELS, MAKE-UP ARTISTS,  DESIGNERS and PHOTOGRAPHERS.",Slovenia,0.629334,,,
Sajko Turizem,1290439.0,"Slovenia, Slovenska Bistrica, 22 Trg Svobode, 2310",https://www.linkedin.com/company/sajko-turizem,sajko-turizem.si,"With successfull operation since 1993, we are one of the leading Slovenian outbound and incoming tour operators for Slovenia, Europe and also worldwide. We have rich experience in organized excursions and holidays (for groups and individuals). We offer a full range of tourist services: from hotel reservations, and the booking of air tickets, transfers, to the organization of conferences and meetings. All in one place.",Slovenia,1.290439,,,
CWT - Adria Potovanja,1041120.0,"Slovenia, Ljubljana, Ljubljana, 4 Ukmarjeva Ulica, 1000",https://www.linkedin.com/company/adria-potovanja-d-o-o-,www.adria-potovanja.si,"Carlson Wagonlit Travel (CWT) is a global leader specializing in business travel management.  We are a leading Slovenian fully licensed travel agency with years of experience in the travel industry.  Since 1998 we have been the Carlson Wagonlit Travel partner for Slovenia. Together we have successfully implemented the highest standards of services as required by business and leisure travelers worldwide.  What we do and offer: •  Specialized in business travel  •  Issuing air ticket •  Hotel and rent-a-car bookings worldwide •  24/7 service •  CWT To Go™ Who we are: • Accredited by IATA • Global company with local understanding • Present in nearly 150 countries and territories  • 19,000 employees worldwide  • A diverse client portfolio of large corporations, small and mid-sized companies, government institutions and non-governmental organizations.  • More than 62 million on- and offline transactions",Slovenia,1.04112,,,
Maribor Tourist Board,8178614.0,"Slovenia, Maribor, Maribor, 4 Tkalski Prehod, 2000",https://www.linkedin.com/company/maribor-tourist-board,www.visitmaribor.si,"MARIBOR TOURIST BOARD performs as a regional tourist organization for: - the performance of a commercial public service for the tourism promotion, - the establishment of coherent tourist offer, - encouraging the development of tourist infrastructure, - the promotion of coherent tourist offer and - providing information for visitors. Maribor Tourist Board runs two Tourist Information Centres. TIC MARIBOR  - the main tourist information office, - all about tourist offers for Maribor and the tourist destination Maribor-Pohorje, - brochures on Maribor, the destination Maribor-Pohorje and Slovenia, - guided tours of the city and its surroundings, - sale of souvenirs,  - accommodation bookings,  - cycling information point, - sale of bus tickets for the city buses. THE OLD VINE HOUSE  - a tourist information office,  - a House on frontage of which grows THE OLDEST VINE IN THE WORLD (registered in the Guinness Book of Records), - a temple of wine tradition and culture of Maribor, Slovenian Styria and Slovenia, - a wine tasting place of excellent wines from Štajerska (Slovenian Styria) wine region, - a selling point of excellent wines and souvenirs, - an exhibition room with guided tours, - an exceptional event room - the honorary seat of Slovene and international associations, sworn to honouring wine and the wine culture.",Slovenia,8.178614,,,
BOOKINGPOINT.NET,4220849.0,"Slovenia, Ljubljana, Ljubljana, 6 Ukmarjeva Ulica, 1000",https://www.linkedin.com/company/bookingpoint-net,www.bookingpoint.net,"The World is beautiful! At online travel agency BOOKINGPOINT.NET we're convinced of that. Those who agree with us are our loyal, satisfied customers from all corners of the world, who via our online portal are able to choose between two options: Those, more individualistic among you may browse our website www.bookingpoint.net and find the desired information, accommodation, airline tickets or other tourist offers from our wide range. The system operates on the principle »Just click and go«, which means that from the comfort of your own home 24/7 you can find a suitable airline ticket or hotel accommodation and pay for the service via our secure credit card or by bank transfer or cash. After payment you will be sent your airline tickets and all other important documents direct to your email address. Those who like to be spoiled will be taken care of by us! All you have to do is send us an email at: info@bookingpoint.net stating your desires or simply dial our Call Centre, where friendly consultants will be able to advise you, delving deep into the finest detail of your trip.   Our main consideration is to allow customers and partners the chance to view our offers and professional services using the latest information technology so they may quickly, simply and safely find and book a holiday according to their own desires, or let us do it for them with a professional and individual approach. With our excellent quality standard and service control we strongly desire to become one of the worlds leading tour operation companies and follow the course of time. Keep up to date, trust in us and let us do the work for you... Because the world is beautiful!",Slovenia,4.220849,,,
Potovanja Pirc D.o.o. & Last-minute.si,624672.0,"Slovenia, Maribor, Maribor, 13 Gregorčičeva Ulica, 2000",https://www.linkedin.com/company/potovanja-pirc-d-o-o-,www.last-minute.si,"Potovanja Pirc je potovalna agencija z več kot 25 letno tradicijo in poslovalnico v centru Maribora v preteklosti poznana pod blagovno znamko Agencija Grad-Potovanja Pirc.  Smo upravljalci potovalnega portala Last-minute.si - pravi spletni naslov za počitnice, kjer lahko najdete vse za počitnice: last minute ponudbe, počitnice z letalom, potovanja, izlete, križarjenja, hotele, apartmaje in letalske karte.  Z včlanitvijo v Last Minute Klub boste po e-pošti sproti obveščeni o ugodnih ponudbah za počitnice. Smo pooblaščeni zastopnik nemških podjetij Traffics GmbH in GIATA GmbH za Slovenijo in Hrvaško.",Slovenia,0.624672,,,
Turistična Agencija Playa,2615600.0,"Slovenia, Ptuj, Ptuj, 21 Puhova Ulica, 2250",https://www.linkedin.com/company/turistična-agencija-playa,agencija-playa.si,"Turistična agencija Playa je nova turistična agencija na Ptuju. Nahajamo se v nakupovalnem centru Qcenter Ptuj. Naša glavna prednost je, da ponujamo vse turistične agencije na enem mestu. To pomeni, da lahko pri nas izbirate med najugodnejšimi ponudbami turističnih agencij Sonček, Relax, Palma, Kompas, ETI, Oskar, TUI, FTI in mnogimi drugimi. Poleg omenjenega lahko za vas poiščemo tudi najugodnejše letalske karte, želeni hotel, apartma ali ostalo namestitev, najem avtomobila, rezervacijo parkirišča na letališču, izdelavo vizuma in tako naprej. V Playi poleg dopustov v Sloveniji, na Jadranu in Mediteranu, ponujamo tudi eksotične počitnice širom sveta, avtobusne izlete in potovanja okoli celega sveta, celo na Antarktiko, križarjenja od Sredozemlja pa vse do daljnih Karibov in Avstralije, navijaška potovanja, smučanje in še veliko drugega. »Playa 🏖 Agencija s plažo ponudb«.",Slovenia,2.6156,,,
Explora doo,468983.0,"Slovenia, Nova Gorica, Nova Gorica, 20 Kidričeva, 5000",https://www.linkedin.com/company/explora-doo,www.explora.si,"Travel agency specialized in air travel and ticketing - selling flights from/to all world airports. IATA accredited since 1996 with highly trained and experienced travel professionals. Company has launched new Web Booking engine that combines both IATA and Low cost carrier offers and availability. This option save time to all those searching for best travel deals. You no longer need to browse through countless pages to find the best deal. With us, you get everything in one place. Soon we will complete the updated system for hotel reservations and rental cars. Whether you are going on a business or leisure trip you can find the best deal with us.",Slovenia,0.468983,,,
BelotPay,5095494.0,"Slovenia, Komenda, 33b Mlaka, 1218",https://www.linkedin.com/company/belotpay,www.belotpay.com,"Instant payment system. The mobile application ""My Ticket"" identifies the vehicle and the fare on the route and allows you to pay for the fare with one click on the button. Payment is made from the passenger's bank card directly from the mobile application. An electronic ticket for a paid trip is displayed on the application screen, which allows you to conveniently and quickly control the fare.",Slovenia,5.095494,,,
Po Svetu d.o.o.,842403.0,"Slovenia, Šenčur",https://www.linkedin.com/company/po-svetu-d-o-o-,www.posvetu.si,"You need cheap&comfortable air ticket to any place in the world, fully insured rental car or affordable accommodation ? Contact us :) We are operating first & biggest independent Slovenian travel website www.posvetu.si (whic translates to ""all over the world""). All of the members of our team are first and foremost travelers themselves, so we operate this ""business""  with a lot of enthusiasm and energy. Webpage started in april 2012 as the first of its kind in Slovenia and one of the first in the world. Up to the end of 2015 it was legally incorporated as a private entrepreneurship. In december 2015 a private limited company (d.o.o.)  ""Po svetu"" was created that took over the web business. Some examples of 2015 prices that we published: free tickets across Europe / around-the world ticket for 500€ / Ljubljana-Philippines 170€ / Venice - Malaysia 136€ / Europe - Hawaii 266€ (all return) and many many more ... We also operate very active Facebook page as well as Twitter and Instagram accounts.  Our main strength is looking for unpublished airline ticket deals, that are often up to 50% cheaper than officially promoted fares, despite using same connections and airlines, including many 5* Airlines. We cover all airports in the region, from Budapest, Vienna and Zagreb to Ljubljana, Trieste, Venice, Milano and Munich. We can also find you the best  (price & connection-wise) deal on normal airline tickets. All reservations are done through our partners - biggest Online Travel Agencies like Expedia, Ebookers, Vayama/Budgetair, ...  We can also provide you with good deals and first-hand tips&tricks on local Accommodations and Car Rentals through our partners - biggest&most reliable agencies in its field. We also publish travel related news, travelogues (our own or from other respectable travelers) and cooperate with several local travel bloggers. We are also very active in travel community, managing several specialized travel Facebook groups.",Slovenia,0.842403,,,
