Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Intelligent Delivery - Hapiick,1751596.0,"Spain, Basque Country, Ermua, 48260",https://www.linkedin.com/company/hapiick,www.hapiick.com,"La irrupción del e-commerce como fórmula de compra provoca una demanda creciente de logística asociada a la entrega de paquetes al consumidor. Las entregas en domicilio son dificultosas para el operador logístico con un porcentaje importante ( 1 de cada 4) de intentos fallidos en la entrega lo que representa una incomodidad y un hándicap importante con los horarios y el ritmo de vida actual . Se propone “hapiick” como un servicio innovador para paliar esta situación que afecta a un número importante de usuarios que compran por internet .La solución consiste en la instalación de unos puntos de recogida equipados con armarios automatizados y telegestionados mediante un aplicativo que facilita el control y operación de los agentes implicados en los  procesos de venta on line, entrega y recepción, es decir Tiendas On line, compañías logísticas y consumidor.La ubicación y entorno son elementos clave en el servicio ; Ubicados en lugares estratégicos de fácil acceso, con un horario amplio, arropados de un entorno de seguridad, comodidad y privacidad. Ejemplos son los supermercados urbanos o estaciones de servicio de ciudad. Operativamente el funcionamiento es muy simple; el consumidor recibe un aviso en el que se informa que su paquete está disponible para su recogida, incluyendo una clave que facilita su identificación y acceso a la taquilla en la que está depositado su compra. La funcionalidad base de los armarios permiten desarrollar diferentes modelos de servicio y explotación agrupados de forma genérica en operaciones B2C  y C2C. Por ultimo señalar que la solución habilita una alternativa dentro de la problemática de la entrega de paquetería especialmente complicada en zonas urbanas con restricciones o congestión de tráfico, al agrupar los envíos y facilitar su recepción.",Spain,1.751596,,,
Ticloud,1830072.0,"Spain, Andalusia, Málaga, 3 Calle Concejal Muñoz Cerván, 29003",https://www.linkedin.com/company/ticloud,www.ticloudapp.com,ticloud es la solución que permite digitalizar el ticket de compra ahorrando toneladas de papel lo que deriva en beneficios tanto de costes como ecológicos además de un importante valor añadido. Ticloud almacena los tickets de compra  en la nube securizados  y permite al usuario acceder a ellos desde cualquier dispositivo.,Spain,1.830072,,,
IHMAN - Interfaces Hombre Máquina Avanzados,191568.0,"Spain, Málaga, Campanillas, Nº 3 C\ Marie Curie, 29590",https://www.linkedin.com/company/ihman,www.ihman.com,"La empresa IHMAN es una empresa tecnológica constituida en el 2.002, cuya misión fundamental, es el desarrollo de proyectos de alta ingeniería para empresas e industria, está formada por un equipo de ingenieros en Telecomunicación e Informática que han trabajado en campos muy diversos. El equipo directivo de IHMAN forma parte a su vez del grupo de investigación DIANA de la Universidad de Málaga. La empresa desarrolla dos líneas de trabajo. Por un lado los sistemas de control, más concretamente en redes de control autoconfigurables e inalámbricas donde somos especialistas, sistemas de ultrabajo consumo, localización y navegación indoor, etc, y por otro la línea de Realidad Virtual, con reconstrucción de yacimientos arqueológicos, sistemas de visión estereoscópica etc. El dominio de esta serie de tecnologías, junto con otras de gestión de bases de datos y control vía internet, permiten afrontar proyectos de muy diversa índole y de gran complejidad. El alto grado de formación requerido para manejar y combinar estas nuevas tecnologías son barreras de entrada muy altas, pero ampliamente superadas por nuestro equipo, estas características hacen que IHMAN sea unas de las empresas con mayor capacidad para llevar a cabo todo el proceso de desarrollo de un proyecto de alta complejidad. Por ello, son ya muchas las empresas de gran prestigio, que confían su I+D+i, a IHMAN.",Spain,0.191568,,,
Ebox De MCS,592359.0,"Spain, Galicia, Vilanova De Arousa, 28691",https://www.linkedin.com/company/ebox-de-mcs,mobilecsolutions.com,"En Ebox contamos con la taquilla para móviles más innovadora del mercado.  Podrás ofrecer a tus clientes un nuevo servicio a la vez que obtienes un beneficio económico por su uso. Atraerás nuevos clientes y les brindarás la oportunidad de que ""se olviden"" por un momento de sus teléfonos móviles. De ahí nuestro lema - CONÉCTALO. DESCONÉCTATE- En Ebox sabemos de lo que hablamos, provenimos del sector de la hostelería, por eso nos ponemos en la piel de nuestros clientes mejor que nadie. Contacta con nosotros y no dejes escapar la oportunidad de dar un servicio más que necesario en los tiempos que corren.",Spain,0.592359,,,
ICC Tuning,5247889.0,"Spain, Valencia, Paterna, 46980",https://www.linkedin.com/company/icc-tuning,icctuning.com,"TUNING Y ACCESORIOS PARA COCHE Distribuimos Las Mejores Marcas de Accesorios Tuning para Coches   Si piensas en tuning piensas en ICC, porque contamos con los mejores accesorios de personalización y rendimiento para los conductores más exigentes.  Somos distribuidores exclusivo de la marca tuning por excelencia KW para todas aplicaciones. Por lo tanto ofrecemos descuentos inmediatos en todo nuestros accesorios así que el cliente pueda beneficiarse de los mejores precios. Primeramente contamos con equipamientos Coilovers y también con Suspensiones Regulables. Además somos los importadores directos de todas las marcas del grupo KW, que incluyen KW suspensiones y igualmente KW competición, segundamente ST suspensiones, y por consiguiente la última entrada en suspensiones en el grupo ap Sportfahwerke. También llevamos todas las marcas del grupo líder en llantas de aleación Alcar Wheels por lo cual disponemos de toda su gama de productos para llantas y neumáticos. Así que en aleación y diseño contamos con las marcas AEZ, DEZENT y DOTZ, llantas para 4×4 DOTZ Survival y llantas de acero Stahlrad, y por consiguiente contamos con todos los equipamientos para la medición y control de la presión del neumático TPMS. Por lo tanto sea para cliente final o para el profesional del sector tuning tenemos las mejores condiciones y servicio en toda España.  Además en nuestra línea de accesorios tuning de alto rendimiento llevamos marcas tan prestigiosas con Supersprint para los sistemas de escape y BMC para los filtros. Segundamente en nuestras líneas de accesorios tuning de personalización y confort tenemos los accesorios para coches dela marca italiana Simoni Racing, también los parasoles para coche específicos por modelos de la marca Británica  Car Shades y muchas otras opciones para el conductor más exigente. Más de 40 años de experiencia avalan nuestro trabajo de forma que podemos ofrecer confianza y seguridad a toda nuestra cartera de clientes y proveedores. La atención al cl",Spain,5.247889,,,
Salou Net,1183647.0,"Spain, Catalonia, Salou, 7 Carrer De Les Sínies, 43840",https://www.linkedin.com/company/salou-net,www.salounet.com,"Trabajamos constantemente para poder ofrecer los mejores productos y servicios de limpieza e higiene mas adecuados a cada uno de nuestros clientes, siendo respetuosos con nuestro planeta. Estamos presentes para cubrir las necesidades de limpieza e higiene de una gran variedad de sectores profesionales e industriales. Hoteles y apartamentos Restauración Industria alimentaria Administraciones públicas Sanidad y geriatría Centros escolares Lavanderías Gimnasios Automoción En Salou Net disponemos de un amplio rango de soluciones de higiene para empresas diseñadas para dar respuesta a los retos de higiene diarios que tu negocio afronta, proporcionándote la tranquilidad de saber que tus instalaciones cuentan con las medidas de higiene necesarias para garantizar la seguridad y el bienestar de tus trabajadores y clientes, cumpliendo siempre con la regulación vigente en materia de higiene: Sistemas de dosificación de detergentes Ambientación de negocio Equipos bacteriostáticos Contenedores de higiene femenina Alfombras de entrada personalizadas Control de plagas",Spain,1.183647,,,
ELSI Tech Together,7700667.0,"Spain, Andalusia, Málaga, 60 Alejandro Casona, 29004",https://www.linkedin.com/company/elsi-tech-together,www.elsi.es,"En ELSI somos especialistas en productos informáticos profesionales desde hace más de 40 años. Nos dedicamos tanto a la importación y distribución de productos como a su fabricación, y estamos a la vanguardia en equipamiento para empresas con productos destinados a sectores como el de la sanidad, industria, automatización, logística, restauración o identificación entre otros. Entre nuestras marcas destacamos Zebra, Honeywell, Epson, Bixolon, Godex u Orderman, al tiempo que somos distribuidores exclusivos de la marca Seypos, marca especializada en soluciones tecnológicas que destaca por su amplia gama de productos para retail, hostelería e industria y que abarca TPV ´s, Monitores Táctiles, Lectores de Códigos de Barras,  Panel Pc´s, Terminales Móviles Rugerizados, Tablets para hostelería, Impresoras de Tickets, Cajones Portamonedas, Visores y Detectores de Billetes Falsos. Se trata de unos equipos de alto rendimiento y elevadas prestaciones a un precio asequible Gracias a nuestra constancia y buen hacer a través de estos más de 40 años hemos conseguido afianzarnos como uno de los nombres fundamentales dentro del sector a nivel nacional, cubriendo la totalidad del territorio español con nuestros productos y exportándolos a terceros países.",Spain,7.700667,,,
GLOBAL TECHNICAL SUPPLIES S.L.,4485964.0,"Spain, Galicia, Mos, S/n Pol. Ind. Rebullon, 36416",https://www.linkedin.com/company/global-technical-supplies-s-l,www.gtsspain.com,"Somos una compañía internacional con sede en Vigo, que ha elegido España como puerta de entrada al continente africano. En Global Technical Supplies contamos con un equipo joven y dinámico, que representa y asume los valores europeos y africanos que nos unen. De esta forma nos convertimos en símbolo de culturas, resultando del mismo, una permanente transferencia de conocimientos y de tecnología. Estamos especializados como empresa exportadora en el suministro de maquinaria, equipos y materiales tanto europeos como americanos y dirigimos nuestra actividad a sectores como Construcción, Automoción, Industrial y de Servicios.",Spain,4.485964,,,
PRÖVA-LO,3470794.0,"Spain, Madrid, Madrid",https://www.linkedin.com/company/pr-va-lo,www.provalo.es,"Hola os presentamos una nueva idea de negocio que está triunfando en España ; un nuevo producto  más saludable ;  una nueva oportunidad de negocio muy dulce. El producto es la estrella diferente alta calidad,  más natural, se trae de Suecia el País del mundo con mayor tradición y consumo del Dulces ( hay chocolates, frutos, secos con chocolate, yogures sólidos con cacahuetes y muesli etc. ),  vas a fidelizar clientes,  ya no solo para los niños sino para al Adulto goloso más exigente , te vas a diferenciar y que se hable de ti con este productos Somos flexibles nos adaptamos a tu idea de negocio. alimento saludable. Tu puedes poner tu marca, modelo de negocio… nos adaptamos a tu idea de negocio, somos flexibles. Ante la demanda de muchos de  muchos de nuestros clientes ofrecemos un Servicio totalmente opcional   para la implantación de la Marca, logos, tienda, muebles, carameleras, decoración,  producto para apertura de la tienda unos 800 Kg,  en dos packs el Básico y el Premium que incluye creación de página web y promociones, formación, siempre con la idea de ponértelo fácil. ( Sin canon entrada y otros costes… te asesoramos a montar tu negocio. Ya distribuimos en 15 puntos de venta en la Geografía Nacional con gran éxito se tu el siguiente.",Spain,3.470794,,,
Billetes Souvenir SL,1184718.0,"Spain, Madrid, Pozuelo De Alarcón, 137 Calle María Benítez, 28224",https://www.linkedin.com/company/eurosouvenir,www.eurosouvenir.es,"El Euro Souvenir es un billete de banco auténtico, en papel de dinero, con todas las medidas de seguridad,  personalizado con ilustraciones de los lugares de interés turístico : monumentos, museos, parques temáticos, zoo's, festivales y mucho mas. El secreto del billete no es que se vea como uno real – ¡Es real! Un medio novedoso de promoción y comunicación, un recuerdo de alta calidad con un PVP recomendado de solo 2€.  Los billetes se venden a través de unas máquinas expendedoras que favorecen la compra impulsiva no razonada.    El Euro Souvenir tiene un excepcional recibimiento del público en varios países europeos desde su creación en 2015, convirtiéndose en un referente de los destinos turísticos",Spain,1.184718,,,
