Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
IComServ Europe AB,3760444.0,"Sweden, Stockholm, Stockholm, 1 Trossvägen, 181 66",https://www.linkedin.com/company/icomserv,www.icomserv.com,"At iComServ, we are dedicated systems integrators pioneering the future of seamless technology. Our expertise lies in designing, implementing, and supporting both cloud and hybrid solutions tailored to meet the unique demands of your business. With a deep-rooted foundation in contact center technology, advanced ticketing systems, and streamlined communication platforms, we ensure your operations run smoothly, effectively, and ahead of the curve. Partner with us to leverage the power of integrated systems and unlock unparalleled efficiency for your enterprise.",Sweden,3.760444,,,
Senzum AB,3357175.0,"Sweden, Östergötland, Linköping",https://www.linkedin.com/company/senzum-ab,www.senzum.com,"Customer service is the key to sucess. We have the capability to generate happy customers, happy employees and is prooven profitable. It´s a lot of fun to work at such a company.  Senzum started the operation 1994 with initial focus on Technical support, which has developed even more today. The services have since 1994 expanded into four service areas;  Cloud-services (video meeting technology, contact-center system and ticketing-system), Outsourcing (Technical support & Customer service) The services are provided on European, Nordic or local basis, from Linköping (Sweden) where totally app. 100 expert employees make it happen. Senzum has an open door policy, meaning that any new company interests during the year is acknowledged with a sitetour in Linköping. Welcome too book your visit at hej@senzum.com. The innovational focus is the company pride. Due to this focus, companies can often expect an increased customer satisfaction of average 15%, happier co-workers and benefit improved revenue/cost ratio of 10-40%. Welcome to Senzum!",Sweden,3.357175,,,
Mobill Scandinavia AB,4575180.0,"Sweden, Skåne, Malmö, 1 Lilla Torg, 211 34",https://www.linkedin.com/company/mobill-scandinavia-ab,www.mobill.se,"Mobill Scandinavia AB is a private equity-backed software and services company within mobile commerce headquartered in Malmö, Sweden. Mobill’s technology enables a consumer and vendor to, over a cell phone, complete their transaction in a few seconds. The entire transaction is paperless but still documented with an electronic record, and customers can do this with just the cell phone that many always have in reach. Mobill’s overall goal is to offer a solution that extends beyond traditional territories and brings communication, payment and coupon services to the whole consumer cell phone population. Mobill’s technology offers the potential to turn cell phones in to mobile wallets, with powerful yet easy-to-use services including mobile payments, electronic coupons, public transportation, parking and mass communication. Mobill products are already widely adopted by public transport companies in Scandinavia to enable passengers to buy electronic tickets with their mobile phones. Mobill is now rapidly expanding from its original base in Scandinavia, working with partners throughout the world, targeting system suppliers, system integrators and media/telecom.",Sweden,4.57518,,,
Helpicon,725604.0,"Sweden, Skåne, Malmö, 6 Studentgatan, 211 38",https://www.linkedin.com/company/helpicon,helpicon.se,"🌟Helpicon: Din väg till den perfekta matchningen mellan arbetsgivare och arbetstagare! 🌟 Söker du extra inkomst eller rätt person för att utföra ett uppdrag? Sök inte längre än Helpicon!   🔹 För jobbsökare:  Med bara några enkla tryck kan du starta din resa och hitta extrajobbet du önskar. Skapa din profil, ange dina kunskaper och erfarenheter och låt möjligheterna komma till dig.  Som ""Helper"" har du möjlighet att förhandla din lön, bestämma när och vart du arbetar. Genom en karta ser du uppdragen nära dig. Vi önskar vara en plattform för er med talang och olika färdigheter. Till exempel: Är du en sångfågel? Lägg upp en video i din profil och få jobb samt erfarenheter inom det du älskar. Kan du laga otrolig mat? Erbjud dina kunskaper till festen!  🔹 För arbetsgivare:  Hitta enkelt rätt kandidater för ditt jobb. Specificera arbetsuppgifterna, välj tid, plats och pris, och låt Helpicon koppla dig med den perfekta matchningen. Oavsett om ni är ett företag eller privatperson så finns hjälpen ni behöver!  Personal till eventet, en extra person under inventeringen eller hjälp till att städa upp efter 50 års festen! 💼  Nyckelfunktioner:  - Skapa och anpassa din jobbannons  - Välj din föredragna tid, plats och pris  - Hitta arbetare i ditt område med rätt kompetens  - Förenklad sökning för att matcha dina behov perfekt  Kom igång med Helpicon idag och revolutionera sättet du arbetar eller hittar arbete på! 🚀  #Helpicon #JobbSökning #Rekrytering #Anställning #JobbMatchning #Karriärmöjligheter #JobbaSmart",Sweden,0.725604,,,
Bemannica,2212233.0,"Sweden, Stockholm, Stockholm",https://www.linkedin.com/company/bemannica,karriar.bemannica.se,"Bemannica är ett auktoriserat bemanningsföretag som arbetar med rekrytering och bemanning till enbart ICA-butiker. Organisationen består av över 200 medarbetare, alla med tidigare anställning från ICA-butik för att kunna skapa mervärde hos ICA-butiker i sann ICA anda. Bemannica finns i Lund, Malmö, Stockholm och Uppsala. Mellan två ICA-jobb? Få en möjlighet att visa upp dig för din framtida arbetsgivare Vi kan ge dig en möjlighet att snabbt få in en fot i ICA-världen igen, vilket ger dig en möjlighet att få kontakter och bygga relationer med till exempel butiks- och avdelningschefer. Detta kan vara din biljett till fast anställning en dag på den butiken. Möjlighet till anställning på ICA-butik Från och till händer det att ICA-butikerna vi jobbar med väljer att anställa våra medarbetare för att det fungerar så pass bra. Detta är vi mycket positiva till, rätt person på rätt plats är något som vi på Bemannica prioriterar. Vill du jobba extra vid sidan om studierna? Vi erbjuder: Extrem flexibilitet: det finns inga krav på hur mycket du måste jobba. Du kommer att bli erbjuden uppdrag och när det passar dig tackar du ja. Lönen, ob-tillägg och semestertillägg enligt Handels avtal.",Sweden,2.212233,,,
The Gax 100 Miles,475546.0,"Sweden, Skåne, Ystad, 271 42",https://www.linkedin.com/company/the-gax-100-miles,www.gax100.com,.The Gax 100 miles är en löpartävling som går av stapeln under juli månad varje år. Distansen är 161 kilometer med start och mål i Ystad. Det är en av Sveriges vackraste löpartävlingar som passerar ett 10-tal skyddade naturområden.  GPS-rutt och karta över banan finns här: https://www.alltrails.com/explore/recording/the-gax-100-miles-2019/?referrer=gpsies,Sweden,0.475546,,,
DAL Nordic Finance AB,1253766.0,Sweden,https://www.linkedin.com/company/dal-nordic-finance-ab,nordicfinance.se,DAL Nordic Finance is a finance company via Deutsche Anlagen Leasing (DAL) ultimately owned by HSH Nordbank AG and Deutsche Leasing AG. The company is active in real estate renting but also provides other areas of structured financing and leasing solutions for movable assets with a focus on so called “big ticket transactions larger than SEK 50 million”.,Sweden,1.253766,,,
IDP AB,2517336.0,Sweden,https://www.linkedin.com/company/idp-ab,,"We aim to be the obvious choice for European lotteries and gaming companies.  Back in 1989 , IDP was set up in order to print bingo tickets for the newly founded local lottery BingoLotto. At the time, no one knew that BingoLotto would explode in to one of the most successful lotteries Sweden had ever seen. But it did. And that’s how the story of IDP begins. BingoLotto went from a small local lottery to a national pastime almost overnight. It meant that IDP suddenly had to supply millions of lottery tickets every week. That meant efficiency had to improve, as well as security and quality. IDP faced the challenge head and on showed that “we can do it-spirit” that has since become something of company trade mark. The curiosity and willingness to learn that propelled IDP to its success lives on to this day. It’s engrained in everything we do and ensures that we will always keep working to improve our processes, efficiency and security. Everything in order to secure an end product that really is as good as it gets. Today we offer concept solutions in gaming and lotteries. It means that we can do everything from developing a new lottery concept to printing an existing instant ticket of the highest quality. We offer four colour overprint on scratch surfaces, something very few can offer. We sell an advanced and popular bingo system, ProBingo, the most popular bingo system in Sweden. Stay tuned for some really exciting news in that department. We are highly experienced in variable data printing. Among others, we print the Swedish tax return form, the single largest variable data print job in Sweden. We aim to be the obvious choice for European lotteries and gaming companies. We want to be your European Lottery Partner.",Sweden,2.517336,,,
Sandéns Security Printing AB,7702441.0,"Sweden, Skåne, Eslöv",https://www.linkedin.com/company/sandens-sft-ab,www.sandens.se,"Sandéns Security Printing are one of Scandinavia’s largest producers of lottery tickets, scratch cards, bingo cards and telephone cards. We also print a large number of special tailor-made promotional lottery tickets and scratch cards as per our customers’ wishes. Large-scale production takes place with help of modern technology. A number of specialist machines have been produced to fulfill our own specific operations. Our printing presses are certified to the highest security classification, meaning that we are authorised to print lottery tickets and scratch cards for the highest prize categories both within Sweden and in the rest of Europe.  A large proportion of our products are exported and sales take place through dedicated retailers. Security Printing  The type of products which we at Sandéns work with often place high demands on aspects of security. At Sandéns, security is a top priority which permeates throughout all of our organisational activities. A large portion of the information and data connected to our products is sensitive, and therefore must be protected against different forms of potential tampering and unauthorised access. Sensitive information and data must be protected at all stages of production; digital data must be kept as secure as had it been printed on paper. This means that data must be protected before, during, and after the production process. Because of this, matters of security impact heavily on all areas of of our organisation; from the security of our premises and staff confidentially, to our IT systems and production practices.",Sweden,7.702441,,,
Abundo,3375604.0,"Sweden, Stockholm, Stockholm, 30 Grev Turegatan",https://www.linkedin.com/company/abundo,abundolive.se,"Abundo for companies Abundo provides unlimited tickets to cultural events for your entire team, resulting in higher retention rates, increased employee engagement, positive word-of-mouth and better recruitment opportunities. By offering Abundo memberships, you can also improve employee well-being, which has been linked to improved quality of life, psychological well-being, social engagement and reduced experience of depression and anxiety. Contact us at business@abundolive.de to find out more about our B2B offer in Berlin and take advantage of this innovative way to improve your company culture. Abundo Abundo is a new subscription service that offers unlimited tickets to live shows and all kinds of cultural events. Sign up for a monthly fee and discover the cultural scene of your city without limits. You will discover new venues, meet new artists and make lots of great memories! Try it today and go to more concerts, theatre, opera, dance, stand-up, art exhibitions and films than ever before! You can cancel your membership at any time - so you can try us out risk-free. New live events are added every day.",Sweden,3.375604,,,
