Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Croatia Airlines,244067000.0,"Croatia, City Of Zagreb, Zagreb, 75b Bani, 10010",https://www.linkedin.com/company/croatia-airlines,www.croatiaairlines.com,"FULL COMPANY NAME: Croatia Airlines, the national air carrier, has been carrying passengers and cargo in domestic and international traffic for more than 30 years. We offer our passengers a high level of service, placing special emphasis on safety and service quality and promoting Croatian culture and tourism. Inflight service is constantly being improved and adjusted to the needs of passengers: well-trained and friendly flight attendants, comfortable seats, the inflight magazine and children's programme ... Croatia Airlines is a member of Star Alliance. Special attention is paid to aircraft maintenance, ensuring the highest safety standards.  At the moment we have 12 aircraft: 2 Airbus A 320 4 Airbus A 319 6 Dash 8-Q400",Croatia,244.067,,,
Trade Air,47864927.0,"Croatia, City Of Zagreb, Velika Gorica, 5 Ulica Vladimira Nazora, 10410",https://www.linkedin.com/company/trade-air,www.trade-air.com,"Trade Air has specialized in performing passenger charters (ad-hoc charter flights, chains of charter flights, and wet lease of its aircraft) whereas being a certified transporter of dangerous goods. At the moment, the company operates two Fokker 100 aircraft with 109 seats each.",Croatia,47.864927,,,
Fly Air41 Airways,37783112.0,"Croatia, City Of Zagreb, Zagreb",https://www.linkedin.com/company/fly-air41-airways,www.flyair41.com,"Fly Air41 Airways is ACMI and charter operator founded in 2021 in Zagreb, Croatia. Our fleet consists of 6 narrow body aircrafts, of which 4 are Airbus A319 and 2 Airbus A320. We provide long-term and short-term ACMI services.  Our highly experienced team strives to offer our clients the highest level of service.",Croatia,37.783112,,,
Dohme Global Group Airlines,8616971.0,Croatia,https://www.linkedin.com/company/messer-croatia-plin-d-o-o-,www.messer.hr,Hei,Croatia,8.616971,,,
European Coastal Airlines,5664006.0,"Croatia, Kaštel Štafilić, 7 Put Divulja, 21217",https://www.linkedin.com/company/european-coastal-airlines,www.ec-air.eu,"European Coastal Airlines is a seaplane operator based in Kaštel Štafilić, Croatia and founded in the year 2000. Ever since it is working on the infrastructural project to start regular seaplane operations to connect major cities and islands along the croatian coast with each other. The project was recognized and is supported by various key figures of the European Union, such as namely the german chancellor Angela Merkel, as well as by the AdriSeaplanes project - a project which is co-funded by the European Union and the IPA - Adriatic Cross-Border Cooperation Program.  The goal is to connect all 66 inhabited islands of Croatia as well as at a later stage expand operations to Italy, Monaco and Greece. The project is a multi-million euro investment and will create around 400 new jobs in the Republic of Croatia. European Coastal Airlines is committed to maintain a high standard of business ethics, honesty and integrity in line with eco-friendliness and hence ensure social, ethical and environmental responsibility.",Croatia,5.664006,,,
Hrvatska Agencija Za Civilno Zrakoplovstvo,5586668.0,"Croatia, City Of Zagreb, Zagreb, 284 Ulica Grada Vukovara, 10000",https://www.linkedin.com/company/hrvatska-agencija-za-civilno-zrakoplovstvo,www.ccaa.hr,"Hrvatska agencija za civilno zrakoplovstvo osnovana je Zakonom o izmjenama i dopunama Zakona o zračnom prometu, kojeg je Hrvatski sabor donio na sjednici 20. travnja 2007. (NN 46/07). Osnivač Agencije je Republika Hrvatska, a osnivačka prava u skladu s odredbama ovoga Zakona obavlja Vlada Republike Hrvatske.  Agencija je samostalna i neprofitna pravna osoba koja obavlja poslove od interesa za Republiku Hrvatsku u okviru djelokruga utvrđenog Zakonom o zračnom prometu i Statutom Agencije, a za svoj rad odgovara Vladi Republike Hrvatske kojoj podnosi Godišnje izvješće o radu. Agencija je 9. ožujka 2009. počela s operativnim radom. Djelatnost Agencije obuhvaća poslove vezane za sigurnost zračnog prometa, a osobito certificiranje, nadzor i inspekciju u cilju osiguravanja kontinuiranog udovoljavanja zahtjevima za obavljanje zračnog prijevoza i drugih djelatnosti u zračnom prometu, vođenje propisanih registara i evidencija te obavljanje drugih poslova utvrđenih Zakonom o zračnom prometu. Ministarstvo pomorstva, prometa i infrastrukture je resorno ministarstvo za područje djelatnosti Agencije. U skladu s odredbama Zakona i Statuta Agencije, Agencijom upravlja Vijeće koje se sastoji od pet članova, koje na prijedlog ministra imenuje Vlada.",Croatia,5.586668,,,
Planet IX Ltd,3965810.0,"Croatia, City Of Zagreb, Zagreb, Buzinski Prilaz, 10010",https://www.linkedin.com/company/planet-ix-ltd,planetix.hr,"Core business of Planet IX is developing solutions for collecting information using UAVs. The company was founded in 2017. and it’s fully owned by KING ICT Ltd. Years of experience with the mother company in the integration of IT systems using its own software and hardware solutions and a multidisciplinary approach during projects are the basics on which our company was founded. We offer a large scope of services and are capable of executing turnkey projects. Improvement and perfecting our core business is the everyday mission here at Planet IX Ltd. To achieve that we work intensely on UAVs – designing and developing new and better UAVs, integration of various sensors to off-the-shelf UAVs, testing and flying during severe weather conditions for presentation purposes to our clients, providing remote pilot training (practical and theoretical) and perfecting our flight teams skills and knowledge about different types of UAVs to always be prepared to execute flight operations.",Croatia,3.96581,,,
Pleso Prijevoz d.o.o.,3142501.0,"Croatia, Zagrebačka, Jastrebarsko",https://www.linkedin.com/company/pleso-prijevoz-d-o-o-,www.plesoprijevoz.hr,,Croatia,3.142501,,,
SplitAir D.o.o,2517336.0,"Croatia, Split-dalmatia, Split, 13 Ulica Krste Odaka, 21000",https://www.linkedin.com/company/splitairhr,www.split-air.hr,"The company’s basic idea is to provide air transport services to the Adriatic Sea, as well as to introduce innovation in tourist offerings in the area through panoramic excursions.",Croatia,2.517336,,,
Limitless Airways,1888002.0,Croatia,https://www.linkedin.com/company/limitless-airways,www.limitlessairways.hr,"Limitless Airways is a Croatian airline based in Rijeka. In planning for a long and sustainable operation, quality of service is of the utmost importance to us.",Croatia,1.888002,,,
Avio group,1888002.0,"Croatia, City Of Zagreb, Zagreb, 69 Koturaska, 10000",https://www.linkedin.com/company/aviocats,www.aviocats.com,"AvioCATS Continuing Airworthiness Management Organization (CAMO) was founded in 2013 as part of Avio Group Ltd, with the prime objective of providing services to small airline companies, start-ups, aircraft owners and leasing companies, through the provision of innovative products. Our biggest strength is our experience and flexibility. We can provide services, tailored exactly to the customer’s needs by our employees with extensive airline top management experience and through a wide network of our top specialists from different areas. With its main office in Zagreb, Croatia, located in Central Europe, AvioCATS is committed to delivering the highest level of aviation services establishing benchmark standards in terms of Safety, Quality and Customer Service. AvioCATS is certified Part M Subpart G by the Croatian Civil Aviation Authorities, approval number HR.MG.034.",Croatia,1.888002,,,
AvioRadar,1396667.0,"Croatia, City Of Zagreb, Zagreb, 10000",https://www.linkedin.com/company/avioradar,avioradar.net,Specialised aviation news web portal.,Croatia,1.396667,,,
Croatian Aviation,1396667.0,"Croatia, City Of Zagreb, Zagreb, 10000",https://www.linkedin.com/company/croatian-aviation,www.croatianaviation.com,"For us, aviation is professional work, love, and hobby, we really enjoy in everything connected with the aviation industry. We are here to share all relevant changes and news from the airlines and airports, as well to share interesting analyses. Our main goal is to serve the needs of all people interested in this industry, specifically oriented on business in Croatia. If you have any questions, suggestions, you want to bring your ideas or something else, contact us here on Facebook or use Instagram or email.",Croatia,1.396667,,,
Aero Company Ltd,1258668.0,Croatia,https://www.linkedin.com/company/aero-company-ltd,www.aerocompany.org,"AeroCompany Ltd. is a family company in the Fami group engaged in the activity: business air taxi, air transport, tourism panoramas, throwing parachutists, anti-ice defense, satellite tracking movement of vehicles, ships, monitoring fuel consumption records from a variety of vehicles, etc.",Croatia,1.258668,,,
AirService ATO,1165110.0,"Croatia, Jastrebarsko, 161b Donji Desinec, 10450",https://www.linkedin.com/company/airservice-ato,www.airservice.hr,"We are aviation professionals and enthusiasts, dedicated to providing high quality aviation training and services. Our managers and instructors are very experienced aviators with years of world wide experience.",Croatia,1.16511,,,
Egas Air - European General Aviation Services,1047500.0,"Croatia, City Of Zagreb",https://www.linkedin.com/company/egas-air,www.egasair.eu,"Since the company’s inception in 2011, EGAS AIR strives to provide the highest level of personal service while offering meaningful experiences for all our private jet charter customers worldwide.  We cater to a discerning clientele, serving the needs of everyone from high-powered executives to families on the go.",Croatia,1.0475,,,
Aerocom,1047500.0,"Croatia, City Of Zagreb, Zagreb, 25 Radiceva, 10000",https://www.linkedin.com/company/aerocomllc,,,Croatia,1.0475,,,
Claimdon,698333.0,"Croatia, Split-dalmatia, Split",https://www.linkedin.com/company/claimdon,www.claimdon.com,"With the automated system of eligibility verification, we help passengers worldwide to obtain compensation or reimbursement of expenses in accordance with the EC Regulation 261/2004. Due to the fact that the payment of our fee applies only in case of a successful outcome, whereby a percentage of payment made by the operating airline is charged to the passenger, our service is provided without the risk of additional costs.",Croatia,0.698333,,,
Jumbo Travel Services,629334.0,"Croatia, City Of Zagreb, Zagreb",https://www.linkedin.com/company/jumbo-travel-services,www.jumbo-tours.hr,,Croatia,0.629334,,,
Aeroprofil Aviation,349166.0,"Croatia, Istria, Pula",https://www.linkedin.com/company/aeroprofil,www.aero-profil.com,"Aeroprofil provides various flight support services for private and bussines aviation. We ensure that you safetly arrive at your destination with ground support, flight charter booking and flight planning services.",Croatia,0.349166,,,
Airlines Connection,349166.0,"Croatia, City Of Zagreb, Zagreb, 10000",https://www.linkedin.com/company/airlines-connection,airlinesconnection.com,"Since 2008 Airlines Connection experts provide a full range of aircraft charter services and support. We founded the company with years of gathered knowledge and practice in airlines, airports and tour operators’ segments of aviation industry. With decades of experience in aviation industry, we have become a reliable partner to many whose travel we made hassle-free. We do it with great enthusiasm, trying to make every step of the aircraft charter process as understandable and easy as possible. Understanding both core and support processes in aviation industry and the needs and requirements of our clients and their businesses, we can say with pride that we provide appropriate tailor-made consulting which facilitates the aircraft chartering process on the satisfaction of all involved parties. We can arrange for aircraft charter solutions for business or leisure at the most competitive market prices, offering you the best-suited and reliable air travel solutions. All you need to do is – Make the right connection!",Croatia,0.349166,,,
Aero Roller,189294.0,"Croatia, City Of Zagreb, Zagreb, 16 Draganići, 10000",https://www.linkedin.com/company/aero-roller,www.aeroroller.com,"Business consulating & services in the aviation field.  Consulting, engineering, aircraft inspection, new fleet entry into service... Organization of events: conferences, symposiums, training, team building.... Market research, marketing, promotion, publishing.... Human resources & orbanization consulting and training Coaching, personal development...",Croatia,0.189294,,,
Fantasy Sky Park,102330.0,"Croatia, City Of Zagreb, Zagreb, 6c Avenija Marina Držića, 10000",https://www.linkedin.com/company/fantasy-education,www.fantasy-travel.hr,SkyPark Zagreb je privatno parkiralište u blizini Zračne luke Franjo Tuđman svega 1 kilometar udaljen. Nudimo: 📍 Besplatan transfer do i od aerodroma 📍 Video nadzor automobila 📍 Security 0-24 📍 Najjeftinije cijene 📍 Radno vrijeme 0-24 📍 Mogućnost plaćanja karticom Sve informacije: info@fantasy-travel.hr www.fantasy-travel.hr,Croatia,0.10233,,,
Adventure Driven Vacations,74026.0,"Croatia, City Of Zagreb, Zagreb, 10000",https://www.linkedin.com/company/adventure-driven-vacations,adventure-driven-vacations.com,"Adventure Driven Vacations (ADV) is the first Specialised Operation (SPO) for tandem skydiving in Croatia, certified by the European Union Aviation Safety Agency (EASA). Licensed under strict EASA SPO standards for commercial skydiving, ADV guarantees the highest level of professional safety and operational excellence. We’ll guide you into the exciting world of skydiving with passion, safety, and unforgettable scenery. Skydive Croatia from 4,000 meters above the crystal-clear Adriatic Sea, the monumental Velebit mountain, and the islands surrounding our Zadar drop zone. This unique location sits between two stunning national parks—Paklenica and Kornati. Or choose to jump over the majestic forests of the Lika region, near Otocac and the famous Plitvice Lakes National Park. Experience the thrill of skydiving above the sea during one of the world’s most beautiful sunsets in Zadar—and land right on the beach. You’ll be in the hands of highly experienced skydiving professionals and pilots, using meticulously maintained gear and our own turbine aircraft built specifically for skydiving. It’s our passion—and our greatest reward—to make every jump a memory for life. Our mission is simple: to put a big smile on your face and safely share the freedom, adrenaline, and beauty of this incredible sport. At ADV, we don’t just offer tandem skydiving in Croatia—we craft life-changing experiences. Come for the thrill, leave transformed!",Croatia,0.074026,,,
