Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Czech Airlines,747493645.0,"Czech Republic, Praha, Prague, 846/176a Evropská, 6-vokovice",https://www.linkedin.com/company/czech-airlines,www.czechairlines.com,"Czech Airlines is one of the oldest airlines in Europe.  We have provided services to passengers since 1923.  Right up to the present, we have gained an enormous amount of experience and have grown into a modern airline, boasting a number of awards for the quality of our services.",Czech Republic,747.493645,,,
LATECOERE Czech Republic,66303042.0,"Czech Republic, Praha, Prague, 65 Beranových, 199 00",https://www.linkedin.com/company/latecoere-czech-republic,www.latecoere.cz,"LATECOERE Czech Republic je pokračovatelem společnosti LETOV, první letecké továrny v Česku. Ta byla založena v roce 1918 jako podnik na opravu letounů.  V roce 1922 začal Letov vyrábět vůbec první vojenský letoun Š. A. V dobách studené války pak licenčně vyráběl především křídla, ale i další díly pro sovětské letouny MIG. Letov stál také za legendárními letouny L-29 Delfín, které byly výsledkem spolupráce s Aero Vodochody. Dalším z řady úspěchů byla výroba a vývoj letounů L-39 Albatros. V roce 2012 Letov leteckou výrobu odkoupila francouzská společnost LATECOERE Groupe. Jako součást větší integrace do mateřské společnosti se v roce 2013 Letov přejmenoval na LATECOERE Czech Republic. LATECOERE v současné době vyrábí a dodává své produkty významným světovým výrobcům letadel, jako jsou Airbus, Embraer, Boeing či Dassault. Mateřská společnost sídlící ve francouzském městě Toulouse je nejvýznamnějším střediskem leteckého a kosmického průmyslu v Evropě. LATECOERE Czech Republic se významnou měrou podílí na tvorbě výrobního portfolia celé skupiny.",Czech Republic,66.303042,,,
Eclair Aviation,24544026.0,"Czech Republic, Praha, Prague, 161 00",https://www.linkedin.com/company/eclair-aviation-s-r-o-,www.eclair.aero,"Eclair Aviation is a private aircraft management and charter company based in Prague (LKPR) focusing on operating business aircraft. Eclair Aviation holds Czech AOC-68 (Aircraft Operators Certificate), currently operates one Large Business Jet Bombardier Global 6000 and two Super Midsize Business Jets Gulfstream G200.   Our main scope of services: - Aircraft Management (private and commercial) - Worldwide Charter and Brokerage - Non Etops 180 min Operator - CAT 2 Operator - EVS Operator  - Worldwide Flight Planning and Dispatch - Consultancy Services - Aircraft Sales - CRM Training ICAO Callsing: ECC (Eclair)",Czech Republic,24.544026,,,
Ústav Leteckého Zdravotnictví Praha,20857158.0,"Czech Republic, Praha, Prague",https://www.linkedin.com/company/ústav-leteckého-zdravotnictví-praha,www.ulz.cz,"Ústav od svého založení až po současnost poskytuje komplexní zázemí pro letecko-lékařský výcvik vojenských pilotů, parašutistů a potápěčů. Výcvik na speciálních přístrojích (v barokomorách, na pilotním a desorientačním trenažéru nebo na trenažéru nočního vidění) mohou využít i další profesionální nebo amatérští zájemci (horolezci, řidiči, piloti policejních vrtulníků apod.).",Czech Republic,20.857158,,,
Menzies Aviation - Czech,14801854.0,"Czech Republic, Čr, 57/10449 K Letišti, 161 00",https://www.linkedin.com/company/menzies-aviation-czech,www.menziesaviation.cz,Menzies Aviation- Czech se zabývá službami odbavovacího procesu na Letišti Václava Havla.,Czech Republic,14.801854,,,
Time Air,13482041.0,"Czech Republic, Praha, Prague, 16008",https://www.linkedin.com/company/time-air,www.timeair.cz,"We provide your travel with a new dimension of comfort – time, technical, and communication. You won’t hear us say that something’s a problem, because we prefer to look for solutions rather than excuses. We rely on the safety, comfort, flexibility, and utmost quality of all our services. Our company holds the Air Operator Certificate No. CZ-53 and Operating License No. 10E for commercial air transport operation. Professionality and quality are the starting point for everything we do. For you.",Czech Republic,13.482041,,,
Silesia Air S.r.o.,13212990.0,"Czech Republic, Moravskoslezský, Opava, 364/1 Šeříková",https://www.linkedin.com/company/silesia-air-s.r.o.,www.silesiaair.cz,Private Jet Service - Air Operator Certificate holding company with fleet of Cessna Citations aircraft.,Czech Republic,13.21299,,,
Kubíček Factory,12110608.0,"Czech Republic, South Moravian, Brno, 2a Jarní, 61400",https://www.linkedin.com/company/kubicekfactory,kariera.kubicekfactory.com,"Jsme česká výrobní firma, která dodává do celého světa produkty z naší továrny již více než 30 let. Díky našemu dlouholetému know-how vyrábíme horkovzdušné balóny ty nejvyšší kvality, na které navazujeme výrobou technických a uměleckých nafukovadel, jako i ultralehkých letadel. Z naší továrně vzešly například nafukovací planety, které jsou známy z brněnské Kraví hory nebo největší balon ve střední Evropě s kapacitou 24 pasažérů.",Czech Republic,12.110608,,,
NAV Flight Services S.r.o.,11328012.0,"Czech Republic, Praha, Prague, 814/115 Karlovarská, 16100",https://www.linkedin.com/company/nav-flight-services-s-r-o-,www.nav.aero,"We have 30+ years of experience in flight planning, flight efficiency and software development.  Offering 4th generation of our flight planning software NAVsystem. Suitable for airliners, business jet and military operators.  Our latest product, NAVlink is designed for flight plan and wind uplinks to FMS using ACARS. Currenly used by airlines with 100+ fleet size. We are also ready to help with projects improving flight efficiency, software integration and customization.",Czech Republic,11.328012,,,
Primoco UAV SE,10764985.0,"Czech Republic, Praha, Prague, 1563/29f Výpadová, 15300",https://www.linkedin.com/company/primoco-uav,www.uav-stol.com,"Primoco UAVs are mid-size Unmanned Aerial Vehicles designed to meet the massive growth in demand for unmanned medium commercial and military aircraft. Built to meet the complex needs of civil aviation, the use of high tech composite materials, cutting-edge electronics and precision workmanship means that we can deliver a world class product at a fraction of the price of the competition. Primoco UAVs provide an affordable entry point into the UAV sector by providing flight and payload capabilities unmatched anywhere outside of the largely inaccessible military aircraft.",Czech Republic,10.764985,,,
