Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
DAT,92061519.0,"Denmark, Vamdrup, 4 Lufthavnsvej, 6580",https://www.linkedin.com/company/742595,dat.dk,"Welcome to the DAT LinkedIn Account. In 1989 my wife Kirsten and I started a small airline focusing on freight transportation. Today, more than 30 years later, DAT is proud to transport close to one million passengers every year all across Europe with regional routes in Denmark, Norway, Italy and Germany. At DAT we live and breathe aviation with an utmost dedication to health and safety and customer service.  This page will specifically focus on introducing you to our charter service on our fleet of ATR and Airbus aircrafts. For information on our scheduled services I invite you to visit us on www.dat.dk. I hope to see you on board of one of our flights soon, Jesper Rungholm Captain/CEO www.dat.dk",Denmark,92.061519,,,
SAS - Scandinavian Airlines,4485642630.0,"Denmark, Capital Region, Copenhagen",https://www.linkedin.com/company/flysas,www.flysas.com,"SAS - Scandinavian Airlines is the leading airline in Scandinavia, providing a comprehensive range of air travel services to destinations across Europe, Asia, and North America. With a mission to offer a seamless and comfortable travel experience, SAS prioritizes customer satisfaction through innovative services such as online check-in, seat selection, and loyalty programs like EuroBonus. The airline caters to a diverse clientele, including business travelers and vacationers, and partners with various global airlines to enhance connectivity and service offerings. SAS aims to be a sustainable airline, focusing on reducing its environmental impact while delivering high-quality service to its passengers. With a strong presence in major cities like London, Berlin, and Copenhagen, SAS is committed to making air travel accessible and enjoyable for all.",Denmark,4485.64263,,,
SUN-AIR Of Scandinavia,16000198.0,"Denmark, Billund, 10 Cumulusvej, 7190",https://www.linkedin.com/company/sun-air-aviation-group-a-s,www.sun-air.dk,"From a modest start in 1978, where aircraft renovation and trading formed the basis of the business for the company's founder Niels Sundberg, SUN-AIR has expanded to a significant operator in several fields.  SUN-AIR's head office is located at Billund in Denmark. This is also the site of the largest of the company's 2 aircraft maintenance centres. The other service center is located at Thisted Airport. In accordance with the company's mission: ""First Class for Everyone"" SUN-AIR's staff of approx. 180 employees work with efficiency and considerable flexibility to ensure that our passengers and customers receive the highest possible levels of quality, service and safety. Welcome aboard. Unfortunately, we're unable to answer any specific customer service queries here. If you need to contact someone about our service or need immediate assistance, please visit sunair.dk",Denmark,16.000198,,,
Sunclass Airlines,119495161.0,"Denmark, Capital Region, Copenhagen",https://www.linkedin.com/company/sunclassairlines,www.sunclassairlines.dk,The best leisure sun & beach focused airline,Denmark,119.495161,,,
Thomas Cook Airlines Scandinavia A/S,48810731.0,"Denmark, Capital Region, Copenhagen",https://www.linkedin.com/company/thomas-cook-airlines-scandinavia,sunclassairlines.dk,"Denne side er ikke længere aktiv, og vi henviser til https://sunclassairlines.dk/.",Denmark,48.810731,,,
Cimber Air,42165378.0,"Denmark, Capital Region, Copenhagen",https://www.linkedin.com/company/cimber-air,www.cimber.dk,"Domestic and international flights to and from denmark. Main operating airports are Copenhagen, Billund and Aalborg. Headquarter based in Sønderborg - Denmark Operating 3 aircraft types: Boeing 737-700 CRJ 200 ATR 42/72 For more information please visit our homepage on www.cimber.dk",Denmark,42.165378,,,
FLEXFLIGHT Group,35242704.0,"Denmark, Zealand, Roskilde, 50 Lufthavnsvej, 4000",https://www.linkedin.com/company/flexflight,www.flexflight.dk,"FLEXFLIGHT® operates Business Jets ranging from PC-12 to Global6000 on our danish AOC, specializing in tailor-made Management Models to meet our clients needs and expectations. FLEXFLIGHT® was established in Denmark in 2003 and is well-known as a respected and trustworthy Company - offering Aircraft Management to Private, Corporate & Commercial Air Transport. The core strength in FLEXFLIGHT® - and the reason behind the continuing and growing success - lies in the stability of the Management Team remaining the same from the foundation 20 years ago.  FLEXFLIGHT® - PRODUCTS & SERVICES:  o	Aircraft Management – Private or Commercial o	Ad-hoc Charter Services o	FLEXFLIGHT® Privileged Program (Jetcard) o	Aircraft Assessment, Importation & Registration o	Air Ambulance  o	ACMI-lease o	Pre-Buy Inspection o	Operations Manuals, Expositions & Documentation o	Safety Management Systems (SMS) o	Quality / Compliance Management & Auditing o	Aviation & Crew Training o	Training Management o	Aviation Recruiting Services o	Part-NCC Solution",Denmark,35.242704,,,
Copenhagen AirTaxi A/S,24544026.0,"Denmark, Zealand, Roskilde, 34-38 Lufthavnsvej",https://www.linkedin.com/company/copenhagen-airtaxi-a-s,www.aircat.dk,"Time is money, everybody can agree to this. We fly you direct to your destination, often even closer than if you choose to fly by scheduled airlines. You save a long way round and fly direct to your destination. Often it is possible to save a night stop as it is for you to decide time of arrival and departure. The aircraft will wait for you while you do your business, and you decide time of departure. Often taxi flights will be an economic solution if you are just 3 or 4 persons. Please call us for a quotation for your next trip we always have an aircraft ready just for your needs. Phone: +45 46 19 11 14.",Denmark,24.544026,,,
ISS Security A/S,19509354.0,"Denmark, Capital Region, Ballerup",https://www.linkedin.com/company/iss-security-a-s,www.securiguard.dk,,Denmark,19.509354,,,
DanSTAR,18880020.0,"Denmark, Capital Region, Kongens Lyngby, 101e C/o, 2800",https://www.linkedin.com/company/18019496,www.danstar.dk,"DanSTAR (Danish Student Association for Rocketry) is a club for everyone who is interested in spaceflight and wants to learn more about rocket science. We're working on a large group project to develop and build a reusable sounding rocket, that we will also launch and operate ourselves. You will not only have the opportunity to participate in an ambitious team venture with awesome people, but also to learn about all the aspects in modern rocket science. Join one of our teams e.g. Propulsion, Fluids, Electronics, or Recovery, and help us to build the first student-developed liquid-propellant rocket in Denmark.",Denmark,18.88002,,,
Global Reach Aviation,18250686.0,"Denmark, South Denmark, Billund, 20 Stratusvej, 7190",https://www.linkedin.com/company/global-reach-aviation,www.gra.flights,"Dear Customer, We're dedicated to giving you the best flying experience of your life. We tailor each trip to your demand and take pride in providing privacy and comfort. Global Reach Aviation provides aviation services utilizing CRJ200 with 48 seats and CRJ900 with 78 seats, for charter world-wide. We specialize in high security governmental flights, sports team transportation, special ad hoc charter flights on demand.  All crew members have above average experience and dedication for customer service. Contact our dedicated Sales Manager for more information or to book. Direct booking call +49 3322 2938914 or +49 175 2953682  Mail on Sales@gra.flights Learn more on www.gra.flights • From Call To Airborne in 3 hrs. • 20 Years of Flying Experience • Non-Stop 3000 Km • 48 to 78 Passengers Jet  • 24/7 Operation • Dedicated Crew • Green Profile • Catering of your Choice • Large Cargo Compartment • Approved to Carry Firearms  • Possible to Promote Own Business",Denmark,18.250686,,,
JoinJet A/S,15733350.0,"Denmark, Billund, 10 Cumulusvej, 7190",https://www.linkedin.com/company/joinjet,www.joinjet.com,"ABOUT JOINJET JoinJet is part of the Danish airline SUN-AIR of Scandinavia A/S that has operated regional scheduled flights from Denmark since 1978. In 1996 we started operating as a British Airways franchise partner offering a high level of safety and service. We specialize in ad hoc charter fligths, and our happy customers keep returning year after year. Our fleet is combined to make your time of travel with JoinJet highly enjoyable. JoinJet offers a variety of products, all custom-made to fit your needs. Through our 30 years of experience we know that our clients has different needs, but they all have one thing in common: They demand quality and precision.",Denmark,15.73335,,,
Sky-Watch A/S,14987527.0,"Denmark, Capital Region, Copenhagen",https://www.linkedin.com/company/1201883,sky-watch.com,"SkyWatch A/S specializes in providing advanced Unmanned Aerial Systems (UAS) solutions designed to enhance situational awareness and operational effectiveness for military and defense applications. The company's mission is to equip armed forces with cutting-edge technology that ensures operational superiority in complex frontline environments. With a focus on real-time insights and streamlined controls, SkyWatch's flagship product, the RQ35 Heidrun, is trusted by military personnel for its reliability and performance in critical situations. The company serves a diverse clientele, including military procurement teams and defense organizations, and partners with various stakeholders to deliver tailored solutions that meet the evolving demands of modern warfare. SkyWatch is committed to maintaining a strong presence on the ground, providing training and support to ensure that its clients can effectively utilize its technology in the field.",Denmark,14.987527,,,
Billund Air Center A/S,13845348.0,"Denmark, South Denmark, Billund, 15 Stratusvej, 7190",https://www.linkedin.com/company/billund-air-center-a-s,www.billundaircenter.dk,Pilot/Luftfartsuddannelser,Denmark,13.845348,,,
Airseven,13772322.0,"Denmark, Zealand, Roskilde, 34 Lufthavnsvej, 4000",https://www.linkedin.com/company/airseven7,www.airseven.dk,"Airseven er grundlagt på en ide om at tilbyde høj punktlighed og højt serviceniveau til yderst konkurrencedygtige priser for kunder i feriecharter, ad-hoc charter og ACMI-markedet.  De første feriecharterflyvninger er planlagt til forskellige sydeuropæiske destinationer fra maj 2021 for Primo Tours, Århus Charter og SunCharter, ligesom Airseven er i dialog med en række andre kunder. Primo Tours Gruppen er hovedinvestor i Airseven og launch customer. Airseven flyver under Copenhagen AirTaxi’s driftstilladelse, som råder over de to Boeing 737-400 fly, indrettet med 168 passagersæder.",Denmark,13.772322,,,
