Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Fly Nordica,17023178.0,"Estonia, Harjumaa, Tallinn, 13 Lennujaama Tee, 11101",https://www.linkedin.com/company/flynordica,flynordica.com,"Nordica is an Estonian airline operating for other airlines, offering charter and PSO traffic. The company is a part of the Nordic Aviation Group, owned 100% by the Republic of Estonia.  The group operates long-term ACMI production for major airlines within Europe and utilizes two separate commercial operating brands: Nordica and Xfly. The group has bases in Tallinn (headquarter), Stockholm, Gällivare, Copenhagen, Aarhus, Vilnius, Lisbon, Hamburg, Munich and Turku. The group offers strategic partnership by providing long-term flight services to other European airlines with our aircraft and crews, thus releasing our customer's resources from the burden of complex in-house production. The group employs more than 600 aviation specialists across Europe.  The company plans to expand  in the coming years by constantly increasing its aircraft fleet. As a milestone of further expansion, the company introduced its first 180-seat Airbus 320 aircraft, and is welcoming other three Airbus A320NEO  in spring 2023 to start operating for a new customer.  The company embraces Nordic values and work culture. We value both, individual and team work.  For more information please visit our homepage www.nordica.ee . The company regularly recruits new aviation specialists in its growth. For open positions feel free to visit our career page jobs.nagroup.ee and join our growth team!",Estonia,17.023178,,,
NyxAir OÜ,13428784.0,"Estonia, Harjumaa, Tallinn, 44 Peterburi Tee, 11415",https://www.linkedin.com/company/nyxair-oy,flynyx.com,"NyxAir is a IOSA certified European Air Carrier founded in 2017 and based in Estonia, Tallinn. Our specialty is ACMI, charter, and cargo operations. Our team is dedicated to providing the best possible passenger and cargo operations, focused on long-term solutions and strong business relations with our customers and clients. We offer tailor-made and fully customizable passenger and cargo flights in numerous regions: Europe, North and South America, Asia, the Middle East, and Africa. Our fleet includes SAAB 340, ATR 42-500, and ATR 72-500 aircraft. Our staff with an extensive background in the aviation business is available 24/7. You can contact us: Charters and Sales - sales@nyx.ee Careers - recruitment@nyx.ee",Estonia,13.428784,,,
Martinair,134287845.0,"Estonia, Schiphol, 17 Piet Guilonardweg, 1117",https://www.linkedin.com/company/martinair,www.martinair.com,,Estonia,134.287845,,,
Xfly,130733166.0,"Estonia, Harjumaa, Tallinn, 13 Lennujaama Tee, 11101",https://www.linkedin.com/company/regional-jet,www.xfly.ee,"We are Xfly – a leading capacity provider for commercial airlines in Europe. The company provides safe and high-quality flight operations with long-term CPA contracts for ACMI services.  Compared to operating regional aircraft inhouse, our customers reduce their costs by 30-40% through long-term outsourcing. This corresponds to an annual cost saving of up to 3 million euros per aircraft.  Our mission is to link people and regions through efficient and sustainable flights. Built for the new age of commercial aviation and serving as an integral part of the client’s mission, we don’t just operate for other airlines – we keep our promises and deliver their brand. Xfly is a real-life performer with a passion for flying. Xfly is a preferred partner of several major European airlines in operating their European traffic.  The company was established by the state owned Nordic Aviation Group AS back in 2015.  Xfly operates a fleet of 16 aircraft - modern CRJ700/900 and ATR72. We are also in the process of introducing E-Jets.  Outsourcing of regional production enables our customers to maintain efficiency in regional segment. It reduces the complexity of in-house production and gives a greater degree of flexibility and frees resources for maintaining and gaining market share.  Xfly provides customized solutions for capacity needs on medium and long-term contracts, ensuring strong service delivery and perceived quality for customer. The group is a caring employer to over 600 aviation specialists and is headquartered in Tallinn, Estonia. The group has bases in Stockholm (Arlanda), Copenhagen, Turku, Aarhus, Lisbon, Munich and Hamburg.",Estonia,130.733166,,,
Diamond Sky,37760040.0,"Estonia, Harjumaa, Tallinn, 10121",https://www.linkedin.com/company/diamond-sky,www.diamond-sky.aero,"Looking to book a business- or private jet? Look no further!  With extensive experience in the aviation industry, the Diamond Sky team will take into account all your requirements and take care of your needs, offering the best solutions for you.",Estonia,37.76004,,,
Fort Aero Part-145 MRO,16951850.0,"Estonia, Harjumaa, Tallinn, 6 Rotermanni, 10111",https://www.linkedin.com/company/fort-aero,www.fort.aero,"Fort Aero: Pioneering Global Aviation Excellence Established as a leader in business aviation, Fort Aero proudly operates across Estonia, Ukraine, Hong Kong, Switzerland, and Cyprus. Our EASA certification underscores our commitment to superior aviation solutions worldwide. We aim to be your trusted aviation partner, where unparalleled service meets global expertise. What We Offer:     • Jet Management: Advanced management practices ensure your operations are efficient, safe, and fully compliant, no matter the location.     • Aircraft Registration: Our expertise simplifies the registration process, making it efficient across our global hubs.     • Aircraft Operation: We adhere to the strictest safety standards, supported by our dedicated dispatch center for worldwide operations.     • Airworthiness Management: Our meticulous approach guarantees your aircraft meets all safety and regulatory standards.     • Personal Aircraft Management: Tailored 24/7 service from dedicated professionals, ready to meet the unique demands of our diverse clientele.     • Charter Sales: Offering a range of flexible charter options to accommodate your travel needs with ease.     • Aircraft Solutions: From selecting the perfect aircraft to customizing its design and securing financing, we provide solutions that align with your specific needs. Why Fort Aero? Choosing Fort Aero connects you with a global leader in aviation. Our extensive experience, dedication to innovation, and personalized service set us apart, ensuring we exceed your expectations. With Fort Aero, you gain more than a service provider; you gain a partner committed to elevating your aviation experience on a global scale. Welcome to Fort Aero – Where Excellence in Aviation Is Just the Beginning.",Estonia,16.95185,,,
AVEM AERO OÜ,9440010.0,"Estonia, Harjumaa, Tallinn, 13a Narva Maantee, 10151",https://www.linkedin.com/company/avemaero,www.avem.aero,"AVEM AERO is an Estonian-based airline company. We were established in 2018 by industry professionals with deep expertise in charter sales and operations control (OCC). AVEM AERO provides General Sales Agent (GSA) representation, cargo charter services, outsourced OCC support, and full flight support. Our clients include commercial airlines, business aviation companies, general aviation operators and private pilots.",Estonia,9.44001,,,
PANAVIATIC,6924518.0,"Estonia, Harjumaa, Tallinn, 13 Lennujaama Tee, 11101",https://www.linkedin.com/company/panaviatic,www.panaviatic.com,"Panaviatic helps you accomplish great things quickly. Our team is always at hand to provide you with ultra-convenient charter flights, tailored to your specific needs and desires. We are your personal air bridge between the East and the West. Because time is money, our mission is to make up more time for you. With Panaviatic, you can convert the wasted hours of commercial air travel into an opportunity to do business in a comfortable environment, or just relax and make sure you arrive ready for your next challenge.",Estonia,6.924518,,,
Novans Jets Group,5769578.0,"Estonia, Harjumaa, Tallinn",https://www.linkedin.com/company/novansjetsgroup,novansjets.com,,Estonia,5.769578,,,
Spaceit,5736841.0,"Estonia, Tartu, Tartu, 2a Ülikooli, 51003",https://www.linkedin.com/company/spaceitltd,www.spaceit.eu,"Spaceit is a space tech company offering infrastructure for satellite communications as-a-service, including a set of tools and activities to manage space flights from the point of preparing the satellite launch until landing or the end of the mission. Spaceit's service includes a cloud-based platform for mission control, ground station services and cyber defence exercises.",Estonia,5.736841,,,
