Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Air France,20661434154.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/air-france,www.airfrance.com,"Air France is a leading global airline that specializes in passenger and cargo transportation, connecting travelers to destinations across the globe with a strong emphasis on French culture and hospitality. The company's mission is to provide an exceptional travel experience, highlighted by its commitment to culinary excellence, as seen in its collaboration with renowned French chefs to create gourmet in-flight dining options. Air France aims to embody the essence of French gastronomy and elegance, offering a luxurious travel experience through its premium services, including the La Première suite. The airline serves a diverse clientele, including business and leisure travelers, and partners with various international airlines to enhance connectivity and service offerings. With a focus on sustainability and innovation, Air France targets a global market while promoting the rich heritage of France in every aspect of its operations.",France,20661.434154,,,
Air Caraïbes,797163394.0,"Guadeloupe, Guadeloupe, Les Abymes, Fwi, 97139",https://www.linkedin.com/company/air-caraibes,www.aircaraibes.com,"Air Caraïbes | Haute en couleurs... ✈  Aujourd’hui reconnue comme la compagnie aérienne antillaise spécialiste des Caraïbes et de la Guyane, (code IATA : TX code ICAO : FWI : indicatif radio : French West) elle participe à la mise en valeur des départements d’outre-mer.  Elle emploie plus de 1105 collaborateurs et propose depuis 2003 de nombreux vols entre Paris Orly 4 et la Guadeloupe (Pointe-à-Pitre), la Martinique (Fort-de-France), la Guyane (Cayenne), Saint-Martin (Princess-Juliana, à compter du 12 décembre 2025), Haïti (Port-au-Prince), la République dominicaine (Punta Cana, Saint-Domingue et Samaná), Les Bahamas (San Salvador) et le Mexique (Cancún). Voyagez aussi sur notre réseau régional : Guadeloupe, Martinique, Saint-Martin (Grand Case), Saint-Barthélemy (desserte avec St Barth Commuter ou St Barth Executive) et la République dominicaine (Saint-Domingue - desserte avec Sky High). En partenariat avec French bee, la compagnie propose également à ses passagers de s’envoler vers les Etats-Unis,Montréal, La Réunion et la Polynésie française.  Air Caraïbes appartient au Groupe Dubreuil et possède la certification IOSA de l'IATA.  Des solutions de pré et post-acheminement de / vers la province et l’Europe vous sont proposées avec Train + Air  et Air Caraïbes Connect.  Notre compagnie vous offre également une liaison air-mer de / vers les îles de Marie-Galante, des Saintes et de Sainte-Lucie avec navigAIR. Pour en savoir plus : www.aircaraibes.com ou par téléphone au 0 820 835 835 (0,20€ / min + prix appel).",Guadeloupe,797.163394,,,
AIR AUSTRAL,651000745.0,"Réunion, Réunion, Sainte-marie, Réunion Sainte-marie, 97438",https://www.linkedin.com/company/110443,www.air-austral.com,"AIR AUSTRAL, VOTRE COMPAGNIE PARTENAIRE AU DEPART DE LA REUNION VERS /  - L'OCEAN INDIEN  DES LIAISONS DIRECTES VERS TOUTES LES ILES DE L’OCEAN INDIEN, COMORES, MADAGASCAR (3 VILLES), MAURICE, MAYOTTE, LES SEYCHELLES.  AVEC SA FILIALE EWA BASEE A MAYOTTE DE NOUVELLES DESTINATIONS EN CORRESPONDANCES A MADAGASCAR DIEGO SUAREZ ET MAHAJUNGA ET ANJOUAN AUX COMORES.  - L’ASIE, L’INDE,  L'AFRIQUE DU SUD, L’AUSTRALIE      -2 VOLS HEBDOMADAIRES EN B737   REUNION / CHENAI /BANGKOK ,     -2 VOLS HEBDOMADAIRES ST DENIS/JOHANNESBURG AVEC DES HORAIRES  FACILITANT TOUTES LES CORRESPONDANCES,    -LA REUNION RESTE RELIEE A L’AUSTRALIE, DANS LE CADRE DU CODESHARE AVEC AIR MAURITIUS SUR LA ROUTE MAURICE PERTH, 3 FOIS PAR SEMAINE.  -LA FRANCE METROPOLITAINE  JUSQU’A 12 VOLS PAR SEMAINE  ENTRE LA REUNION ET PARIS CDG (UN VOL QUOTIDIEN DE NUIT, 5 VOLS DE JOUR ST DENIS - PARIS).  SON PARTENARIAT AVEC LA SNCF ET LE TGVAIR PERMET DE REJOINDRE 20 VILLES DE PROVINCE EN METROPOLE EN CORRESPONDANCE A PARIS  CDG2 DANS LE MEME TERMINAL.  -L’EUROPE  PLUS ACCESSIBLE EN PLUS DES ACCORDS AVEC LES COMPAGNIES EUROPEENNES EN CORRESPONDANCE A PARIS CHARLES DE GAULLE , UN NOUVEAU CODESHARE AIR AUSTRAL/AIR FRANCE  VERS 43 DESTINATIONS EN EUROPE DANS 17 PAYS.  NOS ATOUTS  UNE FLOTTE JEUNE (3 B777-300, 2 B 787 DREAMLINER, 2 B737-800 ET 2ATR-72) ET UN ENGAGEMENT DE QUALITE.  AVEC PLUS D’UN MILLION DE PASSAGERS TRANSPORTES PAR AN, AIR AUSTRAL S’AFFIRME COMME LA COMPAGNIE PHARE DE L’OCEAN INDIEN.",Réunion,651.000745,,,
Aircalin,373099393.0,"New Caledonia, South Province, Nouméa, 8 Rue Frédéric Surleau, 98800",https://www.linkedin.com/company/aircalin,www.aircalin.com,"Founded in 1983, AIRCALIN is the international airline of New Caledonia. Its mission is to facilitate travel for New Caledonians, promote tourism in New Caledonia, connect New Caledonia with mainland France and other Pacific nations, and support the commercial exchanges essential to the territory’s economy. A French airline, AIRCALIN is a member of IATA and holds IOSA certification. Its fleet comprises two Airbus A330NEO and two Airbus A320NEO aircraft. To strengthen its medium-term development strategy and enhance operations on its new Nouméa–Paris route via Bangkok, Aircalin will add two Airbus A350-900 aircraft to its fleet between 2026 and 2028. Aircalin operates direct flights to Paris, Thailand, Singapore, Australia, New Zealand, Vanuatu, Fiji, Wallis and Futuna, and French Polynesia. Today, thanks to the continuous development of airline partnerships and the optimization of its flight schedule, Aircalin offers over 110 destinations from Nouméa. In addition, the airline actively promotes New Caledonia by showcasing local expertise onboard its aircraft, including cuisine, local products, and music. Its cabin designs reflect the vibrant colors of the lagoon as seen from the sky, paired with the striking red earth, offering a unique invitation to explore the territory’s beauty from the very start of the journey.",New Caledonia,373.099393,,,
French Bee,267398454.0,"France, Île-de-france, Orly",https://www.linkedin.com/company/frenchbee,www.frenchbee.com,"French bee is a modern airline that specializes in providing affordable long-haul flights, primarily connecting North America to popular destinations in France and beyond, including direct flights from Montreal to Paris. The company's mission is to offer low-cost travel options while ensuring a seamless and comfortable experience for its passengers. With a focus on reliability and convenience, French bee aims to simplify the travel process from booking to arrival, catering to a diverse clientele that includes leisure travelers, families, and business professionals. The airline partners with various travel service providers to enhance the travel experience, making it accessible for those seeking to explore the rich culture and history of France and other destinations. French bee's target market includes budget-conscious travelers looking for quality service without the premium price tag, making international travel more attainable for everyone.",France,267.398454,,,
Air Corsica,240457700.0,"France, Corsica, Ajaccio",https://www.linkedin.com/company/air-corsica,www.aircorsica.com,"Air Corsica is a regional airline dedicated to providing convenient air travel to and from the beautiful island of Corsica. With a mission to connect Corsica with the mainland and other European destinations, the airline aims to enhance accessibility for both residents and tourists. Air Corsica serves a diverse clientele, including leisure travelers seeking to explore the island's rich cultural heritage and natural beauty, as well as business travelers requiring efficient transport options. The airline partners with various local businesses, including car rental services, to offer comprehensive travel solutions. By focusing on customer service and operational excellence, Air Corsica strives to be the preferred choice for air travel in and out of Corsica, catering to a target market that values both convenience and the unique experiences the island has to offer.",France,240.4577,,,
ASL Airlines France,183392745.0,"France, Île-de-france, Tremblay-en-france",https://www.linkedin.com/company/asl-airlines-france,www.aslairlines.fr,"Depuis 25 ans ASL Airlines France met ses « avions au service des hommes ». Elle se classe aux premiers rangs des compagnies aériennes françaises. ASL Airlines France est une compagnie aérienne française membre du groupe international ASL Aviation Holdings.  Elle est reconnue pour son très haut niveau de qualité de service. Des vols passagers pour tous Des vols touristiques : ASL Airlines France a développé, en France et en Europe, sa notoriété de compagnie aérienne passagers en effectuant des vols pour les principaux tours opérateurs français et européens. Des vols réguliers : En s’appuyant sur son savoir-faire inégalé en matière de vols passagers, ASL Airlines France a ouvert des lignes régulières au départ de la France vers l'Algérie et le Maroc et le Kosovo. Des vols à la demande : ASL Airlines France effectue des vols VIP, des vols incentive, des navettes d’entreprise et des vols à la demande. Grâce à la flexibilité de son organisation, ASL Airlines France peut proposer à ses clients des solutions adaptées au plus près de leurs besoins. La compagnie a ainsi équipé l’un de ses Boeing 737-700 d’une cabine VIP avec 56 sièges.  Des avions passagers dédiés : ASL Airlines France intervient pour le compte de compagnies aériennes européennes et internationales pour lesquelles elle met en place des avions dédiés. L’activité cargo  Du fret express : ASL Airlines France effectue des vols cargo réguliers pour les principaux expressistes internationaux et pour des opérateurs postaux. Des vols à la demande : L’offre de vols cargo à la demande répond à des demandes aussi diverses que le transport d’instruments d’orchestres, de poussins, de chevaux, de pièces pour l’industrie automobile ou encore pour l’industrie du BTP.",France,183.392745,,,
Air Antilles,166356172.0,"Guadeloupe, Guadeloupe, Les Abymes, 97139",https://www.linkedin.com/company/air-antilles,www.airantilles.com,French Regional Airline  IATA CODE: 3S - CALLSIGN: Greenbird Air Antilles operates scheduled flights within the Caribbean Islands Main destinations: SFG - SBH - PTP - FDF Fleet: 3 ATR / 2 Twin,Guadeloupe,166.356172,,,
XL AIRWAYS,128374921.0,"France, Île-de-france, Tremblay-en-france",https://www.linkedin.com/company/xl-airways-france,,"XL Airways est une compagnie aérienne française basée à Paris-Roissy Charles de Gaulle. Chaque année, près d'un million de passagers empruntent ses lignes pour se rendre aux Etats-Unis, aux Antilles, en République dominicaine, au Mexique ou à La Réunion. La compagnie connait actuellement une croissance soutenue sur le long-courrier. Après l'inauguration de la liaison Paris CDG-Los Angeles en juin dernier, elle se prépare à ajouter cet hiver trois destinations à Cuba à son réseau. Avec 600 salariés dont 400 membres d'équipage, pilotes, hôtesses et stewards, XL Airways est une entreprise dynamique qui s'est forgée une image de challenger sur le marché encombré du transport aérien. Présidée par Laurent Magnin, elle cultive chez ses collaborateurs l'esprit d'innovation pour offrir à ses passagers une expérience différente au meilleur tarif. Fière de ses origines française, elle se revendique comme La Compagnie Française Des Bons Plans et construit sa notoriété avec des messages forts qui font écho auprès de la nouvelle génération de voyageurs, qui réclament des solutions simples et efficaces pour rejoindre en direct et au meilleur prix les plus destinations du monde.",France,128.374921,,,
Air Oceania,48079818.0,New Caledonia,https://www.linkedin.com/company/air-loyauté-nouvelle-calédonie,www.air-loyaute.nc,,New Caledonia,48.079818,,,
