Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Condor Flugdienst GmbH,5000000000.0,"Germany, Hesse, Neu Isenburg, 50 An Der Gehespitz, 63263",https://www.linkedin.com/company/condorairlines,www.condor.com,"Condor - Passion is our Compass. As Germany's most popular leisure airline, Condor has been taking its guests to the world's most beautiful holiday destinations since 1956 – from 13 airports in Germany and Zurich as well as Basel in Switzerland to around 90 destinations all around the world. Condor operates a fleet of over 50 aircraft, which are maintained by the company's own maintenance operation, Condor Technik GmbH, according to the highest safety standards at the Frankfurt and Dusseldorf locations. In spring 2022, Germany's most popular leisure airline unveiled its new brand identity: Inspired by parasols, bath towels and beach chairs, Condor now wears stripes in five colors. This illustrates the development from a leisure airline to a unique and unmistakable vacation brand. The new design was unveiled with the first A330neo, which is operated by Condor since December 2022. As the German launch customer, Condor will then be flying 21 A330neo long-haul aircraft. Thanks to state-of-the-art technology and maximum efficiency, the latest-generation 2-liter aircraft is the European front-runner with 2.1 liters per passenger per 100 kilometers and maximum customer comfort. Condor will also receive 43 brand-new short- and medium-haul aircraft of the A32Xneo family from 2024.",Germany,5000.0,,,
Deutsche Lufthansa AG,39042900900.0,"Germany, North Rhine-westphalia, Köln, 151-153 Venloer Str., 50672",https://www.linkedin.com/company/lufthansa-group,www.lufthansagroup.com,"The Lufthansa Group is a worldwide operating aviation corporation which includes more than 550 subsidiaries and investment companies. This is the official company page and career portal for the Lufthansa Group. Passenger transportation is the largest business segment of the Lufthansa Group and is carried out by the Lufthansa Passage, SWISS, Austrian Airlines, Eurowings and Brussels Airlines. The Group’s route network is operated through its international hubs in Frankfurt, Munich, Zurich, Vienna and Brussels. During the winter of 2017/2018 its flight plan comprised 288 destinations in 106 countries. The Logistics segment is also a market leader in international airfreight. As well as standard freight, its product portfolio covers express freight and special cargo. The MRO and Catering segments complete the Lufthansa Group’s product portfolio, offering the full spectrum of services for the airlines within the Group as well as for external clients. Lufthansa Technik is the global market leader in the maintenance, repair and overhaul of commercial aircraft. The Catering segment is also the global number one in its area. LSG Sky Chefs supplies national and international carriers with airline catering. In addition, it increasingly operates in adjacent markets. Another segment comprises the service and financial companies. AirPlus is one of the leading worldwide providers of solutions for business travel management. Lufthansa Industry Solutions is an IT service provider for process consulting and system integration. The company helps businesses worldwide in select industries with the digitization of business processes. Lufthansa Systems GmbH & Co. KG is one of the world’s leading airline IT providers. The company provides a comprehensive portfolio of consulting and IT services for the global aviation industry. More than 300 airline customers rely on the technological expertise and in-depth airline know-how of Lufthansa Systems. https://www.Be-Lufthansa.com/impressum",Germany,39042.9009,,,
Discover,380747070.0,"Germany, Hesse, Frankfurt Am Main, 1 Hugo-eckener-ring, 60549",https://www.linkedin.com/company/discover-airlines,www.eurowings-discover.com,"Eurowings Discover is the new leisure airline of the Lufthansa Group. Operating out of Frankfurt and Munich this carrier takes travelers to the world's most beautiful short, medium and long-haul destinations. A tailor-made onboard product with numerous extras and dedicated service make every flight a special experience. Travelers benefit from an end-to-end booking process and seamless transfers at the Frankfurt and Munich hubs as well as at many destinations of the Lufthansa Group and its partner airlines worldwide. ",Germany,380.74707,,,
Eurowings,2956813750.0,"Germany, North Rhine-westphalia, Köln, 249 Waldstraße, 51147",https://www.linkedin.com/company/11322962,www.eurowings.com,"Quality flights at reasonable prices. To over 130 destinations in Europe and worldwide. This is what the Eurowings brand stands for. Eurowings Aviation GmbH, based in Cologne, is a wholly owned subsidiary of Deutsche Lufthansa AG. Eurowings Aviation GmbH takes on the commercial management of the Eurowings brand and the flight operations involved, on behalf of Eurowings GmbH. In order to comply with this growth and meet the requirements of the new Eurowings Group, we are looking for motivated and qualified employees to join our team. We offer an exciting and diverse environment as well as the chance to begin a career in one of the most prestigious aviation companies. Let’s take off together! www.eurowings.com/karriere www.be-Lufthansa.com/eurowingsjobs",Germany,2956.81375,,,
Lufthansa,75999038500.0,"Germany, North Rhine-westphalia, Köln, 50672",https://www.linkedin.com/company/lufthansa,www.lufthansa.com,"Lufthansa is one of the world's largest and most prestigious airlines. With hubs in Frankfurt and Munich, we currently fly to 211 destinations in 74 countries. As an industry innovator, we have long been committed to environmental care and sustainability, operating one of the most technologically-advanced and fuel-efficient fleets in the world. Our long-haul fleet includes the Boeing 747-8 and the Airbus A350-900, which are some of the most environmentally-friendly passenger aircraft in the aviation industry. Known for our premium services, we have recently been named “Europe’s best airline” by Skytrax and continue to build new or upgrade existing lounge facilities across our worldwide network. Our entire long-haul fleet features all new onboard products in each class– bringing us one step closer to becoming the first five-star airline in the Western Hemisphere. Additionally, the entire Lufthansa long-haul fleet is equipped with our onboard broadband wireless Internet service, FlyNet. For more information, reservations or customer service, visit lufthansa.com or follow us on Facebook, Twitter, Instagram and Snapchat. We look forward to welcoming you onboard. This LinkedIn page is maintained by Deutsche Lufthansa AG. We will not answer specific Customer Service queries here on LinkedIn. If you have an immediate concern or need to contact us please visit http://www.lufthansa.com/us/en/imprint",Germany,75999.0385,,,
TUI AG,25938109080.0,"Germany, Lower Saxony, Hannover, 23 Karl-wiechert-allee, 30625",https://www.linkedin.com/company/tuigroup,www.tuigroup.com,"We’re adventure seekers. Smile givers. Impact makers. We believe in the power of travel. It broadens horizons for our customers, and for our people too. New places to live, new roles to explore, new communities to join. It’s yours for the taking.  We’re TUI, a leading global travel and leisure experience company that makes holiday dreams come true for people around the world. We are one of the world’s leading tourism groups counting 1200 travel agencies and online portals, five airlines with around 130 aircraft, over 400 hotels, 16 cruise liners, digital platforms for tours and activities and most importantly over 60 000 colleagues around the world. What unites us is creating moments that enrich the lives of our 21 million customers.  Beside the unforgettable experience we provide our customers, we also believe in the good that tourism can bring and we care deeply about our environmental impact. The TUI Care foundation has projects in over 30 countries worldwide, building on the potential of tourism as a global force for development. The Foundation opens up new perspectives through education and training, empowers local communities to benefit from the success of tourism and engages in the protection of nature and the environment. At TUI we simply say “Let’s TUI it”. For us, that means creating happiness. Tackling challenges every day together, with a positive, can-do attitude, and finding solutions even for the most unexpected situations. Our teams across TUI are just as diverse as our destinations. So whether you have lots of experience or none at all. If you want to work in an office or feel best in the field. No matter if you’re an accomplished tech whizz, an aspiring entertainer, or simply in love with flying.  There’s a place for you here.",Germany,25938.10908,,,
Austrian Airlines,232792000.0,Germany,https://www.linkedin.com/company/tyrolean-airways,www.tyrolean.at,"Tyrolean Airways – Wir fliegen für Austrian Airlines Tyrolean Airways wickelt als 100 Prozent Tochter von Austrian Airlines seit Juli 2012 den kompletten Flugbetrieb ab. Das bedeutet, dass die gesamte Kurz-, Mittel- und Langstreckenflotte der größten österreichischen Fluggesellschaft von Tyrolean Airways betrieben wird. Auch das Flugpersonal ist bei Tyrolean Airways angestellt.   Was machte Tyrolean Airways so bedeutsam für Österreich: Vor über 25 Jahren startete Tyrolean Airways  ihren Flugbetrieb mit einer viermotorigen Dash 7, zunächst auf den regelmäßigen Bedarfsflugstrecken Innsbruck-Wien und Innsbruck-Zürich. Rasch entwickelte sie sich zu einer der bedeutendsten Regionalfluggesellschaften Europas. Heute fliegt sie für Austrian Airlines auch zu Destinationen wie New York, Delhi oder Tokio. Ihre Geschäftspolitik zeichnete sich immer durch großen Pioniergeist und wirtschaftlichen Weitblick aus. Ihr hoher Fokus auf Effizienz war die Voraussetzung dafür, dass ihr die Verantwortung für den Betrieb der gesamten Austrian Flotte übergeben wurde.",Germany,232.792,,,
AeroLogic,757218611.0,"Germany, Saxony, Schkeuditz, 2 Josef-von-copertino Straße, 04435",https://www.linkedin.com/company/aerologic,www.aerologic.aero,"Established in September 2007, AeroLogic's first plane took off in the summer of 2009 with the fleet eventually comprising 8 brand-new Boeing 777F's. The company is jointly owned by Deutsche Post DHL and Deutsche Lufthansa AG through their subsidiaries DHL Express and Lufthansa Cargo. The current AeroLogic fleet comprises 28 Boeing 777F.  AeroLogic GmbH is headquartered in Leipzig/Schkeuditz. The company has its own air operating certificate, its own traffic rights, and its own slots. It is responsible for aircraft, crews, route networks and all flight operations. Only cargo on AeroLogic flights will be allocated and processed directly by DHL Express and Lufthansa Cargo, using an innovative, sophisticated model designed to meet the needs of both partners.  For the shipper, AeroLogic means greater capacities, higher flight frequencies, and unmatched transit times for exchanging goods between Asia or North America and Europe – in short, a route network optimised like none other.",Germany,757.218611,,,
TUIfly,211434824.0,"Germany, Lower Saxony, Hannover",https://www.linkedin.com/company/tuifly,www.tuifly.com,"TUIfly is a prominent airline that operates as part of the TUI Group, specializing in providing leisure travel services to a diverse clientele. The airline focuses on offering affordable and convenient flight options to popular holiday destinations across Europe and beyond, including sought-after locations in the United States such as New York, Hawaii, Las Vegas, and Florida. TUIfly's mission is to deliver exceptional holiday experiences by making air travel accessible and enjoyable, ensuring that every flight contributes to a memorable vacation for its passengers. With a strong emphasis on customer satisfaction and safety, the airline aims to be the preferred choice for vacationers seeking reliable and enjoyable travel options. TUIfly caters primarily to leisure travelers, including families, couples, and solo adventurers looking for value for money in their travel plans. The airline collaborates closely with various partners in the travel industry, including hotels and tour operators, to offer comprehensive travel packages that combine flights, accommodations, and additional services like car rentals. This approach simplifies travel planning for customers, allowing them to enjoy hassle-free experiences while exploring diverse cultures and beautiful landscapes. With a commitment to sustainability and innovation, TUIfly strives to enhance the travel experience while minimizing its environmental impact. The airline's vision is to be recognized as a leading provider in the holiday flight sector, ensuring high-quality services and a high level of customer satisfaction. By focusing on delivering exceptional service and value, TUIfly continues to be a popular choice for those looking to embark on memorable vacations.",Germany,211.434824,,,
BKC Brooklyn Central,177926296.0,Germany,https://www.linkedin.com/company/bkc-brooklyn-central,wearebkc.com,,Germany,177.926296,,,
