Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Wizz Air Holdings Plc,5696909399.0,"Hungary, Budapest, Budapest, 2/a K?�r Street, 1103",https://www.linkedin.com/company/36906,corporate.wizzair.com,"At WIZZ, we believe that affordable travel provides the opportunities that can change people and the world around us for the better. Wizz Air is one of the leading low-cost airlines in Europe and the largest in Central and Eastern Europe. Founded in 2004, Wizz Air carried more than 34 million passengers in 2018 and continues to grow, adding new countries, new destinations and new opportunities to travel. Wizz Air flies to 44 countries and counts on more than 4,500 enthusiastic aviation professionals from more than 50 countries – pilots, cabin crew, operations, administration, sales, marketing and communications for the company’s success. Visit the Careers section at wizzair.com (https://wizzair.com/en-GB/career) to learn about exciting opportunities to join the WIZZ team.",Hungary,5696.909399,,,
Malev Hungarian Airlines,188082037.0,"Hungary, Budapest, Budapest, 1097",https://www.linkedin.com/company/malev-hungarian-airlines,www.malev.com,"Malév Hungarian Airlines, the national airline of the Republic of Hungary, can look back on more than 60 years of outstanding achievements and service. Today, with its scheduled passenger, cargo and charter operations, Malév is acknowledged as one of the leading airlines in the Central-Eastern European region. Malév has its own offices and general sales agents in 34 countries. More than 3 million revenue passengers flew with Malév in 2008.",Hungary,188.082037,,,
Fleet Air International Kft.,39786584.0,"Hungary, Pest, Vecsés, 218 Fő Utca, 2220",https://www.linkedin.com/company/fleet-air-international-kft,fleetair.eu,"To perfect and market their vast expertise in the field of Air Transportation several important players incorporated FleetAir in Hungary as their high-end division whereby it was issued AOC on June 21, 2007. FleetAIR's staff are hence energetic and ambitious in their aim to capitalize on the existing practical expirence extending from 5 to 25 years of constant cargo flight quality improvement. Revitalizing European investments made provision for FleetAIR's purchasing and bringing into service two SAAB 340 CARGO. The nearest objectives on FleetAIR's radar screens are to develop short and middle-haul European cargo air routes as well as immediate fleet and payload enlargement to four aircraft and 50 tonnes respectively. FleetAIR's principals as regards clients are founded on propmt, flexible, and coherent new-time client-oriented JIT tehnology providing satisfaction for FleetAIR's customers who are encouraged in every way through our efforts to opt for lasting win-win co-operation with FleetAIR.",Hungary,39.786584,,,
PHARMAFLIGHT,27061362.0,"Hungary, Hajdú-bihar, Debrecen, 1 Szatke Ferenc Str., 4030",https://www.linkedin.com/company/pharma-flight,www.pharmaflight.hu,"As the leading innovation and knowledge center of the Hungarian aviation industry, PHARMAFLIGHT carries out important research and development projects to increase and maintain aircrew performance.  PHARMAFLIGHT provides complex professional, medical and research services in domestic and international pilot training and human development. Full support from the beginning of a pilot's career until becoming an expert and then with further developments. We are partners in assessment and monitoring of human physical performance for all industries where it is important to deliver the highest team performance.",Hungary,27.061362,,,
Malev Air Tours Kft.,23510254.0,"Hungary, Budapest, Budapest",https://www.linkedin.com/company/malev-air-tours-kft-,www.airtours.hu,,Hungary,23.510254,,,
Multifly,9042405.0,"Hungary, Őcsény, 7143",https://www.linkedin.com/company/multifly-ato,www.multifly.aero,EASA Approved Training Organisation,Hungary,9.042405,,,
FLYTEAM,6329683.0,"Hungary, Csongrád, Szeged, Bajai Út, 6728",https://www.linkedin.com/company/flyteam,www.flyteam.hu,"FlyTeam The School of Aviation Budapest & Szeged FlyTeam was the first school in the midle-Europe region receiving the ATO ""Approved Training Organization"" certificate from EASA. Our aircrafts:  Da20, C150, C172, SF25, Piper Seneca III",Hungary,6.329683,,,
Privatejet,4521202.0,Hungary,https://www.linkedin.com/company/privatejet,,"Privatejet, Privatejet, Privatejet, Privatejet, Privatejet, Privatejet, Privatejet, Privatejet, Privatejet, Privatejet, Privatejet, Privatejet, Privatejet, Privatejet, Privatejet, Privatejet, Privatejet, Privatejet, Privatejet, Privatejet,",Hungary,4.521202,,,
AerinX,3965810.0,"Hungary, Budapest, Budapest",https://www.linkedin.com/company/aerinx,www.aerinx.com,"Aviation is an industry highly optimized and defined by cost-effectiveness, where minutes of delay can result in thousands of dollars of loss for an airline. Airplane utilization is high and the aim is to maximize time spent in the air. AerinX developed a cutting edge solution that revolutionizes the way skin inspection is carried out for airplanes.",Hungary,3.96581,,,
AeroConsulting Hungary,3239032.0,"Hungary, Budapest, Budapest",https://www.linkedin.com/company/aeroconsulting-hungary,www.aeroconsulting.hu,"Our Partners' satisfaction and the successful work of the past years attests that achieving your goals is always first priority to us. In the field of aviation and environmental protection our experts are here for you to assists in technical, regulatory or organizational matters or official representation of your organization. Our experts with several years of experience guarantee that we are ready to face any challenge on the field of aviation and environmental protection as well as its legal background issues. Experts of our team of commercial and military aviation, air traffic control, engineering, aviation jurist and aviation safety do cover all spectrum of aviation.",Hungary,3.239032,,,
PearWilliams Ltd.,1888002.0,Hungary,https://www.linkedin.com/company/pearwilliams-ltd-,www.pearwilliams.com,"Our developer company, PearWilliams Ltd. was founded in 2011. Main specialities are web and mobile developments, and designing custom hardwares. Our HQ is located in the very  heart of Budapest (Hungary) in the 9th disctrict, next to river Danube, with 15 employees. We mentor startups with technology, generally via custom software and hardware products and services that require innovative solutions of both. We have the ability to focus even on the smallest details of a project, we think, design and execute. We are specialist in web and mobile application development,  hardware design, hardware programming, databases, ux and user interfaces.",Hungary,1.888002,,,
AIRportal.hu,1888002.0,"Hungary, Budapest, Ferihegyi Repülőtérre Vezető Út",https://www.linkedin.com/company/airportal-hu,airportal.hu,AIRportal.hu | Légiközlekedés ✈ Légiutazás ✈ Repülés | KarriAIR,Hungary,1.888002,,,
Skyhawk Aviation,1876711.0,"Hungary, Pest, Budapest, 1048",https://www.linkedin.com/company/skyhawkhungary,skyhawk.hu,"EASA PPL, LAPL, Night VFR courses and hour building options with professional instructors on the most advanced glass cockpit trainer aircraft.",Hungary,1.876711,,,
