Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Aeroitalia,149983960.0,"Italy, Latium, Fiumicino-isola Sacra",https://www.linkedin.com/company/aeroitalia,www.aeroitalia.com,Aeroitalia,Italy,149.98396,,,
Air Dolomiti,514338935.0,"Italy, Veneto, Verona",https://www.linkedin.com/company/air-dolomiti,www.airdolomiti.eu,"Air Dolomiti is a regional airline based in Italy, operating as a subsidiary of Deutsche Lufthansa AG. The company specializes in providing air travel services to various European destinations, including major cities like Munich and Frankfurt. With a mission to deliver high-quality service and a commitment to environmental sustainability, Air Dolomiti aims to enhance the travel experience for both leisure and business travelers. The airline caters to a diverse clientele, including individual passengers and group travelers, while also partnering with travel agencies and corporate clients. Through its extensive network and tailored services, Air Dolomiti strives to meet the needs of its target market, ensuring a seamless and enjoyable journey for all its customers.",Italy,514.338935,,,
ITA Airways,38673570.0,"Italy, Latium, Rome",https://www.linkedin.com/company/ita-airways,alitalia.com,"Hello! We’re the new Italian national airline, born 15th October 2021. We are a company belonging to the Ministry of Economy and Finance for the Air Transport Sector and partner of the Alleanza SkyTeam. We operate 52 aircrafts (7 wide-bodied and 45 narrow-bodied), but we have set a goal for 2025 to grow to 105, new generation Airbus aircrafts that are more efficient and green, with an overall reduction of 750,000 tonnes of CO2. Our loyalty program, Volare, collaborates with various commercial partners to be able to offer our clients plenty of opportunities to accumulate and use points. Ciao! Siamo la nuova compagnia di bandiera italiana, nata il 15 ottobre 2021. Siamo una società partecipata al 100% dal Ministero dell’Economia e delle Finanze per l’esercizio dell’attività nel settore del trasporto aereo, partner dell’Alleanza SkyTeam.  Operiamo con 52 aeromobili (7 wide body e 45 narrow body), ma il nostro obiettivo è arrivare, nel 2025, a una flotta di 105 aeromobili Airbus di nuova generazione, più efficienti e più green con una riduzione complessiva di 750.000 tonnellate di CO2. Il nostro programma di fidelizzazione Volare, attraverso partner commerciali, offre ai clienti ampie possibilità di accumulo e di spesa dei punti accumulati.",Italy,38.67357,,,
Neos SpA,468131755.0,"Italy, Lombardy, Milan",https://www.linkedin.com/company/neos-spa,www.neosair.it,"Neos SpA is an Italian airline that specializes in providing charter and scheduled flights to various international destinations. With a mission to deliver exceptional travel experiences, Neos aims to connect travelers with diverse cultures and locations while ensuring comfort and safety. The airline primarily serves leisure travelers, offering routes to popular holiday destinations across Europe, Africa, and Asia, including direct flights from major Italian airports. Neos collaborates with travel agencies and tour operators, making it a preferred choice for vacation packages. The company is committed to sustainability and innovation in the aviation sector, striving to enhance customer satisfaction through quality service and modern fleet management.",Italy,468.131755,,,
Alitalia Società Aerea Italiana S.p.A.,6947506937.0,"Italy, Latium, Fiumicino-isola Sacra",https://www.linkedin.com/company/6295,www.alitalia.com,"Alitalia - Società Aerea Italiana is the leading Italian airline. During 2019, Alitalia transported 21.3 million passengers and has one of the most efficient fleets, featuring long-haul aircraft (Boeing 777-300 ER, Boeing 777-200 ER, Airbus A330-200), medium-haul aircraft (Airbus A321, Airbus A320, Airbus A319) and regional aircraft (Embraer 190 and Embraer 175).  On long haul-flights, Alitalia offers three service classes: Magnifica, Premium Economy and Economy.  In 2019, Alitalia received two awards from the respected American magazine Global Traveler: ""Best Airline Cuisine"" for the tenth consecutive edition and, for the second time, the ""Best Business-Class Seat Design"". The comfort of the armchair and the quality of the meals served on board make the Magnifica class travel experience even more unique.  Alitalia is also a member of the global SkyTeam alliance.",Italy,6947.506937,,,
Air Italy,300725415.0,"Italy, Sardinia, Olbia",https://www.linkedin.com/company/airitaly,www.airitaly.com,"Air Italy is an Italian airline fully owned by AQA Holding (51% Alisarda and 49% Qatar Airways), with its headquarters in Olbia and main operating base in Milan Malpensa.  In March 2018 the Company started operation as Air Italy.  Beginning in May 2018, Air Italy added new domestic routes from Milan to Rome, Naples, Palermo, Catania, Lamezia Terme, Olbia and more recently Cagliari, all scheduled for connection to its newest long-range destinations including New York, Miami, Los Angeles, San Francisco and Toronto. Its network also includes direct international flights from Milan Malpensa to Accra, Cairo, Dakar, Lagos, the Maldives, Mombasa, Sharm El-Sheikh, Tenerife, and Zanzibar and from its Olbia Costa Smeralda hub, year-round scheduled services to Rome, Milan Linate, Milan Malpensa and Bologna and seasonal ones to a wide range of domestic and regional destinations. Air Italy’s fleet is currently comprised of eight Boeing 737 and five Airbus A330.",Italy,300.725415,,,
Meridiana,279424296.0,"Italy, Sardinia, Olbia",https://www.linkedin.com/company/meridiana-fly,www.meridiana.com,"Meridiana is an Italian airline,with its headquarters in Olbia.  The company was set up with the name of Alisarda on 29 March 1963, with the aim of promoting tourism in Sardinia. In 1991 the name was changed to Meridiana. Thanks to the merger with the carrier Eurofly and to the acquisition of the company Air Italy, both charter airlines, during last five years,  Meridiana has become one of the most important player in international leisure flights and its growth towards new medium and long haul destinations is still ongoing. The Company connects the main Italian airports with Sardinia as well as with Mediterranean or Egyptian destinations, like Canary and Balearic islands, Greece and Red Sea. The principal international destinations are USA (New York from Naples and Palermo), Moscow, Mauritius, Kenya, Zanzibar, Madagascar, Cabo Verde, Senegal, Nigeria, Ghana, Santo Domingo, Cuba and  Brazil. Since Qatar Airways has entered in the ownership, Meridiana is controlled by AQA Holding (51% Alisarda and 49% Qatar Airways) and a process of revision of the strategy and renewal of the fleet is currently ongoing The Company’s fleet consists of Boeing 737, Boeing 767 and McDonnell Douglas MD80 (those last ones operate regularly on schedule flights activity till the end of October 2017)",Italy,279.424296,,,
Air One,81813420.0,"Italy, Lombardy, Somma Lombardo, 21010",https://www.linkedin.com/company/air-one,www.flyairone.com,"Air One è una compagnia aerea italiana che dal 13 gennaio 2009 è entrata a far parte di Alitalia con un accordo formalizzato il 30 dicembre 2008. La compagnia trae la sua origine da Aliadriatica costituita nel 1983 a Pescara.  Dal 1995 ha modificato il proprio nome trasformandolo in ""Air One"" iniziando a volare tra Roma e Milano e poi progressivamente in tutta Italia e all'estero.  Oggi Air One, nell'ambito della strategia di Alitalia, è uno ""Smart Carrier"", che ti assicura un ottimo servizio, spendendo poco. Air One nasce dall'esigenza di differenziare l'offerta su alcuni mercati italiani, tipicamente caratterizzati da un profilo di domanda più attenta al prezzo, con un brand, un modello operativo e un'offerta di servizi innovativi, che verranno ulteriormente sviluppati nel prossimo futuro.  La nuova compagnia infatti, è caratterizzata da un'immagine giovane e dinamica, un assetto di network dedicato, da prezzi competitivi e un servizio semplificato e trasparente.  La nuova ""mission"" valorizza lo storico posizionamento di Air One, massimizzandone gli elementi di dinamicità, convenienza, affidabilità e personalizzazione dell'esperienza di viaggio da parte del cliente.",Italy,81.81342,,,
Sunrise Travel,51102829.0,"Italy, Lombardy, Milan, 23 Piazza Vesuvio, 20144",https://www.linkedin.com/company/sunrise-travel,www.sunrisetravel.eu,"Sunrise Travel is Italy's premier internet travel consultancy and outsource partner for travel companies. With expertise in online and offline distribution, Sunrise helps tourism companies of all sectors distribute their product in markets worldwide.",Italy,51.102829,,,
AERO SEKUR,32091960.0,"Italy, Latium, Aprilia",https://www.linkedin.com/company/aero-sekur,,,Italy,32.09196,,,
