Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Luxair,447506190.0,"Luxembourg, Luxembourg, Luxembourg, 2987",https://www.linkedin.com/company/luxair,www.luxair.lu,"Luxair is the flag carrier airline of Luxembourg, established in 1962, and has been a cornerstone of the country's air transport services for over 60 years. The airline offers a comprehensive range of services, including passenger flights, holiday packages, and cargo transport, with a mission to connect Luxembourg to key destinations across Europe and beyond. Luxair prioritizes safety, punctuality, and customer satisfaction, ensuring that every travel experience is exceptional. Operating a modern fleet that includes Boeing and De Havilland aircraft, Luxair is committed to providing efficient and environmentally friendly travel options. The airline serves a diverse clientele, encompassing leisure travelers, business professionals, and families, and collaborates with various partners, such as German Airways, to enhance its service offerings. Luxair's vision emphasizes a commitment to safety, service excellence, and community engagement, reflecting its dedication to social responsibility. The company actively supports initiatives like Stand Speak Rise Up!, which advocates for victims of sexual violence in conflict zones, and partners with local artists and charities, such as the Think Pink organization for breast cancer awareness. With a focus on innovation and sustainability, Luxair continually adapts to the evolving aviation landscape while celebrating its Luxembourgish heritage. The airline aims to expand its network and improve its fleet, ensuring a bright future for both the company and its passengers. By fostering connections between people and cultures, Luxair not only enhances travel experiences but also contributes positively to the communities it serves.",Luxembourg,447.50619,,,
Jetfly,197745020.0,"Luxembourg, Senningerberg, 1 Avenue De L'aéroport, l-1110",https://www.linkedin.com/company/jetfly,www.jetfly.com,"With 25 years of experience, Jetfly is an European leader in fractional aircraft ownership, focusing on the Pilatus PC-12, PC-24 and the Cirrus Jet. Jetfly provides a safe and reliable service with a fleet of 70 aircraft, reaching over 3,000 airports and airfields across Europe. Headquartered in Luxembourg, the group employs 500 aviation professionals, including 250 Jetfly trained pilots.",Luxembourg,197.74502,,,
Global Jet Luxembourg,154186830.0,"Luxembourg, Hesperange, 33 Rue De Gasperich",https://www.linkedin.com/company/global-jet-luxembourg,jobs-globaljet.com,"With more than 20 years of international operation, Global Jet Luxembourg has proven its exceptional know-how and become a benchmark for private aircraft management. Our vast expertise not only allows us to manage more than 80 aircraft worldwide, but more importantly – enables us to offer individual and tailor-made solutions to our partners. Evidence to this is the continuous trust placed in us by our long-term clients, as well as the steadily rising demand for our service.  In order to understand and facilitate the needs of exceptional clientele, one needs exceptional people, people with comprehensive qualities, committed to performing beyond expectations and always willing to improve. Therefore Global Jet Luxembourg is constantly looking for new talents to join a unique experience.    If you want to discover more about us and our services, feel free to visit our following website :  http://jobs-globaljet.com/",Luxembourg,154.18683,,,
Smart Air,6258372.0,"Luxembourg, Luxembourg, Luxembourg, 18 Rue Robert Stümper, l2557",https://www.linkedin.com/company/smart-air,www.smartair.aero,Smart Air is the 1st and unique D-Jet Fractional Ownership Solution in Europe. Smart Air is European launch customer for Diamond D-Jet Corporation and has the exclusivity for Fractional Ownership Solution in Europe with Diamond. Smart Air : the first true Low-Cost in Business Aviation in Europe,Luxembourg,6.258372,,,
LMO,4405338.0,"Luxembourg, Esch-sur-alzette, Esch-sur-alzette, 9 Avenue Des Hauts-fourneaux",https://www.linkedin.com/company/lmo-space,www.lmo.space,LMO provides innovative solutions in Propulsion and Space Situational Awareness for the Small Satellite and In-Orbit Servicing Market.,Luxembourg,4.405338,,,
Active Partners SA,2770751.0,"Luxembourg, Luxembourg, Luxembourg, 115 Boulevard Jules Salentiny, l-2511",https://www.linkedin.com/company/active-partners-sa,www.activepartners.aero,Aviation consultant in Aircraft / engine transition projects Aero assets trading Aircraft technical project management Aircraft and engine finance Aircraft and engine lease Promotion of Luxembourg Aviation Cluster P2F Cargo Conversion Specialist,Luxembourg,2.770751,,,
J-Reiff.lu,2114920.0,Luxembourg,https://www.linkedin.com/company/j-reiff.lu,j-reiff.lu,,Luxembourg,2.11492,,,
SkyRadar,2086124.0,"Luxembourg, Mertert Grevenmacher, 2 Rue Haute, 6680",https://www.linkedin.com/company/skyradar,www.skyradar.com,"SkyRadar is the first commercially available educational radar & SMC training system for ATSEP and military users. Operating within the milliwatt range, the SkyRadar radar training system is completely safe for indoor and outdoor experiments. SkyRadar provides radar kits blended with training curricula and scenarios for high level skills development. The SkyRadar Training System was developed in partnership with leading companies from the Air Traffic Management industry, independent specialists and a globally experienced systems integrator. SkyRadar investigates the function and applications of modern primary and secondary radars through practical experiments. From civil air traffic control to military and EW applications, all topics are covered by an unsurpassed number of interesting experiments Conventional educations systems usually only allow ""black box"" examinations.  What takes place inside the devices remains a mystery to the student.  The SkyRadar Modules give students an opportunity to work with real radars and build up or modify in real-time the Digital Signal Processing Block Diagrams.",Luxembourg,2.086124,,,
In-Space Services,1258668.0,"Luxembourg, Betzdorf, 11 Rue Pierre Werner, l-6832",https://www.linkedin.com/company/in-space-services,www.in-space.com,"In-Space Services S.à r.l. is a company operating in the space industry and is focused on the development of innovative technologies to support deep space exploration.   The small R&D team is aimed to deliver turnkey solutions in multiple areas, such as laser communication.   The technologies required for future exploration and services are sustainably developed to respond to the rising needs of Earth observation and satellite communication markets.",Luxembourg,1.258668,,,
MSDP Sàrl,1165110.0,Luxembourg,https://www.linkedin.com/company/msdp-s-rl,www.msdp.eu,IT and Aviation Services and Products,Luxembourg,1.16511,,,
CypherJets SàRL,1165110.0,"Luxembourg, Luxembourg, Val Fleuri",https://www.linkedin.com/company/cypherjets-sàrl,cypherjets.lu,"With Cypher Jets, we are introducing a new era of personal transportation, where travelling with speed, comfort and sublime convenience are made accessible to a selected circle of customers just like you. By acquiring a co-ownership share you will be part of an exquisite, private club of a like-minded, successful Network. Airplane shares are available to private persons as well as businesses. Be invited to get into detail by visiting our website. The next 10 mintues might be an investment in your future, allowing you to save your greatest resource: Time",Luxembourg,1.16511,,,
Serenity Airways,1165110.0,"Luxembourg, Diekirch, 1 Hauptstrooss, l-9753",https://www.linkedin.com/company/serenity-airways-sàrl,serenityairways.com,Serenity Airways is a Luxembourg company offering tailor-made VIP security and private jet solutions.,Luxembourg,1.16511,,,
FlyMe,1043062.0,"Luxembourg, Luxembourg, Luxembourg, 1356",https://www.linkedin.com/company/flyme-your-flight-solution-,www.fly-me.aero,"YOUR FLIGHT SOLUTION Sie müssen reisen, wir haben die Lösung. Wir vermitteln Flugzeuge zum chartern und Piloten. You need to travel, we provide the solution. We provison aircrafts for charter and pilots. Vous devez voler, nous ayons votre solution. Nous vous organisons un avion et des pilotes.",Luxembourg,1.043062,,,
SOFT4JET,629334.0,"Luxembourg, Luxembourg, Luxembourg",https://www.linkedin.com/company/soft4jet,www.soft4jet.com,"SOFT4JET is a company based in Luxembourg specialized in the development of software for Business Aviation and Airlines. To meet your expectations, our solutions are fully customizable, they will allow you to save time, reduce costs and satisfy your teams. We offer our clients high quality support and expertise.",Luxembourg,0.629334,,,
IC GROUP,629334.0,"Luxembourg, Luxembourg, Luxembourg",https://www.linkedin.com/company/icgroupholding,www.icgroup.aero,"International Corporate Group, a holding company spearheaded by one of the most influential Forbes business leaders within Middle East & North Africa. IC Group is highly focused on the rapidly growing business aviation sector. The group is composed of talented, influential and knowledgeable industry specialists with backgrounds in sales, finance and aviation law. With their combined experience they have structured private aircraft sales & finance transactions globally; in Africa, Asia, China, Europe and the Middle East.",Luxembourg,0.629334,,,
Kapture SA,629334.0,"Luxembourg, Luxembourg, Luxembourg, 9 Avenue De La Gare, l-1611",https://www.linkedin.com/company/kapture-sa,www.kapture.lu,Fully Integrated Data Solutions: from the sky to the decision Data acquisition - Safety management - Data processing - Data valorization - Customer centric Google Business View Program 360° technology Virtual Visit Phototour,Luxembourg,0.629334,,,
