Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Air Malta,18432148.0,"Malta, Luqa, Air Malta Plc",https://www.linkedin.com/company/air-malta,www.airmalta.com,"Air Malta ceased flight operations on March 30th, 2024. Since the first Boeing 720B touched down on Maltese soil on March 29th, 1974, ahead of our inaugural flight on 1st April 1974, until our final flight on March 30th, 2024, Air Malta has proudly represented Malta on the global stage.",Malta,18.432148,,,
Lauda Europe,378068949.0,"Malta, Tal-pietà",https://www.linkedin.com/company/lauda-europe,www.laudaeurope.com,Lauda Europe are a Maltese airline providing wet lease and charter services across Europe on a fleet of Airbus A320 aircraft.,Malta,378.068949,,,
Elit'Avia,139594689.0,"Malta, Birkirkara, Birkirkara, Triq Birkirkara Trident Park Mdina Road",https://www.linkedin.com/company/elitavia,www.elitavia.com,"Elit’Avia - Redefining Altitude Since 2006 Elit’Avia is proud to deliver a full range of valuable private aviation solutions that enable our clients to navigate the complexities of private aviation with confidence.    From aircraft management, aircraft sales & acquisitions, aircraft charter, technical services, and beyond, you can rely on our team of experienced aviation professionals to ensure a valuable aircraft owner experience. With an Air Operator’s Certificate (AOC) in Malta and San Marino we are able to provide our wide reaching aviation services to Europe, Middle East, Africa and North America. As a Continuing Airworthiness Management Organization, you can be assured that Elit’Avia is dedicated to the highest possible standards in safety and quality. Every member of our multi-cultural team is committed to achieving perfection. Supported by experts in all areas of private charter, aviation management and concierge services, our fleet of technologically advanced aircraft provide state of the art aviation capabilities for our clients. Our Services: •	Aircraft Management  •	Aircraft Charter •	Aircraft Sub-Charter •	Aircraft Sales & Acquisitions Advisor and Leasing •	Technical Services",Malta,139.594689,,,
Mel Air,89813448.0,"Malta, In-naxxar, Naxxar",https://www.linkedin.com/company/melair,melair.pt,"Founded in 1978, Mel Air is the longest-established AOC holder in Malta and a subsidiary of the Air Nostrum Group. Headquartered in Naxxar, Malta, providing operational control and oversight to its flight operations. Mel Air provides operational services through various Air Nostrum Group companies based in Spain. The airline operates on Wet Lease basis with a fleet of ATR 72-600 aircraft. Presently, five aircraft are stationed in southern Spain with our shareholder, Air Nostrum, and the crew is based in Malaga and Valencia.",Malta,89.813448,,,
Hyperion Aviation,82399642.0,"Malta, Luqa, Malta International Airport",https://www.linkedin.com/company/hyperion-aviation-ltd.,www.hyperion-aviation.com,"Hyperion (Ὑπερίων, “the high one”) was one of the 12 Titans of Ancient Greece. He was ascribed the characteristics of the “God of Watchfulness, Wisdom and Light.”  Working with a team of challengers & aviation lovers, Hyperion Aviation can assist you with : - Business Jet Management, - Charter and Jet Cards, - Aircraft sales and Structuring, - Airline and Leasing support services, - Special mission, Ambulance & Emergency medical service. More details and information at hyperion-aviation.com",Malta,82.399642,,,
Galistair,57898728.0,"Malta, Il-belt Valletta, Valletta",https://www.linkedin.com/company/galistair,www.flygalistair.com,"Ofrecemos soluciones ACMI-Wet Lease con un staff experimentado y con la ventaja competitiva de ser el único operador ACMI de Airbus A-321 en el sur de Europa y norte de África, con base en Madrid, y con el apoyo de un socio estratégico de la talla de White Airways. Con Galistair tu negocio nunca dejará de volar. We offer ACMI and Wet lease solutions with an experimented staff and with the advantage of being the only A321 wet lease  operator in west southern Europe and north Africa. Our base is in Madrid and we operate in collaboration with our strategic partner White Airways.",Malta,57.898728,,,
Harmony Jets,50409193.0,"Malta, Birkirkara, Birkirkara, cbd1040",https://www.linkedin.com/company/harmony-jets,www.harmony-jets.com,"Harmony Jets is a Maltese aircraft management company set up in 2017, currently operating an all-Dassault aircraft fleet (Falcon 100s, a Falcon 50, and a Falcon 900). It is based at its offices at the Quad Towers, having a work-force of around 80 personnel.",Malta,50.409193,,,
SKYFIRST,41684525.0,"Malta, Birkirkara, Birkirkara, 9022 Valley Road",https://www.linkedin.com/company/19689665,www.skyfirst.aero,"Skyfirst offers charter and aircraft management services.  It operates an exclusive fleet of distinguished aircraft, ranging from light to ultra-long-range jets. Skyfirst incorporates both our company name and philosophy. Highly qualified crew, and dedicated team providing a level of service unsurpassed in the global charter industry.",Malta,41.684525,,,
Luxwing Ltd,32186654.0,"Malta, Birkirkara, Birkirkara, 15 Mannarino Road",https://www.linkedin.com/company/luxwingprivatejets,luxwing.com,"We are a dynamic private aircraft carrier, born to fulfil the needs of the jet traveller for a seamless service.  Executive and Charter flights, 24/7 service.  Tel: +356 27780254 Email: sales@luxwing.com",Malta,32.186654,,,
MalethAero,17401609.0,"Malta, Luqa, lqa 3290",https://www.linkedin.com/company/maleth-aero,www.maleth-aero.com,"Maleth Aero is a Maltese wet lease company part of the AELF group, based in Chicago.   As a Flexible Air Infrastructure we can provide services from wet or damp lease to charter flights for either passengers or cargo.   Our fleet consists of six wide body aircrafts, being 4x A330-200 with different configurations for dual class or high density needs for the passenger market and 2x A330-200 P2F with the definitive STC approved to carry all your cargo all around the globe.   Holding the IOSA certification, we aim to provide the best quality service whilst maintaining the highest standards of safety.",Malta,17.401609,,,
MIRAI Flights,9440010.0,"Malta, Birkirkara, Birkirkara, 77 Block E Level 2 Avenue",https://www.linkedin.com/company/mirai-flights,b2b.mirai.flights,"MIRAI optimizes charter booking by offering operators only confirmed flights with full control of their pricing and terms, while MIRAI handles all passenger communication and payments. Mirai Flights is a team of professionals with over 15 years of experience in the aviation.",Malta,9.44001,,,
DRCT,8436937.0,"Malta, Birkirkara, Birkirkara, 701 Dun Karm Street",https://www.linkedin.com/company/drct,drct.aero,"DRCT is a trusted technology partner for more than 30 airlines, recognised by IATA as an ARM system provider. We work both with airlines and travel agencies to revolutionise the airline distribution industry.  DRCT also plays as a content supplier — we enable easy connection to the selected and competitive content.",Malta,8.436937,,,
Air Horizont,8300370.0,"Malta, Pieta, Marina Street Pieta, pta9042",https://www.linkedin.com/company/air-horizont,airhorizont.com,"Air Horizont was born in 2015, as an airline promoted and run by Aragones. We are a Maltese carrier and our offices are located in Malta and in Spain, specifically in Zaragoza.  Our airline strictly complies with the standards required by European Regulations (EASA). We offers Full Charter Service to tour operators and travel agencies, for long-term holiday series, with our fleet of 5 highly reliable B737-400.  The talent and passion of our people is essential to our success. In our team, we’ve senior professionals as well as young graduates interested in getting into the aviation sector. There are two things that all of our employees have in common—a shared passion for flying and an unwavering commitment to being the best.  If you wish, take a moment to register in our jobseekers database, and your information will be saved for future employment opportunities.",Malta,8.30037,,,
Malta MedAir,7712159.0,"Malta, Luqa",https://www.linkedin.com/company/malta-medair,www.maltamedair.com,"We understand aviation, both in the air and on the ground, and we are here to support your needs.   Malta MedAir is a European based airline registered in Malta under the name of Malta Air Travel Co Ltd. Flying under a Maltese AOC, we provide a range of services to aviation and non-aviation business customers in Europe and beyond. Our strong determination and  dedication to always deliver a high level of service will surely make us your airline of choice.",Malta,7.712159,,,
JetHouse Ltd,6785852.0,"Malta, Malta, Avenue 77 Business Centre Triq In-negozju",https://www.linkedin.com/company/jethouse-ltd,jethouse.aero,"JetHouse Ltd. is a fresh face in business aviation, based in Malta, offering bespoke aircraft management, charter, and consulting services. We stand as the prime choice when larger operators fall short of meeting the discerning expectations of aircraft owners.",Malta,6.785852,,,
Carinair Airlines,6293838.0,"Malta, Tarxien, txn2554",https://www.linkedin.com/company/carinair-airlines,www.carinair.eu,"The revolution in European Regional Air Travel. Carinair will be the most advanced regional Airline in Europe, the Greenest and the most Passenger Friendly Airline.",Malta,6.293838,,,
European SAO Ltd,6117620.0,"Malta, Zurrieq, Level 1 Valletta Road, zrq9011",https://www.linkedin.com/company/european-sao-ltd,esao.aero,European SAO (ESAO) is a world leading technology-led provider of specialised aerial data acquisition services.,Malta,6.11762,,,
PRIVAJET Ltd,5823874.0,"Malta, St",https://www.linkedin.com/company/privajet-ltd,www.privajet.com,"PRIVAJET is a leading European airline specialised in managing and chartering large-capacity and super-light business jets (B737, A320, Global 6000 and Learjet 45). Our fleet includes a fully refurbished Learjet 45, offering an 8+1 seat configuration for maximum comfort. With a flexible operating base, we seamlessly connect destinations across Europe and Africa, providing efficient travel solutions tailored to our clients' needs. Since our establishment in 2010, we've prioritised customer satisfaction and technological innovation to deliver top-notch service. ✉️For sales and charter inquiries, contact us at sales@privajet.com Your safety, our expertise; your comfort, our promise.",Malta,5.823874,,,
Get Jet Travel,5816445.0,"Malta, Tas-sliema, Sliema, Triq Bisazza",https://www.linkedin.com/company/getjet,www.getjettravel.com,"GetJet Travel's market place is a unique search engine for cost-effective solutions for those that use business aviation. Price offers allow a customer to receive and book attractive and very competitive offers from numerous professional brokers, operators and jet owners for your particular flight.Empty Leg Search and Book You can find an Empty Leg that could be much cheaper than a standard jet rental , because operators sell empty leg flights at good discounted prices.  Our technology ensures that you know about this empty leg the moment it appears with the operator. Through our smart search engine a user can rent separate private jets and purchase individual seats through the jet-sharing feature designed for those open for having additional company onboard a flight. Private Jet Search and Book You rent a private jet for a reason! The Schedule and desired level of comfort are up to you. Jet Sharing Search and Book Share a jet with other jet users! You can rent one seat or the whole section with a sofa, if you are not against sharing a jet with a few other individual guests.",Malta,5.816445,,,
