Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Norwegian,2845463710.0,"Norway, N",https://www.linkedin.com/company/norwegian-air-shuttle,www.norwegian.com,"Norwegian Air Shuttle ASA, commonly known as Norwegian, is a prominent low-cost airline headquartered in Fornebu, Norway. The airline specializes in providing affordable air travel options across Europe and beyond, operating a modern fleet of 135 aircraft, including the latest Boeing 737 MAX 8. Norwegian's mission is to serve people the Norwegian way, with a vision to become the most loved and trusted airline in Europe, emphasizing customer satisfaction, operational performance, and sustainability. The airline caters to a diverse clientele, including leisure travelers, business professionals, and families, and has recently expanded its operations through the acquisition of Widerøe, enhancing its service offerings and route network. Norwegian is committed to sustainability, aiming for carbon neutrality by 2050 and actively investing in modern aircraft and biofuels to reduce emissions. The company has set ambitious targets, including a 45% reduction in carbon intensity by 2030 compared to 2010 levels, and is focused on integrating sustainable aviation fuels into its operations. Norwegian's loyalty program, Norwegian Reward, boasts over four million members, allowing customers to earn and redeem points for flights and services, further enhancing the travel experience. The airline collaborates with various partners in the travel and tourism sectors, including hotels and car rental services, to provide comprehensive travel solutions. Norwegian prioritizes transparency and ethical business practices, ensuring compliance with international regulations and fostering a positive workplace culture for its over 8,700 employees. With a strong financial platform and a focus on innovation, Norwegian aims to navigate the challenges of the aviation industry while creating long-term value for its stakeholders and contributing positively to the communities it serves.",Norway,2845.46371,,,
Widerøe,578128020.0,"Norway, Nordland, Bodø",https://www.linkedin.com/company/wideroe,www.wideroe.no,"Widerøe is a prominent airline based in Norway, specializing in regional air travel and connecting remote areas with major cities. The company is dedicated to providing reliable and efficient transportation services, with a mission to enhance accessibility and mobility for its passengers. Widerøe caters primarily to domestic travelers within Norway, as well as international routes, and offers specialized services such as assistance for unaccompanied minors and age-specific tickets. The airline emphasizes customer satisfaction and safety, ensuring that all personal information is handled in accordance with Norwegian laws. Widerøe collaborates with various partners, including SAS, to expand its service offerings and enhance the travel experience for its clients.",Norway,578.12802,,,
AAP Aviation,146810771.0,"Norway, Oslo, Oslo, 50 Strandveien, 1366",https://www.linkedin.com/company/osm-aviation,www.aapaviation.com,"AAP Aviation is unique. We are the first company to offer Total Crew Management; a full range of services including employment and management of both Flight Crew and Cabin Crew. We are responsible for the entire crew management process, from Recruitment and Training to Planning and Execution.  Our Services: •	Recruitment •	Training  •	Planning and Execution  •	Crew Management •	Ferry Flights •	Aviation Payroll Read more about our solutions:  •	https://www.aapaviation.com/solutionsaap  For our Air Crew employees, we are an attractive employer as we offer permanent employment, at competitive terms in their respective home countries.  Career:  •	https://www.aapaviation.com/career  ____ AAP Aviation does not tolerate harassment or discriminatory comments. Any remarks based on religion, race, nationality, or any other form of hate or exclusion will be removed. We are committed to maintaining a respectful and inclusive space for all members of our community.",Norway,146.810771,,,
Propulse NTNU,13635040.0,"Norway, Sør-trøndelag, Trondheim, Høgskoleringen",https://www.linkedin.com/company/propulse-ntnu,propulsentnu.no,"Propulse NTNU is a technical organization with the purpose of giving students the opportunity to explore and innovate solutions that prepare Norway for a future in space. Through the development of rockets and rocket propulsion systems, students gain insight and experience in many fields, such as 3D modelling, programming, production and machining, financial management and graphic design.  The industry plays a central role for the organization  and a membership provides students with the opportunity to create a broad network. Propulse NTNU has proven to be one of the best teams in student rocketry, with both Project Stetind and Project Birkeland getting good results. Project Birkeland came 3rd place in the world's largest rocket competition, the Spaceport America Cup 2022.  Building on that experience, we are now going bigger…",Norway,13.63504,,,
Norsk Flygerforbund,11957346.0,"Norway, Oslo, Oslo, 26 Professor Dahls Gate, 0260",https://www.linkedin.com/company/norsk-flygerforbund,www.flyger.no,"Norsk Flygerforbund er den ledende fagorganisasjonen for yrkesflygere i Norge. Vi jobber for trygge og rettferdige arbeidsvilkår, høyest mulig flysikkerhet, og ansvarlig utvikling av luftfarten – nasjonalt og internasjonalt. Vi er tilsluttet LO og representerer Norge i både ECA (European Cockpit Association) og IFALPA (International Federation of Air Line Pilots’ Associations). Vår visjon er å sikre trygghet for våre medlemmer, og være en tydelig stemme for norske piloter i saker som angår dem.",Norway,11.957346,,,
Axnes,9021984.0,"Norway, Grimstad Agder, 57 Reddalsveien, 4886",https://www.linkedin.com/company/axnes,www.axnes.com,"Axnes was founded in 1995, and is a privately owned company headquartered in Norway with offices in the United Kingdom, Austria and the United States of America, and worldwide distribution through its partner network.  Axnes develops and supplies advanced and highly durable wireless intercom solutions that are designed to perform in extreme conditions, and on a wide variety of platforms- aircraft, ground and maritime.   Axnes is an approved supplier to OEM’s - Airbus, Leonardo, Sikorsky, and Bell, and has a worldwide customer base.  The company has been supplying its wireless intercom systems for two decades and is an EASA Part 21 and Part 145 approved quality organization.  Axnes is widely recognized as the industry leader within its field.",Norway,9.021984,,,
Norsk E-Fuel,8810676.0,"Norway, Oslo, Oslo, 19 Akershusstranda, 0150",https://www.linkedin.com/company/norsk-e-fuel,www.norsk-e-fuel.com,"As a Norwegian project developer for e-Fuel projects, Norsk e-Fuel is committed to driving the transition to renewable aviation. We are developing industrial-scale plants that produce renewable fuels derived from CO2 and water. In collaboration with our shareholders and carefully selected partners, Norsk e-Fuel is dedicated to scaling up power-to-liquid production. We are creating a new value chain for sustainable fuels, keeping fossil fuels in the ground and allowing you to travel with a greener conscience!",Norway,8.810676,,,
Scan Gse As,7552008.0,"Norway, Gardermoen Gardermoen, 2060",https://www.linkedin.com/company/scan-gse-as,scangse.com,"salg service av utstyr for bakkehåntering av fly dagens flåte består av. c30 mdl, 15 ldl, c15 ldl, AC step, pcl 200mdl. 58t tug, 1xEinsa . 3xmulag, gpu,90 og 120 kva,2x 28v dc gpu 2000 a diverse tauestag 737,757,767,747.....  105stl ld7 dolllys  bagasje bånd  ,  2x20''dolly 1x20""tld pcm",Norway,7.552008,,,
Avee,5664006.0,"Norway, Oslo, Oslo",https://www.linkedin.com/company/avee-as,www.getavee.com,Avee - aviation headsets redefined! Designed for pilots - by pilots! Experience how you can enjoy the premium BOSE headsets seamlessly with your aircraft! Get the best of sound combined with all the aircraft sound functionality easy at hand!,Norway,5.664006,,,
Helifuel AS,5034672.0,"Norway, Sveio, Hanaleite, 5550",https://www.linkedin.com/company/helifuel-as,www.helifuel.com,"Helifuel AS was acquired by Swire Energy Services in September 2020. Swire Energy Services, part of the global conglomerate, the Swire group, is the world's largest supplier of specialist offshore cargo carrying units to the global energy industry and is a leading supplier of aviation & refuelling, integrity and chemical services. Established in 1979 and operating from 61 bases, across 29 countries, Swire Energy Services employs over 500 personnel from all the major oil and gas regions in Europe, Africa, Middle East, North & South America and Asia-Pacific. Founded in 1816, John Swire & Sons is a privately owned business employing 130,000 people worldwide. Its portfolio covers a variety of industries including property, aviation, food and beverage, marine services, trading and industrial.",Norway,5.034672,,,
