Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
LOT Polish Airlines,2495000000.0,"Poland, Mazovia, Warsaw",https://www.linkedin.com/company/lot-polish-airlines,www.lot.com,"LOT Polish Airlines, established in 1929, is the flag carrier and largest airline in Poland, recognized as one of the oldest airlines in the world. The company operates a comprehensive network of domestic and international flights, connecting passengers to over 100 destinations across Europe, North America, and Asia. LOT's mission is to provide high-quality air travel services while ensuring safety, comfort, and customer satisfaction. The airline aims to be a leader in the Central and Eastern European aviation market, focusing on innovation and sustainability in its operations.  LOT caters to a diverse clientele, including business travelers, tourists, and families, as well as cargo services. The airline's partnerships with various global airlines, particularly as a member of the Star Alliance, enhance connectivity and travel options for its customers. With a commitment to excellence, LOT Polish Airlines continuously evolves to meet the changing needs of its passengers and the aviation industry.  The airline is dedicated to enhancing the travel experience through modern aircraft, in-flight entertainment, and exceptional service. Additionally, LOT is actively working on strategies to reduce its carbon footprint and promote sustainable aviation practices, reflecting its commitment to environmental responsibility. By promoting Polish culture and tourism globally, LOT Polish Airlines not only connects Poland with the world but also plays a vital role in the growth of the aviation sector in the region.",Poland,2495.0,,,
Ryanair Sun S.A.,223539326.0,"Poland, Mazovia, Warsaw",https://www.linkedin.com/company/ryanair-sun,www.ryanairsun.com,Ryanair SUN – a new Polish airline – from summer 2018,Poland,223.539326,,,
Łukasiewicz - ILOT,301621926.0,"Poland, Mazovia, Warsaw",https://www.linkedin.com/company/instytut-lotnictwa,ilot.lukasiewicz.gov.pl,"Łukasiewicz - ILOT is a prominent research institute within the Łukasiewicz Research Network, focusing on innovation and technology development across various sectors. The institute's mission is to drive advancements in research, development, and innovation (B+R+I) while aligning with national smart specializations such as defense, energy transformation, and circular economy. With a commitment to effective commercialization of research outcomes, Łukasiewicz - ILOT collaborates with a diverse range of clients, including small and medium-sized enterprises (SMEs), governmental bodies, and international partners, to foster sustainable growth and technological progress. The institute aims to position itself as a leader in innovation, leveraging its extensive expertise and experience to create impactful solutions that meet the evolving needs of the market.",Poland,301.621926,,,
Pratt & Whitney AeroPower Rzeszów,70497432.0,"Poland, Subcarpathian Voivodeship, Rzeszów",https://www.linkedin.com/company/8043000,pwaeropower.com,"Oficjalny profil Pratt & Whitney AeroPower Rzeszów.  Projektujemy, produkujemy i serwisujemy, silniki pomocnicze APU. Działalność Pratt & Whitney AeroPower Rzeszów obejmuje przede wszystkim montaż nowych silników APU (Auxiliary Power Unit), remonty i naprawę silników APU oraz innych komponentów lotniczych. Ogromną dumą oraz przewagą nad innymi firmami branży lotniczej jest kompleksowość Pratt & Whitney AeroPower Rzeszów. Oprócz obszarów produkcji i remontów, P&W AP wyposażona jest we własne hamownie, dzięki czemu może prowadzić działalności we wszystkich obszarach – od projektowania nowych modeli, poprzez ich produkcję, aż do momentu testowania wyrobów na stanowiskach hamownianych. Współpracujemy z głównymi producentami płatowców takimi jak Boeing, Airbus czy Embraer, a w obsłudze serwisowej APU mamy ponad 70 linii lotniczych z całego świata, m.in. LOT, UNITED, Latam, British Airways, AirFrance i inne. W ostatnim czasie uruchomiliśmy dodatkowo serwis przekładni FDGS do silników z rodziny PW1000. Prowadzimy również działalność badawczo-rozwojową. Centrum Badawczo-Rozwojowe P&W to miejsce dla ludzi z technologiczną pasją. Tu pracujemy nad silnikami głównymi i pomocniczymi (APU) z rodziny Pratt & Whitney. CBR posiada nowoczesne biuro konstrukcyjne, pracownię prototypów, laboratorium materiałowe oraz hamownię eksperymentalną do testowania silników turbośmigłowych, turbowałowych oraz APU. Pratt & Whitney projektuje, produkuje i serwisuje najbardziej zaawansowane silniki lotnicze na świecie oraz pomocnicze jednostki zasilające APU (auxiliary power units) do samolotów cywilnych i wojskowych. Firma z główną siedzibą w East Hartford w Connecticut, zatrudnia 43 000 pracowników na całym świecie, a w 2019 roku osiągnęła sprzedaż netto w wysokości 21 miliardów dolarów. Pratt & Whitney jest jedną z czterech firm, które tworzą Raytheon Technologies Corporation.",Poland,70.497432,,,
Travelplanet.pl SA,16195821.0,"Poland, Lower Silesia, Wrocław",https://www.linkedin.com/company/travelplanet-pl-sa,www.travelplanet.pl,"Jesteśmy największym internetowym biurem podróży. Od lat prowadzimy w rankingu Wprost/Money.pl/Gazeta Wyborcza na najlepszy sklep internetowy w kategorii Turystyka. Sprzedajemy wycieczki w 3 kanałach : przez Internet, za pośrednictwem Telefonicznego Centrum Rezerwacji i w Salonach Podróży, znajdujących się w największych miastach Polski. Travelplanet.pl to oferty sprawdzonych Organizatorów na jednym portalu. Gwarantujemy najniższe ceny. Nigdy nie doliczamy prowizji – wycieczkę zakupisz w tej samej cenie, w jakiej sprzedaje ja organizator. Oferujemy też: przeloty czarterowe, organizację wyjazdów dla dużych grup, bilety lotnicze, hotele.",Poland,16.195821,,,
EUROLOT S.A. In Liquidation,16062706.0,"Poland, Mazovia, Warsaw",https://www.linkedin.com/company/eurolot,www.eurolot.com,"Eurolot – a modern and dynamically developing regional airline The company was established in 1996, and since 2011 it serves flights between main airports in Poland as a part of its own connection network. Eurolot offers also charters and flights upon the order of other carriers, including LOT Polish Airlines. The mission of the company is to develop routes connecting Polish regions with the most important European cities, thereby creating an attractive, safe and modern branch of transport that will be competitive with other means of transport. Safety and comfort of Passengers’ travel is a priority – this is the motto of almost 300  employees of Eurolot. New aircraft, direct flights from main airports in Poland and Europe,  attractive fares – these are only some of the advantages that distinguish us from other airlines. Our team consists of pilots with many years of experience and flight attendants characterized by full professionalism and care of Passengers’ contentment. Our fleet The Eurolot’s fleet consists of Bombardier Q400 NextGen aircraft. This model was acclaimed as the most modern turboprop aircraft of the 21st century. It contains state-of-the-art technologies that are currently used in aviation. With comfortable 78 seats cabin it makes up a quiet, economical and ecological plane that combines exceptional efficiency and comfort of travel. Our strengths • Flights from main regional airports in Poland to the biggest cities in Europe • Convenient flight schedule • Professional and experienced crew",Poland,16.062706,,,
N7 Space,13845348.0,"Poland, Mazovia, Warsaw, 12 Bukowińska, 02-703",https://www.linkedin.com/company/n7-space,n7space.com,Joint venture of SPACEBEL S.A. and N7 Mobile Sp. z o.o. Company dedicated to space systems software development.,Poland,13.845348,,,
S4GA,13038275.0,"Poland, Mazovia, Radom, 4 Biznesowa, 26-612",https://www.linkedin.com/company/s4ga,www.solutions4ga.com,"S4GA designs, manufactures and supplies certified airfield ground lighting to civil and military customers Worldwide. We deliver World's Safest Runway Lighting. For regional and domestic airports, we offer a complete permanent solar airfield lighting system. S4GA solar AGL operates 365 days on solar energy. It has 5-level protection against system failure. For temporary operations at military airbases, we offer an Emergency Airfield Lighting System in a Trailer. S4GA Trailer accommodates a full set of remotely controlled airfield lights to illuminate temporary runway in accordance with ICAO regulations. Also, S4GA offers backup runway lighting for international airports, helipad lights, and obstruction aviation lights. For more information, contact us at office@solutons4ga.com or visit our website.",Poland,13.038275,,,
SpaceForest,12939402.0,"Poland, Pomerania, Gdynia, 1b Ul. Bolesława Krzywoustego, 81-035",https://www.linkedin.com/company/spaceforest,www.spaceforest.pl,"We are a private technology company based in Gdynia, Poland, operating since 2004. Our team specializes in advanced rocket, radar and microwave technologies, as well as the design and production of space-grade electronics.",Poland,12.939402,,,
Farada Group Sp. Z O.o.,12586680.0,"Poland, Mazovia, Warsaw, 9 Wołoska, 02-583",https://www.linkedin.com/company/farada-group,faradagroup.com,"Farada Group Ltd. based in Poland is a group of dynamically developing companies whose business profiles include key aspects related to the design, production and implementation of Unmanned Aerial Vehicles (UAVs). The scope of the company’s activity also covers service and support in operation, operator training and the provision of an unlimited range of services that include the use of Unmanned Aerial Vehicles. The group is focused on wide-ranging cooperation with universities and science and research centers in the country and abroad. The use of products and services of Farada Group is a guarantee of fast growth and dynamic development as well as high efficiency of activities, while reducing the costs incurred.",Poland,12.58668,,,
4RCargo,10254305.0,"Poland, Mazovia, Warsaw",https://www.linkedin.com/company/4rcargo,4rcargo.eu,We are General Sales and Services Agent working on behalf airlines and creating value for their ultimate customers – freight forwarders. We are proactive in our approach to serving customers and always stay close throughout the entire process.,Poland,10.254305,,,
