Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
SkyEurope Airlines,44405563.0,"Slovakia, Bratislavský, Bratislava, 30/b Ivánska Cesta, 82001",https://www.linkedin.com/company/skyeurope-airlines,www.skyeurope.com,"SkyEurope Airlines is Central Europe's first low cost low fare airline. SkyEurope flew its first passenger in 2002, and currently carries over 3 million passengers each year. With its headquarters and technical base in Bratislava (Slovakia), SkyEurope Airlines also offers cheap flights from/to Vienna (Austria), Prague (Czech republic), Košice (Slovakia) and Poprad/Tatry (Slovakia). In 2008 SkyEurope Airlines was voted Easter Europe's best low cost airline by SkyTrax Research of London.",Slovakia,44.405563,,,
Go2Sky,29894480.0,"Slovakia, Bratislavský, Bratislava, 30/b Ivanska Cesta, 82104",https://www.linkedin.com/company/go2sky,go2sky.aero,"Our ACMI operations have been enabling airlines globally to maximize their business potential for more than 10 years now - by deploying and contracting our Boeing 737-800 fleet to grow, expand, substitute, and manage their own scheduled and planned services, with our European Union AOC (Slovakia). We also offer full charter and wet-lease programs to tour operators, with a highly customizable and region-specific offering (AOC, multilingual crew, tailored on-board services and full internal cabin and external livery corporate branding, if required). Go2Sky guarantees rapid response to all inquiries and record dispatch time thereafter– 24/7/365.  We are truly your airline partner of choice, welcome to Go2Sky!",Slovakia,29.89448,,,
ELITE JET,15104016.0,"Slovakia, Bratislavský, Bratislava, 2 Pestovatelska, 821 04",https://www.linkedin.com/company/elite-jet,www.elitejet.sk,"ELITE JET is Private Jet Company offering you superior services all over the globe. There is just one way to go but several partners you can choose. Allow us to go with you and we‘ll do anything to get you where you need to be on time. ELITE JET provides the luxury, convenience, safety and security that only a private jet flight can offer. In this age of increased security procedures, flying privately ensures the absence of extended security and boarding delays that inconvenience commercial passengers, as well as a much higher level of comfort and privacy. ELITE JET was founded by people who share passion for flying, business aviation and most likely individuals who understand core value of people. Time, reliability and loyalty is something we honor and try to build on top of it. We do it because we believe that we can change your tomorrows.",Slovakia,15.104016,,,
Aero Language,8181342.0,"Slovakia, Worldwide, 49 Dvojkrizna",https://www.linkedin.com/company/languageaero,www.language.aero,"ICAO English, Aviation English, IFR English. EASA/ICAO Language assessment body. SVK.LAB.004",Slovakia,8.181342,,,
Slovak Organisation For Space Activities,6922674.0,"Slovakia, Bratislavský, Bratislava, 3 Ilkovicova, 81101",https://www.linkedin.com/company/slovak-organisation-for-space-activities,www.sosa.sk,"The organization was founded in 2009 and has its headquarters in Bratislava, the capital city of Slovak Republic. We would be glad to welcome new members or external collaborators - people, who want to participate on increasing the awareness about space activities and intentions of Slovak Republic to join ESA. Long-term presence abroad Slovakia is not an obstacle. Organization also developed a first slovak satellite skCUBE which will be launched into LEO in 2017 on Falcon9FT rocket.",Slovakia,6.922674,,,
Airvolute,6246607.0,"Slovakia, Trnavský, Trnava, 91701",https://www.linkedin.com/company/airvolute,www.airvolute.com,We are a deep tech company providing software and hardware for AI-driven autonomous unmanned systems. Our flagship open-architecture autopilot platform DroneCore can support various kinds of vehicles in conducting pilotless missions.,Slovakia,6.246607,,,
AELIS GROUP,5615970.0,"Slovakia, Bratislavský, Bratislava, 24 Panenská, 81103",https://www.linkedin.com/company/5326946,www.aelisgroup.com,"AELIS Group Regional Turboprop and ATR specialist with 210+ successful transactions worldwide Global marketing partner of AURA Aero to promote the ERA electric propulsion aircraft.  AELIS Group services: ✔ Aircraft Sales & Acquisitions ✔ P2F Aircraft Conversions ✔ Aircraft Leasing solutions ✔ Aircraft Appraisal and Valuation ✔ Asset and Lease Management ✔ Aircraft Marketing ✔ Repossession and Re-marketing Member of: ERA, ISTAT, CEPA With its HQ in Bratislava, in the heart of Europe, AELIS Group strengthens is international development through a network of local representatives in Europe, USA, Canada, South America, Africa, and Asia.",Slovakia,5.61597,,,
ASAP S.r.o.,4461862.0,Slovakia,https://www.linkedin.com/company/asap-s-r-o-,asap.sk,,Slovakia,4.461862,,,
Aerospool Spol. S R.o.,4461862.0,"Slovakia, Nitriansky, Prievidza, 10 Letisková, 97103",https://www.linkedin.com/company/aerospool-spol-s-r-o-,www.aerospool.sk,"Business Focus: Producer of own aircraft Dynamic WT9 and Advantic WT10. Repair-repaint of gliders. Aviation co-production.  Mission: Through our dreams we offer high-quality products and services for pilots. Values: Team work – together we can produce more products more effectively Experience – we are pilots, we listen to other pilots Innovation – we continuously work on development and improvements Uniqueness – every product is unique Design – our products evoke positive emotions Quality – we want to exceed the strict aviation requirements",Slovakia,4.461862,,,
ETN Slovakia,4015676.0,"Slovakia, Bratislavský, Bratislava, 23 Tupeho, 831 01",https://www.linkedin.com/company/etnslovakia,www.etn.sk,"Since 1994 ETN Slovakia is a Travel Management Company (TMC), our main priority is servicing corporate clientele along with accommodation of special requirements. Years of prolonged relationships with our clients serve as testimony to quality of our services. Our staff is highly trained and divided into teams, arranged in order to meet any and all possible enquiries at any given time. We offer full set of services ranging from but not limited to: - Managing company’s approach toward travelling: Travel policy - Negotiations with vendors - Day-to-day corporate travel account management - Traveller safety & security - Travel & Expenses(T&E) data management",Slovakia,4.015676,,,
