Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
TUI Fly Nordic,44795392.0,"Sweden, Stockholm, Stockholm",https://www.linkedin.com/company/tui-fly-nordic,www.tuiflynordic.se,"About TUI fly Nordic -          The best holiday airline in the Nordics   TUI fly operates for TUI in the Nordics and cover all main airports in Sweden, Norway, Finland and Denmark.    With about 1 500 000 passengers yearly in the Northern Region Airlines we aim to be the best holiday airline in the Nordics. TUI fly is an important part of the holiday experience and our focus is always on the customer, operation and our people.    We have about 600 employees, TUI fly have crew bases in Stockholm, Gothenburg, Malmö, Oslo and Helsinki, with headquarters based in Stockholm.    TUI fly is a part of the world’s largest charter flight group, TUI Airlines, and work in close cooperation with TUI Airways in the UK. Together TUI fly and TUI Airways make up TUI Northern Region Airlines.    TUI Airlines also include TUI fly in Germany, TUI in Belgium and TUI in the Netherlands. TUI Airlines fleet consist of about 150 aircrafts, mainly 737, 767 and 787.    TUI fly continuously work to reduce the environmental impact of our operation. TUI fly is one of Europe´s most fuel-efficient airlines and always sort all cabin waste.    Read more about us here   http://www.tuiflynordic.se/  http://www.tuiflynordic.no/  http://www.tuiflynordic.dk/  http://www.tuiflynordic.fi/",Sweden,44.795392,,,
TUIFLY NORDIC AB,27374962.0,"Sweden, Stockholm, Stockholm",https://www.linkedin.com/company/tuifly-nordic-ab,www.tuiflynordic.se,Icke reguljär lufttransport av passagerare,Sweden,27.374962,,,
Rymdstyrelsen,14602868.0,"Sweden, Stockholm, Stockholm, 15 Hemvärnsgatan, 171 54",https://www.linkedin.com/company/rymdstyrelsen,rymdstyrelsen.se,Rymdstyrelsen är central förvaltningsmyndighet under Utbildningsdepartementet med ansvar för statligt finansierad nationell och internationell rymdverksamhet i Sverige vad gäller forskning och utveckling. Rymdstyrelsen är kontaktorgan för internationellt rymdsamarbete.,Sweden,14.602868,,,
Air Leap,11613620.0,"Sweden, Stockholm, Stockholm",https://www.linkedin.com/company/airleap,www.airleap.se,"Vi på Air Leap gillar möten. Möten med dig ombord, när du checkar in, på nätverksträffen eller evenemanget. Det finns ett ord som bäst beskriver vad vi hoppas att du känner när du träffar oss. Omtanke. Omtanke för regioner, omtanke för dig, omtanke för vår gemensamma utveckling och hållbarhet.",Sweden,11.61362,,,
AOB Travel,10784076.0,"Sweden, Skåne, Höllviken, 28 Brädgårdsvägen",https://www.linkedin.com/company/aob-travel-ab,www.aobtravel.se,Resebyråverksamhet,Sweden,10.784076,,,
Scandlearn,9954531.0,"Sweden, Uppsala, Uppsala, 75320",https://www.linkedin.com/company/scandlearn,scandlearn.com,"Scandlearn is an SaaS company specialising in providing Ed-tech services to organisations and individuals in the aviation industry. In a highly regulated field like aviation, continuous education is not just a choice, it's a necessity to ensure the safety of your staff and passengers.   Scandlearn is your trusted training provider and partner, offering a better, smarter, and simpler way to address your company's training needs.",Sweden,9.954531,,,
KALLAX FLYG AB,9124987.0,"Sweden, Norrbotten, Piteå, 150 Kyrkbyn, 94191",https://www.linkedin.com/company/kallax-flyg-ab,www.kallaxflyg.se,"""Kallax Flyg AB skall vara en ledande samarbetspartner för effektiva och säkra helikoptertjänster med låg miljöbelastning på rätt tid och plats i Norden"" Med en modern ledarskapsprofil och våra engagerande medarbetare försöker vi alltid sträva efter att tillfredsställa och överträffa kundens förväntningar. Personlig kontakt är en nyckel för oss. Vi arbetar ständigt med att utbilda vår personal med våra piloter i spetsen. Många återkommande kunder från olika branscher vittnar om vår höga säkerhet och vår jämna och goda kvalitét på våra utförda uppdrag. Vi har baser i Piteå Långnäs, Kiruna, Kurravaara, Jokkmokk, Östersund och Umeå. Säsongsbaser finns i Abisko, Nikkaloukta, Riksgränsen och Kvikkjokk. Våra maskintyper: EC120, EC130, AS350B1, AS350B2, AS350B3 H125 och H130. Välkommen till oss!",Sweden,9.124987,,,
BlackWing Sweden,7880670.0,"Sweden, Skåne, Eslöv, 11 A Bruksgatan, se-240 38",https://www.linkedin.com/company/blackwing-sweden,www.blackwing.aero,BlackWing Sweden is changing the rules in the light aircraft industry. By using the the most advanced composite technology based on TeXtreme carbon we are able to build lighter-stronger-faster aircraft.,Sweden,7.88067,,,
EAC Group AB,6922674.0,"Sweden, Stockholm, Stockholm, 17 Linta Gårdsväg, 168 74",https://www.linkedin.com/company/eac-group,www.eacgroup.se,"BRIDGING EUROPE TO THE REST OF THE WORLD. Aircraft sales and acquisition have become increasingly complicated. The sales and acquisition process requires extensive experience and specialized knowledge. The EAC Group delivers expertise in the aviation industry for the benefit of our customers. Aircraft operational and technical analyses, legal and tax considerations, airworthiness and registration processes vary depending on aircraft types and countries. We are well versed in these differences and examine the details of every transaction to ensure your security. With over 40 years in the aviation business and more than 300 aircraft transactions, we possess experience, connections and enthusiasm to deliver results that exceed your expectations. For consultation and additional information, contact Gunnar Samuelsson, Aircraft Sales Director at +46708804477. Gunnar Samuelsson // Aircraft Sales Director",Sweden,6.922674,,,
Kullaflyg AB,6731174.0,"Sweden, Stockholm, Stockholm",https://www.linkedin.com/company/kullaflyg-ab,www.kullaflyg.se,"Kullaflyg is a domestic air carrier. The company flies from Ängelholm and Halmstad in the South of Sweden to Stockholm (Bromma), Visby and Mora. Kullaflyg is operating with ATR 72-500. The company is ISO14001 certified since 2008. It is included in the Sverigeflyg Group. Kullaflyg is owned by Braganza.",Sweden,6.731174,,,
Etraveli,6213645.0,"Sweden, Stockholm, Stockholm",https://www.linkedin.com/company/etraveli,www.etraveligroup.com,"Etraveli Group is one of the leading online travel agencies in Europe, offering a wide range of airline tickets, hotel accommodations and other travel related services. We operate in 72 countries on 6 continents through brands such as Supersaver/Supersavertravel, Gotogate, Mytrip.com and Pamediakopes.gr. In Sweden we also operate the price comparison website Flygresor.se. With a total booking value of EUR 2.9 billion in 2017 and 12 million customers per year, we are Europe's second largest flight-centric online travel agency. Offices in: Uppsala, Athens, Stockholm and Göteborg. Owners: CVC Capital Partners Are you interested in working at Etraveli? Visit etraveligroup.teamtailor.com to see our current job openings.",Sweden,6.213645,,,
Svenskt Flyg,5664006.0,"Sweden, Stockholm, Stockholm, 19 Storgatan, 102 16",https://www.linkedin.com/company/svenskt-flyg,www.svensktflyg.se,"Föreningen Svenskt Flyg kommunicerar idéer, åsikter och kunskap om det kommersiella flyget och flygindustrin i Sverige. Syftet med Föreningen Svenskt Flygs verksamhet är att stärka förtroendet för det kommersiella flyget och flygindustrin så att dessa ges möjligheter att verka och utvecklas i Sverige. Föreningens verksamheten bedrivs i det helägda bolaget Svenskt Flyg Intresse AB",Sweden,5.664006,,,
Force Aerospace Testing AB,5107736.0,"Sweden, Västmanland, Västerås, 15 Fältmätargatan, 72135",https://www.linkedin.com/company/force-aerospace-testing-ab,www.force.aero,"Non-Destructive Testing (NDT)  Inspection of Aircraft and Aircraft Components We are located in Sweden (Arlanda-ARN), Denmark (Copenhagen - CPH)  Norway (Oslo - OSL).",Sweden,5.107736,,,
Heliscan AS Filial Sverige,4977265.0,"Sweden, Jämtland, Östersund",https://www.linkedin.com/company/heliscan-as-filial-sverige,heliscan.no,"Vi utför allt inom helikoptertjänster. 3D-skanning-infrastruktur, kraft, skog och mark. Montering/demontering kraftledning. Lyftjobb upp till 1900 kg, driftbesiktningar, röjes/toppbrottsinventering skog och mycket mera. Välkommen för en offert.",Sweden,4.977265,,,
WERMLANDSFLYG AB,4147721.0,"Sweden, Torsby, 49b Bergebyvägen, 685 93",https://www.linkedin.com/company/wermlandsflyg-operations-ab,www.wermlandsflyg.se,Aerial work Operator.,Sweden,4.147721,,,
MIST,4147721.0,"Sweden, Stockholm, Stockholm, 31 Teknikringen, 11428",https://www.linkedin.com/company/kthmist,mistsatellite.space,"Many universities in the world have built small satellites called CubeSats. The KTH Space Center started  its own CubeSat project, MIST, on January 28, 2015. The Miniature Student Satellite project, MIST, is a 3U CubeSat project carried out by the KTH Royal Institute of Technology in which students perform system level design, integration, test and operations. The nadir-pointing satellite carries five experiment from KTH and industry some of which aim at demonstrating new space science instruments (X-ray detectors) or electronics technologies (single event upset detection and SiC circuits). MSc students work for academic credits for up to two semesters or work on their theses in the project. The team leader is a senior manager from the space industry. The sponsoring professor is former ESA astronaut Christer Fuglesang, now professor of spaceflight technology at KTH. The project started in 2015 and is approaching the final phases of system level functional and environmental testing. All purchased satellite and ground station subsystems have been delivered. The technical/scientific experiments are being completed. The ground station is under construction. Final testing of the satellite is expected to be completed in 2022.",Sweden,4.147721,,,
Avitrans Nordic AB,4147721.0,"Sweden, Stockholm, Stockholm",https://www.linkedin.com/company/avitrans-nordic-ab,www.avitrans.se,Avitrans is fully owned by Sverigeflyg AB which is the fastest growing regional airline in Sweden. As operator for Sverigeflyg Avitrans operates 12 Saab 340 turboprop aircraft which have seats for 34 passengers and 3 crew members.,Sweden,4.147721,,,
OceanSky,3846385.0,Sweden,https://www.linkedin.com/company/7009417,oceansky.se,OceanSky is an airlines/aviation company based out of Sweden.,Sweden,3.846385,,,
Card Travel Group,3781696.0,Sweden,https://www.linkedin.com/company/card-travel-group,www.thecard.se,TheCard provides payment methods for the travel industry and offers a broad array of products for both travel-related companies and end consumers.  TheCard focuses on the development of unique products that can fill the time and money-saving needs of companies in the travel industry or in any other branch of business. TheCard offers the only payment system on the market today that is universally accepted in the travel industry and exclusively markets the Visa Travel Account.,Sweden,3.781696,,,
Spacept,3781696.0,"Sweden, Stockholm County, Ladugårdsgärdet, 76 Artillerigatan, 115 30",https://www.linkedin.com/company/spacept,www.spacept.com,"Spacept aims to make at-risk infrastructure more climate change resilient by fusing artificial intelligence and cutting-edge remote sensing technologies. Our main product is a vegetation management solution for above-ground transmission and distribution lines, right-of-way management for railways, and roadside safety management. In addition, we offer a liquid detection solution for the decommission of oil assets, management of above-ground gas and water pipelines, and remediation of oil spills in water. Lastly, Spacept offers a light detection solution that analyzes defective street lights. We are also developing new solutions for a wide variety of markets including natural disaster, forest coverage, agriculture, and insurance risk assessments.    Our trailblazing work in Geographic Information Systems (GIS) has been recognized by Copernicus, the European Space Agency (ESA), Digital Tech 50 (DT50), the Swedish government, Google’s SDGs Startup Accelerator, and Oslo’s Innovation Week. Our technological expertise has led Spacept to become one of the most innovative Swedish based AI companies at Futurology and one of the most promising companies impacting the ASEAN energy ecosystem in Initiate's Future of Energy Start-up Challenge in Asia.",Sweden,3.781696,,,
STORM HELIWORKS,3781696.0,"Sweden, Jämtland, Östersund",https://www.linkedin.com/company/5097795,www.stormheliworks.se,Helikoptertjänster över hela Scandinavien,Sweden,3.781696,,,
Eskilstuna Flygplats,3776004.0,"Sweden, Södermanland, Eskilstuna, 2 Munktellstorget",https://www.linkedin.com/company/stockholm-västerås-flygplats,eskilstunaflygplats.se,,Sweden,3.776004,,,
Golden Air,3521024.0,Sweden,https://www.linkedin.com/company/golden-air,www.goldenair.se,"Commercial Airline, first officer.",Sweden,3.521024,,,
Elit FECTUM AB,3318177.0,"Sweden, Östergötland, Linköping, 9 Spärringevägen",https://www.linkedin.com/company/elit-fectum-ab,www.elitfectum.com,"elit FECTUM AB was founded in 2017 by Staffan Bogg with the goal to supply support to system safety reliant companies. The company has it roots in the Swedish Air Force and the Aviation industry and is well prepared to let other companies utilize its experience in their design of redundant and safety critical system and products. We offer consultancy services within a broad range, e.g: - System safety - Systems engineering (system-of-systems) - Airframe design - Flight control system design - Program and project management - Verification - Cerification",Sweden,3.318177,,,
Air Sweden Aviation,3318177.0,Sweden,https://www.linkedin.com/company/air-sweden-aviation,www.airsweden.net,"Air Sweden Aviation was an airline headquartered in Stockholm, Sweden with aircraft based in Europe and operating under its own Swedish AOC. Air Sweden Aviation operated McDonnell Douglas MD-80 and Airbus A320 aircraft for ACMI and charter flights. The company was closed down in February 2012 following a period of economic difficulty.",Sweden,3.318177,,,
Rockton,3318177.0,"Sweden, Stockholm, Stockholm, 6 Nybrogatan, 114 35",https://www.linkedin.com/company/rockton-sustainable-aviation,www.rockton.com,"Rockton has been active in aircraft leasing since its inception in 1998 – serving over 75 airlines worldwide with turboprops, regional jets and aircraft engines. The effects of climate change have led us to rethink our approach to aviation investing, resulting in a fundamental strategy change. Our firm's agile setup allows us to meet our newly defined goal of focusing on investments in the areas of alternative aviation fuels, electrification and climate change mitigation. Our aim is to reduce environmental impact by targeting solutions which will reduce greenhouse gases while generating positive financial impact. In order to manage these new investments efficiently we are pivoting from a role as traditional aircraft lessor to a fund backed investor in sustainable aviation, providing greater flexibility for equity and asset investments.",Sweden,3.318177,,,
Höga Kusten Flyg AB,3318177.0,Sweden,https://www.linkedin.com/company/h-ga-kusten-flyg-ab,www.hogakustenflyg.se,.,Sweden,3.318177,,,
Rotor Service Norden AB,3146670.0,"Sweden, Norrbotten, Gällivare",https://www.linkedin.com/company/rotor-service-norden-ab,www.fiskflyg.se,,Sweden,3.14667,,,
Transwede Airways,3146670.0,"Sweden, Västra Götaland, Landvetter",https://www.linkedin.com/company/transwede-airways,www.transwede.com,,Sweden,3.14667,,,
CommGlobal,3146670.0,Sweden,https://www.linkedin.com/company/commglobal,www.commglobal.se,"Online/Offline access to your documents Make your company manuals and documents available to your staff wherever they are. In the air, on the ground, online or offline anywhere around the world – required documentation is always accessible for easy reference.  Get your free demo credentials today and try it out.",Sweden,3.14667,,,
Ytstruktur Arboga AB,2797850.0,Sweden,https://www.linkedin.com/company/ytstruktur-arboga-ab,www.ytstrukturarboga.se,,Sweden,2.79785,,,
Kallax Flyg AB,2762354.0,Sweden,https://www.linkedin.com/company/kallaxflygab,www.kallaxflyg.se,Helikoptertjänster i Skandinavien och arktiska expeditioner.,Sweden,2.762354,,,
Helikoptertjanst AB,2762354.0,"Sweden, Stockholm County, Skogås, 9 Lyftkransvägen, 142 50",https://www.linkedin.com/company/helikoptertjanstab,www.shtab.se,"Företagets fokus ligger på precisionsuppdrag. Hörnstenarna i verksamheten består av helikopterlyft, montering, mastbyggnation, ledningsbesiktning, felsökning, felavhjälpning med helikoptergrip, sågning, brandbekämpning, rendrivning, inventering, mätning, gyrofilmning och flygfotografering. Har du frågor eller begäran om offert?  Skicka ett mail till info@helikoptertjanst.se",Sweden,2.762354,,,
Women In Aviation International Scandinavia Chapter,2566621.0,"Sweden, Skåne, Malmö",https://www.linkedin.com/company/wai-scandinavia,waiscandinavia.org,"A unique organization for women in all aviation areas, and men as allies. For coaching, activities, and networking. We want to support and encourage women in aviation careers and hobbies. Feel free to contact us if you want to meet or get/give support. We are a chapter/subgroup of www.wai.org",Sweden,2.566621,,,
New Linta Aero Engine,2517336.0,"Sweden, Stockholm, Stockholm, 29 Hangövägen, 11541",https://www.linkedin.com/company/new-linta-aero-engine,www.nlae.se,Your Trusted Partner for Aircraft Engines and Spare Parts. Elevating Aviation Excellence with Expert Technical Advice.,Sweden,2.517336,,,
Braathens Aviation AB,2517336.0,"Sweden, Stockholm, Bromma",https://www.linkedin.com/company/braathens-aviation-ab-publ-,www.braathens.se,,Sweden,2.517336,,,
