Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Gulliver Travel,77851219.0,"Croatia, Dubrovačko-neretvanska, Dubrovnik, Obala Stjepana Radića, 20000",https://www.linkedin.com/company/gulliver-travel,www.gulliver.hr,"Gulliver travel, founded on February 1, 1989, as the first private tourist and travel agency in Dubrovnik, is currently the leading destination management company (DMC) in the region. By following and adapting to global and local trends, we upgraded our successful business with our transformation from a travel agency into a DMC. We were proud to be a part of TUI Group from 2001 to 2016, and from 2016 to 2018 we were a part of Hotelbeds Group, the leading provider of services to the global travel trade and in reshaping travel. Since 2018 we have again become part of the leading travel company in the world - TUI Group. Our products can be recognised by our special “Gulliver Seal “, which we believe to be both a product trademark and an element distinguishing us from the competition. Our mission is to offer competent partnership in destination management. OUR PRODUCT & SERVICES: Cruises, Tours (group, guaranteed, self drive), Excursions, Easy Ride, Premium, Wine & Dine, Adventure, Weddings & Honeymoons, Country, Nautical, Medical, Tailor-made programs, Ground handling, Accommodation, Land & Sea transfers, Guest service, Shore excursions & Port agent, MICE, Business travel, Domestic & international air ticket sales, Rent-a-car & Rent-a-chopper. MARKETS: Australia, Austria, Belgium, Bulgaria, China, Croatia, France, Germany, Greece, Holland, Hong Kong, Ireland, Japan, Korea, Malaysia, New Zeland,  Poland, Portugal, Romania, Russia, Serbia, Scandinavia, Slovenia, Spain, Swiss, Taiwan, Turkey, UK, Ukraine, USA COVERAGE OF: Slovenia, Bosnia & Herzegovina, Serbia, Macedonia, Montenegro, Kosovo, Albania EMPLOYEES: 74 FTE MEMEBERSHIPS: UHPA Association of Croatian Travel Agencies; IATA International Air Transport Association CERTIFICATES & AWARDS: ISO 9001; EOS CODE; Travelife Engaged; Simply the best 2012; Simply the best 2013; Simply the best 2014; DMC of the year 2015 HEAD OFFICE: Dubrovnik / BRANCH OFFICES: Split, Poreč",Croatia,77.851219,,,
Zubak Grupa,73389831.0,"Croatia, City Of Zagreb, Zagreb, 7a Ljudevita Posavskog, 10360",https://www.linkedin.com/company/zubak-grupa,www.zubakgrupa.hr,"Zubak Grupa objedinjuje usluge prodaje i održavanja novih i rabljenih vozila kao i dugoročnog i kratkoročnog njihova najma, zatim različitih usluga pomoći poput pomoći na cestama, moru, u kući te mnogih drugih, te usluge tehničkog pregleda vozila i osiguranja vozila, ali i imovine. House of brands: AutoZubak ORYX Asistencija ORYX Rent a car ORYX Stanica za tehnički pregled ORYX Zastupanje u osiguranju NEOSTAR Zubak Grupa nositelj je vrijednosti tradicije, visoke kvalitete, sigurnosti i posvećenosti detaljima te simbolizira nasljeđe koje njezino ime prenosi na postojeće brendove unutar grupe, ali i na nove koji će u budućnost biti pokrenuti. Od početka stvaranja i poslovanja Zubak Grupe uvijek smo nastojali biti najbolji. A da bi to postali i ostali najbolji stalno se prilagođavamo uvjetima tržišta te očekivanjima i zahtjevima kupaca. Za svoj rad nagrađeni smo brojnim priznanjima za kvalitetu usluge i najveću razinu korisničkog iskustva, za najbolji omjer cijene i kvalitete, a posebno smo ponosni na nagrade koje smo zaslužili na zadovoljstvo naših klijenata.",Croatia,73.389831,,,
Auto Benussi,39630508.0,"Croatia, City Of Zagreb, Zagreb, 32 Velimira Škorpika, 10000",https://www.linkedin.com/company/autobenussi,www.autobenussi.hr,"Naš moćni vozni park broji preko četiri tisuće vozila. Nudimo usluge kratkoročnih i dugoročnih najmova kroz našu rent-a-car franšizu Enteprise, dok brigu o bussines flotama gradimo s novom akvizicijom - Benussi Fleet Expert.  Ovlašteni smo zastupnici i serviseri brandova ● Jaguar i Land Rover ● Fiat ● Alfa Romeo ● Jeep ● Lancia ● Mazda ● Renault ● Dacia ● Nissan",Croatia,39.630508,,,
CARWIZ International,37169221.0,"Croatia, City Of Zagreb, Zagreb, 26 Slavonska Avenija, 10135",https://www.linkedin.com/company/carwiz-int,www.carwiz.rent,"EXPERIENCE NO. 1 Fast and Affordable car rentals  CARWIZ is a European-based company that quickly set out to conquer the world using its franchise business model.  We entered the global market in just one year, and through an extensive franchise network on four continents, with a presence in more than 57 countries worldwide, and more than 450 branch offices, we achieved significant global positioning in a very short time. In 2021, we launched an Affiliate program in the United States, giving independent car rental companies the tools they need to grow their business while receiving expert support and guidance from an internationally recognized brand! CARWIZ rent a car provides a fully customized solution to forward-thinking car rental companies with a vision, ambition, and passion for customer service who want to expand their business and achieve greater success. Together, we provide a one-of-a-kind customer experience, great service, and dependable car rentals all over the world.  Fast and friendly customer service is our top priority, so giving people five-star experiences is what carwiz.rent lives for. ⭐  #1 fastest-growing rent-a-car franchise Let's create experiences together!",Croatia,37.169221,,,
Active Car Rental,9440010.0,"Croatia, City Of Zagreb, Zagreb, 2 I Hotel Ulica Ive Robica, 10000",https://www.linkedin.com/company/active-rent-a-car,www.activerent.hr,"Founded in 2009, this privately held, customer oriented Croatian car rental company with offices in all major Croatian airports and cities. Constant season-related special offers can be checked at our website. Special approach toward every customer is the key ingredient in our success. We do it your way.",Croatia,9.44001,,,
FLEET Rent A Car Ltd.,6922674.0,Croatia,https://www.linkedin.com/company/fleet-rent-a-car-ltd-,www.fleet-rent.com,"Although a relatively new company, FLEET rent a car reached the status as one of the key leading companies in Croatia. Our goal is to be the number one choice to domestic and foreign clients by offering extremely high quality, reliable, flexible and transparent service with no hidden costs and surprises. We are able to offer services and vehicles that can meet all the requirements and fit within the financial capabilities of each client. We try to be as simple as possible in order to provide you with the best possible experience. Our motto is ""Feel the power of choice!"" because needs and satisfaction of our customers always come first!",Croatia,6.922674,,,
HAK Rent A Car,6293838.0,"Croatia, City Of Zagreb, Centar",https://www.linkedin.com/company/hak-rent-a-car,hak-rentacar.hr,"Kvalitetni automobili sa pristupačnim cijenama Vaša sigurnost i zadovoljstvo su nam na prvom mjestu, našu bogatu ponudu čine vozila različitih proizvođača po atraktivnim cijenama. Izuzetno je važno znati od koga iznajmljujete vozila, biti upoznati s kvalitetom istih i imati povjerenje u kompaniju od koje iznajmljujete, upravo zbog toga HAK Rent a car Vam nudi samo nova vozila, bez ikakvih iznenađenja, po izrazito atraktivnim cijenama.",Croatia,6.293838,,,
RIDECAR Car Rental,6293340.0,"Croatia, City Of Zagreb, Zagreb",https://www.linkedin.com/company/ride-car,ridecar.hr,"Ride Car offers services of easy and reliable car rental. Our fleet contains high quality vehicles, waiting for whenever you might need them. Our high standards of safety and equipment, which we continuously improve, are an important condition for our clients long term happiness.  The fleet includes a wide variety of options, from smaller city cars to large premium vehicles, in order to satisfy any need our potential clients might have. If requested, all of our vehicles can have air conditional devices, WiFi, GPS or child seats.",Croatia,6.29334,,,
E-Tours,6245735.0,"Croatia, City Of Zagreb, Zagreb, 18 Garicgradska, 10000",https://www.linkedin.com/company/e-tours,www.etours.hr,"E-Tours is a leading online travel company in Croatia offering leisure and business travelers a wide selection of lowest airfares at AvioKarte.COM.hr, competative deals on lodging at Hoteli.COM.hr, amazing car rentals rates at Vozi.hr, cruises, vacation packages and other travel related services.  BCD Travel helps companies make the most of what they spend on travel. We give travelers innovative tools that keep them safe and productive and help them make good choices on the road. We partner with travel and procurement leaders to simplify the complexities of business travel, drive savings and satisfaction, and move whole companies toward their goals. In short, we help our clients travel smart and achieve more.",Croatia,6.245735,,,
ORYX Rent A Car,6144996.0,"Croatia, City Of Zagreb, Zagreb",https://www.linkedin.com/company/oryx-rent-a-car,www.oryx-rent.hr,"ORYX Rent a car offers top quality and dependable vehicle rental service. It operates as a part of Zubak Group, the leading national group in vehicle sale and maintenance with more than 40 years of experience.",Croatia,6.144996,,,
