Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Auto OPAT Spol. S R.o.,23201890.0,"Czech Republic, Nupaky, 467 Komerční Zóna",https://www.linkedin.com/company/auto-opat-spol-s-r-o-,autoopat.cz,"AUTO OPAT is a company engaged in the sale of new and used SKODA cars, providing short and long term rental of vehicles (operational leasing / car), full service, including authorized service SKODA, plate structure works with modern paint shop. Other services we offer include: towing and assistance service, tires, windscreen wash and service vehicles. AUTO OPAT company was founded in 1993, initially positioned itself as a specialist in the area of operating lease vehicles. Gradually we began to expand its range of services - from short-term and long-term lease of parking places in the area through the establishment quick-service service, tire service and breakdown services, which together with the car rental company, providing operating leases authorized service SKODA and hand washing of vehicles gradually allow specialization in the provision of services complex - ""full service"". We place emphasis on the individual approach to each of our clients. Our establishment is located in the center of Prague, in the street Legerova 22 (less than 300 m from the metro station IP Pavlova). We have recently opened a new showroom SKODA cars, used cars ŠKODA Plus a full-service center in the Komerční zóna in Nupaky near Průhonice - exit 8 km to D1.",Czech Republic,23.20189,,,
Anytime Carsharing International,10698678.0,"Czech Republic, Praha, Prague",https://www.linkedin.com/company/anytimecar,anytimecar.global,"International carsharing Anytime is a per-minute and daily car rental service in Czech Republic, Kazachstan, Thailand and other countries. Currently searching for a franchisees from all over the world.",Czech Republic,10.698678,,,
FRACTAL S.r.o.,6400743.0,Czech Republic,https://www.linkedin.com/company/fractal-s-r-o,www.fractal.cz,"Jsme přední česká cestovní kancelář s 30 letou zkušeností na trhu. Zajistíme vám kompletní cestovní služby na míru do celého světa: letenky, ubytování, pojištění, rent a car, víza, jízdenky, vstupenky, incentiva, kulturní a sportovní akce. Specializujeme se na korporátní klientelu a zajišťujeme kompletní cestovní servis na míru po celém světě. Nabízíme unikátní online rezervační systém letenek – www.smartterminal.cz. Rezervujte letenky ve svém mobilu nebo tabletu. Pohodlně, rychle, na cestách, kdekoli.  V aplikaci SmartTerminal máte vše na jednom místě. Stáhnete jednoduše do vašeho mobilu přímo tady. Váš tým Fractal",Czech Republic,6.400743,,,
Chambre De Commerce Franco-tcheque / Francouzsko-česká Obchodní Komora,6391146.0,"Czech Republic, Praha, Prague, 3 Pobřežní, 18600",https://www.linkedin.com/company/chambre-de-commerce-franco-tcheque,www.chambre.cz,"The French - Czech Chamber of Commerce (CCFT – Chambre de commerce franco-tchèque) was founded in March 1996. Its mission is to be a platform for the French-Czech community development, to promote business and cultural relations between the two countries and their people and to spread the idea of European unity. For its member companies and partners, the CCFT team organizes debate lunches, thematic clubs and conferences, Speed business meetings in Prague and other regions, cultural and networking evenings, as well as pétanque and golf tournaments and different sports trainings. More than 3550 participants attended 69 events organized by CCFT in 2015. The Business Support Department offers a comprehensive range of services to Czech and French companies wishing to enter the foreign market. More than 80 companies are accompanied by the Business Support Department every year. The CCFT is a member of the CCI France International network, which brings together 113 French Chambers of Commerce abroad. The CCFT has built up a network of preferred partners with local and regional chambers of commerce, various economic promotion agencies or territorial jurisdictions in order to have the best sources of information.",Czech Republic,6.391146,,,
Autonapůl,6300330.0,"Czech Republic, South Moravian, Brno, 52 Křenová, 602 00",https://www.linkedin.com/company/autonap-l,www.autonapul.cz,"We are the first Czech carsharing. We create space for people in cities. By sharing a car we save your money and the environment. When you drive with the car once a week or three times a year on vacation, it is not worth buying your own car. That's why the idea of a shared car arose. Carsharing is actually a cheaper, more flexible and open form of car rental, when you sign the contract only once and online, your cars are available nonstop and you pay only for what you actually travel. We have taken an example abroad where similar projects have existed for many years and have many enthusiastic users.",Czech Republic,6.30033,,,
Alliance Française De Pardubice,4747158.0,"Czech Republic, Pardubický, Pardubice, 54 Pernštýnské Nám., 530 02",https://www.linkedin.com/company/alliance-française-de-pardubice,,"L’Alliance Française est une association à but non lucratif, autonome et indépendante, respectant le droit local.  L’association offre des cours de français de tous niveaux de langue et pour tous les âges. Les étudiants peuvent choisir parmi une large gamme de cours adaptés à leurs disponibilités et à leurs besoins : des cours semestriels en groupe, individuels, des ateliers pour les enfants, des cours intensifs pendant le week-end ainsi que des cours intensifs d’été. Nous préparons aussi des formations sur mesure pour les entreprises, les écoles et d’autres associations. L’Alliance Française de Pardubice est l’unique centre d’examen à proposer les examens internationaux du DELF/DALF en Bohème de l’Est. En plus des cours de français, l’Alliance Française propose de nombreuses activités liées à la culture française et francophone. Tout au long de l’année ce sont donc des concerts, des conférences, des festivals, des cafés français, des soirées gastronomiques et de nombreuses autres soirées thématiques qui sont organisées. Ainsi, l’Alliance Française crée des espaces de discussion, d’échanges et de partage ouverts à tous !",Czech Republic,4.747158,,,
Measure2BIM,3271240.0,"Czech Republic, Praha, Prague, 2305/24 Divišovská, 149 00",https://www.linkedin.com/company/measure2bim,www.measure2bim.eu,"Measure2BIM wurde 2007 in Prag gegründet. Schon seit Beginn unserer Unternehmensgründung sind wir auf umfangreiche Dienstleistungen im Bereich Ingenieurvermessung spezialisiert. Ein steigendes Interesse an unseren Dienstleistungen machte es möglich, dass unser Unternehmen im Laufe der Jahre auch über die tschechischen Grenzen hinaus tätig gewesen ist. Wir haben an zahlreichen Projekten in ganz Europa und den USA mitgewirkt. So z.B. in Belgien, Frankreich, Italien, Deutschland, Polen, Slowakei, Rumänien, Kroatien, Ukraine, Russland und den USA.  Im Jahr 2016 haben wir unser Angebot um 3D-Laserscanning und Luftbildmessung erweitert. Seit 2017 widmen wir uns zudem der Erstellung von BIM- und BIM Ready-Modellen bestehender Bauwerke. Aktuell gehören auch folgende Leistungen zu unserem Portfolio: Messen von Mietflächen nach BOMA-, GIF-, RICS- und IPMS-Standards, Passportisierung von Bauwerken (CAD/BIM), Erfassung und Analyse von Strukturverformungen, Geländeanalysen, 3D-Druck, 3D-Texturierung von Gebäudemodellen, Orthofotos von Objektfassaden sowie die Innenraumgestaltung.",Czech Republic,3.27124,,,
RX Auto,2807000.0,"Czech Republic, Praha, Prague, 1092/8 Aviatická",https://www.linkedin.com/company/green-motion-cz,www.rxauto.cz,Car rental,Czech Republic,2.807,,,
KARLINK,2517336.0,"Czech Republic, Praha, Prague, 58 Radlická, 150 00",https://www.linkedin.com/company/karlink,,"Basée à Prague, en République tchèque, la société KARLINK se spécialise depuis 2015 dans l’import-export automobile entre professionnels européens (concessionnaires, distributeurs indépendants, sociétés de leasing...) Nous proposons à nos clients une gamme de services adaptés à leurs besoins : prospection, intermédiation multilingue, études de marché, négociation, conseil, logistique... KARLINK a également développé une solution internet propre permettant à nos clients d'optimiser leurs achats et ventes de véhicules au sein de l'UE avec l’appui de nos équipes. Nos équipes multilingues sont composées d’européen(e)s passionné(e)s bénéficiant d’expérience dans divers secteurs de l’industrie automobile et de la logistique. Tous se distinguent par leur connaissance des gammes automobiles et des problématiques d’import-export, mais aussi par leur qualité d’analyse et leur maîtrise des langues vivantes. Nos services sont disponibles en France, République tchèque et en Slovaquie. Nous espérons avoir le plaisir de collaborer avec vous dans le cadre de l’achat, la vente, ou le transport de vos véhicules.",Czech Republic,2.517336,,,
ADIV Lease S.r.o.,1524588.0,"Czech Republic, Moravskoslezský, Opava, 3007/91 Těšínská, 74601",https://www.linkedin.com/company/adiv-lease,www.adiv-lease.cz,"We are a car rental company ADIV Lease s.r.o., which was established in 2013 and we offer more than 50 ŠKODA and Ford cars for short-term rental for retail and corporate clients. We also offer long-term customized rentals or operating leasing. All of our cars are under 12 months old and are very well equipped.  You can find us at our branches in Opava, Ostrava and now also at our partner Rent point in Prague.  We offer our clients above standard services which result from our partnership with ŠKODA dealer, ADIV spol. s r.o. This connection allows us to offer the latest car models for rent and thanks to our authorised service centres to keep them in perfect condition until they are replaced.",Czech Republic,1.524588,,,
Půjčovna Dodávek A Mikrobusů - Mobility Rent,1054000.0,"Czech Republic, Praha, Prague, 217 K Sokolovně, 10400",https://www.linkedin.com/company/půjčovna-dodávek-a-mikrobusů---mobility-rent,mobilityrent.cz,"V půjčovně dodávek a mikrobusů MOBILITY RENT je naším cílem maximální spokojenost zákazníků. Proto se vám snažíme poskytovat kvalitní služby a vycházet všem vašim přáním vstříc. V naší půjčovně užitkových a osobních vozů si můžete zapůjčit vozidla v bezvadném terchnickém stavu nízkého stáří. Půjčovna dodávek a mikrobusů je pro vás k dispozici každý den včetně svátků nejen v Praze (Praha 4, Praha 10, Praha 11) a Českých Budějovicích, ale fakticky kdekoliv v ČR, kde ji budete potřebovat. Půjčení dodávek nebo mikrobusů je tak možné např. ve městech: Hradec Králové, Jihlava, Kladno, Liberec, Mladá Boleslav, Pardubice, Příbram, Tábor. Pokud dodávku nebo mikrobus sami nechcete řídit, půjčte si ji přímo s naším řidičem, případně využijte nákladní taxi, kdy se o vše postaráme. Zajistíme pro Vás i shuttle servis - tedy mikrobus s řidičem, na požádání anglicky hovořícím. Jestliže ve firmě častěji potřebujete náhradní vozidlo, poskytneme vám pronájem dodávky nebo mikrobusu za zvýhodněných podmínek garantovaných rámcovou smlouvou.",Czech Republic,1.054,,,
Cleaning Service S.r.o.,1041120.0,"Czech Republic, Karlovarský, Karlovy Vary, 10 Loketská, 36006",https://www.linkedin.com/company/cleaning-service-s-r-o-,uklid-kv.cz,"Kompletní úklidové a čistící práce. Mytí oken, čištění koberců, čištění autointeriérů, správa budov, prodej čistící a úklidové techniky. Outsorcing, služby pro hotely, pravidelné i jednorázové úklidové práce. Zapůjčení zaměstnanců. Autodoprava. Půjčovna aut.",Czech Republic,1.04112,,,
TREDOS,951268.0,"Czech Republic, Vysočina, 222 Žďárského, 67401",https://www.linkedin.com/company/tredoscz,www.tredos.cz,"Transport, Logistics, Bus Transport, Car rental.",Czech Republic,0.951268,,,
