Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Budget Fleet Solutions Hungary,6293969334.0,"Hungary, Budapest, Budapest",https://www.linkedin.com/company/budget-fleet-solutions-hungary,budgetflotta.hu,"Budget is one of the most significant car rental networks in the world. It is present in 128 countries with 3,400 offices. Budget’s success story started in Hungary in 1990. It won the „Car rental company of the year” award many times and in 2009 it won the Superbrand award. After these successes the company decided to expand its original short-term rental services even further and enter into the operational leasing sector for corporate customers. Being an independent fleet management company and running a wide, international network in the automotive industry, Budget is working with the best service providers available. The strong and stable financial background is provided by Otokoc Otomotiv, sister company of the Turkish Koc Holding. It is the sole owner of the Budget license in Hungary. Forbes ranked Koc Holding at 496th place in the world based on turnover. It is a well-known name in the energy sector, oil and automotive industries and in banking, since it owns several companies in these sectors.",Hungary,6293.969334,,,
Hertz Hungary - Mercur Rent A Car Ltd - Hertz International Franchisee,29853060.0,"Hungary, Pest, Vecsés, 2 Hertz Street, 2220",https://www.linkedin.com/company/hertz-mercur-rent-a-car-kft,hertz.hu,"As the one of the world’s first and world’s largest car hire companies, the name Hertz stands for safety, outstanding vehicles and top class, top speed service. Whether in the area of fleet management or car hire for the individual, Hertz car hire always provides customers with the newest and best driving experience. Our hire fees include insurance against theft, compulsory third party insurance, registration tax, road tax, local service fees, Hungarian motorway tolls, unlimited kilometres, all service costs and VAT. For greater driving safety and comfort, extra equipment can be provided for the car hire period. You can hire a navigation system for the vehicle: just enter your destination and you’re on your way. Hire vehicles can be picked up and dropped off at numerous locations in Budapest and all over Hungary.",Hungary,29.85306,,,
Delta-Truck Kft.,28949364.0,"Hungary, Pest, Szigetszentmiklós, 13 Leshegy Utca, 2310",https://www.linkedin.com/company/delta-truck-kft,deltatruck.hu,"DELTA-TRUCK – AT THE FOREFRONT OF THE COMMERCIAL VEHICLE TRADE SINCE 1991 As one of the leading vehicle dealers of the domestic commercial vehicle market, our company has been active in the distribution, purchasing, servicing and maintenance of both new and used commercial vehicles since 1991. During all this time, we have been seeking to fulfil the needs of our domestic and international customers with the widest possible range of services and at the highest possible standards. In addition to the sale of FORD TRUCKS, ISUZU, KÖGEL, MEGA, BENALU, LAMBERET and BROSHUIS commercial vehicles, we also offer our partners a great variety of after-sales services. Founded in 1994 and having grown into the market leader in commercial vehicle rental, VIARENT completes our range of services.",Hungary,28.949364,,,
Avis Hungary,8101074.0,"Hungary, Pest, Vecsés, 21 Ecseri Út, 2220",https://www.linkedin.com/company/avis-hungary,www.avis.hu,"Avis Car Rental has the longest presence among the international car rental companies in Hungary, with its establishment from 1969. Avis has one of the largest nationwide network with 20 rental offices in the country. The operational background is ensured by a company under new ownership called AUTO ReFAIRent Ltd from 2010. The company operates a continually renewing fleet of more than 600 vehicles - average life span is 6 months - with a range of more than 10 vehicle brands. On top of passenger cars 9-seaters minibuses are supplying customer mobility demand. The company provides car rental solutions to short-, mid- and long-term rental needs of corporate and individual customers, as well as international car rental reservations and Avis charge card service. Avis is a member of Hungarian Rent A Car Association, and entitled to use the title of ""Excellent Qualified Service Provider"".",Hungary,8.101074,,,
Fox Autorent,6779903.0,"Hungary, Budapest, Budapest, 1 Infopark Sétány, 1117",https://www.linkedin.com/company/fox-autorent,www.fox-autorent.com,"Hungary""s leading independant car rental company since 1988! Since the early days of FOX AUTORENT, in 1988, we have continually focused our services to meet the needs of our customers. This simple philosophy, which still applies today, has helped us become one of the largest independent car rental companies in Hungary next to the major international players. Our fleet of over 300 cars has been put together to serve the differing requirements of our clients. We offer a suitable solution for every occasion. Small cars for your in-city shopping; larger cars for the business traveller, minivans or small buses for business trips, weekends away or for holidays. Got any goods or parcels to transport? We also offer a range of vans and mini trucks.  We meet the needs of international clients visiting Hungary by providing smooth, efficient ’meet and greet’ services when they arrive at the airports and other transit points in Hungary. We are also strategically placed in Budapests City centre at the Corinthia Hotel, and Budapest Airport, in Balaton Airport and Hévíz town centre, also in the North of Hungary in Győr city centre to service the needs of clients in these very dynamic regions of Hungary. There are also plans in the future to have other offices in other major towns and cities in the country. Our high level of individual service to our clients has resulted in us receiving the prestigious award “BEST OF BUDAPEST” every year since 1998.",Hungary,6.779903,,,
Europcar Hungary,6293838.0,"Hungary, Budapest, Budapest, 195853 Szentlôrinci Út",https://www.linkedin.com/company/europcar-hungary,europcarhungary.hu,"A Europcar autókölcsönző több mint huszonöt éve van jelen Magyarországon és a Porsche Pénzügyi Csoport tagja. Piacvezetőként Magyarország legnagyobb országos kölcsönzői hálózatával, 21 kirendeltséggel és az ország legfiatalabb és legnagyobb autóflottájával rendelkezik. Kínálatában megtalálhatók a kis kategóriás városi autók, a prémium kategóriás járművek és a kishaszon-gépjárművek is.",Hungary,6.293838,,,
Touriam - Everything 4 YOU,5699890.0,"Hungary, Pest, Budapest, 1074",https://www.linkedin.com/company/bat-budapest-airport-transfer,www.touriam.com,"⭐️Our goal is to provide you with everything you might need during your journey. Transfers, taxis, tours, activities, services, entrance tickets, car rentals, and more. As a provider, accommodation host, or network builder, you can also earn passive income on multiple levels. 📱Touriam Application:  Autumn 2023 📲Currently available countries: •Hungary Minibuses 🚌 | Minivans 🚙 | Luxury types 💎 Normal types 🚗 References:  • Accent Hotels (Ambra, T62, Monastery Boutique, etc.)  • Mellow Mood Hotels (Promenade, La Prima, Estilo Fashion, etc.)  • Maverick Hostels (Maverick, City Lodge, Student Lodge, Leo Boutique, etc.)  • Hive Hostel  • KVI Hotel  • Six-Inn Hotel • Budapest Residence (400+ apartments)  • ManagAir (300+ apartments)  • Apartment Service (50+ apartments)  • Hostmyflat (300+ apartments)  • Hostie (100+ apartments)  • Budapest Luggage Storages (6 storages)  • etc",Hungary,5.69989,,,
MOL Mercarius Fleet Solution,5699890.0,"Hungary, Budapest, Budapest, 99-105 Váci Út, 1139",https://www.linkedin.com/company/mercarius-flottakezelő-kft,mercarius.hu,"Mercarius Fleet Management Company grew out of the conventionally understood rent-a-car operations of the nineties gradually though a well thought over strategy to become the single largest Hungarian owned fleet manager having control over more than 9000 units of machine vehicles. The business strategy did not change in the past decades – we offer high standard custom tailored service packaged tailored to the real needs and financial risks of the Customers with transparent and predictable pricing arrangements. This is why more and more domestically established companies opt to use our risk free, calculable solutions. To secure high quality services we have introduced and applied ISO 9001Standard Quality Management System.  Please contact us personally, by the phone or in an e-mail for tailor-made quotations!",Hungary,5.69989,,,
Next Car Rental,5043552.0,"Hungary, Budapest, Budapest, 179 Budaörsi Út, 1112",https://www.linkedin.com/company/next-car-rental,www.nextcarrental.hu,"A Next Car Rental autókölcsönző megbízható, változatos járműparkja, és professzionális szolgáltatásai Budapesten az Ön rendelkezésére állnak, ha bérautót keres.  Miben vagyunk mások: Saját készlettel rendelkezünk, így az autójára nem kell heteket várni, míg az ügyintézés lezajlik. Flottánkat folyamatosan frissen tartjuk: a legrégebbi autónk 2022 évjáratú, áraink mégis versenyképesek a piacon. Bővelkedünk prémium autókban is, melyek határozott megjelenést biztosítanak: tekintse meg Audi, Volvo és Mercedes-Benz modelleinket is! Nálunk nem kizáró ok a mikro-, vagy kisvállalkozás, valamint az új cég és az egyéni vállalkozás sem. Kérjen személyre szabott ajánlatot vállalkozása igényeinek megfelelően! Rugalmasak vagyunk: ha nem válik be a kiválasztott autó, azt át lehet cserélni a futamidő alatt is. Nálunk nem muszáj hosszútávra elköteleződni: sok ügyfelünk 6 hónapra köt szerződést, így 6 havonta új autóba ülhet át, vagy meg is hosszabbíthatja a szerződését. Felajánljuk az autó megvásárlásának lehetőségét: a futamidő végén sok esetben megvásárolható az autót akár a használó cég-, akár a munkavállaló által- ez a kollégáinak is szimpatikus ajánlat lesz! Szerződését már EUR-ban is kötheti! Keresse kollégáinkat és találjuk meg együtt az Ön számára tökéletes autót!",Hungary,5.043552,,,
Enterprise Rent-A-Car Hungary,4616305.0,"Hungary, Pest, Vecsés, 2 Ferihegy, 2220",https://www.linkedin.com/company/grandsüd-autólizing-és-bérautó-ltd,www.enterprise.hu,"Car rental services and operations  Budapest Liszt Ferenc International Airport  Operating:  Enterprise, Alamo, National  an Independent Rent-A-Car Franchisee  www.enterprise.hu",Hungary,4.616305,,,
