Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
SIXT Rent A Car Northern Ireland,4011876050.0,"Ireland, Leinster, Dún Laoghaire, Rochestown Avenue, a96 dp22",https://www.linkedin.com/company/sixt-rent-a-car-northern-ireland,www.sixt.ie,"SIXT is an internationally renowned car rental company offering our mobility services in over 2,200 locations across 105 countries worldwide. We were founded in 1912 and have brought the past century of experience and knowledge into everything that we do today. We work hard to provide outstanding customer service, a modern and high-quality fleet and to be at the cutting edge of the rental industry. Our branches offer a comprehensive and diverse selection of vehicles, including hatchbacks, family estates, people carriers, minibuses, convertibles, 4x4s, and luxury cars.",Ireland,4011.87605,,,
Johnson & Perrott Ltd,189351340.0,"Ireland, Munster, Cork",https://www.linkedin.com/company/jpmgcork,www.jpmg.ie,"Johnson & Perrott Motor Group, an Irish Family Owned Company, is a leading provider of Automotive Services in the Rep of Ireland, headquartered in Cork City. The Organisation has a proud history and association with transportation in Ireland since its establishment in 1810 and has enjoyed continued family ownership since 1860.  The current shareholders are a mixture of fifth and sixth generation descendants of James Johnson. The Organisation offers a wide range of services across retail motor dealerships, fleet management and vehicle rental and has a unique insight into the operation of the Automotive Industry in the Republic of Ireland.  The Organisation also has a considerable investment in investment properties from which it derives predictable and continuing rental income.",Ireland,189.35134,,,
Holiday Autos,48900289.0,"Ireland, Leinster, Dublin",https://www.linkedin.com/company/holiday-autos,www.holidayautos.com,"Holiday Autos is a leading car rental service that specializes in providing customers with a seamless and convenient car hire experience across more than 50,000 locations worldwide. The company is dedicated to ensuring transparency in pricing, offering no hidden costs or card fees, along with free cancellation and amendments up to 48 hours before pickup. With a mission to simplify travel logistics, Holiday Autos caters to a diverse clientele, including leisure travelers and business professionals, by partnering with various car rental providers to offer a wide range of vehicles. Their commitment to customer satisfaction is reflected in their award-winning 24/7 support, ensuring that clients receive assistance whenever needed. Targeting both domestic and international markets, Holiday Autos aims to enhance the travel experience by making car hire accessible and straightforward for everyone.",Ireland,48.900289,,,
No-H2O,13559806.0,"Ireland, Leinster, Dublin",https://www.linkedin.com/company/10831906,www.noh2o.com,"No-H2O is a waterless solution to car washing. No-H2O uses no water in comparison to a drive through car wash which will waste an incredible of 132 litres of water. No-H2O is made from a scratch free formula which emulsifies the dirt particles. It has a positive charge in the product and with the negative charge from a microfibre cloth the dirt is encapsulated in the cloth removing the dirt and leaving behind a polished finish unlike any other car wash product available. No-H2O manufactures and produce a range of waterless car and motorbike care products for sale through retail outlets. No-H2O also produces the same range of waterless car care products for sale through commercial outlets. One of our largest customers is Hertz car rental who we have a pan European trading agreement with since 2014. No-H2O is the only product of its type to be approved for use on both Boeing and Airbus commercial aircraft. No-H2O is certified to for: Boeing D6-17487 Revision R Airbus Airbus AIMS 09-00-002 Why is No-H2O unique? No-H2O has the unique opportunity to change consumer trends which will ultimately be advantageous for our environment. We are a green tech company but a bold brand which wants to be the ""Red Bull"" of car care. We not only save the environment on average a 132 litres of fresh water but we also save the environment from suffering the damaging effluent which normal car washes will run into the drainage. A unique selling point for us is that when a car is washed with No-H2O it lasts for twice as long as a car washed with water, because our product has ingredients which repels dirt for a longer period of time. ""less than 1% of water on earth is fresh water and suitable for human consumption""",Ireland,13.559806,,,
Dan Ryan Truck Rental,10069344.0,"Ireland, Leinster, Dublin, 58 Le Brocquay Avenue, d12 p5n8",https://www.linkedin.com/company/dan-ryan-truck-rental,www.danryantruckrental.ie,"Welcome to Dan Ryan Truck Rental, Founded in 1974, Dan Ryan Truck Rental is the longest established Van Rental, Truck Rental and Contract Leasing Company in Ireland. With these years of experience we have evolved in an ever changing transport industry. Today we offer transport solutions to all truck and van operators in an increasingly complex and administratively demanding operation. We provide a complete end to end vehicle supply and management services.",Ireland,10.069344,,,
Value Van Rental,9387558.0,"Ireland, Dublin, Santry, Old Airport Road, k67",https://www.linkedin.com/company/value-van-rental,www.valuevanrental.ie,"Welcome to Value Van Rental! We're a rapidly growing van and car rental company based in Dublin, Ireland, dedicated to providing exceptional rental services. Our comprehensive fleet of vehicles caters to both private and commercial clients, with flexible options available upon request.  At Value Van Rental, we take immense pride in our commitment to customer satisfaction. Our experienced and friendly rental team consistently goes the extra mile to ensure a seamless and enjoyable rental experience for all our clients.  With our user-friendly online platform, we've streamlined the rental process, making it easier than ever to reserve the vehicle you need. We firmly believe in offering the simplest yet most effective way to book your rental vehicle online.  Join us in our journey to redefine the rental experience and let Value Van Rental be your trusted partner for all your transportation needs.",Ireland,9.387558,,,
Avis Budget Ireland,9266619.0,Ireland,https://www.linkedin.com/company/avis-budget-ireland,www.avis.ie,"We don’t just rent cars.  With our world-famous brands – Avis, Budget, and Payless – we’re leading the way in the Irish mobility industry. We’re constantly using the latest technology to develop integrated products and services that will offer new travel possibilities with more convenience and flexibility than ever before and we’re looking for the very best talent to help us do it.",Ireland,9.266619,,,
Auto Boland Group,8483921.0,"Ireland, Munster, Waterford",https://www.linkedin.com/company/the-boland-group-graduate-programme,thebolandgroup.ie,"Auto Boland Group is comprised of companies owned and managed by the Boland family, who have been operating in Ireland since 1922. With twenty-two motor retail locations, including Carlow, Cork, Dublin, Kilkenny, Limerick and Waterford, Auto Boland Group employs over one thousand people across all sectors of the motor industry. In addition to motor retail, the group also operates car rental company – Hertz Car Rental, Hertz Car Sales, travel logistics company – NVD, and B2B used car stock company -Trade Sales. Auto Boland Group is licenced by all the major financial institutions, including manufacturer backed finance companies, such as; AIB, BOI, Close Brothers, Alphera, RCI, Lombard, Blue Stone and Volkswagen Financial Services.",Ireland,8.483921,,,
Merlin Group,8344496.0,"Ireland, Leinster, Dublin, Kylemore Road",https://www.linkedin.com/company/merlin-group,www.merlingroup.ie,"Merlin Group is Ireland’s largest independently owned motor and property company with operations in every sector of the industry. MERLIN MOTOR CITY is Irelands leading used car supermarket with over one hundred cars of every make and model under one roof. Merlin Motor City offer customers the best used car prices in Ireland and pride themselves on their no pressure, no hassle approach to car sales.   MERLIN CAR RENTAL are Ireland’s leading independent car hire company with over 40 years experience in replacement car rental. Merlin Car Rental specialise in replacement vehicles for corporate and private customers in the short, medium and long term.  MERLIN CAR AUCTIONS Winner Of Deloitte Best Managed Company 2011 is Ireland’s premier auction company, committed to providing unrivalled professional service that matches buyers and sellers to get the best deal. Merlin Car Auctions provide the most modern car auction facilities in Ireland.  MERLIN PROPERTY is the only Irish owned auction property house delivering Excellence in Property Auctioneering. Our expertise in auctioneering stems from over forty years as Ireland’s Premier Auction House.   GANLY CRAIGIE are one of Ireland’s longest running auction businesses and after generations of experience are proud to be known as Ireland’s leading property, land sales, plant and machinery auctioneers.",Ireland,8.344496,,,
Barter's Travelnet,8181342.0,"Ireland, Munster, Cork, 92 St Patrick's Street, dp84",https://www.linkedin.com/company/j-barter-travel,www.travelnet.ie,"Founded in 1865 by Joseph Barter, Barter’s Travelnet is an award-winning family-owned business to this day. If you are looking for the perfect holiday deal, you can rely on the best travel agents in Cork - We will organize everything so that you can sit back, relax, and enjoy your holidays! We take great pride in our experienced, enthusiastic, well-travelled, and dedicated staff. Barter’s Travelnet can offer a vast array of holidays, regardless of whether it's a cruise, last-minute deal, or sun holiday, as well as worldwide and special long haul holidays. We also offer a number of extras on your holiday such as car hire, transfers, and a variety of local attractions at many major holiday destinations. We have offices in Waterford, Douglas, Cork City, and Bandon that would be more than happy to help you with your holiday, so no matter where in the Cork area you are, there's always a Barter's Travelnet near you.",Ireland,8.181342,,,
