Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
In Your Pocket City Guides,22179106.0,"Lithuania, Vilnius, Vilnius, 9-4 Bernardinu, lt-01124",https://www.linkedin.com/company/inyourpocket,www.inyourpocket.com,"In Your Pocket is the brainchild of German Matthias Lüfkens and Belgian brothers George, Oliver and Nicolas Ortiz, who, over several beers in the Stikliai beer hall in Vilnius, Lithuania, a town that at the time had no telephone directory, came up with the idea of Vilnius In Your Pocket during a long December evening in 1991. The four set out to conquer the world armed only with a dream and a laptop: they still have the dream, and they still have the laptop. In Your Pocket is now Europe's leading provider of urban information, supplying locally produced, practical information for over 100 cities all over the region, available at the travel portal inyourpocket.com, in the appstore http://iyp.me/app and in more than 70 publication guide books, published in 23 countries.  In Your Pocket's lively, honest style has received consistent praise from, among others, Le Monde, The Wall Street Journal, The New York Times, The Guardian, the Sunday Times, the BBC, Rough Guides and Lonely Planet. In Your Pocket is an advertising driven business, whose first-rate distribution network; local, international, and on-line, provides unique access to a high quality audience of travelers. Though the client list runs into the thousands, our major partners include the Intercontinental, Radisson and Hilton hotel groups, Hertz, Sixt and Avis car rental companies, as well as airlines Lufthansa, British Airways and Lot. Follow us on: -Facebook: In Your Pocket - https://www.facebook.com/InYourPocket/ -Instagram: @inyourpocket - https://www.instagram.com/inyourpocket/",Lithuania,22.179106,,,
JND Coach And Minibus Hire Chauffeur Driven Cars,7408925.0,"Lithuania, Klaipėda County, Klaipėda, 111 Nemuno G., 93249",https://www.linkedin.com/company/jnd,www.jnd.lt,"JND - transport service company where people with extensive experience in transport services are working . We are well aware of the role of transport services requirements and the importance of professionalism in this field, and we work with particular attention to passenger service quality. Our mission: to provide reliable and quality transport services to meet customers' expectations and needs. Our vision: to become the strongest and most reliable passenger transportation and car rental company in Klaipėda region, and later in Lithuania. JND rents only new and technically good vehicles. Permanent JND customers a treated with a flexible system of discounts. JND provides high-quality service and offers you additional advantages, so you will notice the difference. We believe that the company JND will become your new friend, providing passenger transportation and car rental services.",Lithuania,7.408925,,,
Krantas Travel,6710630.0,"Lithuania, Klaipėda County, Klaipėda",https://www.linkedin.com/company/krantas-travel,www.krantas.lt,"Company KRANTAS TRAVEL started its business in 1998. Now we are a team of 27 qualified and creative employees. The company has a network of offices in biggest Lithuanian cities - Vilnius, Kaunas and Klaipėda.  Our annual sales turnover amounts to EUR 8.4 mill. Therefore, today KRANTAS TRAVEL is one of the leading travel companies in Lithuania. In 2000 Krantas Travel became member of International Air Transport Association (IATA). In 2001 the enterprise became a part of Danish shipping corporation - DFDS. Activity KRANTAS TRAVEL is a tour operator and a travel agency that provides a wide range of tourism services. In the company’s offices our clients can purchase flight and ferry tickets, bus tickets, buy a trip to any country in the world, book hotel, rent a car or bus, get a travel insurance. INCOMMING: KRANTAS TRAVEL provides services for the foreign visitors who come to the Baltic states and offers various kinds of tours embracing Lithuania and other Baltic countries, Scandinavia and Russia. Besides standard bus tour packages, we also offer walking tours or trips by bicycles, business travel arrangements, incentives and conferences, transfers and other special orders. SHOREX: KRANTAS TRAVEL welcomes cruise ships calling port of Klaipeda and arranges sightseeing tours and other services for the passengers.",Lithuania,6.71063,,,
Europcar Lithuania,5215310.0,"Lithuania, Vilnius, Vilnius, 98 Naugarduko Gatvė, lt-03160",https://www.linkedin.com/company/europcarlithuania,leaseuropcar.lt,"""Europcar"" yra didžiausia automobilių nuomos bendrovė Europoje, teikianti paslaugas daugiau nei 140 pasaulio šalių.  Bendrovės parką Baltijos šalyse sudaro daugiau nei 1200 automobilių bei per 200.000 automobilių visame pasaulyje.  Lietuvoje bendrovė teikia trumpalaikės, vidutinės trukmės bei ilgalaikės automobilių nuomos paslaugas privatiems ir verslo klientams. Jūsų įmonei reikalingas automobilis? Rasime geriausią sprendimą Jūsų poreikiams. Susisiekite  info@europcar.lt",Lithuania,5.21531,,,
Hertz Baltics,4698269.0,"Lithuania, Vilnius, Vilnius",https://www.linkedin.com/company/hertz-baltics,www.hertzlease.lt,"Hertz is one of leading international car rental companies founded in 1918, the company operates in more than 150 countries and more than 9000 international corporate and franchisee locations. For our corporate customers we develop tailored car rental and full-service leasing solutions. Based on our expertise and highly efficient process management we optimize their fleets total operating costs over the long term.",Lithuania,4.698269,,,
Institut Français De Lituanie / Prancūzų Institutas Lietuvoje,3275562.0,"Lithuania, Vilnius, Vilnius, 01128",https://www.linkedin.com/company/iflituanie,www.institutfrancais-lituanie.com,"Prancūzų institutas Lietuvoje įsikūręs Vilniuje adresu Didžioji g. 1, pačioje senamiesčio širdyje. Institutas vykdo veiklą lingvistinio, kultūros, universitetinio bendradarbiavimo srityse ir siūlo platų prancūzų kalbos kursų pasirinkimą. Institute yra mediateka, kuri siūlo daugiau nei 20 000 leidinių prancūzų kalba, kino salė ir parodų salė.  L'Institut français de Lituanie est situé rue Didžioji g. 1, en plein coeur de la vieille ville de Vilnius. L'Institut intervient dans le domaine de la coopération linguistique, culturelle et universitaire et propose un large éventail de cours de langue française. L'Institut dispose d'une médiathèque qui propose plus de 20 000 documents en français, une salle de cinéma et une salle d'exposition. The French Institute of Lithuania is located at street Didžioji g. 1, in the heart of the old town of Vilnius. The Institute is active in the field of linguistic, cultural and academic cooperation and offers a wide range of French language courses. The Institute has a library that offers more than 20,000 documents in French, a movie theater and a showroom.",Lithuania,3.275562,,,
INOX - CMP S.r.l. | Costruzioni Meccaniche E Montaggi Industriali,2483357.0,"Lithuania, Latium, Latina, 6 Via Pietro Verri, 04100",https://www.linkedin.com/company/inox-cmp-srl-costruzioni-meccaniche-e-montaggi-industriali,www.inoxcmp.com,"Siamo un Azienda Italiana Leader nella Realizzazione di Costruzioni Meccaniche e Montaggi Industriali nella Provincia di Latina con Esperienza trentennale. La Società é stata costituita nell'anno 1988. Fondata circa trent'anni fa da alcuni ex dipendenti della FINDUS S.p.A. di Cisterna di Latina (LT), l'Azienda é diventata Leader nel settore di Costruzioni Meccaniche e Montaggi Industriali. Dopo le prime esperienze di lavoro in altra struttura, nell'anno 1989 ha costruito, su un terreno di proprietà della superficie di circa 8.000 m2 un capannone industriale in cemento armato prefabbricato della superficie di 1.250 m2 con annessa palazzina per uffici e servizi di 400 m2.  La necessità di fornire al cliente impianti chiavi in mano, completi di sistemi elettrici, elettronici ed elettropneumatici per il controllo e il comando di processo, ha avuto come logica conseguenza la costituzione della S.EL.PAM. S.n.c., costituita dagli stessi titolari, ma ora funzionalmente autonoma ed indipendente. Il supporto tecnico è fornito da una società di ingegneria di Roma che provvede alla progettazione nel campo della robotica e dell'analisi strutturale meccanica degli elementi finiti, in campo transitorio e non lineare, oltreché per gli studi di fattibilità e per la certificazione secondo la direttiva macchine 89/392/CEE.",Lithuania,2.483357,,,
Gelgotos Transportas,2086124.0,"Lithuania, Vilnius, Vilnius, 2 Parodų Gatvė",https://www.linkedin.com/company/gelgotos-transportas,www.polizinginiai.lt,"POLIZINGINIAI.LT – plačiai Europoje žinomos kompanijos „Exleasingcar“ oficialus mažmeninės prekybos naudotais automobiliais atstovas Lietuvoje. Pagrindinė mūsų veikla – galutiniam vartotojui skirtų automobilių po lizingo pardavimas. Prekybos vietose teikiame visas su automobiliais susijusias paslaugas: naudotų automobilių apžiūra ir pardavimas, serviso paslaugos, savitarnos plovykla, automobilių nuoma.",Lithuania,2.086124,,,
Autocom Car Rental,2064809.0,"Lithuania, Vilnius, Vilnius, 129 Savanorių Pr. 129 Savanorių Pr., lt-03150",https://www.linkedin.com/company/autocom-car-rental,www.autocom.lt,"AUTOCOM Car Rental guarantees you a comfortable, safe and enjoyable trip. At our car rental locations, you will easily find the right vehicle for you. We are constantly updating our car park, and only rent the newest cars that are no more than three years old.",Lithuania,2.064809,,,
ADCRent,1954781.0,"Lithuania, Vilnius, Vilnius, 3 Rodūnios Kelias, 02188",https://www.linkedin.com/company/adcrent-com,www.adcrent.com,"Car rental platform based in Vilnius Lithuania, providing accessible cars from handpicked partners",Lithuania,1.954781,,,
