Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Grupo JAP,1251013190.0,"Portugal, 4580-590, Paredes, 464 Rua Central De Mouriz",https://www.linkedin.com/company/grupo-jap,www.grupojap.pt,"Fundado em 1904, em Marco de Canaveses, o Grupo JAP é hoje uma referência no setor automóvel e da mobilidade. Representamos perto de 20 marcas de viaturas ligeiras, 15 delas com distribuição via rede de concessionários Carby. Detendo a Matrizauto (maior megastore de viaturas seminovas e usadas do país) e o master franchise da SIXT (um dos líderes mundiais no ramo rent-a-car), em Portugal. Atuamos também no mercado do retalho e reparação de máquinas agrícolas, industriais e de movimentação de cargas.  A nossa história centenária é movida pela força de mais de 3200 Colaboradores – distribuídos por cerca de 50 empresas em aproximadamente 80 localidades – e tem vindo a ser marcada por uma evolução sustentada, focada na melhoria contínua dos serviços prestados e na satisfação dos nossos clientes e colaboradores. Simultaneamente, somos uma força em crescimento no mercado dos ligeiros e pesados em África (Angola, Moçambique, Uganda, Quénia e Tanzânia), neste último com a representação oficial da marca de camiões MAN, disponibilizando serviços de reparação e montagem destas viaturas.",Portugal,1251.01319,,,
Guerin - Car Rental Solutions & Enterprise,248483623.0,"Portugal, Lisbon, Lisbon, 3 Av. Severiano Falcão, 2685-379",https://www.linkedin.com/company/guerin-enterprise,www.guerin.pt,"Guerin - Car Rental Solutions & Enterprise is a leading car rental company that specializes in providing flexible and convenient transportation solutions for travelers. With a mission to enhance the travel experience, Guerin offers a diverse fleet of vehicles available for pickup and drop-off at various airports and cities, catering to both leisure and business clients. The company aims to empower customers to explore their destinations with ease, exemplified by their curated travel guides, such as the one for a day trip to Guimarães, which highlights local attractions and cultural experiences. Guerin partners with various travel agencies and tourism boards to ensure a seamless journey for its clients, who range from solo travelers to families and corporate groups. With a commitment to customer satisfaction and a focus on enriching travel experiences, Guerin is dedicated to being a trusted companion on every road trip.",Portugal,248.483623,,,
Bouygues Telecom Services,132587038.0,"Portugal, Porto, Porto, Campo 24 De Agosto, 4300-504",https://www.linkedin.com/company/bouygues-telecom-services,jobsbouyguestelecomservices.com,"On est fait pour être ensemble, à Porto ! Bouygues Telecom Services est la filiale portugaise de Bouygues Telecom et intègre la posture humaine et les valeurs novatrices de cette grande société française. Pour nous, la qualité des relations est la clé du bonheur. En nous rejoignant, participez à faire grandir les relations humaines. Nous sommes présents à Porto depuis juillet 2018, incarnant l'un des 7 centres experts de Bouygues Telecom, le seul hors de France. Nous intégrons ainsi un collectif de 9 500 artisans des liens humains, passionnés, au service de 25 millions de personnes partout en France. Travaillez dans le centre de Porto, en français, dans des installations modernes et confortables. Situé au Campo 24 de Agosto, le site est facilement accessible par tous les transports en commun (une station de métro est juste à côté). Alors si pour vous faire grandir les relations humaines est un métier, on est fait pour être ensemble. Nous sommes certifiés Great Place to Work et Top Employer depuis 2023, des labels qui attestent de notre engagement constant envers la qualité de vie au travail et l’amélioration continue. -- Somos a filial em Portugal da empresa de telecomunicações francesa Bouygues Telecom e estamos a recrutar ! Conhece alguém que fala francês? Partilhe o nosso site: https://www.bouyguestelecomservices.pt/",Portugal,132.587038,,,
MéO,89411400.0,"Portugal, Lisbon, Lisbon",https://www.linkedin.com/company/fenetreomeo,www.fenetremeo.com,"Créateur du concept bois-aluminium en 1983, MéO est le 1er fabricant français de menuiseries bois-aluminium sur mesure, décoratives, accessibles et performantes, destinées aux professionnels installateurs. Spécialiste de la menuiserie depuis plus de 40 ans, MéO propose la gamme bois-aluminium la plus complète du marché : fenêtres et portes-fenêtres à frappe, baies coulissantes, portes d’entrée, verrières et murs rideaux.  Pour répondre aux besoins du marché, en rénovation comme dans la construction neuve, MéO est organisé autour de deux activités : l’habitat individuel résidentiel et l’habitat collectif et tertiaire.",Portugal,89.4114,,,
Valpi,42670123.0,"Portugal, Paredes, 256 Av. Joaquim Ribeiro Da Mota, 4585-166",https://www.linkedin.com/company/valpig,www.valpi.pt,"A Valpi, sociedade gestora de participações, emprega atualmente cerca de 400 colaboradores distribuidos pelas seguintes empresas: Valpi Bus - Transporta anualmente cerca de 12,5 Milhões de passageiros, designadamente em transporte regular (urbano e interurbano) nas áreas dos Concelhos do Porto, Penafiel, Valongo, Paredes, Lousada, Amarante e Matosinhos, em transporte ocasional (aluguer) nacional e internacional. Valpi Rent - Solução rent-a-car com numa rede nacional de estações distribuídas por 40 concelhos e 10 distritos para entrega e recolha de viaturas. Soluções flexíveis adaptadas a todas as necessidades: uso pessoal, viagem em família ou necessidade empresarial. Valpi Travel - Uma agência de viagens com oferta global de serviços, desde aviação ao alojamento hoteleiro, aluguer de automóveis e viagens de autocarro, passando também pelos pacotes turísticos e organização de viagens próprias. Britafiel - É uma referência de inovação e qualidade no sector da industria extrativa. Sendo reconhecida como uma das principais alternativas ao fornecimento de agregados e rochas ornamentais de granito, marcando presença nas principais obras nacionais e multinacionais. Bioport - A Bioport dedica a sua actividade industrial à produção de biocombustível desde o ano de 2009. Localizada a norte de Portugal, no parque empresarial de Paredes, tem actualmente uma capacidade de produção anual de 35.500 m3.  A Valpi tem como missão o mérito e o empenho. O nosso objetivo é criar as condições para que todos os que ingressam nos nossos projetos se possam realizar individualmente, contribuindo para um futuro comum cada vez melhor. Trabalho, Ambição e Honestidade, estes são os valores da Valpi. Valores que nos acompanham desde sempre.",Portugal,42.670123,,,
Hipogest,35339984.0,"Portugal, Lisbon, Lisbon, 2 Avenida Engenheiro Duarte Pacheco Torre, 1070-102",https://www.linkedin.com/company/2260848,www.hipogest.pt,"Established in 1974, Hipogest is a Portuguese group present in Portugal, Spain, France, Italy, Angola, Cape Verde and in the United States. The Group operates within the following divisions: Automotive – StarSul (Mercedes-Benz and Smart dealers for the south of Portugal), SADASA (BMW and Mini importer in Angola), Central Motors (BMW and Mini Authorized Repairer), SHA (Distribution of vehicles and parts); Services – Hertz Master Franchisee since 1998 (Rent-a-car, Motorcycle Rentals and Tours, Carsharing / Mobility, Used Car Sales, Leasing, Equipment Rental, Transportation) Real State and Engineering – Projects, Construction, Structures and Claddings More Information www.hipogest.pt",Portugal,35.339984,,,
BCA Portugal,18775116.0,"Portugal, Lisbon, Lisbon",https://www.linkedin.com/company/bca-portugal,www.bca.pt,"A BCA é a maior empresa de leilões e remarketing de automóveis em Portugal e na Europa. Anualmente, vende mais de 1.500.000 viaturas em mais de 15 países na Europa. Presente em Portugal desde 1997, com 3 centros de leilão (Lisboa, Porto e Pombal). A BCA lidera o sector no nosso país de forma consistente e incontestada, tendo vendido até à data quase 400.000 viaturas, quer em leilões físicos, quer através da Internet. Presta ainda serviços globais de remarketing a vários agentes do mercado automóvel, como importadores, gestoras de frota, rent-a-car e outras empresas. ------------------------ BCA is the largest auction and remarketing vehicles company in Portugal and Europe. Annually, more than 1.5 million vehicles are sold in the 15 countries where BCA is represented. Currently, there are 3 BCA centers in Lisbon, Porto, Pombal. GO FAR, GO TOGETHER",Portugal,18.775116,,,
Europcar Portugal,16992018.0,"Portugal, Lisbon, Lisbon",https://www.linkedin.com/company/europcar-portugal,www.europcar.pt,"A Europcar Portugal é uma empresa líder no setor de aluguer de veículos, oferecendo uma ampla gama de carros e comerciais para atender às necessidades de mobilidade de seus clientes. Com agências em mais de 160 países, a Europcar se destaca pela sua fiabilidade e profissionalismo, proporcionando um serviço de alta qualidade tanto para viajantes a negócios quanto a lazer. A missão da empresa é facilitar a experiência de aluguer de veículos, garantindo um processo simples e eficiente, com reservas online fáceis e atendimento personalizado. O público-alvo da Europcar inclui turistas, viajantes de negócios e empresas que necessitam de soluções de transporte flexíveis. Além disso, a empresa colabora com diversos parceiros para oferecer uma experiência de aluguer completa e conveniente, com localizações estratégicas, como o Aeroporto do Porto.",Portugal,16.992018,,,
Grupo Ilha Verde,12494462.0,Portugal,https://www.linkedin.com/company/grupoilhaverde,www.grupoilhaverde.com,"O Grupo Ilha Verde é uma organização vocacionada para o ramo automóvel. Representa um conjunto de empresas de capital familiar e ao longo de 40 anos adquiriu e desenvolveu vários negócios desde Aluguer de Automóveis, passando pelo Ensino de Condução Bem como a Comercialização de Viaturas Novas e Usadas. Iniciou a sua actividade em 1971, com a Ilha Verde Rent a Car, em S. Miguel, marcando posteriormente presença em todas as ilhas do arquipélago, posição que mantém com o slogan “Nove ilhas uma Escolha”. Dois anos mais tarde aposta na abertura de Escola de Condução Ilha Verde, mantendo também a sua actividade em Ponta Delgada. Como Concessionário de automóveis desde 1987, este grupo representa a Ford, Nissan, Subaru, Honda, Renault e Dacia. Sedeada também em Ponta Delgada, e com o principal objectivo de proporcionar ao mercado açoriano a comercialização de viaturas semi-novas e de retoma das diversas concessões, cria uma empresa especializada para o efeito: “Usados que são novos, aos melhores preços.” No mercado nacional o Grupo Ilha Verde é associado das empresas “Ausocar Lda.” E “General SA”, ambas de aluguer de automóveis e venda de viaturas semi-novas. Também da “Gesleilões SA”, leiloeira de automóveis e venda da “Pneuseasy” venda e assistência de pneus. A prestação de todos os serviços baseia-se em padrões de qualidade, pelo que a maioria das empresas estão criticadas, pela Norma ISO 9001, pretendendo até final de 2011 concluir a certificação de todo o Grupo.",Portugal,12.494462,,,
Chambre De Commerce Et D'Industrie Luso-Française,12349854.0,"Portugal, Lisbon, Lisbon, 7 Avenida Da Liberdade N°9, 1200-139",https://www.linkedin.com/company/chambre-de-commerce-et-d'industrie-luso-française,www.ccilf.pt,"Créée en 1887, la Chambre de Commerce et d’Industrie Luso-Française, association privée reconnue d’utilité publique, est un réseau de près de 500 entreprises portugaises et françaises travaillant sur les deux marchés.  Implantée à Lisbonne et Porto et forte d’une équipe luso-française, la CCILF est l’interlocuteur privilégié de la communauté d’affaires luso-française.  Elle a pour vocation de favoriser le commerce bilatéral luso-français de contribuer et d’appuyer de façon opérationnelle les entreprises dans le développement de courants d’affaires durables.  La CCILF est, elle-même, membre d’un réseau regroupant les 112 Chambres de Commerce Françaises à l’étranger et travaille en étroite collaboration avec 136 Chambres de Commerce et d’Industrie de France soit 2 millions d’entreprises.",Portugal,12.349854,,,
