Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Autonom Group,156517520.0,"Romania, Bucureşti, Bucharest, Nr. 6 Str. Gratioasa, 031365",https://www.linkedin.com/company/autonom-group,www.autonom.com,"Autonom înseamnă mobilitate fără griji. Cu 52 de centre în 38 de orașe și peste 16.000 de mașini în flotă, suntem alături de clienți prin soluții flexibile și eficiente de mobilitate și finanțare: 🚗 Închirieri auto și mașină de înlocuire; 🚙🚜 Leasing operațional auto și echipamente 🚖🧑✈️Transferuri cu șofer  🚘 Auto rulate 🆘 Asistență rutieră 📊 Fleet management Ne adaptăm ușor. Livrăm rapid. Suntem întotdeauna aproape – de oameni și echipe mereu în mișcare, pentru a nu se opri din drumul lor. 📩 Urmărește-ne pentru noutăți, parteneriate și soluții care chiar te ajută să mergi mai departe.",Romania,156.51752,,,
KLASS WAGEN,131530806.0,"Romania, Ilfov, Otopeni, No.289 Calea Bucurestilor, 075100",https://www.linkedin.com/company/klass-wagen---rent-a-car,www.klasswagen.com,"Klass Wagen is a leading car rental company in Eastern and Central Europe, trusted by thousands of customers every year. With a modern fleet and offices in major cities and airports, we provide reliable mobility solutions tailored to both business and leisure travelers. Our commitment is to make car rental simple, transparent, and customer-focused. By combining competitive prices with outstanding service, we ensure every journey starts and ends with confidence. Website: www.klasswagen.com E-mail: reservations@klasswagen.com Facebook: www.facebook.com/KlassWagen.KW",Romania,131.530806,,,
Travel Time,98176104.0,"Romania, Bucureşti, Bucharest, 45 Mircea Vulcanescu",https://www.linkedin.com/company/travel-time-travel-agency,www.traveltime.ro,"Travel Time was founded in 2006, and is the result of 20 years of experience within the Travel Industry between its Shareholders, in the fields of Corporate and Leisure Travel.  The demand for Quality of Service has lead our company to become an IATA agency, since 2009. Our Quality of Service has been audited and received ISO 9001:2008. We’re committed to offer high level services and competitive value for money products in order to satisfy our clients’ needs. We want to meet and exceed our clients’ goals but always having Quality Service in mind. We have now four departments to provide products and services: Corporate Travel, MICE (Meetings, Incentives, Conferences and Events), Ticketing and Leisure Travel. Each department is based on professionals who are on continuously training to fulfill our Quality of Services requirements. They can satisfy all demands, providing accommodation - for all categories, starting with hostel/B&B to exclusive Deluxe Hotels, having more than 250000 hotels in our portfolio; airfares, transfers, cruises, rail tickets, car rental, travel insurance, holiday packages, tickets to various events (cultural, sport, concerts), visa and passport services, meet and greet at the airport, etc. We offer 24 hour emergency assistance service for our customers and our team is ready to help you with any demand during your journeys. You can contact them anytime at: +4 0730 245966 or at email office@traveltime.ro",Romania,98.176104,,,
RomActiv Business Consulting,35714770.0,"Romania, Bucureşti, Bucharest, Nr. 34 Str. Maria Rosetti, 020487",https://www.linkedin.com/company/romactiv-business-consulting,www.romactiv.ro,"RomActiv Business Consulting is a business management and financial consulting services company, having as main areas of expertise: > Consultancy for EU funding > Project management & technical assistance for public authorities > Local Sustainable Development Strategies > StartUp & Entreprenorial consulting services > Public procurement consulting services ---- Romactiv Business Consulting ofera servicii de consultanta de business si management de proiect: > Consultanta pentru elaborarea si implementarea de proiecte cu finantare nerambursabila > Management de proiect si asistenta tehnica pentru autoritati publice locale si centrale > Elaborarea de strategii de devoltare locala > Consultanta pentru StartUp & Antreprenoriat > Consultanta in domeniul achizitiilor publice In 2003, la initiativa unui grup de consultanti si experti din domeniul financiar si al managementului afacerilor, s-a constituit RomActiv Business Consulting. Astazi suntem unul dintre cei mai importanti jucatori de pe piata serviciilor de consultanta de afaceri din Romania, o companie dinamica si autonoma, cu un portofoliu bogat si o experienta semnificativa in acest domeniu de activitate. Ne orientam activitatile din fiecare zi in directia generarii de plus valoare pentru toti clientii nostri, realizand proiecte cu impact asupra mediului de afaceri din toate regiunile de dezvoltare ale tarii. Ne bazam pe o retea de birouri regionale proprii si parteneriate strategice in: Bucuresti, Oradea, Arad, Cluj-Napoca, Bacau, Targu-Mures, Slatina, Craiova si Galati.",Romania,35.71477,,,
Alu Design Construction Civile,28786912.0,"Romania, Bucureşti, Bucharest",https://www.linkedin.com/company/alu-design,aludesign.ro,"English / ALU DESIGN CONSTRUCTION CIVILE S.R.L. is a company based in Romania that operates also in different countries such as France and United Kingdom. Due to the quality and standards imposed for each of our projects, we have seen a constant evolution. The diversity of our specialists and with the combination of expertise and technology, we have managed to build a rich portfolio that includes more than 300 projects worldwide.  Alu Design Construction Civile is recognized by the industry as utilizing the latest installation techniques and providing specialized equipment to ensure all works conform to world class ""best practice"" standards. Our company ensures a high level of service and we strive to deliver it on all our projects in such manner it meets all our clients' needs. The experience that our team provides, its multidisciplinary expertise and the continuous collaboration over time with our partners demonstrates the quality that we offer at a European and global level. Français / Alu Design Construction Civile est une entreprise fondée en 1999, spécialisée dans les travaux de façades.  Alu Design est en Roumanie le premier bureau d’études ayant comme activités principale la conception des façades complexes (murs rideaux (VEC et VEA), menuiseries extérieures, garde-corps en verre, systèmes d’occultations, verrières. En 2011, Alu Design décide de diversifier son activité et y intégrer la fourniture des matériaux et la pose de ces derniers.  A ce jour Alu Design maison mère, ses deux succursales en France et en Angleterre ont conduit plus de 300 projets dans le monde entier, sur 5 continents. Son équipe formée de plus de 40 spécialistes dont des ingénieurs d’études et chefs de projet, permet à Alu Design de conduire et réussir des projets de grandes envergures et extrêmement techniques, en maitrisant la chaine complète de son activité, de conception par son bureau d’étude à la pose des matériaux en passant par la sélection de ces derniers.",Romania,28.786912,,,
SIXT Group Romania,25389677.0,"Romania, Bucureşti, Bucharest, Nr 145 Șoseaua București-ploiești",https://www.linkedin.com/company/1637213,www.sixtgroup.ro,"SIXT Group Romania is the first operational leasing company in Romania and one of the top Rent a Car and Operational Leasing companies on the local automotive market. SIXT Group Romania is unique in its “One-Stop Shop System” and its Always Yes concept. SIXT Group Romania is a market leader in its activities, as a direct result of concentrating on providing top quality services, flexibility, tailor made solutions, and partnership to our clients and stakeholders. Through the „One-Stop Shop System”, SIXT Group Romania offer all the services under the same umbrella: operational leasing (www.sixtleasing.ro), rent a car (www.sixt.ro), SH cars (www.sixtsh.ro), new cars (authorized dealer Opel – www.opel-unionmotors.ro) and workshop service – one of the largest in Romania (authorized Dacia, Renault, Opel, and multi-brand – www.union-motors.ro). SIXT Group Romania strategy is to be flexible and to create tailor made solutions for our clients. Starting from this objective, we created the „One-Stop Shop System”, offering integrated services at the best possible price to value. Our clients have the possibility to choose one or another service, depending on their concrete needs at any given moment. Majority of our clients are using most of our business units at once. Also, due to our Group synergy, having together the rent a car and the operational leasing business units under the same umbrella, we are creating for SME’s and Start-Up companies the possibility to access the benefits that largely only the big companies have. In addition, because we wanted to create the possibility for every Romanian to own a car, we launched Prima Masina SH Program or the „Peace of Mind Package” for buying and owning second hand car. A main differentiator is our people driven and inspired by the Always Yes concept. Our team is motivated, young, and creative, which really makes a difference in a competitive market. We always see the client as a partner and aim to tailor made innovative and flexible solutions to our clients’ needs. SIXT Group Romania is also involved in many extracurricular challenging projects in which we aim to give back to the communities we operate within. More info: www.sixtgroup.ro Management: Tal Lahav, CEO, tal.lahav@sixt.ro, 0747 030 030 Cosmin Samoila, CFO, cosmin.samoila@sixt.ro, 0744 640 494 Monica Neagu, Group Sales Manager, monica.neagu@sixt.ro, 0729 889 990 Eugen Maciuca, Second Hand Division Manager, eugen.maciuca@sixtsh.ro, 0729 290 199 Madalin Ene, Dealer Operator, e-mail: madalin.ene@union-motors.ro, tel: +40.730 040 969 Magdalena Hrestic, Treasury Manager, magdalena.hrestic@sixt.ro, 0752 102 974 Stefan Ichim, Legal Manager, stefan.ichim@sixt.ro, 0721 221 536 Valentin Matei, IT & Internal Audit Manager, valentin.matei@sixt.ro, 0724 620 022 Alina Lungu, HR Manager, alina.lungu@sixt.ro, 0730 040 988 Ilona Armangic, Operational Leasing Manager, ilona.armangic@sixt.ro, 0730 040 989 Alina Melescanu, Marketing Manager, alina.melescanu@sixt.ro, 0730 040 990 George Man, CRM Manager, e-mail: george.man@sixt.ro, tel: +40. 722 582 831 Stefan Stancu, Corporate Sales Manager Sixt Rent a Car, e-mail: stefan.stancu@sixt.ro, 0727772444 Alexandra Sarbu, Rent a Car Manager, alexandra.sarbu@sixt.ro, 0728 996 265 Mihai Radu, Logistic Manager, e-mail: mihai.radu@sixt.ro, +40. 730 040 960 Andrei Betivu, Security and Technical Manager, andrei.betivu@sixt.ro, 0740 104 754 Adrian Badea, After Sales Manager, adrian.badea@union-motors.ro, 0728 996 263 www.sixtgroup.ro www.facebook.com/Sixtgroupromania www.linkedin.com/company/sixt-group-romania https://www.instagram.com/sixtgroupromania/ https://www.linkedin.com/in/hezi-shayb https://www.linkedin.com/in/tallahav",Romania,25.389677,,,
Wens Travel,20138688.0,"Romania, Cluj, Cluj-napoca, Nr. 39 Str. Clinicilor, 400006",https://www.linkedin.com/company/wens-travel,wenstravel.ro,"We are a full service travel agency, one of the few in Romania, who understand the role of being a concierge, adviser and guide in customizing vacations, but also business trips. Our mission is to give sense, value and joy to your trips by combining each and every detail in an authentic and unified travel package. Our purpose is to build partnerships based on trust, confidence and loyalty.  Created by professionals for professionals,  we offer integrated services for business travels, innovative corporate events and personalized team buildings for our corporate clients, personalized holidays for our partners and their employees.  20 years of experience, with thousands of trips and vacations organized and more than 10 thousand active clients from all over Romania represent the guarantee of a successful partnership based on competitive budgets and an impeccable service quality.   What recommends us: •         Integrated system for accommodation booking and flight tickets •         Travel Management, including budget and cash flow optimization  •         We provide: transfers, car rentals, visa intermediation, health insurance •         24/7 assistance and consulting  •         We understand and react to the client’s needs in real time •         Complete MICE services  •         Tailor made trips considering your needs and budgets",Romania,20.138688,,,
Hertz Romania,19619296.0,"Romania, Bucureşti, Bucharest, Strada George Constantinescu, 020339",https://www.linkedin.com/company/hertzromania,www.hertzlease.ro,"Hertz is the largest rent a car company worldwide. It's present in over 150 countries and operates in over 3.000 airport locations all around the globe. There are over 30.000 employees working at Hertz. The history of Hertz dates back to 1918, in America when W.L. Jacobs had the innovative idea and established the first car rental office in the world, in Chicago, in the United States of America, purchasing and repairing on his own twelve second hand Ford model T automobiles.  Since then, the Company grew and expanded rapidly, becoming the largest Car Rental in the world and remaining the leader in the car rental market for almost a century now.  In 1961, Hertz established its first office in Athens Greece and in 1974 Autohellas ATEE, has been granted the official franchisee of Hertz for Greece.  Autotechnica Fleet Services was established in Romania by Autohellas ATEE at the beginning of 2007 as a franchisee of HERTZ and within a short period of time became a senior player on the market of Car Rental and Operating Leasing – Fleet Management Services. Hertz Romania (Autotechnica Fleet Services) offers a complete range of services for rent a car on short term, long term, monthly rentals or operational leasing services and fleet management. The fleet in Romania has 3500 cars and covers a wide range of model and group cars. Hertz Romania is one of the rent a car companies with the largest number of locations, present in 6 cities: Bucharest, Cluj- Napoca, Constanta, Iasi, Sibiu si Timisoara Checkout our website www.hertzlease.ro",Romania,19.619296,,,
Sandra Group,18880020.0,"Romania, Iaşi, Iaşi, Sos Iasi Tg. Frumos Km 12, 707280",https://www.linkedin.com/company/sandra-trading,www.sandra.ro,"Volkswagen , Toyota , Kia, Audi , Lexus Sales and Service,  Skoda  Service , Automotive Repair, Car Dealership , Car Parts & Accessories , Auto Paint and Collision Repair Center , Insurance Broker , Rent-a-Car , Fleet and Special Sales",Romania,18.88002,,,
ROMIL/Autopadova,17621352.0,"Romania, Iaşi, Iaşi, 61 Dn 28 Km",https://www.linkedin.com/company/romil-group,www.autopadova.com,"Romil Automotive @ Autopadova Automotive Dealer since 1994 and service network in Romania for all represented brands. Original and aftermarket spare parts distribution and full-service range, truck bodybuilder. Iveco, Fiat, Alfa Romeo, Lancia, Jeep, Suzuki Sixt rent a car franchise and operational leasing. Contact ROMIL Group & +40.232.213.230 contact@autopadova.ro",Romania,17.621352,,,
